,Olsen Gang,Surface,Radley Erskin,Cosmic Journey,Sadie Seahorse,Arctic Blizzard,Willina Charm,Twist And Shake
14-12-2022 13:13:38.822672,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 8.675)","(14.0, 30.0, 19.666666666666668)","(5.0, 10.0, 6.866666666666666)","(2.0, 3.1, 2.29)"
14-12-2022 13:13:40.160268,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 8.675)","(14.0, 30.0, 19.666666666666668)","(5.0, 10.0, 6.866666666666666)","(2.0, 3.1, 2.29)"
14-12-2022 13:13:41.406761,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 8.675)","(14.0, 30.0, 19.666666666666668)","(5.0, 10.0, 6.866666666666666)","(2.0, 3.1, 2.29)"
14-12-2022 13:13:42.638041,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 8.675)","(14.0, 30.0, 19.666666666666668)","(5.0, 10.0, 6.866666666666666)","(2.0, 3.1, 2.2675)"
14-12-2022 13:13:43.881052,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 8.675)","(14.0, 30.0, 19.666666666666668)","(5.0, 10.0, 6.866666666666666)","(2.0, 3.1, 2.2675)"
14-12-2022 13:13:45.224020,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.866666666666667)","(14.0, 30.0, 19.666666666666668)","(5.0, 10.0, 6.866666666666666)","(2.0, 3.1, 2.2675)"
14-12-2022 13:13:46.447024,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.15)","(14.0, 30.0, 19.666666666666668)","(5.0, 10.0, 6.866666666666666)","(2.0, 3.1, 2.2675)"
14-12-2022 13:13:47.662521,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.866666666666667)","(14.0, 30.0, 19.666666666666668)","(5.0, 10.0, 6.866666666666666)","(2.0, 3.1, 2.2675)"
14-12-2022 13:13:48.837029,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.866666666666667)","(14.0, 30.0, 19.666666666666668)","(5.0, 10.0, 6.866666666666666)","(2.0, 3.1, 2.48125)"
14-12-2022 13:13:50.055090,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.866666666666667)","(14.0, 30.0, 19.666666666666668)","(5.0, 10.0, 6.866666666666666)","(2.0, 3.1, 2.29)"
14-12-2022 13:13:51.197955,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.15)","(14.0, 30.0, 19.666666666666668)","(5.0, 10.0, 6.866666666666666)","(2.0, 3.1, 2.29)"
14-12-2022 13:13:52.601345,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.866666666666667)","(14.0, 30.0, 19.666666666666668)","(5.0, 10.0, 6.866666666666666)","(2.0, 3.1, 2.29)"
14-12-2022 13:13:53.905196,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.866666666666667)","(14.0, 30.0, 19.666666666666668)","(5.0, 10.0, 6.866666666666666)","(2.0, 3.1, 2.29)"
14-12-2022 13:13:55.057200,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.15)","(14.0, 30.0, 27.416666666666668)","(5.0, 10.0, 6.866666666666666)","(2.0, 3.1, 2.29)"
14-12-2022 13:13:56.360931,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.866666666666667)","(14.0, 30.0, 27.181818181818183)","(5.0, 10.0, 6.866666666666666)","(2.0, 3.1, 2.29)"
14-12-2022 13:13:57.473990,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.866666666666667)","(14.0, 30.0, 27.181818181818183)","(5.0, 10.0, 6.866666666666666)","(2.0, 3.1, 2.29)"
14-12-2022 13:13:58.797842,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.866666666666667)","(14.0, 30.0, 27.181818181818183)","(5.0, 10.0, 6.866666666666666)","(2.0, 3.1, 2.29)"
14-12-2022 13:14:00.018468,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.5875)","(14.0, 30.0, 27.181818181818183)","(5.0, 10.0, 6.866666666666666)","(2.0, 3.1, 2.2675)"
14-12-2022 13:14:01.380781,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.866666666666667)","(14.0, 30.0, 27.181818181818183)","(5.0, 10.0, 6.866666666666666)","(2.0, 3.1, 2.2675)"
14-12-2022 13:14:02.623706,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.866666666666667)","(14.0, 30.0, 27.181818181818183)","(5.0, 10.0, 6.866666666666666)","(2.0, 3.1, 2.2675)"
14-12-2022 13:14:03.885629,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.866666666666667)","(14.0, 30.0, 27.416666666666668)","(5.0, 10.0, 6.866666666666666)","(2.0, 3.1, 2.48125)"
14-12-2022 13:14:05.180417,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.866666666666667)","(14.0, 30.0, 27.416666666666668)","(5.0, 10.0, 8.466666666666667)","(2.0, 3.1, 2.29)"
14-12-2022 13:14:06.522686,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.15)","(14.0, 30.0, 27.416666666666668)","(5.0, 10.0, 7.428571428571429)","(2.0, 3.1, 2.29)"
14-12-2022 13:14:07.843145,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.15)","(14.0, 30.0, 27.416666666666668)","(5.0, 10.0, 7.066666666666666)","(2.0, 3.1, 2.29)"
14-12-2022 13:14:09.095663,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.5875)","(14.0, 30.0, 27.416666666666668)","(5.0, 10.0, 7.066666666666666)","(2.0, 3.1, 2.29)"
14-12-2022 13:14:10.309183,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.866666666666667)","(14.0, 30.0, 27.416666666666668)","(5.0, 10.0, 7.066666666666666)","(2.0, 3.1, 2.29)"
14-12-2022 13:14:11.486579,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.866666666666667)","(14.0, 30.0, 27.416666666666668)","(5.0, 10.0, 7.066666666666666)","(2.0, 3.1, 2.2675)"
14-12-2022 13:14:12.929338,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.15)","(14.0, 30.0, 27.416666666666668)","(5.0, 10.0, 7.066666666666666)","(2.0, 3.1, 2.2675)"
14-12-2022 13:14:14.233068,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.15)","(14.0, 30.0, 27.416666666666668)","(5.0, 10.0, 7.066666666666666)","(2.0, 3.1, 2.2675)"
14-12-2022 13:14:15.555745,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.15)","(14.0, 30.0, 27.416666666666668)","(5.0, 10.0, 7.066666666666666)","(2.0, 3.1, 2.2675)"
14-12-2022 13:14:16.886269,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.15)","(14.0, 30.0, 27.416666666666668)","(5.0, 10.0, 8.746666666666666)","(2.0, 3.1, 2.48125)"
14-12-2022 13:14:18.092792,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.866666666666667)","(14.0, 30.0, 27.416666666666668)","(5.0, 10.0, 7.371428571428572)","(2.0, 3.1, 2.29)"
14-12-2022 13:14:19.268991,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.15)","(14.0, 30.0, 27.416666666666668)","(5.0, 10.0, 7.0)","(2.0, 3.1, 2.29)"
14-12-2022 13:14:20.444126,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.866666666666667)","(14.0, 30.0, 27.416666666666668)","(5.0, 10.0, 7.0)","(2.0, 3.1, 2.29)"
14-12-2022 13:14:21.642688,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.15)","(14.0, 30.0, 27.416666666666668)","(5.0, 10.0, 7.0)","(2.0, 3.1, 2.29)"
14-12-2022 13:14:22.873226,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.15)","(14.0, 30.0, 27.416666666666668)","(5.0, 10.0, 7.0)","(2.0, 3.1, 2.29)"
14-12-2022 13:14:24.066019,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.866666666666667)","(14.0, 30.0, 27.416666666666668)","(5.0, 10.0, 7.0)","(2.0, 3.1, 2.29)"
14-12-2022 13:14:25.265663,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.15)","(14.0, 30.0, 27.416666666666668)","(5.0, 10.0, 7.0)","(2.0, 3.1, 2.29)"
14-12-2022 13:14:26.467177,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.5875)","(14.0, 30.0, 27.416666666666668)","(5.0, 10.0, 7.257142857142857)","(2.0, 3.1, 2.29)"
14-12-2022 13:14:27.649032,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 9.95)","(14.0, 30.0, 27.416666666666668)","(5.0, 10.0, 7.371428571428572)","(2.0, 3.1, 2.2675)"
14-12-2022 13:14:28.787554,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.15)","(14.0, 30.0, 27.416666666666668)","(5.0, 10.0, 7.371428571428572)","(2.0, 3.1, 2.2675)"
14-12-2022 13:14:29.912444,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.15)","(14.0, 30.0, 27.416666666666668)","(5.0, 10.0, 7.0)","(2.0, 3.1, 2.2675)"
14-12-2022 13:14:30.926767,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.15)","(14.0, 30.0, 27.416666666666668)","(5.0, 10.0, 7.0)","(2.0, 3.1, 2.2675)"
14-12-2022 13:14:32.059526,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 8.675)","(14.0, 30.0, 27.416666666666668)","(5.0, 10.0, 7.0)","(2.0, 3.1, 2.2675)"
14-12-2022 13:14:33.245500,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.15)","(14.0, 30.0, 27.416666666666668)","(5.0, 10.0, 7.0)","(2.0, 3.1, 2.2675)"
14-12-2022 13:14:34.451840,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.15)","(14.0, 30.0, 27.416666666666668)","(5.0, 10.0, 7.0)","(2.0, 3.1, 2.2675)"
14-12-2022 13:14:35.738667,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.15)","(14.0, 30.0, 27.416666666666668)","(5.0, 10.0, 7.0)","(2.0, 3.1, 2.2675)"
14-12-2022 13:14:36.992654,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.866666666666667)","(14.0, 30.0, 27.416666666666668)","(5.0, 10.0, 8.746666666666666)","(2.0, 3.1, 2.2675)"
14-12-2022 13:14:38.298727,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.15)","(14.0, 30.0, 27.416666666666668)","(5.0, 10.0, 7.371428571428572)","(2.0, 3.1, 2.48125)"
14-12-2022 13:14:39.553935,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 10.866666666666667)","(14.0, 30.0, 27.416666666666668)","(5.0, 10.0, 7.0)","(2.0, 3.1, 2.29)"
14-12-2022 13:14:40.806730,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 10.333333333333334)","(7.0, 12.5, 10.15)","(14.0, 30.0, 28.892857142857146)","(5.0, 10.0, 7.0)","(2.0, 3.1, 2.29)"
14-12-2022 13:14:42.156505,"(41.0, 280.0, 133.6)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 10.333333333333334)","(7.0, 12.5, 10.25)","(14.0, 30.0, 28.892857142857146)","(5.0, 10.0, 7.0)","(2.0, 3.1, 2.29)"
14-12-2022 13:14:43.313777,"(41.0, 280.0, 133.6)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 10.333333333333334)","(7.0, 12.5, 10.25)","(14.0, 30.0, 28.892857142857146)","(5.0, 10.0, 7.0)","(2.0, 3.1, 2.29)"
14-12-2022 13:14:44.428452,"(41.0, 280.0, 133.6)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 10.333333333333334)","(7.0, 12.5, 10.25)","(14.0, 30.0, 28.892857142857146)","(5.0, 10.0, 7.0)","(2.0, 3.1, 2.29)"
