,Major Noah William,Pretty Reason,Dark Side Nz,Happy As,Kimchi,Manhattan Lass,Pocket More For Less Nz,Tackas Last Dance,Cobla Royale
15-12-2022 12:57:35.433803,"(9.0, 19.0, 17.821052631578947)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 19.0)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:36.657594,"(9.0, 19.0, 17.821052631578947)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 19.0)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:37.911327,"(9.0, 19.0, 17.821052631578947)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 19.0)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:39.189069,"(9.0, 19.0, 17.821052631578947)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 19.0)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:40.411658,"(9.0, 19.0, 17.821052631578947)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 19.0)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:41.584305,"(9.0, 19.0, 17.821052631578947)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 19.0)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:42.704293,"(9.0, 19.0, 17.821052631578947)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 19.0)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:43.819234,"(9.0, 19.0, 17.821052631578947)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 25.916666666666668)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:44.954772,"(9.0, 19.0, 17.933333333333334)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 25.916666666666668)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:46.145120,"(9.0, 19.0, 17.933333333333334)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 25.916666666666668)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:47.381667,"(9.0, 19.0, 17.933333333333334)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 25.916666666666668)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:48.553798,"(9.0, 19.0, 17.933333333333334)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 25.916666666666668)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:49.762078,"(9.0, 19.0, 11.666666666666666)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 14.6)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:51.030555,"(9.0, 19.0, 11.666666666666666)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 14.6)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:52.305894,"(9.0, 19.0, 11.666666666666666)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 14.6)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:53.486454,"(9.0, 19.0, 11.666666666666666)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 14.6)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:54.668510,"(9.0, 19.0, 11.666666666666666)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 14.6)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:55.764913,"(9.0, 19.0, 11.666666666666666)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 14.6)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:56.935945,"(9.0, 19.0, 11.666666666666666)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 14.6)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:58.124903,"(9.0, 19.0, 11.666666666666666)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 14.6)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:59.386784,"(9.0, 19.0, 11.666666666666666)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 14.6)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:58:00.638889,"(9.0, 19.0, 11.666666666666666)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 14.6)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:58:01.903913,"(9.0, 19.0, 11.666666666666666)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 14.6)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:58:03.171058,"(9.0, 19.0, 11.666666666666666)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 14.6)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:58:04.400227,"(9.0, 19.0, 11.666666666666666)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 14.6)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:58:05.620244,"(9.0, 19.0, 11.666666666666666)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 14.6)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:58:06.869744,"(9.0, 19.0, 11.666666666666666)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 14.6)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:58:08.118919,"(9.0, 19.0, 11.666666666666666)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.56)","(26.0, 80.0, 34.4)","(13.0, 29.0, 14.6)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:58:09.518713,"(9.0, 19.0, 11.666666666666666)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.56)","(26.0, 80.0, 34.4)","(13.0, 29.0, 14.6)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:58:11.015600,"(9.0, 19.0, 11.666666666666666)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 14.6)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:58:12.513270,"(9.0, 19.0, 11.666666666666666)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 14.6)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:58:13.978751,"(9.0, 19.0, 11.666666666666666)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 14.6)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
