,Disguise,Destini Rebel,Lily Luna Potter,Cement Mixer,Tiger Newly,Thats Rare,Paddy The Baddy,Aston Randal
10-01-2023 14:11:06.004545,"(3.3, 6.8, 4.292)","(8.5, 16.0, 9.657142857142857)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 12.5, 7.833333333333334)","(4.6, 5.1, 4.81875)","(5.5, 10.5, 9.888461538461538)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:07.141546,"(3.3, 6.8, 4.292)","(8.5, 16.0, 9.657142857142857)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 12.5, 7.833333333333334)","(4.6, 5.1, 4.81875)","(5.5, 10.5, 9.888461538461538)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:08.269172,"(3.3, 6.8, 4.292)","(8.5, 16.0, 9.657142857142857)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 12.5, 7.833333333333334)","(4.6, 5.1, 4.81875)","(5.5, 10.5, 9.888461538461538)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:09.364130,"(3.3, 6.8, 4.292)","(8.5, 16.0, 9.657142857142857)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 12.5, 7.833333333333334)","(4.6, 5.1, 4.81875)","(5.5, 10.5, 9.888461538461538)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:10.376916,"(3.3, 6.8, 4.292)","(8.5, 16.0, 9.657142857142857)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 12.5, 7.833333333333334)","(4.6, 5.1, 4.81875)","(5.5, 10.5, 9.888461538461538)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:11.396581,"(3.3, 6.8, 4.292)","(8.5, 16.0, 9.657142857142857)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 12.5, 7.833333333333334)","(4.6, 5.1, 4.81875)","(5.5, 10.5, 9.888461538461538)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:12.544998,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.633333333333333)","(4.6, 5.1, 4.81875)","(5.5, 10.5, 6.449999999999999)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:13.636215,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.633333333333333)","(4.6, 5.1, 4.81875)","(5.5, 10.5, 8.7)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:14.767942,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.633333333333333)","(4.6, 5.1, 4.81875)","(5.5, 10.5, 8.7)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:15.924205,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.633333333333333)","(4.6, 5.1, 4.81875)","(5.5, 10.5, 8.7)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:17.040173,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.633333333333333)","(4.6, 5.1, 4.81875)","(5.5, 10.5, 8.7)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:18.103913,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.633333333333333)","(4.6, 5.1, 4.81875)","(5.5, 10.5, 8.7)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:19.250006,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.633333333333333)","(4.6, 5.1, 4.81875)","(5.5, 10.5, 8.7)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:20.390840,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.633333333333333)","(4.6, 5.1, 4.81875)","(5.5, 10.5, 8.7)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:21.503681,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.633333333333333)","(4.6, 5.1, 4.81875)","(5.5, 10.5, 8.7)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:22.712761,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.633333333333333)","(4.6, 5.1, 4.81875)","(5.5, 10.5, 8.7)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:23.806938,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.633333333333333)","(4.6, 5.1, 4.81875)","(5.5, 10.5, 8.7)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:24.888345,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.633333333333333)","(4.6, 5.1, 4.81875)","(5.5, 10.5, 8.7)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:25.944423,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 10.322222222222223)","(4.6, 5.1, 4.81875)","(5.5, 10.5, 8.7)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:27.059671,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 10.322222222222223)","(4.6, 5.1, 4.81875)","(5.5, 10.5, 8.7)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:28.181044,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 10.322222222222223)","(4.6, 5.1, 4.81875)","(5.5, 10.5, 8.7)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:29.288839,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 10.322222222222223)","(4.6, 5.1, 4.81875)","(5.5, 10.5, 8.7)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:30.351866,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.78)","(4.6, 5.1, 4.81875)","(5.5, 10.5, 8.7)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:31.416900,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.8533333333333335)","(4.6, 5.1, 4.81875)","(5.5, 10.5, 8.7)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:32.437061,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.8533333333333335)","(4.6, 5.1, 4.81875)","(5.5, 10.5, 8.7)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:33.453458,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.8533333333333335)","(4.6, 5.1, 4.81875)","(5.5, 10.5, 8.7)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:34.539619,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.8533333333333335)","(4.6, 5.1, 4.81875)","(5.5, 10.5, 6.9)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:35.692221,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.8533333333333335)","(4.6, 5.1, 4.81875)","(5.5, 10.5, 6.9)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:36.778701,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.8533333333333335)","(4.6, 5.1, 4.81875)","(5.5, 10.5, 6.9)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:37.875784,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.8533333333333335)","(4.6, 5.1, 4.81875)","(5.5, 10.5, 6.9)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:39.002276,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.8533333333333335)","(4.6, 5.1, 4.81875)","(5.5, 10.5, 6.9)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:40.063084,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.8533333333333335)","(4.6, 5.1, 4.81875)","(5.5, 10.5, 6.9)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:41.132447,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.8533333333333335)","(4.6, 5.1, 4.81875)","(5.5, 10.5, 6.9)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:42.249733,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.8533333333333335)","(4.6, 5.1, 4.81875)","(5.5, 10.5, 6.9)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:43.396908,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.8533333333333335)","(4.6, 5.1, 4.81875)","(5.5, 10.5, 6.9)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:44.551098,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.8533333333333335)","(4.6, 5.1, 4.81875)","(5.5, 10.5, 6.9)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:45.689355,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.8533333333333335)","(4.6, 5.1, 4.81875)","(5.5, 10.5, 7.92)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:46.826790,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.8533333333333335)","(4.6, 5.1, 4.81875)","(5.5, 9.8, 7.92)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:47.913809,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.8533333333333335)","(4.6, 5.1, 4.81875)","(5.5, 9.8, 7.68)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:48.979612,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.8533333333333335)","(4.6, 5.1, 4.81875)","(5.5, 9.4, 7.68)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:50.099252,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.8533333333333335)","(4.6, 5.1, 4.81875)","(5.5, 9.4, 7.68)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:51.236118,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.8533333333333335)","(4.6, 5.1, 4.81875)","(5.5, 9.4, 7.68)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:52.382805,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.8533333333333335)","(4.6, 5.1, 4.81875)","(5.5, 9.4, 7.68)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:53.526018,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.8533333333333335)","(4.6, 5.1, 4.81875)","(5.5, 9.4, 7.68)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:54.578679,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.8533333333333335)","(4.6, 5.1, 4.81875)","(5.5, 9.4, 7.68)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:55.592350,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.8533333333333335)","(4.6, 5.1, 4.81875)","(5.5, 9.4, 7.68)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:56.676850,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.8533333333333335)","(4.6, 5.1, 4.81875)","(5.5, 9.4, 7.68)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:57.720193,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.8533333333333335)","(4.6, 5.1, 4.81875)","(5.5, 9.4, 7.68)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:58.889700,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.8533333333333335)","(4.6, 5.1, 4.81875)","(5.5, 9.4, 7.68)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:12:00.073780,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.8533333333333335)","(4.6, 5.1, 4.81875)","(5.5, 9.4, 7.68)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:12:01.232487,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.8533333333333335)","(4.6, 5.1, 4.81875)","(5.5, 9.4, 7.68)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:12:02.354606,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 7.8533333333333335)","(4.6, 5.1, 4.81875)","(5.5, 9.4, 7.68)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:12:03.435566,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 11.271052631578947)","(4.6, 5.1, 4.81875)","(5.5, 9.4, 7.68)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:12:04.575992,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 11.271052631578947)","(4.6, 5.1, 4.81875)","(5.5, 9.4, 7.68)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:12:05.764880,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 11.271052631578947)","(4.6, 5.1, 4.81875)","(5.5, 9.4, 7.68)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:12:06.891906,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 11.271052631578947)","(4.6, 5.1, 4.81875)","(5.5, 9.4, 7.68)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:12:08.061013,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 11.271052631578947)","(4.6, 5.1, 4.81875)","(5.5, 9.4, 7.68)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:12:09.271621,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 11.271052631578947)","(4.6, 5.1, 4.81875)","(5.5, 9.4, 7.68)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:12:10.357512,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 11.271052631578947)","(4.6, 5.1, 4.81875)","(5.5, 9.4, 7.92)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:12:11.490424,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 11.271052631578947)","(4.6, 5.1, 4.81875)","(5.5, 9.8, 7.92)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:12:12.535730,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 11.271052631578947)","(4.6, 5.1, 4.81875)","(5.5, 9.8, 7.92)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:12:13.655627,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 11.271052631578947)","(4.6, 5.1, 4.81875)","(5.5, 9.8, 7.92)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:12:14.782254,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 11.271052631578947)","(4.6, 5.1, 4.81875)","(5.5, 9.8, 7.92)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:12:15.887140,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 11.271052631578947)","(4.6, 5.1, 4.81875)","(5.5, 9.8, 7.92)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:12:16.998385,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 13.5, 11.271052631578947)","(4.6, 5.1, 4.81875)","(5.5, 9.8, 7.92)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:12:18.042027,"(3.3, 6.8, 4.292)","(8.5, 17.0, 9.799999999999999)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.333333333333332)","(6.0, 13.5, 7.5285714285714285)","(4.6, 5.1, 4.81875)","(5.5, 9.8, 7.92)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:12:19.132285,"(3.3, 6.8, 3.993181818181818)","(8.5, 17.0, 11.96)","(6.0, 11.0, 8.5)","(8.5, 17.0, 14.333333333333332)","(6.0, 13.5, 7.5285714285714285)","(4.6, 5.1, 4.81875)","(5.5, 9.8, 7.92)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:12:20.378116,"(3.3, 6.8, 3.993181818181818)","(8.5, 17.0, 11.96)","(6.0, 11.0, 8.5)","(8.5, 17.0, 14.333333333333332)","(6.0, 13.5, 7.5285714285714285)","(4.6, 5.1, 4.81875)","(5.5, 9.8, 7.92)","(10.0, 25.0, 16.0)"
10-01-2023 14:12:21.566084,"(3.3, 6.8, 4.1875)","(8.5, 17.0, 11.96)","(6.0, 11.0, 10.321739130434782)","(8.5, 17.0, 14.333333333333332)","(6.0, 13.5, 7.5285714285714285)","(4.6, 5.1, 4.81875)","(5.5, 9.8, 7.92)","(10.0, 25.0, 18.076923076923077)"
10-01-2023 14:12:22.794939,"(3.3, 6.8, 4.1875)","(8.5, 17.0, 11.96)","(6.0, 11.0, 8.45)","(8.5, 17.0, 14.333333333333332)","(6.0, 13.5, 7.5285714285714285)","(4.6, 5.1, 4.81875)","(5.5, 9.8, 7.92)","(10.0, 25.0, 18.076923076923077)"
