,Erupting Avatar,Liberty Royal,Wagtail Demon,Emmas Image,Leo Giblet,Hillbilly Joker,Afro Puff,Reel It In
15-12-2022 13:09:23.784145,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.333333333333334)","(2.6, 3.2, 2.6164705882352943)","(6.5, 9.8, 8.733333333333334)","(5.5, 9.8, 8.3)","(9.0, 27.0, 14.5)","(13.0, 38.0, 18.416666666666668)","(15.0, 38.0, 26.863636363636363)"
15-12-2022 13:09:25.126794,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.333333333333334)","(2.6, 3.2, 2.6164705882352943)","(6.5, 9.8, 8.733333333333334)","(5.5, 9.8, 8.3)","(9.0, 27.0, 14.5)","(13.0, 38.0, 18.416666666666668)","(15.0, 38.0, 26.863636363636363)"
15-12-2022 13:09:26.520389,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.333333333333334)","(2.6, 3.2, 2.6164705882352943)","(6.5, 9.8, 8.733333333333334)","(5.5, 9.8, 8.3)","(9.0, 27.0, 14.5)","(13.0, 38.0, 18.416666666666668)","(15.0, 38.0, 26.863636363636363)"
15-12-2022 13:09:27.842479,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.333333333333334)","(2.6, 3.2, 2.6164705882352943)","(6.5, 9.8, 8.733333333333334)","(5.5, 9.8, 8.3)","(9.0, 27.0, 14.5)","(13.0, 38.0, 18.416666666666668)","(15.0, 38.0, 26.863636363636363)"
15-12-2022 13:09:29.204251,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.333333333333334)","(2.6, 3.2, 2.6164705882352943)","(6.5, 9.8, 8.733333333333334)","(5.5, 9.8, 8.3)","(9.0, 27.0, 14.5)","(13.0, 38.0, 18.416666666666668)","(15.0, 38.0, 26.863636363636363)"
15-12-2022 13:09:30.517667,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.333333333333334)","(2.6, 3.2, 2.6164705882352943)","(6.5, 9.8, 8.733333333333334)","(5.5, 9.8, 8.3)","(9.0, 27.0, 14.5)","(13.0, 38.0, 18.416666666666668)","(15.0, 38.0, 26.863636363636363)"
15-12-2022 13:09:31.754847,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.333333333333334)","(2.6, 3.2, 2.6164705882352943)","(6.5, 9.8, 8.733333333333334)","(5.5, 9.8, 8.3)","(9.0, 27.0, 14.5)","(13.0, 38.0, 18.416666666666668)","(15.0, 38.0, 26.863636363636363)"
15-12-2022 13:09:33.128730,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.333333333333334)","(2.6, 3.2, 2.6164705882352943)","(6.5, 9.8, 8.733333333333334)","(5.5, 9.8, 8.3)","(9.0, 27.0, 14.5)","(13.0, 38.0, 18.416666666666668)","(15.0, 38.0, 26.863636363636363)"
15-12-2022 13:09:34.458786,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.333333333333334)","(2.6, 3.2, 2.6164705882352943)","(6.5, 9.8, 8.733333333333334)","(5.5, 9.8, 8.3)","(9.0, 27.0, 14.5)","(13.0, 38.0, 18.416666666666668)","(15.0, 38.0, 26.863636363636363)"
15-12-2022 13:09:35.753060,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.333333333333334)","(2.6, 3.2, 2.6164705882352943)","(6.5, 9.8, 8.733333333333334)","(5.5, 9.8, 8.3)","(9.0, 27.0, 14.5)","(13.0, 38.0, 18.416666666666668)","(15.0, 38.0, 26.863636363636363)"
15-12-2022 13:09:36.999384,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.333333333333334)","(2.6, 3.2, 2.6164705882352943)","(6.5, 9.8, 8.733333333333334)","(5.5, 9.8, 8.3)","(9.0, 27.0, 14.5)","(13.0, 38.0, 18.416666666666668)","(15.0, 38.0, 26.863636363636363)"
15-12-2022 13:09:38.159842,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.333333333333334)","(2.6, 3.2, 2.6164705882352943)","(6.5, 9.8, 8.733333333333334)","(5.5, 9.8, 8.3)","(9.0, 27.0, 21.6875)","(13.0, 38.0, 18.416666666666668)","(15.0, 38.0, 26.863636363636363)"
15-12-2022 13:09:39.329314,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.233333333333334)","(2.6, 3.2, 2.6164705882352943)","(6.5, 9.8, 8.733333333333334)","(5.5, 9.8, 8.3)","(9.0, 27.0, 13.25)","(13.0, 38.0, 28.892857142857142)","(15.0, 38.0, 26.863636363636363)"
15-12-2022 13:09:40.384203,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.266666666666667)","(2.6, 3.2, 2.6164705882352943)","(6.5, 9.8, 8.733333333333334)","(5.5, 9.8, 8.3)","(9.0, 27.0, 13.25)","(13.0, 38.0, 17.166666666666668)","(15.0, 38.0, 26.863636363636363)"
15-12-2022 13:09:41.485979,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.233333333333334)","(2.6, 3.2, 2.6164705882352943)","(6.5, 9.8, 8.733333333333334)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.576923076923077)","(13.0, 38.0, 24.11111111111111)","(15.0, 38.0, 23.0)"
15-12-2022 13:09:42.673290,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.366666666666667)","(2.6, 3.2, 2.6413333333333333)","(6.5, 9.8, 9.038095238095238)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.576923076923077)","(13.0, 38.0, 24.11111111111111)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:09:43.881908,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.366666666666667)","(2.6, 3.5, 2.6413333333333333)","(6.5, 9.8, 9.038095238095238)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.576923076923077)","(13.0, 38.0, 24.11111111111111)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:09:45.113397,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.366666666666667)","(2.6, 3.2, 2.6413333333333333)","(6.5, 9.8, 9.038095238095238)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.576923076923077)","(13.0, 38.0, 24.11111111111111)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:09:46.362870,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.366666666666667)","(2.6, 3.5, 2.6413333333333333)","(6.5, 9.8, 9.038095238095238)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.576923076923077)","(13.0, 38.0, 24.11111111111111)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:09:47.502004,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.366666666666667)","(2.6, 3.5, 2.6413333333333333)","(6.5, 9.8, 9.038095238095238)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.576923076923077)","(13.0, 38.0, 24.11111111111111)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:09:48.751607,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.366666666666667)","(2.6, 3.5, 2.6413333333333333)","(6.5, 9.8, 9.038095238095238)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.576923076923077)","(13.0, 38.0, 24.11111111111111)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:09:49.811761,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.366666666666667)","(2.6, 3.5, 2.6413333333333333)","(6.5, 9.8, 9.038095238095238)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.576923076923077)","(13.0, 38.0, 24.11111111111111)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:09:50.937662,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.366666666666667)","(2.6, 3.5, 2.6413333333333333)","(6.5, 9.8, 9.038095238095238)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.576923076923077)","(13.0, 38.0, 24.11111111111111)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:09:52.037084,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.366666666666667)","(2.6, 3.5, 2.6413333333333333)","(6.5, 9.8, 9.038095238095238)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.576923076923077)","(13.0, 38.0, 24.11111111111111)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:09:53.220298,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.366666666666667)","(2.6, 3.5, 2.6413333333333333)","(6.5, 9.8, 9.038095238095238)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.576923076923077)","(13.0, 38.0, 24.11111111111111)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:09:54.330506,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.366666666666667)","(2.6, 3.5, 2.6413333333333333)","(6.5, 9.8, 9.038095238095238)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.576923076923077)","(13.0, 38.0, 24.11111111111111)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:09:55.495869,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.266666666666667)","(2.6, 3.5, 2.6413333333333333)","(6.5, 9.8, 9.038095238095238)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.576923076923077)","(13.0, 38.0, 24.11111111111111)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:09:56.710861,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.366666666666667)","(2.6, 3.5, 2.618333333333333)","(6.5, 9.8, 9.038095238095238)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.576923076923077)","(13.0, 38.0, 24.11111111111111)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:09:57.907752,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.366666666666667)","(2.6, 3.5, 2.618333333333333)","(6.5, 9.8, 9.038095238095238)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.576923076923077)","(13.0, 38.0, 24.11111111111111)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:09:59.074087,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.366666666666667)","(2.6, 3.5, 2.618333333333333)","(6.5, 9.8, 9.038095238095238)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.576923076923077)","(13.0, 38.0, 24.11111111111111)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:10:00.215578,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.366666666666667)","(2.6, 3.5, 2.618333333333333)","(6.5, 9.8, 9.038095238095238)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.576923076923077)","(13.0, 38.0, 24.11111111111111)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:10:01.302619,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.366666666666667)","(2.6, 3.5, 2.618333333333333)","(6.5, 9.8, 9.038095238095238)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.576923076923077)","(13.0, 38.0, 24.11111111111111)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:10:02.469804,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.366666666666667)","(2.6, 3.5, 2.618333333333333)","(6.5, 9.8, 9.038095238095238)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.576923076923077)","(13.0, 38.0, 24.11111111111111)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:10:03.616559,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.366666666666667)","(2.6, 3.5, 2.618333333333333)","(6.5, 9.8, 9.038095238095238)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.576923076923077)","(13.0, 38.0, 24.11111111111111)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:10:04.770560,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.233333333333334)","(2.6, 3.5, 2.618333333333333)","(6.5, 9.8, 9.038095238095238)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.576923076923077)","(13.0, 38.0, 24.11111111111111)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:10:05.978996,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.366666666666667)","(2.6, 3.5, 2.618333333333333)","(6.5, 9.8, 9.038095238095238)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.576923076923077)","(13.0, 38.0, 24.11111111111111)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:10:07.192341,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.366666666666667)","(2.6, 3.5, 2.618333333333333)","(6.5, 9.8, 9.038095238095238)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.576923076923077)","(13.0, 38.0, 24.11111111111111)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:10:08.294029,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.366666666666667)","(2.6, 3.5, 2.618333333333333)","(6.5, 9.8, 9.038095238095238)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.375)","(13.0, 38.0, 26.863636363636363)","(15.0, 38.0, 28.96153846153846)"
15-12-2022 13:10:09.392226,"(6.5, 11.5, 9.933333333333334)","(5.0, 9.8, 8.366666666666667)","(2.6, 3.45, 2.68875)","(6.5, 9.8, 9.038095238095238)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.375)","(13.0, 38.0, 23.0)","(15.0, 38.0, 23.625)"
15-12-2022 13:10:10.474033,"(6.5, 11.5, 9.25)","(5.0, 9.8, 8.366666666666667)","(2.6, 3.45, 2.68875)","(6.5, 9.8, 9.038095238095238)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.375)","(13.0, 38.0, 23.0)","(15.0, 38.0, 23.625)"
15-12-2022 13:10:11.591573,"(6.5, 11.5, 9.25)","(5.0, 9.8, 8.366666666666667)","(2.6, 3.45, 2.68875)","(6.5, 9.8, 9.038095238095238)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.375)","(13.0, 38.0, 23.0)","(15.0, 38.0, 23.625)"
15-12-2022 13:10:12.714433,"(6.5, 11.5, 9.25)","(5.0, 9.8, 8.366666666666667)","(2.6, 3.45, 2.68875)","(6.5, 9.8, 9.038095238095238)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.375)","(13.0, 38.0, 23.0)","(15.0, 38.0, 23.625)"
15-12-2022 13:10:13.821778,"(6.5, 11.5, 9.25)","(5.0, 9.8, 8.366666666666667)","(2.6, 3.5, 2.6413333333333333)","(6.5, 9.8, 8.244444444444445)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.375)","(13.0, 38.0, 23.0)","(15.0, 38.0, 23.625)"
15-12-2022 13:10:14.958562,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.266666666666667)","(2.6, 3.5, 2.6413333333333333)","(6.5, 9.8, 8.175)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.576923076923077)","(13.0, 38.0, 24.11111111111111)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:10:16.116637,"(6.5, 11.5, 10.163636363636364)","(5.0, 9.8, 9.225000000000001)","(2.6, 3.45, 2.725)","(6.5, 9.8, 8.175)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.576923076923077)","(13.0, 38.0, 24.11111111111111)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:10:17.209663,"(6.5, 11.5, 10.163636363636364)","(5.0, 9.8, 9.471428571428572)","(2.6, 3.45, 2.725)","(6.5, 9.8, 8.175)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.576923076923077)","(13.0, 38.0, 24.11111111111111)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:10:18.253733,"(6.5, 11.5, 10.163636363636364)","(5.0, 9.8, 9.471428571428572)","(2.6, 3.45, 2.725)","(6.5, 9.8, 8.175)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.576923076923077)","(13.0, 38.0, 24.11111111111111)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:10:19.361747,"(6.5, 11.5, 10.163636363636364)","(5.0, 9.8, 9.471428571428572)","(2.6, 3.45, 2.725)","(6.5, 9.8, 8.175)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.375)","(13.0, 38.0, 23.0)","(15.0, 38.0, 23.625)"
15-12-2022 13:10:20.502393,"(6.5, 11.5, 10.163636363636364)","(5.0, 9.8, 9.225000000000001)","(2.6, 3.45, 2.725)","(6.5, 9.8, 8.175)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.375)","(13.0, 38.0, 23.0)","(15.0, 38.0, 23.625)"
15-12-2022 13:10:21.678923,"(6.5, 11.5, 10.163636363636364)","(5.0, 9.8, 9.225000000000001)","(2.6, 3.45, 2.725)","(6.5, 9.8, 8.175)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.375)","(13.0, 38.0, 23.0)","(15.0, 38.0, 23.625)"
15-12-2022 13:10:22.922057,"(6.5, 11.5, 10.163636363636364)","(5.0, 9.8, 9.225000000000001)","(2.5, 3.45, 2.725)","(6.5, 9.8, 8.175)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.375)","(13.0, 38.0, 23.0)","(15.0, 38.0, 23.625)"
15-12-2022 13:10:24.115039,"(6.5, 12.0, 10.527272727272727)","(5.0, 9.8, 9.225000000000001)","(2.5, 3.45, 2.725)","(6.5, 9.8, 8.175)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.375)","(13.0, 38.0, 24.11111111111111)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:10:25.335939,"(6.5, 11.5, 10.163636363636364)","(5.0, 9.8, 9.225000000000001)","(2.5, 3.45, 2.725)","(6.5, 9.8, 8.175)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.576923076923077)","(13.0, 38.0, 24.11111111111111)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:10:26.446289,"(6.5, 11.5, 10.163636363636364)","(5.0, 9.8, 9.225000000000001)","(2.5, 3.45, 2.725)","(6.5, 9.8, 8.175)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.576923076923077)","(13.0, 38.0, 24.11111111111111)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:10:27.581014,"(6.5, 12.0, 9.6)","(5.0, 9.8, 9.225000000000001)","(2.5, 3.4, 2.716666666666667)","(6.5, 9.8, 8.425)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.576923076923077)","(13.0, 38.0, 24.11111111111111)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:10:28.860234,"(6.5, 12.0, 9.6)","(5.0, 9.8, 8.266666666666667)","(2.5, 3.4, 2.716666666666667)","(6.5, 9.8, 8.425)","(5.5, 9.8, 9.171428571428573)","(9.0, 27.0, 17.4)","(13.0, 38.0, 26.863636363636363)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:10:30.037080,"(6.5, 12.0, 9.5)","(5.0, 9.8, 8.266666666666667)","(2.5, 3.4, 2.716666666666667)","(6.5, 9.8, 8.425)","(5.5, 9.8, 9.171428571428573)","(9.0, 27.0, 15.375)","(13.0, 38.0, 23.0)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:10:31.197944,"(6.5, 12.0, 9.5)","(5.0, 9.8, 8.266666666666667)","(2.5, 3.4, 2.716666666666667)","(6.5, 9.8, 8.425)","(5.5, 9.8, 9.171428571428573)","(9.0, 27.0, 15.375)","(13.0, 38.0, 23.0)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:10:32.307129,"(6.5, 12.0, 9.5)","(5.0, 9.8, 8.266666666666667)","(2.5, 3.4, 2.716666666666667)","(6.5, 9.8, 8.425)","(5.5, 9.8, 9.171428571428573)","(9.0, 27.0, 15.375)","(13.0, 38.0, 23.0)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:10:33.485426,"(6.5, 12.0, 9.5)","(5.0, 9.8, 8.266666666666667)","(2.5, 3.4, 2.716666666666667)","(6.5, 9.8, 8.425)","(5.5, 9.8, 9.171428571428573)","(9.0, 27.0, 15.375)","(13.0, 38.0, 23.0)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:10:34.585144,"(6.5, 12.0, 9.5)","(5.0, 9.8, 8.266666666666667)","(2.5, 3.4, 2.716666666666667)","(6.5, 9.8, 8.425)","(5.5, 9.8, 9.171428571428573)","(9.0, 27.0, 15.375)","(13.0, 38.0, 23.0)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:10:35.792090,"(6.5, 12.0, 9.5)","(5.0, 9.8, 8.266666666666667)","(2.5, 3.4, 2.716666666666667)","(6.5, 9.8, 8.425)","(5.5, 9.8, 9.171428571428573)","(9.0, 27.0, 15.375)","(13.0, 38.0, 23.0)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:10:36.974061,"(6.5, 12.0, 9.5)","(5.0, 9.8, 8.266666666666667)","(2.5, 3.4, 2.716666666666667)","(6.5, 9.8, 8.425)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.576923076923077)","(13.0, 38.0, 24.11111111111111)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:10:38.170044,"(6.5, 12.0, 9.5)","(5.0, 9.8, 8.266666666666667)","(2.5, 3.4, 2.716666666666667)","(6.5, 9.8, 8.425)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.576923076923077)","(13.0, 38.0, 24.11111111111111)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:10:39.382904,"(6.5, 12.0, 9.5)","(5.0, 9.8, 8.266666666666667)","(2.5, 3.4, 2.716666666666667)","(6.5, 9.8, 8.425)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.576923076923077)","(13.0, 38.0, 24.11111111111111)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:10:40.577494,"(6.5, 12.0, 9.5)","(5.0, 9.8, 8.266666666666667)","(2.5, 3.4, 2.716666666666667)","(6.5, 9.8, 8.425)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.576923076923077)","(13.0, 38.0, 24.11111111111111)","(15.0, 38.0, 24.666666666666664)"
15-12-2022 13:10:41.746582,"(6.5, 12.0, 9.3)","(5.0, 9.8, 8.266666666666667)","(2.5, 3.45, 2.61625)","(6.5, 9.8, 8.425)","(5.5, 9.8, 8.3)","(9.0, 27.0, 15.576923076923077)","(13.0, 38.0, 24.11111111111111)","(15.0, 38.0, 24.666666666666664)"
