,Love My Key,Terrific Janine,Agera,Levente,Local Doll,Potch,Copy Cat,Quest For Extra
12-01-2023 17:40:51.889185,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.5, 14.545454545454545)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 15.09375)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:40:53.006458,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.5, 14.545454545454545)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 15.09375)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:40:54.151039,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.5, 14.545454545454545)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 15.09375)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:40:55.251080,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.5, 14.545454545454545)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 15.09375)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:40:56.450877,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.5, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 15.09375)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:40:57.546138,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 15.09375)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:40:58.639650,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 15.09375)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:40:59.696349,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 15.09375)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:00.841923,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 15.09375)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:01.957443,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 15.09375)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:03.036691,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 12.444444444444445)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:04.167085,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 12.777777777777779)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:05.372719,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 12.777777777777779)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:06.487603,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 12.88888888888889)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:07.513982,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 11.428571428571429)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:08.536920,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 11.428571428571429)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:09.628574,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 11.428571428571429)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:10.806620,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 11.428571428571429)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:11.917841,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 247.5)","(7.5, 18.5, 12.88888888888889)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:13.010559,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 247.5)","(7.5, 18.5, 12.88888888888889)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:14.149378,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 247.5)","(7.5, 18.5, 12.88888888888889)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:15.291644,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 247.5)","(7.5, 18.5, 12.88888888888889)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:16.394998,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 247.5)","(7.5, 18.5, 12.88888888888889)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:17.440108,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 247.5)","(7.5, 18.5, 12.88888888888889)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:18.574770,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 111.66666666666667)","(7.5, 18.5, 11.571428571428573)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:19.706591,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 111.66666666666667)","(7.5, 18.5, 11.571428571428573)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:20.816845,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 111.66666666666667)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:21.885835,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 111.66666666666667)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:22.979174,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 111.66666666666667)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:24.130383,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 111.66666666666667)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:25.209190,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 111.66666666666667)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:26.398117,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 111.66666666666667)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:27.559964,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 111.66666666666667)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:28.782802,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:30.149141,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:31.381518,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:32.562516,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:33.947193,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:35.287982,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:36.393220,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:37.499282,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:38.577716,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:39.725190,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:40.747885,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:41.831879,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:42.932693,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:44.032297,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:45.174651,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:46.324863,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:47.524795,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:48.663330,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:49.793818,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:50.862371,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:51.966719,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:53.154909,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:54.300482,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:55.353632,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:56.440514,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:57.595044,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:58.785956,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:41:59.927380,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:42:01.027401,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:42:02.177165,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:42:03.262751,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:42:04.332557,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:42:05.344158,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.0, 14.272727272727273)","(51.0, 440.0, 247.5)","(7.5, 18.5, 14.964285714285715)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
