,Off Beat,Atomic Hope,Shes So Cosmic,Counter Proposal,Little Hercules,Chase Me Lady,Last Date,Rosas Legend
14-12-2022 18:45:01.111072,"(6.0, 12.5, 8.083333333333334)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 27.46666666666667)","(3.5, 5.5, 4.55)","(21.0, 70.0, 44.7)","(11.0, 28.0, 24.0)","(31.0, 160.0, 48.0)","(3.4, 5.8, 3.635294117647059)"
14-12-2022 18:45:02.219975,"(6.0, 12.0, 7.885714285714286)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 27.46666666666667)","(3.5, 5.5, 4.55)","(21.0, 70.0, 44.7)","(11.0, 28.0, 24.0)","(31.0, 160.0, 48.0)","(3.4, 5.8, 3.635294117647059)"
14-12-2022 18:45:03.251065,"(6.0, 11.5, 9.35)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 27.46666666666667)","(3.5, 5.7, 4.125)","(21.0, 70.0, 44.7)","(11.0, 28.0, 24.0)","(31.0, 160.0, 48.0)","(3.4, 5.8, 3.635294117647059)"
14-12-2022 18:45:04.569469,"(6.0, 11.5, 9.35)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 29.041666666666668)","(3.5, 5.7, 4.125)","(21.0, 70.0, 44.7)","(11.0, 28.0, 24.0)","(31.0, 160.0, 48.0)","(3.4, 5.8, 3.635294117647059)"
14-12-2022 18:45:05.665920,"(6.0, 11.5, 9.35)","(3.0, 4.5, 3.2624999999999997)","(15.0, 38.0, 29.041666666666668)","(3.5, 5.7, 4.125)","(21.0, 70.0, 44.7)","(11.0, 28.0, 24.0)","(31.0, 160.0, 48.0)","(3.4, 5.8, 3.635294117647059)"
14-12-2022 18:45:06.704882,"(6.0, 11.5, 9.35)","(3.0, 4.5, 3.2624999999999997)","(15.0, 36.0, 27.875)","(3.5, 5.6, 3.8857142857142857)","(21.0, 70.0, 44.7)","(11.0, 28.0, 24.0)","(31.0, 160.0, 48.0)","(3.4, 5.8, 3.635294117647059)"
14-12-2022 18:45:08.087634,"(6.0, 11.5, 9.35)","(3.0, 4.5, 3.2624999999999997)","(15.0, 36.0, 27.875)","(3.5, 5.5, 4.55)","(21.0, 70.0, 44.7)","(11.0, 28.0, 24.0)","(31.0, 160.0, 48.0)","(3.4, 5.8, 3.635294117647059)"
14-12-2022 18:45:09.525116,"(6.0, 11.5, 9.35)","(3.0, 4.5, 3.2624999999999997)","(15.0, 36.0, 27.875)","(3.5, 5.5, 4.55)","(21.0, 70.0, 44.7)","(11.0, 28.0, 24.0)","(31.0, 160.0, 48.0)","(3.4, 5.8, 3.709090909090909)"
14-12-2022 18:45:10.901143,"(6.0, 11.5, 9.35)","(3.0, 4.5, 3.2624999999999997)","(15.0, 36.0, 27.875)","(3.5, 5.5, 4.125)","(21.0, 70.0, 44.7)","(11.0, 28.0, 24.0)","(31.0, 160.0, 93.86666666666667)","(3.4, 5.8, 3.709090909090909)"
14-12-2022 18:45:12.055469,"(6.0, 12.0, 9.6)","(3.0, 4.5, 3.2624999999999997)","(15.0, 36.0, 28.291666666666668)","(3.5, 5.7, 4.125)","(21.0, 70.0, 44.7)","(11.0, 28.0, 24.0)","(31.0, 160.0, 81.68421052631578)","(3.4, 5.8, 3.709090909090909)"
14-12-2022 18:45:13.150676,"(6.0, 12.0, 9.6)","(3.0, 4.5, 3.2624999999999997)","(15.0, 36.0, 28.291666666666668)","(3.5, 5.7, 4.125)","(21.0, 70.0, 44.7)","(11.0, 28.0, 25.714285714285715)","(31.0, 160.0, 81.68421052631578)","(3.4, 5.8, 3.709090909090909)"
14-12-2022 18:45:14.267774,"(6.0, 12.0, 9.6)","(3.0, 4.5, 3.2624999999999997)","(15.0, 36.0, 28.291666666666668)","(3.5, 5.7, 4.55)","(21.0, 70.0, 44.7)","(11.0, 28.0, 24.0)","(31.0, 160.0, 81.68421052631578)","(3.4, 5.8, 4.55)"
14-12-2022 18:45:15.278275,"(6.0, 12.0, 7.569230769230769)","(3.0, 4.5, 3.2624999999999997)","(15.0, 36.0, 28.291666666666668)","(3.5, 5.5, 4.55)","(21.0, 70.0, 44.7)","(11.0, 28.0, 24.0)","(31.0, 160.0, 81.68421052631578)","(3.4, 5.6, 4.55)"
14-12-2022 18:45:16.291575,"(6.0, 12.0, 7.569230769230769)","(3.0, 4.5, 3.2624999999999997)","(15.0, 36.0, 28.291666666666668)","(3.5, 5.5, 4.55)","(21.0, 70.0, 44.7)","(11.0, 28.0, 17.666666666666668)","(31.0, 160.0, 81.68421052631578)","(3.4, 5.6, 4.55)"
14-12-2022 18:45:17.298236,"(6.0, 12.0, 7.569230769230769)","(3.0, 4.5, 3.2624999999999997)","(15.0, 36.0, 28.291666666666668)","(3.5, 5.5, 4.55)","(21.0, 70.0, 44.7)","(11.0, 28.0, 17.666666666666668)","(31.0, 160.0, 81.68421052631578)","(3.4, 5.6, 4.55)"
14-12-2022 18:45:18.390435,"(6.0, 12.0, 7.569230769230769)","(3.0, 4.5, 3.2624999999999997)","(15.0, 36.0, 31.888888888888886)","(3.5, 5.1, 3.7666666666666666)","(21.0, 70.0, 44.7)","(11.0, 24.0, 18.25)","(31.0, 160.0, 81.68421052631578)","(3.4, 4.4, 3.9)"
14-12-2022 18:45:19.859890,"(6.0, 12.0, 7.569230769230769)","(3.0, 4.5, 3.2624999999999997)","(15.0, 36.0, 32.90909090909091)","(3.5, 5.0, 4.3)","(21.0, 70.0, 44.7)","(11.0, 24.0, 18.25)","(31.0, 160.0, 81.68421052631578)","(3.4, 4.3, 3.9)"
14-12-2022 18:45:20.906003,"(6.0, 12.0, 7.569230769230769)","(3.0, 4.5, 3.2624999999999997)","(15.0, 36.0, 32.90909090909091)","(3.5, 5.0, 4.3)","(21.0, 70.0, 44.7)","(11.0, 24.0, 18.25)","(31.0, 160.0, 81.68421052631578)","(3.4, 4.3, 4.2)"
14-12-2022 18:45:21.891241,"(6.0, 12.0, 7.885714285714286)","(3.0, 4.5, 3.2624999999999997)","(15.0, 36.0, 32.33333333333333)","(3.5, 5.0, 4.3)","(21.0, 70.0, 44.7)","(11.0, 24.0, 18.25)","(31.0, 160.0, 81.68421052631578)","(3.4, 4.3, 3.9749999999999996)"
14-12-2022 18:45:22.885346,"(6.0, 12.0, 7.885714285714286)","(3.0, 4.5, 3.2624999999999997)","(15.0, 36.0, 32.33333333333333)","(3.5, 5.0, 4.3)","(21.0, 70.0, 44.7)","(11.0, 24.0, 18.25)","(31.0, 160.0, 81.68421052631578)","(3.4, 4.3, 4.275)"
14-12-2022 18:45:23.896586,"(6.0, 12.0, 7.885714285714286)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 33.849999999999994)","(3.5, 5.0, 4.3)","(21.0, 70.0, 44.7)","(11.0, 24.0, 18.25)","(31.0, 160.0, 81.68421052631578)","(3.4, 4.9, 4.275)"
14-12-2022 18:45:24.921780,"(6.0, 11.5, 7.814285714285714)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 33.849999999999994)","(3.5, 5.0, 3.7555555555555555)","(21.0, 70.0, 44.7)","(11.0, 24.0, 18.25)","(31.0, 160.0, 81.68421052631578)","(3.4, 4.9, 3.7392857142857143)"
14-12-2022 18:45:26.056265,"(6.0, 11.0, 9.1)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 33.849999999999994)","(3.5, 5.0, 3.6933333333333334)","(21.0, 70.0, 44.7)","(11.0, 24.0, 18.25)","(31.0, 160.0, 81.68421052631578)","(3.4, 4.9, 4.15)"
14-12-2022 18:45:27.113608,"(6.0, 11.0, 9.1)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 33.849999999999994)","(3.5, 5.0, 3.6933333333333334)","(21.0, 70.0, 44.7)","(11.0, 24.0, 18.25)","(31.0, 160.0, 81.68421052631578)","(3.4, 4.9, 3.821875)"
14-12-2022 18:45:28.175627,"(6.0, 11.0, 9.1)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 33.849999999999994)","(3.5, 5.0, 3.6933333333333334)","(21.0, 70.0, 44.7)","(11.0, 24.0, 18.25)","(31.0, 160.0, 81.68421052631578)","(3.4, 4.9, 3.821875)"
14-12-2022 18:45:29.267232,"(6.0, 11.0, 9.1)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 33.849999999999994)","(3.5, 5.0, 3.6933333333333334)","(21.0, 70.0, 44.7)","(11.0, 24.0, 14.916666666666666)","(31.0, 160.0, 81.68421052631578)","(3.4, 4.9, 3.821875)"
14-12-2022 18:45:30.504721,"(6.0, 11.0, 9.1)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 33.849999999999994)","(3.5, 5.0, 3.6933333333333334)","(21.0, 70.0, 44.7)","(11.0, 27.0, 19.25)","(31.0, 160.0, 81.68421052631578)","(3.4, 4.9, 3.821875)"
14-12-2022 18:45:31.729014,"(6.0, 11.0, 9.1)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 33.849999999999994)","(3.5, 5.0, 3.775)","(21.0, 70.0, 44.7)","(11.0, 26.0, 24.142857142857142)","(31.0, 160.0, 81.68421052631578)","(3.4, 4.9, 4.35)"
14-12-2022 18:45:32.831628,"(6.0, 12.0, 9.6)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 33.849999999999994)","(3.5, 5.0, 3.775)","(21.0, 70.0, 44.7)","(11.0, 26.0, 19.75)","(31.0, 160.0, 81.68421052631578)","(3.4, 4.9, 3.955)"
14-12-2022 18:45:33.906906,"(6.0, 12.0, 9.6)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 33.849999999999994)","(3.5, 5.0, 3.775)","(21.0, 70.0, 44.7)","(11.0, 26.0, 19.75)","(31.0, 160.0, 81.68421052631578)","(3.4, 4.9, 4.2250000000000005)"
14-12-2022 18:45:34.973779,"(6.0, 12.0, 9.6)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 33.849999999999994)","(3.5, 5.0, 3.775)","(21.0, 70.0, 44.7)","(11.0, 26.0, 19.75)","(31.0, 160.0, 81.68421052631578)","(3.4, 4.9, 4.375)"
14-12-2022 18:45:36.042324,"(6.0, 12.0, 9.6)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 33.849999999999994)","(3.5, 5.0, 3.775)","(21.0, 70.0, 44.7)","(11.0, 26.0, 19.75)","(31.0, 160.0, 81.68421052631578)","(3.4, 4.9, 4.375)"
14-12-2022 18:45:37.104400,"(6.0, 12.0, 9.6)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 33.849999999999994)","(3.5, 5.0, 3.775)","(21.0, 70.0, 44.7)","(11.0, 26.0, 19.75)","(31.0, 160.0, 81.68421052631578)","(3.4, 4.9, 4.375)"
14-12-2022 18:45:38.120726,"(6.0, 12.0, 9.6)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 33.849999999999994)","(3.5, 5.0, 3.775)","(21.0, 70.0, 44.7)","(11.0, 26.0, 19.75)","(31.0, 160.0, 81.68421052631578)","(3.4, 4.9, 4.375)"
14-12-2022 18:45:39.250520,"(6.0, 12.0, 9.6)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 33.849999999999994)","(3.5, 5.0, 4.525)","(21.0, 70.0, 44.7)","(11.0, 26.0, 19.75)","(31.0, 160.0, 81.68421052631578)","(3.4, 4.9, 4.325)"
14-12-2022 18:45:40.325709,"(6.0, 12.0, 7.8)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 33.66666666666667)","(3.5, 4.8, 4.5375)","(21.0, 70.0, 44.7)","(11.0, 26.0, 19.75)","(31.0, 160.0, 81.68421052631578)","(3.4, 4.7, 4.325)"
14-12-2022 18:45:41.485213,"(6.0, 12.0, 7.8)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 34.81818181818182)","(3.5, 4.8, 4.5375)","(21.0, 70.0, 44.7)","(11.0, 26.0, 19.75)","(31.0, 160.0, 81.68421052631578)","(3.4, 4.7, 4.325)"
14-12-2022 18:45:42.762831,"(6.0, 12.0, 7.8)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 34.81818181818182)","(3.5, 4.8, 4.5375)","(21.0, 70.0, 44.7)","(11.0, 26.0, 19.75)","(31.0, 160.0, 84.21052631578948)","(3.4, 4.7, 4.583333333333334)"
14-12-2022 18:45:43.912943,"(6.0, 12.0, 7.8)","(3.0, 4.5, 3.2624999999999997)","(15.0, 42.0, 32.5)","(3.5, 4.8, 4.5375)","(21.0, 70.0, 44.7)","(11.0, 26.0, 19.75)","(31.0, 160.0, 84.21052631578948)","(3.4, 4.7, 4.142857142857142)"
14-12-2022 18:45:45.066381,"(6.0, 11.0, 9.1)","(3.0, 4.5, 3.2624999999999997)","(15.0, 42.0, 34.4)","(3.5, 4.8, 4.085714285714285)","(21.0, 70.0, 44.7)","(11.0, 26.0, 19.75)","(31.0, 160.0, 84.21052631578948)","(3.4, 4.7, 4.37)"
14-12-2022 18:45:46.098155,"(6.0, 11.0, 9.1)","(3.0, 4.5, 3.2624999999999997)","(15.0, 42.0, 32.5)","(3.5, 4.8, 3.9093750000000003)","(21.0, 70.0, 44.7)","(11.0, 26.0, 19.75)","(31.0, 160.0, 84.21052631578948)","(3.4, 4.7, 4.37)"
