,Jelly Bean Jojo,Smokin Charlie,Special Talent,Silver Brute,Zella Bale
11-01-2023 20:48:04.628585,"(3.5, 4.5, 4.407894736842105)","(13.0, 28.0, 26.3125)","(20.0, 55.0, 35.30769230769231)","(1.5, 1.62, 1.618125)","(6.0, 12.0, 8.5)"
11-01-2023 20:48:05.620642,"(3.5, 4.5, 4.407894736842105)","(13.0, 28.0, 26.3125)","(20.0, 55.0, 35.30769230769231)","(1.5, 1.62, 1.618125)","(6.0, 12.0, 8.5)"
11-01-2023 20:48:06.642453,"(3.5, 4.5, 4.407894736842105)","(13.0, 28.0, 26.3125)","(20.0, 55.0, 35.30769230769231)","(1.5, 1.62, 1.649310344827586)","(6.0, 12.0, 8.85)"
11-01-2023 20:48:07.649711,"(3.5, 4.5, 4.411111111111111)","(13.0, 30.0, 23.409090909090907)","(20.0, 55.0, 41.0)","(1.5, 1.67, 1.649310344827586)","(6.0, 12.0, 9.48)"
11-01-2023 20:48:08.588538,"(3.5, 4.5, 4.411111111111111)","(13.0, 30.0, 25.166666666666664)","(20.0, 55.0, 41.0)","(1.5, 1.67, 1.6336363636363636)","(6.0, 12.0, 9.48)"
11-01-2023 20:48:09.602672,"(3.5, 4.5, 4.411111111111111)","(13.0, 30.0, 25.166666666666664)","(20.0, 55.0, 41.0)","(1.5, 1.67, 1.6219999999999999)","(6.0, 12.0, 9.9)"
11-01-2023 20:48:10.618133,"(3.5, 4.5, 4.4125000000000005)","(13.0, 30.0, 25.857142857142858)","(20.0, 55.0, 41.0)","(1.5, 1.67, 1.6219999999999999)","(6.0, 12.0, 9.8)"
11-01-2023 20:48:11.515401,"(3.5, 4.5, 4.4125000000000005)","(13.0, 34.0, 20.5)","(20.0, 55.0, 41.0)","(1.5, 1.67, 1.6179999999999999)","(6.0, 12.0, 9.8)"
11-01-2023 20:48:12.460434,"(3.5, 4.5, 4.4125000000000005)","(13.0, 34.0, 20.235294117647058)","(20.0, 55.0, 41.0)","(1.5, 1.67, 1.6179999999999999)","(6.0, 12.0, 9.8)"
11-01-2023 20:48:13.527825,"(3.5, 4.5, 4.4125000000000005)","(13.0, 34.0, 25.25)","(20.0, 55.0, 41.0)","(1.5, 1.67, 1.6255555555555556)","(6.0, 12.0, 9.8)"
11-01-2023 20:48:14.568910,"(3.5, 4.5, 4.4125000000000005)","(13.0, 34.0, 25.25)","(20.0, 55.0, 52.25)","(1.5, 1.67, 1.6204761904761904)","(6.0, 12.0, 11.36)"
11-01-2023 20:48:15.562804,"(3.5, 4.5, 4.4125000000000005)","(13.0, 34.0, 25.25)","(20.0, 75.0, 47.631578947368425)","(1.5, 1.67, 1.6204761904761904)","(6.0, 12.0, 10.826315789473684)"
11-01-2023 20:48:16.494380,"(3.5, 4.5, 4.4125000000000005)","(13.0, 34.0, 25.25)","(20.0, 75.0, 47.631578947368425)","(1.5, 1.67, 1.7855555555555556)","(6.0, 12.5, 10.38)"
11-01-2023 20:48:17.507416,"(3.5, 4.5, 4.4125000000000005)","(13.0, 34.0, 25.25)","(20.0, 70.0, 47.88235294117647)","(1.5, 1.81, 1.8054687500000002)","(6.0, 12.5, 10.38)"
11-01-2023 20:48:18.578544,"(3.5, 4.5, 4.4125000000000005)","(13.0, 34.0, 24.869565217391305)","(20.0, 70.0, 47.88235294117647)","(1.5, 1.81, 1.8054687500000002)","(6.0, 12.5, 10.38)"
11-01-2023 20:48:19.536637,"(3.5, 4.5, 4.4125000000000005)","(13.0, 34.0, 24.869565217391305)","(20.0, 70.0, 47.88235294117647)","(1.5, 1.81, 1.7702739726027397)","(6.0, 12.5, 10.38)"
11-01-2023 20:48:20.522586,"(3.5, 4.5, 4.4125000000000005)","(13.0, 34.0, 24.869565217391305)","(20.0, 65.0, 46.625)","(1.5, 1.82, 1.762878787878788)","(6.0, 12.5, 10.38)"
11-01-2023 20:48:21.506985,"(3.5, 4.5, 4.4125000000000005)","(13.0, 34.0, 24.869565217391305)","(20.0, 65.0, 46.625)","(1.5, 1.82, 1.762878787878788)","(6.0, 12.5, 10.38)"
11-01-2023 20:48:22.515702,"(3.5, 4.5, 4.4125000000000005)","(13.0, 34.0, 24.869565217391305)","(20.0, 65.0, 46.625)","(1.5, 1.82, 1.762878787878788)","(6.0, 12.5, 10.38)"
11-01-2023 20:48:23.538689,"(3.5, 4.5, 4.4125000000000005)","(13.0, 34.0, 24.869565217391305)","(20.0, 65.0, 46.625)","(1.5, 1.82, 1.762878787878788)","(6.0, 12.5, 10.314285714285715)"
11-01-2023 20:48:24.599049,"(3.5, 4.5, 4.4125000000000005)","(13.0, 34.0, 24.869565217391305)","(20.0, 65.0, 46.625)","(1.5, 1.82, 1.762878787878788)","(6.0, 12.5, 10.7)"
11-01-2023 20:48:25.572923,"(3.5, 4.5, 4.4125000000000005)","(13.0, 34.0, 24.869565217391305)","(20.0, 65.0, 46.625)","(1.5, 1.82, 1.762878787878788)","(6.0, 12.5, 10.7)"
11-01-2023 20:48:26.588224,"(3.5, 4.5, 4.4125000000000005)","(13.0, 34.0, 24.869565217391305)","(20.0, 65.0, 46.625)","(1.5, 1.82, 1.762878787878788)","(6.0, 12.5, 10.7)"
11-01-2023 20:48:27.641832,"(3.5, 4.5, 4.4125000000000005)","(13.0, 34.0, 23.263157894736842)","(20.0, 65.0, 46.625)","(1.5, 1.82, 1.795)","(6.0, 12.5, 10.7)"
11-01-2023 20:48:28.783389,"(3.5, 4.5, 4.4125000000000005)","(13.0, 34.0, 20.8)","(20.0, 65.0, 46.625)","(1.5, 1.8, 1.795)","(6.0, 12.5, 10.7)"
11-01-2023 20:48:29.850900,"(3.5, 4.5, 4.4125000000000005)","(13.0, 34.0, 23.578947368421055)","(20.0, 65.0, 46.625)","(1.5, 1.8, 1.795)","(6.0, 12.5, 10.7)"
11-01-2023 20:48:30.930874,"(3.5, 4.5, 4.4125000000000005)","(13.0, 34.0, 23.578947368421055)","(20.0, 65.0, 46.625)","(1.5, 1.8, 1.795)","(6.0, 12.5, 10.7)"
11-01-2023 20:48:32.229292,"(3.5, 4.5, 4.443243243243243)","(13.0, 34.0, 23.578947368421055)","(20.0, 65.0, 45.0)","(1.5, 1.8, 1.795)","(6.0, 12.5, 10.7)"
11-01-2023 20:48:33.304858,"(3.5, 4.5, 4.438235294117647)","(13.0, 34.0, 23.578947368421055)","(20.0, 65.0, 45.0)","(1.5, 1.8, 1.7175)","(6.0, 12.5, 10.7)"
11-01-2023 20:48:34.388202,"(3.5, 5.5, 5.0285714285714285)","(13.0, 34.0, 30.333333333333332)","(20.0, 65.0, 42.5)","(1.5, 1.8, 1.756)","(6.0, 12.5, 10.46)"
11-01-2023 20:48:35.544779,"(3.5, 5.5, 4.986666666666666)","(13.0, 32.0, 28.77777777777778)","(20.0, 65.0, 42.5)","(1.5, 1.8, 1.756)","(6.0, 12.5, 10.46)"
11-01-2023 20:48:36.562475,"(3.5, 5.5, 4.986666666666666)","(13.0, 32.0, 25.958333333333332)","(20.0, 65.0, 42.5)","(1.5, 1.8, 1.608)","(6.0, 12.5, 10.46)"
11-01-2023 20:48:37.726910,"(3.5, 5.5, 4.92962962962963)","(13.0, 32.0, 25.958333333333332)","(20.0, 65.0, 42.5)","(1.5, 1.79, 1.6054545454545455)","(6.0, 12.5, 10.46)"
11-01-2023 20:48:38.768573,"(3.5, 5.5, 4.92962962962963)","(13.0, 32.0, 25.958333333333332)","(20.0, 65.0, 42.5)","(1.5, 1.79, 1.6054545454545455)","(6.0, 12.5, 10.46)"
11-01-2023 20:48:39.722317,"(3.5, 5.5, 4.92962962962963)","(13.0, 32.0, 25.958333333333332)","(20.0, 65.0, 42.5)","(1.5, 1.79, 1.724)","(6.0, 12.5, 10.46)"
11-01-2023 20:48:40.726933,"(3.5, 5.5, 4.92962962962963)","(13.0, 32.0, 25.958333333333332)","(20.0, 65.0, 42.5)","(1.5, 1.76, 1.724)","(6.0, 12.5, 10.46)"
11-01-2023 20:48:41.865274,"(3.5, 5.5, 4.92962962962963)","(13.0, 32.0, 25.958333333333332)","(20.0, 65.0, 42.5)","(1.5, 1.76, 1.724)","(6.0, 12.5, 10.46)"
11-01-2023 20:48:42.984408,"(3.5, 5.4, 5.178260869565218)","(13.0, 32.0, 25.958333333333332)","(20.0, 65.0, 42.5)","(1.5, 1.76, 1.724)","(6.0, 12.5, 10.46)"
11-01-2023 20:48:43.977855,"(3.5, 5.4, 4.333333333333333)","(13.0, 32.0, 25.958333333333332)","(20.0, 65.0, 42.5)","(1.5, 1.76, 1.724)","(6.0, 12.5, 10.46)"
11-01-2023 20:48:45.092199,"(3.5, 5.4, 4.883333333333334)","(13.0, 32.0, 25.958333333333332)","(20.0, 65.0, 42.5)","(1.5, 1.76, 1.724)","(6.0, 12.5, 10.46)"
11-01-2023 20:48:46.152749,"(3.5, 5.4, 4.4)","(13.0, 32.0, 25.958333333333332)","(20.0, 65.0, 42.5)","(1.5, 1.76, 1.724)","(6.0, 12.5, 10.46)"
11-01-2023 20:48:47.334761,"(3.5, 5.4, 4.916666666666667)","(13.0, 32.0, 25.636363636363637)","(20.0, 65.0, 42.5)","(1.5, 1.76, 1.724)","(6.0, 12.5, 10.46)"
11-01-2023 20:48:48.385626,"(3.5, 5.4, 4.985714285714286)","(13.0, 32.0, 27.0)","(20.0, 65.0, 42.5)","(1.5, 1.76, 1.603225806451613)","(6.0, 12.5, 10.46)"
11-01-2023 20:48:49.603812,"(3.5, 5.4, 4.985714285714286)","(13.0, 32.0, 27.0)","(20.0, 65.0, 42.5)","(1.5, 1.76, 1.6005714285714285)","(6.0, 12.5, 10.46)"
11-01-2023 20:48:50.680640,"(3.5, 5.4, 4.985714285714286)","(13.0, 32.0, 27.0)","(20.0, 65.0, 42.5)","(1.5, 1.76, 1.6005714285714285)","(6.0, 12.5, 10.46)"
11-01-2023 20:48:51.718700,"(3.5, 5.4, 4.985714285714286)","(13.0, 32.0, 27.0)","(20.0, 65.0, 42.5)","(1.5, 1.76, 1.6005714285714285)","(6.0, 12.5, 10.46)"
11-01-2023 20:48:52.730683,"(3.5, 5.4, 4.466666666666667)","(13.0, 32.0, 27.0)","(20.0, 65.0, 42.5)","(1.5, 1.76, 1.6005714285714285)","(6.0, 12.5, 10.46)"
11-01-2023 20:48:53.769143,"(3.5, 5.4, 4.98)","(13.0, 32.0, 27.0)","(20.0, 65.0, 42.5)","(1.5, 1.76, 1.6252173913043477)","(6.0, 12.5, 10.46)"
11-01-2023 20:48:54.726475,"(3.5, 5.4, 4.8)","(13.0, 32.0, 27.0)","(20.0, 65.0, 42.5)","(1.5, 1.76, 1.6252173913043477)","(6.0, 12.5, 10.46)"
11-01-2023 20:48:55.738876,"(3.5, 5.4, 4.8)","(13.0, 30.0, 23.866666666666667)","(20.0, 65.0, 42.5)","(1.5, 1.76, 1.6567857142857143)","(6.0, 12.5, 10.46)"
11-01-2023 20:48:56.779989,"(3.5, 5.4, 4.8)","(13.0, 30.0, 25.157894736842106)","(20.0, 65.0, 42.5)","(1.5, 1.75, 1.6693877551020408)","(6.0, 12.5, 10.46)"
11-01-2023 20:48:57.718978,"(3.5, 5.4, 4.8)","(13.0, 30.0, 25.157894736842106)","(20.0, 65.0, 42.5)","(1.5, 1.73, 1.6535849056603773)","(6.0, 12.5, 10.46)"
11-01-2023 20:48:58.690357,"(3.5, 5.4, 4.8)","(13.0, 30.0, 26.40625)","(20.0, 65.0, 42.5)","(1.5, 1.73, 1.6088235294117648)","(6.0, 12.5, 10.46)"
11-01-2023 20:48:59.679522,"(3.5, 5.4, 4.8)","(13.0, 30.0, 26.40625)","(20.0, 65.0, 42.5)","(1.5, 1.72, 1.6406666666666667)","(6.0, 12.5, 10.46)"
11-01-2023 20:49:00.587021,"(3.5, 5.3, 4.433333333333334)","(13.0, 30.0, 25.157894736842106)","(20.0, 65.0, 42.5)","(1.5, 1.71, 1.69375)","(6.0, 12.5, 10.46)"
11-01-2023 20:49:01.512310,"(3.5, 5.3, 4.325)","(13.0, 30.0, 25.157894736842106)","(20.0, 65.0, 42.5)","(1.5, 1.69, 1.67625)","(6.0, 12.5, 10.46)"
11-01-2023 20:49:02.557130,"(3.5, 5.3, 4.325)","(13.0, 30.0, 25.157894736842106)","(20.0, 65.0, 42.5)","(1.5, 1.69, 1.67625)","(6.0, 12.5, 10.46)"
11-01-2023 20:49:03.589143,"(3.5, 5.3, 4.766666666666667)","(13.0, 30.0, 25.157894736842106)","(20.0, 65.0, 42.5)","(1.5, 1.69, 1.67625)","(6.0, 12.5, 10.46)"
11-01-2023 20:49:04.573233,"(3.5, 5.3, 4.42)","(13.0, 30.0, 25.157894736842106)","(20.0, 65.0, 42.5)","(1.5, 1.69, 1.67625)","(6.0, 12.5, 10.46)"
11-01-2023 20:49:05.591457,"(3.5, 5.3, 4.42)","(13.0, 30.0, 24.133333333333333)","(20.0, 65.0, 42.5)","(1.5, 1.69, 1.67625)","(6.0, 12.5, 10.46)"
11-01-2023 20:49:06.504529,"(3.5, 5.3, 4.42)","(13.0, 30.0, 24.133333333333333)","(20.0, 65.0, 42.5)","(1.5, 1.69, 1.67625)","(6.0, 12.5, 10.46)"
11-01-2023 20:49:07.489839,"(3.5, 5.3, 4.42)","(13.0, 30.0, 24.133333333333333)","(20.0, 65.0, 42.5)","(1.5, 1.69, 1.67625)","(6.0, 12.5, 10.46)"
11-01-2023 20:49:08.441866,"(3.5, 5.3, 4.42)","(13.0, 30.0, 25.36842105263158)","(20.0, 65.0, 42.5)","(1.5, 1.69, 1.67625)","(6.0, 12.5, 10.46)"
11-01-2023 20:49:09.354207,"(3.5, 5.3, 4.42)","(13.0, 30.0, 25.36842105263158)","(20.0, 65.0, 42.5)","(1.5, 1.69, 1.67625)","(6.0, 12.5, 10.46)"
11-01-2023 20:49:10.213944,"(3.5, 5.3, 4.42)","(13.0, 30.0, 25.36842105263158)","(20.0, 65.0, 42.5)","(1.5, 1.69, 1.67625)","(6.0, 12.5, 10.46)"
11-01-2023 20:49:11.108201,"(3.5, 5.3, 4.42)","(13.0, 30.0, 22.727272727272727)","(20.0, 65.0, 42.5)","(1.5, 1.69, 1.67625)","(6.0, 12.5, 10.46)"
11-01-2023 20:49:12.034475,"(3.5, 5.3, 4.42)","(13.0, 30.0, 22.727272727272727)","(20.0, 65.0, 42.5)","(1.5, 1.69, 1.67625)","(6.0, 12.5, 10.46)"
11-01-2023 20:49:13.005140,"(3.5, 5.3, 4.42)","(13.0, 30.0, 24.666666666666664)","(20.0, 65.0, 42.5)","(1.5, 1.69, 1.67625)","(6.0, 12.5, 8.5)"
11-01-2023 20:49:13.924551,"(3.5, 5.3, 4.42)","(13.0, 30.0, 24.666666666666664)","(20.0, 65.0, 42.5)","(1.5, 1.69, 1.67625)","(6.0, 12.5, 9.73076923076923)"
11-01-2023 20:49:14.760112,"(3.5, 5.3, 4.42)","(13.0, 30.0, 24.666666666666664)","(20.0, 65.0, 42.5)","(1.5, 1.69, 1.67625)","(6.0, 12.5, 9.73076923076923)"
11-01-2023 20:49:15.547210,"(3.5, 5.3, 4.42)","(13.0, 30.0, 24.666666666666664)","(20.0, 65.0, 42.5)","(1.5, 1.69, 1.6848888888888889)","(6.0, 12.5, 9.73076923076923)"
11-01-2023 20:49:16.484544,"(3.5, 5.2, 4.9)","(13.0, 30.0, 25.833333333333336)","(20.0, 65.0, 42.5)","(1.5, 1.69, 1.6637499999999998)","(6.0, 12.5, 9.73076923076923)"
11-01-2023 20:49:17.402472,"(3.5, 5.1, 4.8999999999999995)","(13.0, 30.0, 25.833333333333336)","(20.0, 65.0, 42.5)","(1.5, 1.69, 1.6637499999999998)","(6.0, 12.5, 9.73076923076923)"
11-01-2023 20:49:18.231552,"(3.5, 5.1, 4.725)","(13.0, 30.0, 25.833333333333336)","(20.0, 65.0, 42.5)","(1.5, 1.69, 1.6795)","(6.0, 12.5, 10.157142857142857)"
11-01-2023 20:49:19.084965,"(3.5, 5.1, 4.725)","(13.0, 30.0, 25.833333333333336)","(20.0, 65.0, 42.5)","(1.5, 1.69, 1.6795)","(6.0, 12.0, 10.38)"
11-01-2023 20:49:19.951079,"(3.5, 5.1, 4.725)","(13.0, 30.0, 25.833333333333336)","(20.0, 65.0, 42.5)","(1.5, 1.69, 1.613)","(6.0, 12.0, 10.38)"
11-01-2023 20:49:20.924603,"(3.5, 5.1, 4.725)","(13.0, 30.0, 25.833333333333336)","(20.0, 65.0, 42.5)","(1.5, 1.69, 1.5170588235294118)","(6.0, 12.0, 10.48421052631579)"
11-01-2023 20:49:21.790156,"(3.5, 5.6, 4.9190476190476184)","(13.0, 30.0, 26.363636363636363)","(20.0, 65.0, 42.5)","(1.5, 1.69, 1.5005882352941176)","(6.0, 12.0, 10.121739130434783)"
11-01-2023 20:49:22.615762,"(3.5, 5.4, 5.1461538461538465)","(13.0, 30.0, 26.363636363636363)","(20.0, 65.0, 48.333333333333336)","(1.5, 1.69, 1.6215555555555554)","(6.0, 12.0, 10.121739130434783)"
11-01-2023 20:49:23.550619,"(3.5, 5.3, 5.02)","(13.0, 30.0, 24.857142857142858)","(20.0, 65.0, 53.0)","(1.5, 1.69, 1.5966666666666667)","(6.0, 12.0, 10.121739130434783)"
11-01-2023 20:49:24.485963,"(3.5, 5.3, 4.942857142857143)","(13.0, 30.0, 26.4)","(20.0, 65.0, 53.0)","(1.5, 1.69, 1.5966666666666667)","(6.0, 12.0, 10.121739130434783)"
11-01-2023 20:49:25.328529,"(3.5, 5.3, 4.942857142857143)","(13.0, 30.0, 27.88235294117647)","(20.0, 65.0, 53.0)","(1.5, 1.69, 1.5966666666666667)","(6.0, 12.0, 10.121739130434783)"
11-01-2023 20:49:26.255099,"(3.5, 5.3, 4.942857142857143)","(13.0, 30.0, 27.88235294117647)","(20.0, 65.0, 53.0)","(1.5, 1.69, 1.5966666666666667)","(6.0, 12.0, 10.121739130434783)"
11-01-2023 20:49:27.141153,"(3.5, 5.3, 4.942857142857143)","(13.0, 30.0, 27.88235294117647)","(20.0, 65.0, 53.0)","(1.5, 1.69, 1.5966666666666667)","(6.0, 12.0, 10.121739130434783)"
11-01-2023 20:49:27.939700,"(3.5, 5.3, 4.942857142857143)","(13.0, 30.0, 27.88235294117647)","(20.0, 65.0, 53.0)","(1.5, 1.69, 1.5966666666666667)","(6.0, 12.0, 10.121739130434783)"
11-01-2023 20:49:28.745972,"(3.5, 5.2, 5.125)","(13.0, 32.0, 27.416666666666664)","(20.0, 65.0, 53.0)","(1.5, 1.69, 1.5966666666666667)","(6.0, 12.0, 10.121739130434783)"
11-01-2023 20:49:29.681270,"(3.5, 5.2, 4.857142857142858)","(13.0, 32.0, 27.416666666666664)","(20.0, 65.0, 53.0)","(1.5, 1.69, 1.5966666666666667)","(6.0, 12.0, 10.121739130434783)"
11-01-2023 20:49:30.648240,"(3.5, 5.2, 4.830769230769231)","(13.0, 32.0, 27.416666666666664)","(20.0, 65.0, 53.0)","(1.5, 1.69, 1.5966666666666667)","(6.0, 12.0, 11.228571428571428)"
11-01-2023 20:49:31.560896,"(3.5, 5.2, 4.85)","(13.0, 32.0, 27.416666666666664)","(20.0, 65.0, 53.0)","(1.5, 1.69, 1.5966666666666667)","(6.0, 12.0, 11.228571428571428)"
11-01-2023 20:49:32.441211,"(3.5, 5.2, 4.85)","(13.0, 32.0, 27.416666666666664)","(20.0, 65.0, 53.0)","(1.5, 1.69, 1.5966666666666667)","(6.0, 12.0, 11.228571428571428)"
11-01-2023 20:49:33.318532,"(3.5, 5.2, 4.85)","(13.0, 32.0, 27.416666666666664)","(20.0, 65.0, 53.0)","(1.5, 1.69, 1.5966666666666667)","(6.0, 12.0, 11.228571428571428)"
11-01-2023 20:49:34.174364,"(3.5, 5.2, 4.857142857142858)","(13.0, 32.0, 27.416666666666664)","(20.0, 65.0, 53.0)","(1.5, 1.69, 1.5966666666666667)","(6.0, 12.0, 10.08)"
11-01-2023 20:49:35.132782,"(3.5, 5.2, 4.830769230769231)","(13.0, 32.0, 27.416666666666664)","(20.0, 65.0, 53.0)","(1.5, 1.69, 1.5966666666666667)","(6.0, 12.0, 10.08)"
11-01-2023 20:49:36.049260,"(3.5, 5.2, 4.830769230769231)","(13.0, 32.0, 27.416666666666664)","(20.0, 65.0, 53.0)","(1.5, 1.69, 1.5788235294117647)","(6.0, 12.0, 11.466666666666667)"
11-01-2023 20:49:36.862802,"(3.5, 5.2, 5.136363636363637)","(13.0, 32.0, 28.700000000000003)","(20.0, 65.0, 53.0)","(1.5, 1.68, 1.5028124999999999)","(6.0, 12.0, 11.466666666666667)"
11-01-2023 20:49:37.727486,"(3.5, 5.3, 5.066666666666666)","(13.0, 40.0, 32.08333333333333)","(20.0, 65.0, 53.0)","(1.5, 1.68, 1.573235294117647)","(6.0, 12.5, 10.223076923076924)"
11-01-2023 20:49:38.637971,"(3.5, 5.3, 4.81)","(13.0, 40.0, 28.0)","(20.0, 65.0, 53.0)","(1.5, 1.68, 1.573235294117647)","(6.0, 12.5, 11.1125)"
11-01-2023 20:49:39.492114,"(3.5, 5.3, 4.888235294117647)","(13.0, 38.0, 34.22222222222222)","(20.0, 65.0, 53.0)","(1.5, 1.67, 1.6233333333333333)","(6.0, 12.5, 11.1125)"
11-01-2023 20:49:40.312953,"(3.5, 5.3, 4.949999999999999)","(13.0, 40.0, 28.823529411764707)","(20.0, 65.0, 53.0)","(1.5, 1.65, 1.6447222222222222)","(6.0, 12.5, 11.1125)"
11-01-2023 20:49:41.188806,"(3.5, 5.3, 4.949999999999999)","(13.0, 40.0, 28.823529411764707)","(20.0, 65.0, 53.0)","(1.5, 1.65, 1.6447222222222222)","(6.0, 12.5, 11.1125)"
11-01-2023 20:49:42.149871,"(3.5, 5.3, 4.949999999999999)","(13.0, 40.0, 28.666666666666664)","(20.0, 65.0, 53.0)","(1.5, 1.65, 1.6447222222222222)","(6.0, 12.5, 11.1125)"
11-01-2023 20:49:43.086714,"(3.5, 5.3, 4.949999999999999)","(13.0, 40.0, 31.05263157894737)","(20.0, 65.0, 53.0)","(1.5, 1.65, 1.6447222222222222)","(6.0, 12.5, 11.1125)"
11-01-2023 20:49:44.023146,"(3.5, 5.3, 4.949999999999999)","(13.0, 40.0, 29.954545454545453)","(20.0, 65.0, 53.0)","(1.5, 1.65, 1.6119999999999999)","(6.0, 12.5, 11.1125)"
11-01-2023 20:49:44.884928,"(3.5, 5.3, 4.7615384615384615)","(13.0, 38.0, 34.285714285714285)","(20.0, 65.0, 53.0)","(1.5, 1.65, 1.626)","(6.0, 12.5, 11.1125)"
11-01-2023 20:49:45.700036,"(3.5, 5.3, 4.7615384615384615)","(13.0, 36.0, 33.0)","(20.0, 65.0, 53.0)","(1.5, 1.65, 1.5999999999999999)","(6.0, 12.5, 11.1125)"
11-01-2023 20:49:46.560952,"(3.5, 5.3, 4.7615384615384615)","(13.0, 36.0, 30.866666666666667)","(20.0, 65.0, 53.0)","(1.5, 1.64, 1.5545762711864406)","(6.0, 12.5, 11.1125)"
11-01-2023 20:49:47.589832,"(3.5, 5.3, 4.7615384615384615)","(13.0, 36.0, 31.1875)","(20.0, 65.0, 53.0)","(1.5, 1.64, 1.582803738317757)","(6.0, 12.5, 10.254545454545454)"
11-01-2023 20:49:48.659283,"(3.5, 5.3, 4.7615384615384615)","(13.0, 36.0, 31.1875)","(20.0, 65.0, 53.0)","(1.5, 1.64, 1.607794117647059)","(6.0, 12.0, 10.8)"
11-01-2023 20:49:49.637685,"(3.5, 5.2, 4.8)","(13.0, 36.0, 33.25)","(20.0, 65.0, 53.0)","(1.5, 1.61, 1.6082142857142858)","(6.0, 12.0, 10.133333333333333)"
11-01-2023 20:49:50.676689,"(3.5, 5.2, 4.8)","(13.0, 36.0, 33.25)","(20.0, 65.0, 53.0)","(1.5, 1.61, 1.6082142857142858)","(6.0, 12.0, 10.133333333333333)"
11-01-2023 20:49:51.587869,"(3.5, 5.2, 4.8)","(13.0, 36.0, 33.25)","(20.0, 65.0, 53.0)","(1.5, 1.61, 1.6082142857142858)","(6.0, 12.0, 10.133333333333333)"
11-01-2023 20:49:52.592165,"(3.5, 5.2, 4.8)","(13.0, 36.0, 33.25)","(20.0, 65.0, 53.0)","(1.5, 1.61, 1.6074137931034485)","(6.0, 12.0, 10.133333333333333)"
11-01-2023 20:49:53.549197,"(3.5, 5.2, 4.8)","(13.0, 36.0, 33.25)","(20.0, 65.0, 53.0)","(1.5, 1.61, 1.6074137931034485)","(6.0, 12.0, 10.133333333333333)"
11-01-2023 20:49:54.384651,"(3.5, 5.2, 4.8)","(13.0, 36.0, 33.25)","(20.0, 65.0, 53.0)","(1.5, 1.61, 1.6074137931034485)","(6.0, 12.0, 10.133333333333333)"
11-01-2023 20:49:55.238672,"(3.5, 5.2, 4.8)","(13.0, 36.0, 33.25)","(20.0, 65.0, 53.0)","(1.5, 1.61, 1.6074137931034485)","(6.0, 12.0, 10.133333333333333)"
11-01-2023 20:49:56.274970,"(3.5, 5.2, 4.8)","(13.0, 36.0, 33.25)","(20.0, 65.0, 53.0)","(1.5, 1.61, 1.6074137931034485)","(6.0, 12.0, 10.133333333333333)"
11-01-2023 20:49:57.242280,"(3.5, 5.2, 4.8)","(13.0, 36.0, 33.25)","(20.0, 65.0, 53.0)","(1.5, 1.61, 1.6074137931034485)","(6.0, 12.0, 10.133333333333333)"
11-01-2023 20:49:58.056858,"(3.5, 5.2, 4.8)","(13.0, 36.0, 33.25)","(20.0, 65.0, 53.0)","(1.5, 1.61, 1.6074137931034485)","(6.0, 12.0, 10.133333333333333)"
