,Fun Idol,Burn Rate,Dr Bella,Dan Dan,Dr Rogan,Phelan Seedy,Down Under Boy,Superb
14-12-2022 19:10:09.232531,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:10.456477,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:11.726804,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:12.969965,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:14.106015,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:15.214774,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:16.330825,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:17.414360,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:18.464262,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:19.634023,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:20.713361,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:21.785867,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:22.852216,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:23.978043,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:25.094412,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:26.233887,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:27.430087,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:28.460095,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:29.516118,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:30.627029,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:31.825176,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:32.984170,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:34.141120,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:35.250589,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:36.352472,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:37.524299,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:38.664786,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:39.862729,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:41.016936,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:42.128185,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:43.342125,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:44.451870,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:45.629993,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:46.843048,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:48.035092,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:49.177549,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:50.310637,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:51.414675,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:52.508787,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:53.772437,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:54.941675,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:56.087520,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:57.132113,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:58.146373,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:59.248419,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 14.656)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:11:00.454726,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 16.0, 14.656)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:11:01.586192,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 16.0, 14.656)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:11:02.628949,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 16.0, 14.656)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:11:03.650652,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 16.0, 14.656)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:11:04.712744,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 16.0, 14.656)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:11:05.833152,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 16.0, 14.656)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:11:06.932177,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 16.0, 14.656)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:11:07.960722,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 16.0, 14.656)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:11:08.988162,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 16.0, 14.656)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:11:10.023350,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 16.0, 14.656)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:11:11.059647,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 16.0, 14.656)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:11:12.141209,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 16.0, 14.656)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:11:13.285079,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 16.0, 14.656)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:11:14.396190,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 16.0, 14.656)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:11:15.568660,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 16.0, 14.656)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:11:16.746288,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 16.0, 14.656)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:11:17.885351,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 16.0, 14.656)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:11:19.035530,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 16.0, 14.656)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:11:20.119285,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 16.0, 14.656)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:11:21.141538,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 16.0, 14.656)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:11:22.110243,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 16.0, 14.656)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:11:23.206022,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 16.0, 14.656)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:11:24.264964,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 16.0, 14.656)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
