,Osterberg,Radiant Knight,Raw Impact,Razzama,Sukhbir,To Dubawi Stay,De Lovely Lad,The Hulkbuster,Vardon,Elite Quality
20,"[datetime.datetime(2022, 11, 28, 14, 7, 20, 118847), 2.7, 3.55]","[datetime.datetime(2022, 11, 28, 14, 7, 20, 118847), 3.9, 4.8]","[datetime.datetime(2022, 11, 28, 14, 7, 20, 118847), 20.0, 65.0]","[datetime.datetime(2022, 11, 28, 14, 7, 20, 118847), 10.0, 12.5]","[datetime.datetime(2022, 11, 28, 14, 7, 20, 118847), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 7, 20, 118847), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 7, 20, 118847), 13.0, 16.0]","[datetime.datetime(2022, 11, 28, 14, 7, 20, 118847), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 14, 7, 20, 118847), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 14, 7, 20, 118847), 4.6, 6.4]"
21,"[datetime.datetime(2022, 11, 28, 14, 7, 21, 296534), 2.7, 3.55]","[datetime.datetime(2022, 11, 28, 14, 7, 21, 296534), 3.9, 4.8]","[datetime.datetime(2022, 11, 28, 14, 7, 21, 296534), 20.0, 65.0]","[datetime.datetime(2022, 11, 28, 14, 7, 21, 296534), 10.0, 12.5]","[datetime.datetime(2022, 11, 28, 14, 7, 21, 296534), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 7, 21, 296534), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 7, 21, 296534), 13.0, 16.0]","[datetime.datetime(2022, 11, 28, 14, 7, 21, 296534), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 14, 7, 21, 296534), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 14, 7, 21, 296534), 4.6, 6.4]"
22,"[datetime.datetime(2022, 11, 28, 14, 7, 22, 464778), 2.7, 3.55]","[datetime.datetime(2022, 11, 28, 14, 7, 22, 464778), 3.9, 4.8]","[datetime.datetime(2022, 11, 28, 14, 7, 22, 464778), 20.0, 65.0]","[datetime.datetime(2022, 11, 28, 14, 7, 22, 464778), 10.0, 12.5]","[datetime.datetime(2022, 11, 28, 14, 7, 22, 464778), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 7, 22, 464778), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 7, 22, 464778), 13.0, 16.0]","[datetime.datetime(2022, 11, 28, 14, 7, 22, 464778), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 14, 7, 22, 464778), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 14, 7, 22, 464778), 4.6, 6.4]"
23,"[datetime.datetime(2022, 11, 28, 14, 7, 23, 636862), 2.7, 3.55]","[datetime.datetime(2022, 11, 28, 14, 7, 23, 636862), 3.9, 4.8]","[datetime.datetime(2022, 11, 28, 14, 7, 23, 636862), 20.0, 65.0]","[datetime.datetime(2022, 11, 28, 14, 7, 23, 636862), 10.0, 12.5]","[datetime.datetime(2022, 11, 28, 14, 7, 23, 636862), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 7, 23, 636862), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 7, 23, 636862), 13.0, 16.0]","[datetime.datetime(2022, 11, 28, 14, 7, 23, 636862), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 14, 7, 23, 636862), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 14, 7, 23, 636862), 4.6, 6.4]"
24,"[datetime.datetime(2022, 11, 28, 14, 7, 24, 803565), 2.7, 3.5]","[datetime.datetime(2022, 11, 28, 14, 7, 24, 803565), 3.9, 4.8]","[datetime.datetime(2022, 11, 28, 14, 7, 24, 803565), 20.0, 65.0]","[datetime.datetime(2022, 11, 28, 14, 7, 24, 803565), 10.0, 12.5]","[datetime.datetime(2022, 11, 28, 14, 7, 24, 803565), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 7, 24, 803565), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 7, 24, 803565), 13.0, 16.0]","[datetime.datetime(2022, 11, 28, 14, 7, 24, 803565), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 14, 7, 24, 803565), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 14, 7, 24, 803565), 4.6, 6.4]"
25,"[datetime.datetime(2022, 11, 28, 14, 7, 25, 963362), 2.7, 3.5]","[datetime.datetime(2022, 11, 28, 14, 7, 25, 963362), 3.9, 4.8]","[datetime.datetime(2022, 11, 28, 14, 7, 25, 963362), 20.0, 65.0]","[datetime.datetime(2022, 11, 28, 14, 7, 25, 963362), 10.0, 12.5]","[datetime.datetime(2022, 11, 28, 14, 7, 25, 963362), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 7, 25, 963362), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 7, 25, 963362), 13.0, 16.0]","[datetime.datetime(2022, 11, 28, 14, 7, 25, 963362), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 14, 7, 25, 963362), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 14, 7, 25, 963362), 4.6, 6.4]"
26,"[datetime.datetime(2022, 11, 28, 14, 7, 27, 124912), 2.7, 3.5]","[datetime.datetime(2022, 11, 28, 14, 7, 27, 124912), 3.9, 4.8]","[datetime.datetime(2022, 11, 28, 14, 7, 27, 124912), 20.0, 65.0]","[datetime.datetime(2022, 11, 28, 14, 7, 27, 124912), 10.0, 12.5]","[datetime.datetime(2022, 11, 28, 14, 7, 27, 124912), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 7, 27, 124912), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 7, 27, 124912), 13.0, 16.0]","[datetime.datetime(2022, 11, 28, 14, 7, 27, 124912), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 14, 7, 27, 124912), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 14, 7, 27, 124912), 4.6, 6.4]"
27,"[datetime.datetime(2022, 11, 28, 14, 7, 28, 281440), 2.7, 3.5]","[datetime.datetime(2022, 11, 28, 14, 7, 28, 281440), 3.9, 4.8]","[datetime.datetime(2022, 11, 28, 14, 7, 28, 281440), 20.0, 65.0]","[datetime.datetime(2022, 11, 28, 14, 7, 28, 281440), 10.0, 12.5]","[datetime.datetime(2022, 11, 28, 14, 7, 28, 281440), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 7, 28, 281440), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 7, 28, 281440), 13.0, 16.0]","[datetime.datetime(2022, 11, 28, 14, 7, 28, 281440), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 14, 7, 28, 281440), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 14, 7, 28, 281440), 4.6, 6.4]"
28,"[datetime.datetime(2022, 11, 28, 14, 7, 29, 441955), 2.7, 3.5]","[datetime.datetime(2022, 11, 28, 14, 7, 29, 441955), 3.9, 4.8]","[datetime.datetime(2022, 11, 28, 14, 7, 29, 441955), 20.0, 65.0]","[datetime.datetime(2022, 11, 28, 14, 7, 29, 441955), 10.0, 12.5]","[datetime.datetime(2022, 11, 28, 14, 7, 29, 441955), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 7, 29, 441955), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 7, 29, 441955), 13.0, 16.0]","[datetime.datetime(2022, 11, 28, 14, 7, 29, 441955), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 14, 7, 29, 441955), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 14, 7, 29, 441955), 4.6, 6.4]"
29,"[datetime.datetime(2022, 11, 28, 14, 7, 30, 599925), 2.7, 3.5]","[datetime.datetime(2022, 11, 28, 14, 7, 30, 599925), 3.9, 4.8]","[datetime.datetime(2022, 11, 28, 14, 7, 30, 599925), 20.0, 65.0]","[datetime.datetime(2022, 11, 28, 14, 7, 30, 599925), 10.0, 12.5]","[datetime.datetime(2022, 11, 28, 14, 7, 30, 599925), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 7, 30, 599925), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 7, 30, 599925), 13.0, 16.0]","[datetime.datetime(2022, 11, 28, 14, 7, 30, 599925), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 14, 7, 30, 599925), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 14, 7, 30, 599925), 4.6, 6.4]"
