,Blount County,Royston Head,Your Not The Boss,Cab Perrio,Kirrek,Let There Be Peace,Tequila Shots,Theclan
10-01-2023 11:58:12.470291,"(12.0, 17.0, 16.525)","(2.0, 2.3, 2.2691836734693878)","(4.2, 5.4, 4.941666666666667)","(12.0, 20.0, 19.545454545454547)","(6.0, 9.6, 9.288888888888888)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.1875)"
10-01-2023 11:58:13.491180,"(12.0, 17.0, 16.525)","(2.0, 2.3, 2.2691836734693878)","(4.2, 5.4, 4.941666666666667)","(12.0, 20.0, 19.545454545454547)","(6.0, 9.6, 9.288888888888888)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.1875)"
10-01-2023 11:58:14.613883,"(12.0, 17.0, 16.525)","(2.0, 2.3, 2.2691836734693878)","(4.2, 5.4, 4.941666666666667)","(12.0, 20.0, 19.545454545454547)","(6.0, 9.6, 9.09090909090909)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.1875)"
10-01-2023 11:58:15.705078,"(12.0, 17.0, 16.525)","(2.0, 2.3, 2.2691836734693878)","(4.2, 5.4, 4.941666666666667)","(12.0, 20.0, 19.545454545454547)","(6.0, 9.6, 8.88888888888889)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.1875)"
10-01-2023 11:58:16.787329,"(12.0, 17.0, 16.525)","(2.0, 2.3, 2.2691836734693878)","(4.2, 5.4, 4.941666666666667)","(12.0, 20.0, 19.545454545454547)","(6.0, 9.6, 8.88888888888889)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.1875)"
10-01-2023 11:58:17.945915,"(12.0, 17.0, 16.525)","(2.0, 2.3, 2.2691836734693878)","(4.2, 5.4, 5.258974358974359)","(12.0, 20.0, 19.545454545454547)","(6.0, 9.6, 8.88888888888889)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.1875)"
10-01-2023 11:58:19.153911,"(12.0, 17.0, 16.525)","(2.0, 2.3, 2.2787499999999996)","(4.2, 5.4, 5.258974358974359)","(12.0, 20.0, 19.545454545454547)","(6.0, 9.6, 8.88888888888889)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.1875)"
10-01-2023 11:58:20.340082,"(12.0, 17.0, 16.525)","(2.0, 2.3, 2.2787499999999996)","(4.2, 5.4, 5.258974358974359)","(12.0, 20.0, 19.545454545454547)","(6.0, 9.6, 8.88888888888889)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.1875)"
10-01-2023 11:58:21.464791,"(12.0, 17.0, 16.525)","(2.0, 2.3, 2.2787499999999996)","(4.2, 5.4, 5.258974358974359)","(12.0, 20.0, 19.545454545454547)","(6.0, 9.6, 8.88888888888889)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.1875)"
10-01-2023 11:58:22.568204,"(12.0, 17.0, 16.525)","(2.0, 2.3, 2.2787499999999996)","(4.2, 5.4, 5.258974358974359)","(12.0, 20.0, 19.545454545454547)","(6.0, 9.6, 8.88888888888889)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.1875)"
10-01-2023 11:58:23.690392,"(12.0, 17.0, 16.525)","(2.0, 2.3, 2.2787499999999996)","(4.2, 5.4, 5.258974358974359)","(12.0, 20.0, 19.545454545454547)","(6.0, 9.6, 8.88888888888889)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.1875)"
10-01-2023 11:58:24.815669,"(12.0, 17.0, 16.525)","(2.0, 2.3, 2.2787499999999996)","(4.2, 5.4, 5.258974358974359)","(12.0, 20.0, 19.545454545454547)","(6.0, 9.6, 8.88888888888889)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.1875)"
10-01-2023 11:58:26.151757,"(12.0, 17.0, 16.525)","(2.0, 2.3, 2.2787499999999996)","(4.2, 5.4, 5.258974358974359)","(12.0, 20.0, 19.545454545454547)","(6.0, 9.6, 8.88888888888889)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.1875)"
10-01-2023 11:58:27.230800,"(12.0, 17.0, 16.525)","(2.0, 2.3, 2.2787499999999996)","(4.2, 5.4, 5.258974358974359)","(12.0, 20.0, 19.545454545454547)","(6.0, 9.6, 8.88888888888889)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.1875)"
10-01-2023 11:58:28.377390,"(12.0, 17.0, 16.525)","(2.0, 2.3, 2.2787499999999996)","(4.2, 5.4, 5.258974358974359)","(12.0, 20.0, 19.545454545454547)","(6.0, 9.6, 8.88888888888889)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.1875)"
10-01-2023 11:58:29.470964,"(12.0, 17.0, 16.525)","(2.0, 2.3, 2.2787499999999996)","(4.2, 5.4, 5.258974358974359)","(12.0, 20.0, 19.545454545454547)","(6.0, 9.6, 8.88888888888889)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.1875)"
10-01-2023 11:58:30.558098,"(12.0, 17.0, 16.525)","(2.0, 2.3, 2.2787499999999996)","(4.2, 5.4, 5.258974358974359)","(12.0, 20.0, 19.545454545454547)","(6.0, 9.6, 8.88888888888889)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.1875)"
10-01-2023 11:58:31.632004,"(12.0, 17.0, 16.525)","(2.0, 2.3, 2.2787499999999996)","(4.2, 5.4, 5.258974358974359)","(12.0, 20.0, 19.545454545454547)","(6.0, 9.6, 8.88888888888889)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.1875)"
10-01-2023 11:58:32.753521,"(12.0, 17.0, 16.53125)","(2.0, 2.3, 2.229655172413793)","(4.2, 5.4, 5.272093023255814)","(12.0, 20.0, 18.333333333333332)","(6.0, 9.6, 8.533333333333333)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 11.0)"
10-01-2023 11:58:33.935529,"(12.0, 17.0, 16.53125)","(2.0, 2.3, 2.229655172413793)","(4.2, 5.4, 5.300000000000001)","(12.0, 20.0, 18.333333333333332)","(6.0, 9.6, 8.533333333333333)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 11.25)"
10-01-2023 11:58:35.049888,"(12.0, 17.0, 16.53125)","(2.0, 2.3, 2.229655172413793)","(4.2, 5.4, 5.300000000000001)","(12.0, 20.0, 17.0)","(6.0, 9.6, 8.533333333333333)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 11.25)"
10-01-2023 11:58:36.275703,"(12.0, 17.0, 16.53125)","(2.0, 2.3, 2.229655172413793)","(4.2, 5.4, 5.300000000000001)","(12.0, 20.0, 17.0)","(6.0, 9.6, 8.533333333333333)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 11.25)"
10-01-2023 11:58:37.411271,"(12.0, 17.0, 16.53125)","(2.0, 2.3, 2.2654237288135595)","(4.2, 5.6, 5.3307692307692305)","(12.0, 20.0, 19.470588235294116)","(6.0, 9.6, 9.173333333333334)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 12.0, 10.68)"
10-01-2023 11:58:38.540790,"(12.0, 17.0, 16.53125)","(2.0, 2.26, 2.2511627906976743)","(4.2, 5.5, 5.266666666666667)","(12.0, 20.0, 19.307692307692307)","(6.0, 9.6, 8.666666666666666)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.65)"
10-01-2023 11:58:39.656271,"(12.0, 17.0, 16.53125)","(2.0, 2.26, 2.2511627906976743)","(4.2, 5.5, 5.266666666666667)","(12.0, 20.0, 19.307692307692307)","(6.0, 9.6, 8.666666666666666)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.65)"
10-01-2023 11:58:40.815688,"(12.0, 17.0, 16.53125)","(2.0, 2.26, 2.2511627906976743)","(4.2, 5.5, 5.266666666666667)","(12.0, 20.0, 19.307692307692307)","(6.0, 9.6, 8.666666666666666)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.65)"
10-01-2023 11:58:41.928724,"(12.0, 17.0, 16.53125)","(2.0, 2.26, 2.2511627906976743)","(4.2, 5.5, 5.285714285714286)","(12.0, 20.0, 19.307692307692307)","(6.0, 9.6, 8.666666666666666)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.65)"
10-01-2023 11:58:42.998419,"(12.0, 17.0, 16.53125)","(2.0, 2.26, 2.2511627906976743)","(4.2, 5.5, 5.285714285714286)","(12.0, 20.0, 19.470588235294116)","(6.0, 9.6, 8.666666666666666)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.65)"
10-01-2023 11:58:44.110180,"(12.0, 17.0, 16.53125)","(2.0, 2.26, 2.2511627906976743)","(4.2, 5.5, 5.285714285714286)","(12.0, 20.0, 19.470588235294116)","(6.0, 9.6, 8.666666666666666)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.65)"
10-01-2023 11:58:45.249757,"(12.0, 17.0, 16.53125)","(2.0, 2.26, 2.2511627906976743)","(4.2, 5.5, 5.285714285714286)","(12.0, 20.0, 19.470588235294116)","(6.0, 9.6, 8.666666666666666)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.65)"
10-01-2023 11:58:46.425302,"(12.0, 17.0, 16.53125)","(2.0, 2.26, 2.2511627906976743)","(4.2, 5.5, 5.285714285714286)","(12.0, 20.0, 19.470588235294116)","(6.0, 9.6, 8.666666666666666)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.65)"
10-01-2023 11:58:47.563240,"(12.0, 17.0, 16.533333333333335)","(2.0, 2.26, 2.2511627906976743)","(4.2, 5.5, 5.285714285714286)","(12.0, 20.0, 19.470588235294116)","(6.0, 9.6, 8.666666666666666)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.65)"
10-01-2023 11:58:48.678189,"(12.0, 17.0, 16.533333333333335)","(2.0, 2.26, 2.2511627906976743)","(4.2, 5.5, 5.285714285714286)","(12.0, 20.0, 19.470588235294116)","(6.0, 9.6, 8.666666666666666)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.65)"
10-01-2023 11:58:49.792404,"(12.0, 17.0, 16.533333333333335)","(2.0, 2.28, 2.2667441860465116)","(4.2, 5.5, 5.453846153846154)","(12.0, 20.0, 19.307692307692307)","(6.0, 9.6, 9.223529411764705)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.65)"
10-01-2023 11:58:50.919525,"(12.0, 17.0, 16.533333333333335)","(2.0, 2.28, 2.2667441860465116)","(4.2, 5.5, 5.453846153846154)","(12.0, 20.0, 19.307692307692307)","(6.0, 9.6, 9.223529411764705)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.65)"
10-01-2023 11:58:51.998141,"(12.0, 17.0, 16.533333333333335)","(2.0, 2.28, 2.2667441860465116)","(4.2, 5.5, 5.453846153846154)","(12.0, 20.0, 19.307692307692307)","(6.0, 9.6, 9.223529411764705)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.65)"
10-01-2023 11:58:53.113004,"(12.0, 17.0, 16.533333333333335)","(2.0, 2.28, 2.2667441860465116)","(4.2, 5.5, 5.453846153846154)","(12.0, 20.0, 18.857142857142858)","(6.0, 9.6, 9.223529411764705)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.65)"
10-01-2023 11:58:54.235371,"(12.0, 17.0, 16.533333333333335)","(2.0, 2.28, 2.2667441860465116)","(4.2, 5.5, 5.453846153846154)","(12.0, 20.0, 18.857142857142858)","(6.0, 9.6, 9.223529411764705)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.65)"
10-01-2023 11:58:55.317737,"(12.0, 17.0, 16.533333333333335)","(2.0, 2.28, 2.2667441860465116)","(4.2, 5.5, 5.453846153846154)","(12.0, 20.0, 18.857142857142858)","(6.0, 9.6, 9.223529411764705)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.65)"
10-01-2023 11:58:56.379959,"(12.0, 17.0, 16.533333333333335)","(2.0, 2.28, 2.2667441860465116)","(4.2, 5.5, 5.453846153846154)","(12.0, 20.0, 18.857142857142858)","(6.0, 9.6, 9.223529411764705)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 11.0)"
10-01-2023 11:58:57.435338,"(12.0, 17.0, 16.533333333333335)","(2.0, 2.28, 2.2361538461538464)","(4.2, 5.5, 5.453846153846154)","(12.0, 20.0, 19.57894736842105)","(6.0, 9.6, 8.88888888888889)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 11.0)"
10-01-2023 11:58:58.465148,"(12.0, 17.0, 16.533333333333335)","(2.0, 2.28, 2.2361538461538464)","(4.2, 5.5, 5.453846153846154)","(12.0, 20.0, 19.57894736842105)","(6.0, 9.6, 8.88888888888889)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 11.0)"
10-01-2023 11:58:59.569965,"(12.0, 17.0, 16.533333333333335)","(2.0, 2.28, 2.241)","(4.2, 5.5, 5.453846153846154)","(12.0, 20.0, 19.57894736842105)","(6.0, 9.6, 8.88888888888889)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 11.0)"
10-01-2023 11:59:00.581243,"(12.0, 17.0, 16.533333333333335)","(2.0, 2.28, 2.241)","(4.2, 5.5, 5.453846153846154)","(12.0, 20.0, 19.57894736842105)","(6.0, 9.6, 8.88888888888889)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 11.0)"
10-01-2023 11:59:01.788588,"(12.0, 17.0, 16.533333333333335)","(2.0, 2.28, 2.241)","(4.2, 5.5, 5.453846153846154)","(12.0, 20.0, 19.57894736842105)","(6.0, 9.6, 8.88888888888889)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 11.0)"
10-01-2023 11:59:02.904198,"(12.0, 17.0, 16.533333333333335)","(2.0, 2.28, 2.241)","(4.2, 5.5, 5.453846153846154)","(12.0, 20.0, 19.57894736842105)","(6.0, 9.6, 8.88888888888889)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 11.166666666666666)"
10-01-2023 11:59:04.080826,"(12.0, 17.0, 16.533333333333335)","(2.0, 2.28, 2.241)","(4.2, 5.5, 5.453846153846154)","(12.0, 20.0, 19.57894736842105)","(6.0, 9.6, 8.88888888888889)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 11.166666666666666)"
10-01-2023 11:59:05.375092,"(12.0, 17.0, 16.533333333333335)","(2.0, 2.28, 2.241)","(4.2, 5.5, 5.453846153846154)","(12.0, 20.0, 19.6)","(6.0, 9.6, 8.88888888888889)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 11.166666666666666)"
10-01-2023 11:59:06.539039,"(12.0, 17.0, 16.533333333333335)","(2.0, 2.28, 2.241)","(4.2, 5.5, 5.453846153846154)","(12.0, 20.0, 19.6)","(6.0, 9.6, 8.88888888888889)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 11.166666666666666)"
10-01-2023 11:59:07.627826,"(12.0, 17.0, 16.533333333333335)","(2.0, 2.28, 2.241)","(4.2, 5.5, 5.453846153846154)","(12.0, 20.0, 19.6)","(6.0, 9.6, 8.88888888888889)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 11.166666666666666)"
10-01-2023 11:59:08.726707,"(12.0, 17.0, 16.533333333333335)","(2.0, 2.28, 2.241)","(4.2, 5.5, 5.453846153846154)","(12.0, 20.0, 19.6)","(6.0, 9.6, 8.88888888888889)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 11.166666666666666)"
10-01-2023 11:59:09.851999,"(12.0, 17.0, 16.533333333333335)","(2.0, 2.28, 2.241)","(4.2, 5.5, 5.453846153846154)","(12.0, 20.0, 19.6)","(6.0, 9.6, 8.88888888888889)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 11.166666666666666)"
10-01-2023 11:59:11.013548,"(12.0, 17.0, 16.533333333333335)","(2.0, 2.28, 2.241)","(4.2, 5.5, 5.453846153846154)","(12.0, 20.0, 19.6)","(6.0, 9.6, 8.88888888888889)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 11.25)"
10-01-2023 11:59:12.072957,"(12.0, 17.0, 16.533333333333335)","(2.0, 2.22, 2.2055555555555557)","(4.2, 5.5, 5.371428571428572)","(12.0, 20.0, 18.0)","(6.0, 9.6, 9.066666666666666)","(21.0, 70.0, 62.0)","(15.0, 22.0, 19.666666666666668)","(8.5, 11.5, 11.25)"
10-01-2023 11:59:13.177316,"(12.0, 17.0, 16.533333333333335)","(2.0, 2.28, 2.2453333333333334)","(4.2, 5.5, 5.3)","(12.0, 20.0, 19.6)","(6.0, 9.6, 8.959999999999999)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 11.166666666666666)"
10-01-2023 11:59:14.331203,"(12.0, 17.0, 16.533333333333335)","(2.0, 2.28, 2.2453333333333334)","(4.2, 5.5, 5.35)","(12.0, 20.0, 17.666666666666668)","(6.0, 9.6, 8.64)","(21.0, 70.0, 63.14285714285714)","(15.0, 22.0, 19.75)","(8.5, 11.5, 11.25)"
10-01-2023 11:59:15.475688,"(12.0, 17.0, 16.533333333333335)","(2.0, 2.28, 2.2453333333333334)","(4.2, 5.5, 5.35)","(12.0, 20.0, 17.666666666666668)","(6.0, 9.6, 8.64)","(21.0, 70.0, 63.14285714285714)","(15.0, 22.0, 19.75)","(8.5, 11.5, 11.25)"
10-01-2023 11:59:16.614437,"(12.0, 17.0, 16.533333333333335)","(2.0, 2.28, 2.2453333333333334)","(4.2, 5.5, 5.35)","(12.0, 20.0, 17.666666666666668)","(6.0, 9.6, 8.64)","(21.0, 70.0, 63.14285714285714)","(15.0, 22.0, 19.75)","(8.5, 11.5, 11.25)"
10-01-2023 11:59:17.741482,"(12.0, 17.0, 16.533333333333335)","(2.0, 2.28, 2.2684444444444445)","(4.2, 5.5, 5.35)","(12.0, 20.0, 19.46153846153846)","(6.0, 9.6, 8.64)","(21.0, 70.0, 63.14285714285714)","(15.0, 22.0, 19.75)","(8.5, 11.5, 11.0)"
10-01-2023 11:59:18.886870,"(12.0, 17.0, 16.533333333333335)","(2.0, 2.28, 2.267906976744186)","(4.2, 5.6, 5.270588235294118)","(12.0, 20.0, 19.5)","(6.0, 9.6, 8.64)","(21.0, 70.0, 63.14285714285714)","(15.0, 22.0, 19.75)","(8.5, 12.0, 11.0)"
10-01-2023 11:59:20.006024,"(12.0, 17.0, 16.533333333333335)","(2.0, 2.28, 2.2341176470588238)","(4.2, 5.6, 5.270588235294118)","(12.0, 20.0, 19.5)","(6.0, 9.6, 8.64)","(21.0, 70.0, 63.14285714285714)","(15.0, 22.0, 19.75)","(8.5, 12.0, 11.0)"
10-01-2023 11:59:21.040441,"(12.0, 17.0, 16.533333333333335)","(2.0, 2.28, 2.2341176470588238)","(4.2, 5.5, 5.3125)","(12.0, 20.0, 19.5)","(6.0, 9.6, 8.64)","(21.0, 70.0, 63.14285714285714)","(15.0, 22.0, 19.75)","(8.5, 12.0, 11.0)"
10-01-2023 11:59:22.095717,"(12.0, 17.0, 16.533333333333335)","(2.0, 2.28, 2.2341176470588238)","(4.2, 5.5, 5.3125)","(12.0, 20.0, 19.5)","(6.0, 9.6, 8.64)","(21.0, 70.0, 63.14285714285714)","(15.0, 22.0, 19.75)","(8.5, 12.0, 11.0)"
10-01-2023 11:59:23.216064,"(12.0, 17.0, 16.533333333333335)","(2.0, 2.28, 2.2341176470588238)","(4.2, 5.5, 5.3125)","(12.0, 20.0, 19.5)","(6.0, 9.6, 8.64)","(21.0, 70.0, 63.14285714285714)","(15.0, 22.0, 19.75)","(8.5, 12.0, 11.0)"
