,Amen Brother,Bia Tinne,Burrandana,Open Sky,Take On Manhattan,The Big Shamrock,Toro Magic,Brave Image,County Kilkenny,Mo Chara,Sonny Fella
05-01-2023 12:37:44.516952,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.2, 8.719999999999999)","(4.2, 5.1, 4.776470588235294)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 47.5)","(21.0, 100.0, 93.58333333333334)","(101.0, 180.0, 137.5)","(3.5, 4.9, 4.3428571428571425)","(7.0, 10.5, 9.65)","(15.0, 32.0, 25.75)","(18.0, 80.0, 68.9090909090909)"
05-01-2023 12:37:46.036406,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.2, 8.719999999999999)","(4.2, 5.1, 4.776470588235294)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 47.5)","(21.0, 100.0, 93.58333333333334)","(101.0, 180.0, 137.5)","(3.5, 4.9, 4.3428571428571425)","(7.0, 10.5, 9.65)","(15.0, 32.0, 26.852941176470587)","(18.0, 80.0, 68.9090909090909)"
05-01-2023 12:37:47.524128,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.2, 8.719999999999999)","(4.2, 5.1, 4.776470588235294)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 47.5)","(21.0, 100.0, 59.5)","(101.0, 180.0, 137.5)","(3.5, 4.9, 4.3428571428571425)","(7.0, 10.5, 9.65)","(15.0, 32.0, 22.666666666666668)","(18.0, 80.0, 49.75)"
05-01-2023 12:37:49.007016,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.2, 8.719999999999999)","(4.2, 5.1, 4.776470588235294)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 61.0)","(21.0, 95.0, 79.22222222222223)","(101.0, 180.0, 137.5)","(3.5, 4.9, 4.3428571428571425)","(7.0, 10.5, 9.65)","(15.0, 32.0, 23.444444444444443)","(18.0, 80.0, 66.55555555555556)"
05-01-2023 12:37:50.483179,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.2, 8.719999999999999)","(4.2, 5.1, 4.776470588235294)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 61.0)","(21.0, 95.0, 79.22222222222223)","(101.0, 180.0, 137.5)","(3.5, 4.9, 4.3428571428571425)","(7.0, 10.5, 9.65)","(15.0, 32.0, 23.444444444444443)","(18.0, 80.0, 66.55555555555556)"
05-01-2023 12:37:52.020350,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.2, 8.719999999999999)","(4.2, 5.1, 4.776470588235294)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 61.0)","(21.0, 95.0, 79.22222222222223)","(101.0, 180.0, 137.5)","(3.5, 4.9, 4.3428571428571425)","(7.0, 10.5, 9.65)","(15.0, 32.0, 23.444444444444443)","(18.0, 80.0, 66.55555555555556)"
05-01-2023 12:37:53.557714,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.2, 8.719999999999999)","(4.2, 5.1, 4.776470588235294)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 61.0)","(21.0, 95.0, 79.22222222222223)","(101.0, 180.0, 137.5)","(3.5, 4.9, 4.3428571428571425)","(7.0, 10.5, 9.65)","(15.0, 32.0, 23.444444444444443)","(18.0, 80.0, 49.75)"
05-01-2023 12:37:55.347236,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.2, 8.719999999999999)","(4.2, 5.1, 4.776470588235294)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 61.0)","(21.0, 95.0, 59.5)","(101.0, 180.0, 137.5)","(3.5, 4.5, 4.318181818181818)","(7.0, 10.5, 9.65)","(15.0, 32.0, 27.333333333333332)","(18.0, 80.0, 49.75)"
05-01-2023 12:37:57.126050,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.2, 8.719999999999999)","(4.2, 5.1, 4.776470588235294)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 61.0)","(21.0, 95.0, 59.5)","(101.0, 180.0, 137.5)","(3.5, 4.5, 4.318181818181818)","(7.0, 10.5, 9.65)","(15.0, 32.0, 27.333333333333332)","(18.0, 80.0, 49.75)"
05-01-2023 12:37:58.796659,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.2, 8.719999999999999)","(4.2, 5.1, 4.776470588235294)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 61.0)","(21.0, 95.0, 59.5)","(101.0, 180.0, 137.5)","(3.5, 4.5, 4.318181818181818)","(7.0, 10.5, 9.65)","(15.0, 32.0, 27.333333333333332)","(18.0, 80.0, 70.6923076923077)"
05-01-2023 12:38:00.436544,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.2, 8.719999999999999)","(4.2, 5.1, 4.776470588235294)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 61.0)","(21.0, 95.0, 59.5)","(101.0, 180.0, 185.0)","(3.5, 4.5, 4.318181818181818)","(7.0, 10.5, 9.65)","(15.0, 32.0, 27.333333333333332)","(18.0, 80.0, 56.0)"
05-01-2023 12:38:01.948762,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.2, 8.719999999999999)","(4.2, 5.1, 4.776470588235294)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 61.0)","(21.0, 95.0, 59.5)","(101.0, 230.0, 185.0)","(3.5, 4.5, 4.318181818181818)","(7.0, 10.5, 9.65)","(15.0, 32.0, 27.333333333333332)","(18.0, 80.0, 56.0)"
05-01-2023 12:38:03.485750,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.2, 8.719999999999999)","(4.2, 5.1, 5.021428571428571)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 61.0)","(21.0, 95.0, 59.5)","(101.0, 230.0, 185.0)","(3.5, 4.5, 4.318181818181818)","(7.0, 10.5, 9.65)","(15.0, 32.0, 27.333333333333332)","(18.0, 80.0, 56.0)"
05-01-2023 12:38:04.973086,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.2, 8.719999999999999)","(4.2, 5.1, 5.074999999999999)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 61.0)","(21.0, 95.0, 59.5)","(101.0, 230.0, 185.0)","(3.5, 4.5, 4.318181818181818)","(7.0, 10.5, 9.65)","(15.0, 32.0, 27.333333333333332)","(18.0, 80.0, 56.0)"
05-01-2023 12:38:06.471546,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.2, 8.719999999999999)","(4.2, 5.1, 5.074999999999999)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 57.42857142857143)","(21.0, 95.0, 59.5)","(101.0, 230.0, 185.0)","(3.5, 4.5, 4.318181818181818)","(7.0, 10.5, 9.65)","(15.0, 32.0, 27.333333333333332)","(18.0, 80.0, 56.0)"
05-01-2023 12:38:07.987013,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.2, 8.85)","(4.2, 5.1, 5.074999999999999)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 57.42857142857143)","(21.0, 95.0, 59.5)","(101.0, 230.0, 185.0)","(3.5, 4.5, 4.318181818181818)","(7.0, 10.5, 9.65)","(15.0, 32.0, 27.333333333333332)","(18.0, 80.0, 56.0)"
05-01-2023 12:38:09.504269,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.0, 8.85)","(4.2, 5.1, 5.074999999999999)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 63.23076923076923)","(21.0, 95.0, 59.5)","(101.0, 230.0, 185.0)","(3.5, 4.5, 4.318181818181818)","(7.0, 10.5, 9.65)","(15.0, 32.0, 27.333333333333332)","(18.0, 80.0, 70.76923076923077)"
05-01-2023 12:38:10.981108,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.0, 8.8)","(4.2, 5.1, 5.074999999999999)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 63.23076923076923)","(21.0, 95.0, 59.5)","(101.0, 230.0, 203.0)","(3.5, 4.5, 4.357142857142857)","(7.0, 10.5, 9.65)","(15.0, 32.0, 27.333333333333332)","(18.0, 80.0, 68.0)"
05-01-2023 12:38:12.446617,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.0, 8.8)","(4.2, 5.1, 5.074999999999999)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 63.23076923076923)","(21.0, 95.0, 94.66666666666667)","(101.0, 230.0, 178.33333333333331)","(3.5, 4.5, 4.357142857142857)","(7.0, 10.5, 9.65)","(15.0, 32.0, 27.333333333333332)","(18.0, 80.0, 68.0)"
05-01-2023 12:38:13.887995,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.0, 8.8)","(4.2, 5.1, 5.074999999999999)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 63.23076923076923)","(21.0, 130.0, 94.66666666666667)","(101.0, 220.0, 178.33333333333331)","(3.5, 4.5, 4.357142857142857)","(7.0, 10.5, 9.65)","(15.0, 32.0, 27.333333333333332)","(18.0, 80.0, 68.0)"
05-01-2023 12:38:15.253672,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.0, 8.8)","(4.2, 5.1, 4.875)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 63.23076923076923)","(21.0, 130.0, 94.66666666666667)","(101.0, 220.0, 178.33333333333331)","(3.5, 4.5, 4.357142857142857)","(7.0, 10.5, 9.65)","(15.0, 32.0, 27.333333333333332)","(18.0, 80.0, 68.0)"
05-01-2023 12:38:16.769185,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.0, 8.8)","(4.2, 5.1, 4.6875)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 63.23076923076923)","(21.0, 130.0, 72.0)","(101.0, 220.0, 171.66666666666669)","(3.5, 4.5, 4.357142857142857)","(7.0, 10.5, 9.1)","(15.0, 32.0, 27.333333333333332)","(18.0, 80.0, 68.0)"
05-01-2023 12:38:18.205703,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.0, 8.8)","(4.2, 5.1, 4.6875)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 63.23076923076923)","(21.0, 120.0, 72.0)","(101.0, 210.0, 171.66666666666669)","(3.5, 4.5, 4.357142857142857)","(7.0, 9.2, 9.82)","(15.0, 32.0, 27.333333333333332)","(18.0, 80.0, 68.0)"
05-01-2023 12:38:19.689123,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.0, 8.8)","(4.2, 5.1, 4.752631578947368)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 63.23076923076923)","(21.0, 120.0, 72.0)","(101.0, 210.0, 171.66666666666669)","(3.5, 4.5, 4.357142857142857)","(7.0, 10.5, 9.82)","(15.0, 32.0, 27.333333333333332)","(18.0, 80.0, 68.0)"
05-01-2023 12:38:21.321485,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.0, 8.88)","(4.2, 5.1, 4.752631578947368)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 63.23076923076923)","(21.0, 120.0, 72.0)","(101.0, 210.0, 171.66666666666669)","(3.5, 4.5, 4.357142857142857)","(7.0, 10.5, 9.82)","(15.0, 32.0, 22.375)","(18.0, 80.0, 63.142857142857146)"
05-01-2023 12:38:23.012695,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.0, 8.88)","(4.2, 5.1, 4.752631578947368)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 63.23076923076923)","(21.0, 120.0, 72.0)","(101.0, 210.0, 171.66666666666669)","(3.5, 4.5, 4.357142857142857)","(7.0, 10.5, 9.82)","(15.0, 32.0, 22.375)","(18.0, 80.0, 72.13333333333333)"
05-01-2023 12:38:24.359099,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.0, 8.88)","(4.2, 5.1, 4.707142857142856)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 63.23076923076923)","(21.0, 120.0, 72.0)","(101.0, 210.0, 171.66666666666669)","(3.5, 4.5, 4.357142857142857)","(7.0, 10.5, 9.82)","(15.0, 32.0, 22.375)","(18.0, 80.0, 72.13333333333333)"
05-01-2023 12:38:25.754761,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.0, 8.88)","(4.2, 5.1, 4.707142857142856)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 63.23076923076923)","(21.0, 100.0, 74.66666666666666)","(101.0, 210.0, 171.66666666666669)","(3.5, 4.5, 4.357142857142857)","(7.0, 10.5, 9.82)","(15.0, 32.0, 22.375)","(18.0, 80.0, 72.13333333333333)"
05-01-2023 12:38:27.182393,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.0, 8.88)","(4.2, 5.1, 4.707142857142856)","(8.5, 11.0, 10.75)","(21.0, 70.0, 63.23076923076923)","(21.0, 100.0, 74.66666666666666)","(101.0, 210.0, 171.66666666666669)","(3.5, 4.5, 4.357142857142857)","(7.0, 10.5, 9.82)","(15.0, 32.0, 22.375)","(18.0, 80.0, 72.13333333333333)"
05-01-2023 12:38:28.604447,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.0, 8.88)","(4.2, 5.1, 4.707142857142856)","(8.5, 11.0, 10.411764705882353)","(21.0, 70.0, 63.23076923076923)","(21.0, 100.0, 74.66666666666666)","(101.0, 210.0, 171.66666666666669)","(3.5, 4.5, 4.357142857142857)","(7.0, 10.5, 9.82)","(15.0, 32.0, 22.375)","(18.0, 80.0, 72.13333333333333)"
05-01-2023 12:38:30.064108,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.0, 8.88)","(4.2, 5.1, 4.707142857142856)","(8.5, 11.0, 10.714285714285714)","(21.0, 70.0, 63.23076923076923)","(21.0, 100.0, 74.66666666666666)","(101.0, 210.0, 171.66666666666669)","(3.5, 4.5, 4.357142857142857)","(7.0, 10.5, 9.82)","(15.0, 32.0, 22.375)","(18.0, 80.0, 72.13333333333333)"
05-01-2023 12:38:31.467739,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.0, 8.88)","(4.2, 5.1, 4.707142857142856)","(8.5, 11.0, 10.714285714285714)","(21.0, 70.0, 63.23076923076923)","(21.0, 100.0, 74.66666666666666)","(101.0, 210.0, 171.66666666666669)","(3.5, 4.5, 4.357142857142857)","(7.0, 10.5, 9.82)","(15.0, 32.0, 22.375)","(18.0, 80.0, 72.13333333333333)"
05-01-2023 12:38:32.895449,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.0, 8.88)","(4.2, 5.1, 4.707142857142856)","(8.5, 11.0, 10.714285714285714)","(21.0, 70.0, 63.23076923076923)","(21.0, 100.0, 74.66666666666666)","(101.0, 210.0, 171.66666666666669)","(3.5, 4.5, 4.357142857142857)","(7.0, 10.5, 9.82)","(15.0, 32.0, 22.375)","(18.0, 80.0, 72.13333333333333)"
05-01-2023 12:38:34.427543,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.0, 8.88)","(4.2, 5.1, 4.707142857142856)","(8.5, 11.0, 10.714285714285714)","(21.0, 70.0, 63.23076923076923)","(21.0, 100.0, 74.66666666666666)","(101.0, 210.0, 171.66666666666669)","(3.5, 4.5, 4.357142857142857)","(7.0, 10.5, 9.82)","(15.0, 32.0, 22.375)","(18.0, 80.0, 72.13333333333333)"
05-01-2023 12:38:35.915907,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.0, 8.88)","(4.2, 5.1, 4.707142857142856)","(8.5, 11.0, 10.714285714285714)","(21.0, 70.0, 63.23076923076923)","(21.0, 100.0, 74.66666666666666)","(101.0, 210.0, 171.66666666666669)","(3.5, 4.5, 4.357142857142857)","(7.0, 10.5, 9.82)","(15.0, 32.0, 22.375)","(18.0, 80.0, 72.13333333333333)"
05-01-2023 12:38:37.385490,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.0, 8.88)","(4.2, 5.1, 4.707142857142856)","(8.5, 11.0, 10.714285714285714)","(21.0, 70.0, 63.23076923076923)","(21.0, 100.0, 74.66666666666666)","(101.0, 210.0, 171.66666666666669)","(3.5, 4.5, 4.357142857142857)","(7.0, 10.5, 9.82)","(15.0, 32.0, 22.375)","(18.0, 80.0, 72.13333333333333)"
05-01-2023 12:38:38.877979,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.0, 8.88)","(4.2, 5.1, 4.707142857142856)","(8.5, 11.0, 10.714285714285714)","(21.0, 70.0, 63.23076923076923)","(21.0, 100.0, 92.0)","(101.0, 210.0, 171.66666666666669)","(3.5, 4.5, 4.357142857142857)","(7.0, 10.5, 9.82)","(15.0, 32.0, 22.375)","(18.0, 80.0, 72.13333333333333)"
05-01-2023 12:38:40.361324,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.0, 8.88)","(4.2, 5.1, 4.707142857142856)","(8.5, 11.0, 10.714285714285714)","(21.0, 70.0, 63.23076923076923)","(21.0, 100.0, 88.71428571428572)","(101.0, 210.0, 171.66666666666669)","(3.5, 4.5, 4.357142857142857)","(7.0, 10.5, 9.82)","(15.0, 32.0, 22.375)","(18.0, 80.0, 72.13333333333333)"
05-01-2023 12:38:41.761611,"(7.5, 9.2, 8.469565217391304)","(7.0, 9.0, 8.88)","(4.2, 5.1, 4.707142857142856)","(8.5, 11.0, 10.714285714285714)","(21.0, 70.0, 63.23076923076923)","(21.0, 100.0, 88.71428571428572)","(101.0, 210.0, 171.66666666666669)","(3.5, 4.5, 4.357142857142857)","(7.0, 10.5, 9.82)","(15.0, 32.0, 22.375)","(18.0, 80.0, 72.13333333333333)"
05-01-2023 12:38:43.175352,"(7.5, 9.2, 8.610526315789473)","(7.0, 9.0, 8.88)","(4.2, 5.1, 4.707142857142856)","(8.5, 11.0, 10.714285714285714)","(21.0, 70.0, 63.23076923076923)","(21.0, 100.0, 92.10000000000001)","(101.0, 210.0, 171.66666666666669)","(3.5, 4.5, 4.357142857142857)","(7.0, 10.5, 9.82)","(15.0, 32.0, 22.375)","(18.0, 80.0, 72.13333333333333)"
05-01-2023 12:38:44.550731,"(7.5, 9.2, 8.610526315789473)","(7.0, 9.0, 8.88)","(4.2, 5.1, 4.707142857142856)","(8.5, 11.0, 10.714285714285714)","(21.0, 70.0, 63.23076923076923)","(21.0, 100.0, 92.10000000000001)","(101.0, 210.0, 171.66666666666669)","(3.5, 4.5, 4.357142857142857)","(7.0, 10.5, 9.82)","(15.0, 32.0, 22.375)","(18.0, 80.0, 63.142857142857146)"
05-01-2023 12:38:45.960539,"(7.5, 9.2, 8.610526315789473)","(7.0, 9.0, 8.88)","(4.2, 5.1, 4.707142857142856)","(8.5, 11.0, 10.843478260869565)","(21.0, 70.0, 63.23076923076923)","(21.0, 100.0, 94.8)","(101.0, 210.0, 171.66666666666669)","(3.5, 4.5, 4.357142857142857)","(7.0, 10.5, 9.82)","(15.0, 32.0, 22.375)","(18.0, 80.0, 63.142857142857146)"
