,Ride On Beauty,K K Can,Lunar Prayer,Salty Saul,Black Panda,Bet The Queen,Grams Gal,Shania Sea,Lady Licious
12-01-2023 11:24:31.244174,"(1.01, 99999, 99990)","(5.0, 7.2, 6.45)","(4.6, 5.8, 5.05)","(11.0, 15.0, 11.399999999999999)","(2.5, 3.2, 2.934)","(6.0, 9.0, 8.174193548387096)","(17.0, 48.0, 28.0)","(1.01, 99999, 99990)","(7.5, 14.0, 13.4)"
12-01-2023 11:24:32.324040,"(1.01, 99999, 99990)","(5.0, 7.2, 6.45)","(4.6, 5.8, 5.05)","(11.0, 15.0, 11.399999999999999)","(2.5, 3.2, 3.145714285714286)","(6.0, 9.0, 6.7700000000000005)","(17.0, 48.0, 28.0)","(1.01, 99999, 99990)","(7.5, 14.0, 13.4)"
12-01-2023 11:24:33.443829,"(1.01, 99999, 99990)","(5.0, 7.2, 6.45)","(4.6, 6.0, 5.125)","(11.0, 15.0, 11.399999999999999)","(2.5, 3.2, 2.972)","(6.0, 8.8, 7.057142857142857)","(17.0, 48.0, 28.0)","(1.01, 99999, 99990)","(7.5, 14.0, 13.4)"
12-01-2023 11:24:34.580438,"(1.01, 99999, 99990)","(5.0, 7.2, 6.45)","(4.6, 6.0, 5.318181818181818)","(11.0, 15.0, 11.82857142857143)","(2.5, 3.2, 2.972)","(6.0, 8.6, 6.478571428571429)","(17.0, 48.0, 28.0)","(1.01, 99999, 99990)","(7.5, 14.0, 13.4)"
12-01-2023 11:24:35.767159,"(1.01, 99999, 99990)","(5.0, 7.2, 6.45)","(4.6, 6.0, 5.711538461538462)","(11.0, 15.0, 9.6)","(2.5, 3.2, 2.972)","(6.0, 8.6, 6.478571428571429)","(17.0, 48.0, 28.0)","(1.01, 99999, 99990)","(7.5, 14.0, 13.4)"
12-01-2023 11:24:36.897042,"(1.01, 99999, 99990)","(5.0, 7.2, 6.45)","(4.6, 6.0, 5.711538461538462)","(11.0, 15.0, 11.399999999999999)","(2.5, 3.2, 2.972)","(6.0, 8.6, 6.478571428571429)","(17.0, 48.0, 28.0)","(1.01, 99999, 99990)","(7.5, 14.0, 13.4)"
12-01-2023 11:24:38.052969,"(1.01, 99999, 99990)","(5.0, 7.2, 6.45)","(4.6, 6.0, 5.711538461538462)","(11.0, 15.0, 11.399999999999999)","(2.5, 3.2, 2.936470588235294)","(6.0, 8.6, 7.412)","(17.0, 48.0, 32.0)","(1.01, 99999, 99990)","(7.5, 14.0, 13.4)"
12-01-2023 11:24:39.222365,"(1.01, 99999, 99990)","(5.0, 7.2, 6.45)","(4.6, 6.0, 5.1875)","(11.0, 15.0, 12.78)","(2.5, 3.15, 2.936470588235294)","(6.0, 8.6, 7.412)","(17.0, 46.0, 32.0)","(1.01, 99999, 99990)","(7.5, 14.0, 13.4)"
12-01-2023 11:24:40.394047,"(1.01, 99999, 99990)","(5.0, 7.2, 6.45)","(4.6, 6.0, 5.717391304347826)","(11.0, 15.0, 13.766666666666666)","(2.5, 3.15, 2.936470588235294)","(6.0, 8.6, 7.412)","(17.0, 46.0, 32.0)","(1.01, 99999, 99990)","(7.5, 14.0, 13.4)"
12-01-2023 11:24:41.483791,"(1.01, 99999, 99990)","(5.0, 7.2, 6.45)","(4.6, 6.0, 5.4)","(11.0, 15.0, 13.766666666666666)","(2.5, 3.15, 2.936470588235294)","(6.0, 8.6, 7.412)","(17.0, 46.0, 32.0)","(1.01, 99999, 99990)","(7.5, 14.0, 13.4)"
12-01-2023 11:24:42.535328,"(1.01, 99999, 99990)","(5.0, 7.2, 6.45)","(4.6, 6.0, 5.647058823529411)","(11.0, 15.0, 13.766666666666666)","(2.5, 3.0, 2.8283720930232557)","(6.0, 8.6, 7.412)","(17.0, 46.0, 32.0)","(1.01, 99999, 99990)","(7.5, 14.0, 13.4)"
12-01-2023 11:24:43.642574,"(1.01, 99999, 99990)","(5.0, 7.2, 7.066666666666666)","(4.6, 6.0, 5.3125)","(11.0, 15.0, 13.766666666666666)","(2.5, 3.0, 2.8283720930232557)","(6.0, 8.6, 7.412)","(17.0, 46.0, 32.0)","(1.01, 99999, 99990)","(7.5, 14.0, 13.4)"
12-01-2023 11:24:44.746067,"(1.01, 99999, 99990)","(5.0, 7.4, 7.031578947368422)","(4.6, 6.0, 5.3125)","(11.0, 15.0, 14.146153846153846)","(2.5, 3.0, 2.8283720930232557)","(6.0, 8.6, 7.412)","(17.0, 46.0, 32.0)","(1.01, 99999, 99990)","(7.5, 14.0, 13.4)"
12-01-2023 11:24:45.783781,"(1.01, 99999, 99990)","(5.0, 7.4, 6.98)","(4.6, 6.2, 5.7625)","(11.0, 15.0, 14.146153846153846)","(2.5, 3.0, 2.8714285714285714)","(6.0, 8.6, 7.412)","(17.0, 46.0, 32.0)","(1.01, 99999, 99990)","(7.5, 14.0, 13.4)"
12-01-2023 11:24:46.909789,"(1.01, 99999, 99990)","(5.0, 7.4, 7.306666666666667)","(4.6, 6.0, 5.648)","(11.0, 15.0, 14.146153846153846)","(2.5, 2.98, 2.895625)","(6.0, 8.6, 7.412)","(17.0, 46.0, 32.0)","(1.01, 99999, 99990)","(7.5, 14.0, 13.4)"
12-01-2023 11:24:48.023923,"(1.01, 99999, 99990)","(5.0, 7.4, 7.3125)","(4.6, 6.0, 5.648)","(11.0, 15.0, 14.146153846153846)","(2.5, 2.98, 2.895625)","(6.0, 8.6, 7.412)","(17.0, 46.0, 32.0)","(1.01, 99999, 99990)","(7.5, 14.0, 13.4)"
12-01-2023 11:24:49.218486,"(1.01, 99999, 99990)","(5.0, 7.4, 7.3125)","(4.6, 6.0, 5.333333333333333)","(11.0, 15.0, 14.146153846153846)","(2.5, 2.98, 2.895625)","(6.0, 8.6, 7.412)","(17.0, 46.0, 32.0)","(1.01, 99999, 99990)","(7.5, 14.0, 13.4)"
12-01-2023 11:24:50.380560,"(1.01, 99999, 99990)","(5.0, 7.4, 7.3125)","(4.6, 6.0, 5.333333333333333)","(11.0, 15.0, 14.146153846153846)","(2.5, 2.98, 2.8876923076923076)","(6.0, 8.6, 6.478571428571429)","(17.0, 46.0, 32.0)","(1.01, 99999, 99990)","(7.5, 14.0, 13.4)"
12-01-2023 11:24:51.633822,"(1.01, 99999, 99990)","(5.0, 7.4, 7.3125)","(4.6, 6.0, 5.333333333333333)","(11.0, 15.0, 12.666666666666668)","(2.5, 2.98, 2.8876923076923076)","(6.0, 8.6, 6.478571428571429)","(17.0, 46.0, 32.0)","(1.01, 99999, 99990)","(7.5, 14.0, 13.4)"
12-01-2023 11:24:52.993738,"(1.01, 99999, 99990)","(5.0, 7.4, 7.3125)","(4.6, 6.0, 5.333333333333333)","(11.0, 15.0, 10.1)","(2.5, 2.98, 2.8876923076923076)","(6.0, 8.6, 6.478571428571429)","(17.0, 46.0, 32.0)","(1.01, 99999, 99990)","(7.5, 14.0, 13.4)"
12-01-2023 11:24:54.323238,"(1.01, 99999, 99990)","(5.0, 7.4, 7.3125)","(4.6, 6.0, 5.333333333333333)","(11.0, 15.0, 11.399999999999999)","(2.5, 2.98, 2.8876923076923076)","(6.0, 8.6, 6.7625)","(17.0, 46.0, 32.0)","(1.01, 99999, 99990)","(7.5, 14.0, 13.316666666666666)"
12-01-2023 11:24:55.667831,"(1.01, 99999, 99990)","(5.0, 7.4, 7.1000000000000005)","(4.6, 6.0, 5.3076923076923075)","(11.0, 15.0, 11.82857142857143)","(2.5, 2.98, 2.8876923076923076)","(6.0, 8.2, 6.392857142857143)","(17.0, 46.0, 32.0)","(1.01, 99999, 99990)","(7.5, 14.5, 13.685714285714287)"
12-01-2023 11:24:56.718180,"(1.01, 99999, 99990)","(5.0, 7.4, 7.32)","(4.6, 6.0, 5.3076923076923075)","(11.0, 15.0, 11.82857142857143)","(2.5, 2.98, 2.8876923076923076)","(6.0, 8.2, 6.392857142857143)","(17.0, 46.0, 32.0)","(1.01, 99999, 99990)","(7.5, 14.0, 13.316666666666666)"
12-01-2023 11:24:57.853130,"(1.01, 99999, 99990)","(5.0, 7.4, 7.32)","(4.6, 6.0, 5.3076923076923075)","(11.0, 15.0, 13.15)","(2.5, 2.98, 2.8876923076923076)","(6.0, 8.2, 6.392857142857143)","(17.0, 46.0, 32.0)","(1.01, 99999, 99990)","(7.5, 14.5, 13.316666666666666)"
12-01-2023 11:24:59.137484,"(1.01, 99999, 99990)","(5.0, 7.4, 7.32)","(4.6, 6.0, 5.3076923076923075)","(11.0, 15.0, 11.82)","(2.5, 2.98, 2.8876923076923076)","(6.0, 8.2, 6.392857142857143)","(17.0, 46.0, 32.0)","(1.01, 99999, 99990)","(7.5, 14.5, 13.316666666666666)"
12-01-2023 11:25:00.458410,"(1.01, 99999, 99990)","(5.0, 7.4, 7.32)","(4.6, 6.0, 5.3076923076923075)","(11.0, 14.5, 9.566666666666666)","(2.5, 2.98, 2.8876923076923076)","(6.0, 8.2, 6.392857142857143)","(17.0, 46.0, 32.0)","(1.01, 99999, 99990)","(7.5, 14.5, 10.26)"
12-01-2023 11:25:01.616619,"(1.01, 99999, 99990)","(5.0, 7.4, 7.32)","(4.6, 6.0, 5.3076923076923075)","(11.0, 13.5, 12.657142857142857)","(2.5, 2.98, 2.9165853658536585)","(6.0, 8.2, 6.392857142857143)","(17.0, 46.0, 32.0)","(1.01, 99999, 99990)","(7.5, 14.5, 13.175)"
12-01-2023 11:25:02.838732,"(1.01, 99999, 99990)","(5.0, 7.4, 7.32)","(4.6, 6.0, 5.3076923076923075)","(11.0, 13.5, 12.823529411764707)","(2.5, 3.15, 2.9165853658536585)","(6.0, 8.2, 6.392857142857143)","(17.0, 46.0, 32.0)","(1.01, 99999, 99990)","(7.5, 14.5, 13.175)"
12-01-2023 11:25:04.132283,"(1.01, 99999, 99990)","(5.0, 7.4, 7.133333333333334)","(4.6, 6.0, 5.3076923076923075)","(11.0, 15.0, 11.636363636363637)","(2.5, 3.15, 2.924210526315789)","(6.0, 8.2, 6.392857142857143)","(17.0, 46.0, 32.0)","(1.01, 99999, 99990)","(7.5, 14.5, 13.175)"
12-01-2023 11:25:05.383088,"(1.01, 99999, 99990)","(5.0, 8.0, 7.621052631578947)","(4.6, 6.0, 5.3076923076923075)","(11.0, 15.0, 11.636363636363637)","(2.5, 3.15, 2.924210526315789)","(6.0, 8.2, 6.392857142857143)","(17.0, 46.0, 32.0)","(1.01, 99999, 99990)","(7.5, 14.5, 13.175)"
12-01-2023 11:25:06.618463,"(1.01, 99999, 99990)","(5.0, 8.0, 7.621052631578947)","(4.6, 6.0, 5.3076923076923075)","(11.0, 14.0, 12.719999999999999)","(2.5, 3.15, 2.89125)","(6.0, 8.2, 6.392857142857143)","(17.0, 46.0, 32.0)","(1.01, 99999, 99990)","(7.5, 14.5, 13.175)"
12-01-2023 11:25:07.815486,"(1.01, 99999, 99990)","(5.0, 8.0, 7.621052631578947)","(4.6, 6.0, 5.3076923076923075)","(9.0, 14.0, 12.8)","(2.5, 3.2, 2.89125)","(6.0, 8.2, 6.392857142857143)","(17.0, 46.0, 32.0)","(1.01, 99999, 99990)","(7.5, 14.5, 13.175)"
12-01-2023 11:25:09.022842,"(1.01, 99999, 99990)","(5.0, 8.0, 7.55)","(4.6, 6.0, 5.3076923076923075)","(9.0, 14.0, 12.222222222222221)","(2.5, 3.2, 3.1425)","(6.0, 8.2, 6.392857142857143)","(17.0, 46.0, 32.0)","(1.01, 99999, 99990)","(7.5, 14.5, 13.175)"
12-01-2023 11:25:10.207991,"(1.01, 99999, 99990)","(5.0, 8.2, 7.799999999999999)","(4.6, 6.0, 5.3076923076923075)","(9.0, 14.0, 12.222222222222221)","(2.5, 3.25, 3.1425)","(6.0, 8.2, 6.392857142857143)","(17.0, 46.0, 44.98148148148148)","(1.01, 99999, 99990)","(7.5, 14.5, 13.175)"
12-01-2023 11:25:11.345644,"(1.01, 99999, 99990)","(5.0, 8.2, 7.914285714285714)","(4.6, 6.0, 5.3076923076923075)","(9.0, 14.0, 10.934782608695652)","(2.5, 3.25, 3.1425)","(6.0, 8.2, 6.392857142857143)","(17.0, 46.0, 38.63636363636364)","(1.01, 99999, 99990)","(7.5, 14.5, 13.175)"
12-01-2023 11:25:12.554914,"(1.01, 99999, 99990)","(5.0, 8.2, 7.542857142857143)","(4.6, 6.0, 5.3076923076923075)","(9.0, 13.5, 12.280000000000001)","(2.5, 3.25, 3.1425)","(6.0, 8.2, 6.392857142857143)","(17.0, 46.0, 38.63636363636364)","(1.01, 99999, 99990)","(7.5, 14.5, 13.175)"
12-01-2023 11:25:13.734575,"(1.01, 99999, 99990)","(5.0, 8.2, 7.542857142857143)","(4.6, 6.0, 5.3076923076923075)","(9.0, 13.0, 12.280000000000001)","(2.5, 3.25, 3.13)","(6.0, 8.2, 6.392857142857143)","(17.0, 46.0, 40.6)","(1.01, 99999, 99990)","(7.5, 14.5, 13.175)"
12-01-2023 11:25:14.798439,"(1.01, 99999, 99990)","(5.0, 8.2, 7.542857142857143)","(4.6, 6.0, 5.3076923076923075)","(9.0, 14.0, 10.571428571428571)","(2.5, 3.25, 3.13)","(6.0, 8.2, 6.392857142857143)","(17.0, 46.0, 40.6)","(1.01, 99999, 99990)","(7.5, 14.5, 13.175)"
12-01-2023 11:25:15.754700,"(1.01, 99999, 99990)","(5.0, 8.2, 7.542857142857143)","(4.6, 6.0, 5.3076923076923075)","(9.0, 14.0, 13.09090909090909)","(2.5, 3.25, 3.13)","(6.0, 8.2, 6.392857142857143)","(17.0, 46.0, 42.2)","(1.01, 99999, 99990)","(7.5, 14.5, 13.175)"
12-01-2023 11:25:16.842741,"(1.01, 99999, 99990)","(5.0, 8.2, 7.542857142857143)","(4.6, 6.0, 5.25)","(9.0, 11.0, 10.058823529411764)","(2.5, 3.25, 3.13)","(6.0, 8.2, 6.392857142857143)","(17.0, 48.0, 45.89285714285714)","(1.01, 99999, 99990)","(7.5, 14.5, 13.175)"
12-01-2023 11:25:17.959774,"(1.01, 99999, 99990)","(5.0, 8.2, 7.542857142857143)","(4.6, 6.0, 5.25)","(9.0, 11.0, 10.058823529411764)","(2.5, 3.25, 3.13)","(6.0, 8.2, 6.392857142857143)","(17.0, 48.0, 34.0)","(1.01, 99999, 99990)","(7.5, 14.5, 13.175)"
12-01-2023 11:25:19.073827,"(1.01, 99999, 99990)","(5.0, 8.2, 7.542857142857143)","(4.6, 6.0, 5.25)","(9.0, 11.0, 10.058823529411764)","(2.5, 3.25, 3.13)","(6.0, 8.2, 6.165384615384616)","(17.0, 44.0, 34.0)","(1.01, 99999, 99990)","(7.5, 14.5, 13.175)"
12-01-2023 11:25:20.216542,"(1.01, 99999, 99990)","(5.0, 8.2, 7.542857142857143)","(4.6, 6.0, 5.25)","(9.0, 11.0, 10.04)","(2.5, 3.25, 3.13)","(6.0, 8.2, 6.165384615384616)","(17.0, 44.0, 34.0)","(1.01, 99999, 99990)","(7.5, 14.5, 13.175)"
12-01-2023 11:25:21.367949,"(1.01, 99999, 99990)","(5.0, 8.2, 7.542857142857143)","(4.6, 6.0, 5.25)","(9.0, 11.0, 10.04)","(2.5, 3.25, 3.13)","(6.0, 8.2, 6.165384615384616)","(17.0, 44.0, 34.0)","(1.01, 99999, 99990)","(7.5, 14.5, 13.175)"
12-01-2023 11:25:22.587321,"(1.01, 99999, 99990)","(5.0, 8.2, 7.542857142857143)","(4.6, 6.0, 5.25)","(9.0, 11.0, 10.04)","(2.5, 3.25, 3.13)","(6.0, 8.2, 6.165384615384616)","(17.0, 44.0, 34.0)","(1.01, 99999, 99990)","(7.5, 14.5, 13.175)"
12-01-2023 11:25:23.759135,"(1.01, 99999, 99990)","(5.0, 8.2, 7.542857142857143)","(4.6, 6.0, 5.25)","(9.0, 11.0, 10.04)","(2.5, 3.25, 3.13)","(6.0, 8.2, 6.165384615384616)","(17.0, 44.0, 37.75)","(1.01, 99999, 99990)","(7.5, 14.5, 13.175)"
12-01-2023 11:25:24.880558,"(1.01, 99999, 99990)","(5.0, 8.2, 7.542857142857143)","(4.6, 6.0, 5.25)","(9.0, 11.0, 10.04)","(2.5, 3.25, 3.13)","(6.0, 8.2, 6.165384615384616)","(17.0, 44.0, 37.75)","(1.01, 99999, 99990)","(7.5, 14.5, 13.175)"
12-01-2023 11:25:25.827723,"(1.01, 99999, 99990)","(5.0, 8.2, 7.542857142857143)","(4.6, 6.0, 5.25)","(9.0, 11.0, 10.04)","(2.5, 3.25, 3.13)","(6.0, 8.2, 6.165384615384616)","(17.0, 44.0, 39.44444444444444)","(1.01, 99999, 99990)","(7.5, 14.5, 13.175)"
12-01-2023 11:25:26.932466,"(1.01, 99999, 99990)","(5.0, 8.2, 7.542857142857143)","(4.6, 6.0, 5.25)","(9.0, 11.0, 10.04)","(2.5, 3.25, 3.13)","(6.0, 8.2, 6.165384615384616)","(17.0, 42.0, 39.44444444444444)","(1.01, 99999, 99990)","(7.5, 14.5, 13.175)"
12-01-2023 11:25:27.951755,"(1.01, 99999, 99990)","(5.0, 8.2, 7.542857142857143)","(4.6, 6.0, 5.25)","(9.0, 11.0, 9.899999999999999)","(2.5, 3.25, 3.13)","(6.0, 8.2, 6.165384615384616)","(17.0, 42.0, 39.44444444444444)","(1.01, 99999, 99990)","(7.5, 14.5, 13.175)"
12-01-2023 11:25:28.934641,"(1.01, 99999, 99990)","(5.0, 8.2, 7.542857142857143)","(4.6, 6.0, 5.25)","(9.0, 11.0, 10.04)","(2.5, 3.25, 3.125)","(6.0, 8.2, 6.109090909090909)","(17.0, 42.0, 31.0)","(1.01, 99999, 99990)","(7.5, 14.5, 13.175)"
12-01-2023 11:25:30.025512,"(1.01, 99999, 99990)","(5.0, 8.2, 7.542857142857143)","(4.6, 6.0, 5.25)","(9.0, 11.0, 10.04)","(2.5, 3.25, 3.125)","(6.0, 8.2, 6.109090909090909)","(17.0, 42.0, 31.0)","(1.01, 99999, 99990)","(7.5, 14.5, 13.175)"
12-01-2023 11:25:31.117670,"(1.01, 99999, 99990)","(5.0, 8.2, 7.542857142857143)","(4.6, 6.0, 5.25)","(9.0, 11.0, 10.04)","(2.5, 3.25, 3.125)","(6.0, 8.2, 6.109090909090909)","(17.0, 42.0, 31.0)","(1.01, 99999, 99990)","(7.5, 14.5, 13.175)"
12-01-2023 11:25:32.265299,"(1.01, 99999, 99990)","(5.0, 8.2, 7.542857142857143)","(4.6, 6.0, 5.25)","(9.0, 11.0, 10.04)","(2.5, 3.25, 3.125)","(6.0, 8.2, 6.109090909090909)","(17.0, 42.0, 38.85714285714286)","(1.01, 99999, 99990)","(7.5, 14.5, 13.175)"
12-01-2023 11:25:33.436013,"(1.01, 99999, 99990)","(5.0, 8.2, 7.542857142857143)","(4.6, 6.0, 5.25)","(9.0, 11.0, 10.04)","(2.5, 3.25, 3.125)","(6.0, 8.2, 6.109090909090909)","(17.0, 42.0, 38.85714285714286)","(1.01, 99999, 99990)","(7.5, 14.5, 13.175)"
12-01-2023 11:25:34.514485,"(1.01, 99999, 99990)","(5.0, 8.2, 7.542857142857143)","(4.6, 6.0, 5.25)","(9.0, 11.0, 10.04)","(2.5, 3.25, 3.125)","(6.0, 8.2, 6.109090909090909)","(17.0, 42.0, 38.85714285714286)","(1.01, 99999, 99990)","(7.5, 14.5, 13.175)"
12-01-2023 11:25:35.569736,"(1.01, 99999, 99990)","(5.0, 8.2, 7.542857142857143)","(4.6, 6.0, 5.25)","(9.0, 11.0, 9.899999999999999)","(2.5, 3.25, 3.125)","(6.0, 8.2, 6.109090909090909)","(17.0, 42.0, 38.85714285714286)","(1.01, 99999, 99990)","(7.5, 14.5, 13.175)"
12-01-2023 11:25:36.588178,"(1.01, 99999, 99990)","(5.0, 8.2, 7.542857142857143)","(4.6, 6.0, 5.25)","(9.0, 11.0, 10.120000000000001)","(2.5, 3.25, 3.125)","(6.0, 8.2, 6.109090909090909)","(17.0, 42.0, 38.85714285714286)","(1.01, 99999, 99990)","(7.5, 14.5, 13.175)"
12-01-2023 11:25:37.633929,"(1.01, 99999, 99990)","(5.0, 8.2, 7.542857142857143)","(4.6, 6.0, 5.25)","(9.0, 11.0, 10.120000000000001)","(2.5, 3.25, 3.125)","(6.0, 8.2, 6.109090909090909)","(17.0, 42.0, 38.85714285714286)","(1.01, 99999, 99990)","(7.5, 14.5, 11.928571428571429)"
12-01-2023 11:25:38.634331,"(1.01, 99999, 99990)","(5.0, 8.2, 7.542857142857143)","(4.6, 6.0, 5.25)","(9.0, 11.0, 10.120000000000001)","(2.5, 3.25, 3.125)","(6.0, 8.2, 6.109090909090909)","(17.0, 42.0, 38.85714285714286)","(1.01, 99999, 99990)","(7.5, 14.5, 12.863636363636363)"
12-01-2023 11:25:39.655693,"(1.01, 99999, 99990)","(5.0, 8.2, 7.542857142857143)","(4.6, 6.0, 5.25)","(9.0, 11.0, 10.120000000000001)","(2.5, 3.25, 3.05)","(6.0, 8.2, 6.228571428571429)","(17.0, 42.0, 38.85714285714286)","(1.01, 99999, 99990)","(7.5, 14.5, 12.863636363636363)"
12-01-2023 11:25:40.738290,"(1.01, 99999, 99990)","(5.0, 8.2, 7.542857142857143)","(4.6, 6.0, 5.25)","(9.0, 10.5, 10.225)","(2.5, 3.25, 3.05)","(6.0, 8.2, 6.392857142857143)","(17.0, 42.0, 33.2)","(1.01, 99999, 99990)","(7.5, 14.5, 12.863636363636363)"
12-01-2023 11:25:41.863413,"(1.01, 99999, 99990)","(5.0, 8.2, 7.542857142857143)","(4.6, 6.0, 5.25)","(9.0, 10.5, 10.225)","(2.5, 3.25, 3.05)","(6.0, 8.2, 6.392857142857143)","(17.0, 42.0, 33.2)","(1.01, 99999, 99990)","(7.5, 14.5, 12.863636363636363)"
12-01-2023 11:25:42.898461,"(1.01, 99999, 99990)","(5.0, 8.2, 7.542857142857143)","(4.6, 6.0, 5.28)","(9.0, 10.5, 10.225)","(2.5, 3.25, 3.05)","(6.0, 8.2, 6.392857142857143)","(17.0, 42.0, 50.0)","(1.01, 99999, 99990)","(7.5, 14.5, 12.863636363636363)"
12-01-2023 11:25:43.967690,"(1.01, 99999, 99990)","(5.0, 8.2, 7.542857142857143)","(4.6, 6.0, 5.1000000000000005)","(9.0, 11.0, 10.057142857142857)","(2.5, 3.25, 3.05)","(6.0, 8.2, 6.392857142857143)","(17.0, 70.0, 42.5)","(1.01, 99999, 99990)","(7.5, 14.5, 12.863636363636363)"
12-01-2023 11:25:45.020078,"(1.01, 99999, 99990)","(5.0, 8.2, 7.542857142857143)","(4.6, 6.0, 5.1000000000000005)","(9.0, 11.0, 10.127272727272727)","(2.5, 3.25, 3.05)","(6.0, 8.2, 6.392857142857143)","(17.0, 65.0, 38.0)","(1.01, 99999, 99990)","(7.5, 14.5, 12.863636363636363)"
12-01-2023 11:25:46.140543,"(1.01, 99999, 99990)","(5.0, 8.2, 7.542857142857143)","(4.6, 6.0, 5.1000000000000005)","(9.0, 11.0, 10.314285714285715)","(2.5, 3.25, 3.05)","(6.0, 8.2, 6.392857142857143)","(17.0, 65.0, 38.0)","(1.01, 99999, 99990)","(7.5, 14.5, 12.863636363636363)"
12-01-2023 11:25:47.203699,"(1.01, 99999, 99990)","(5.0, 8.2, 7.542857142857143)","(4.6, 6.0, 5.1000000000000005)","(9.0, 13.0, 11.17142857142857)","(2.5, 3.25, 3.05)","(6.0, 8.2, 6.264285714285714)","(17.0, 65.0, 54.285714285714285)","(1.01, 99999, 99990)","(7.5, 14.5, 12.863636363636363)"
12-01-2023 11:25:48.264169,"(1.01, 99999, 99990)","(5.0, 8.2, 7.542857142857143)","(4.6, 6.0, 5.1000000000000005)","(9.0, 15.0, 13.88888888888889)","(2.5, 3.25, 3.05)","(6.0, 7.6, 6.264285714285714)","(17.0, 60.0, 54.285714285714285)","(1.01, 99999, 99990)","(7.5, 14.5, 12.863636363636363)"
