,Wild Ollie,Sanitized,Blackwood Blue,Tiger Town,Elite Judan,Pauline Keeping,Ninja Fun,Cool Myra
11-01-2023 21:52:28.202264,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:29.495310,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:30.733595,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:32.091709,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:33.465107,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:34.756057,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:36.266225,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:37.506999,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:38.659929,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:40.124762,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:41.468293,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:42.865067,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:44.152596,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:45.533879,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:46.788559,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:48.000685,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:49.188458,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:50.348992,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:51.486828,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:52.707667,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:53.794284,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:55.002766,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:56.156938,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:57.366959,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:58.542381,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:59.737995,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:00.930224,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:02.032300,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:03.160478,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:04.255873,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:05.371171,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:06.466729,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:07.638456,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:08.779128,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:09.924116,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:11.100637,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:12.234914,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:13.386292,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:14.529506,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:15.704596,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:16.860494,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:17.955880,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:19.077570,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:20.163179,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:21.211137,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:22.248987,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:23.351626,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:24.448300,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:25.612247,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:26.839964,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:28.037505,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:29.261093,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:30.472560,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:31.603323,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:32.700084,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:33.875019,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:34.978320,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:36.081653,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:37.175642,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:38.260214,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:39.410632,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:40.541993,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:41.737316,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:42.871544,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:53:44.056521,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
