,Spring Monica,Bow Down,Roxy Rover,Undoing,Snowy Jinx,Shakira Blaze
06-01-2023 10:41:15.851514,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:16.813058,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:17.728893,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:18.708613,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:19.655551,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:20.620589,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:21.563354,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:22.464761,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:23.403903,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:24.420495,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:25.435072,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:26.491858,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:27.465596,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:28.411944,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:29.297688,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:30.213268,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:31.171356,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:32.068344,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:33.018139,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:33.942563,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:34.904677,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:35.884427,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:36.814535,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:37.732751,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:38.685465,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:39.651355,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:40.676401,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:41.632251,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:42.577269,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:43.486149,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:44.429104,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:45.396250,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:46.302298,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:47.261401,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:48.167398,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:49.094681,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:50.051503,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:51.033634,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:52.001489,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:53.010639,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:54.005837,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:55.003865,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
