,Surveillance,Chiclett,Henchard,Chuck A Luck,Tuscan Holiday,Soviet Spy,Rhythm Star,Long Knife Brother,Missalfie
07-12-2022 17:59:03.577141,"(3.6, 4.7, 4.477777777777778)","(4.6, 5.7, 5.45)","(4.4, 4.8, 4.6375)","(17.0, 26.0, 21.333333333333332)","(10.0, 17.5, 15.357142857142858)","(10.0, 11.5, 10.136363636363637)","(10.0, 13.0, 11.875)","(71.0, 210.0, 145.0)","(7.5, 12.5, 11.095238095238095)"
07-12-2022 17:59:04.707402,"(3.6, 4.7, 4.477777777777778)","(4.6, 5.7, 5.45)","(4.4, 4.8, 4.6375)","(17.0, 26.0, 21.333333333333332)","(10.0, 17.5, 15.357142857142858)","(10.0, 11.5, 10.136363636363637)","(10.0, 13.0, 11.875)","(71.0, 210.0, 120.0)","(7.5, 13.0, 11.095238095238095)"
07-12-2022 17:59:05.833226,"(3.6, 4.7, 4.477777777777778)","(4.6, 5.7, 5.45)","(4.4, 4.8, 4.6375)","(17.0, 26.0, 21.333333333333332)","(10.0, 17.5, 15.357142857142858)","(10.0, 11.5, 10.136363636363637)","(10.0, 13.0, 11.75)","(71.0, 200.0, 160.0)","(7.5, 13.0, 11.5)"
07-12-2022 17:59:07.005702,"(3.6, 4.7, 4.590909090909091)","(4.6, 5.5, 5.25)","(4.4, 4.8, 4.6375)","(17.0, 24.0, 21.6)","(10.0, 16.5, 15.166666666666666)","(10.0, 11.5, 10.136363636363637)","(10.0, 12.5, 11.75)","(71.0, 200.0, 160.0)","(7.5, 12.5, 11.5)"
07-12-2022 17:59:08.135705,"(3.6, 4.7, 4.61)","(4.6, 5.5, 5.25)","(4.4, 4.8, 4.6375)","(17.0, 24.0, 21.6)","(10.0, 16.5, 15.166666666666666)","(10.0, 11.5, 10.136363636363637)","(10.0, 12.5, 11.75)","(71.0, 200.0, 160.0)","(7.5, 12.5, 11.5)"
07-12-2022 17:59:09.367130,"(3.6, 4.7, 4.618181818181818)","(4.6, 5.5, 5.25)","(4.4, 4.8, 4.644)","(17.0, 24.0, 21.6)","(10.0, 16.5, 15.166666666666666)","(10.0, 11.5, 10.136363636363637)","(10.0, 12.5, 11.75)","(71.0, 200.0, 160.0)","(7.5, 12.5, 11.5)"
07-12-2022 17:59:10.496314,"(3.6, 4.7, 4.618181818181818)","(4.6, 5.5, 5.25)","(4.4, 4.8, 4.644)","(17.0, 24.0, 21.6)","(10.0, 16.5, 15.166666666666666)","(10.0, 11.5, 10.136363636363637)","(10.0, 12.5, 11.75)","(71.0, 200.0, 160.0)","(7.5, 12.5, 11.5)"
07-12-2022 17:59:11.838362,"(3.6, 4.7, 4.618181818181818)","(4.6, 5.5, 5.153846153846154)","(4.4, 4.8, 4.644)","(17.0, 24.0, 21.6)","(10.0, 16.5, 15.166666666666666)","(10.0, 11.5, 10.136363636363637)","(10.0, 12.5, 11.75)","(71.0, 200.0, 160.0)","(7.5, 12.5, 11.5)"
07-12-2022 17:59:13.387254,"(3.6, 4.7, 4.660869565217391)","(4.6, 5.5, 5.153846153846154)","(4.4, 4.8, 4.644)","(17.0, 24.0, 21.6)","(10.0, 16.5, 15.0)","(10.0, 11.5, 10.136363636363637)","(10.0, 12.5, 11.75)","(71.0, 200.0, 160.0)","(7.5, 12.5, 11.5)"
07-12-2022 17:59:14.605669,"(3.6, 4.7, 4.660869565217391)","(4.6, 5.5, 5.153846153846154)","(4.4, 4.8, 4.644)","(17.0, 24.0, 21.6)","(10.0, 16.0, 15.0)","(10.0, 11.5, 10.136363636363637)","(10.0, 12.5, 11.75)","(71.0, 200.0, 160.0)","(7.5, 12.5, 11.5)"
07-12-2022 17:59:16.198743,"(3.6, 4.7, 4.660869565217391)","(4.6, 5.5, 5.153846153846154)","(4.4, 4.8, 4.644)","(17.0, 24.0, 21.6)","(10.0, 16.0, 15.0)","(10.0, 11.5, 10.136363636363637)","(10.0, 12.5, 11.75)","(71.0, 200.0, 160.0)","(7.5, 12.5, 11.5)"
