,Splash Of Crimson Nz,Lucky Beach Boy,Watts Up Sunshine,Joe Nien,Firestorm Red,Reign Maker,Aalesund,Everybodylovedray,R Eleven Art Nz,Yoha Nz
07-01-2023 20:02:32.537785,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:34.261697,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:35.801648,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:37.291613,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:38.795239,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:40.289916,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:41.778639,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:43.263031,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:44.585413,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:45.882877,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:47.388708,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:48.833143,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:50.327353,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:51.819632,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:53.283494,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:54.691999,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:56.152079,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:57.609415,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:59.055335,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:03:00.549137,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:03:02.061803,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:03:03.594874,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:03:05.098508,"(6.5, 99999, 99990)","(13.0, 28.0, 25.583333333333332)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 31.181818181818183)","(31.0, 130.0, 82.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:03:06.550753,"(6.5, 99999, 99990)","(13.0, 28.0, 25.583333333333332)","(1.9, 2.86, 2.114)","(4.6, 7.4, 5.9125)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 31.181818181818183)","(31.0, 130.0, 82.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:03:08.013366,"(6.5, 99999, 99990)","(13.0, 28.0, 25.583333333333332)","(1.9, 2.76, 2.114)","(4.6, 7.6, 5.9125)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 31.181818181818183)","(31.0, 130.0, 82.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:03:09.432077,"(6.5, 99999, 99990)","(13.0, 28.0, 25.583333333333332)","(1.9, 2.76, 2.114)","(4.6, 7.6, 5.9125)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 31.181818181818183)","(31.0, 130.0, 82.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:03:10.814994,"(6.5, 99999, 99990)","(13.0, 28.0, 25.583333333333332)","(1.9, 2.76, 2.114)","(4.6, 7.6, 5.9125)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 31.181818181818183)","(31.0, 130.0, 82.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:03:12.213746,"(6.5, 99999, 99990)","(13.0, 28.0, 25.583333333333332)","(1.9, 2.76, 2.114)","(4.6, 7.6, 5.9125)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 31.181818181818183)","(31.0, 130.0, 82.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:03:13.658709,"(6.5, 99999, 99990)","(13.0, 28.0, 25.583333333333332)","(1.9, 2.76, 2.114)","(4.6, 7.6, 5.9125)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 31.181818181818183)","(31.0, 130.0, 82.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:03:15.118453,"(6.5, 99999, 99990)","(13.0, 28.0, 25.583333333333332)","(1.9, 2.76, 2.114)","(4.6, 7.6, 5.9125)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 31.181818181818183)","(31.0, 130.0, 82.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:03:16.784276,"(6.5, 99999, 99990)","(13.0, 28.0, 25.583333333333332)","(1.9, 2.76, 2.114)","(4.6, 7.6, 5.9125)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 31.181818181818183)","(31.0, 130.0, 82.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:03:18.420511,"(6.5, 99999, 99990)","(13.0, 28.0, 25.583333333333332)","(1.9, 2.76, 2.114)","(4.6, 7.6, 5.9125)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 31.181818181818183)","(31.0, 130.0, 82.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:03:20.343107,"(6.5, 99999, 99990)","(13.0, 28.0, 25.583333333333332)","(1.9, 2.76, 2.114)","(4.6, 7.6, 5.9125)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 31.181818181818183)","(31.0, 130.0, 82.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:03:21.990031,"(6.5, 99999, 99990)","(13.0, 28.0, 25.583333333333332)","(1.9, 2.76, 2.114)","(4.6, 7.6, 5.9125)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 31.181818181818183)","(31.0, 130.0, 82.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:03:23.571759,"(6.5, 99999, 99990)","(13.0, 28.0, 25.583333333333332)","(1.9, 2.76, 2.114)","(4.6, 7.6, 5.9125)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 31.181818181818183)","(31.0, 130.0, 82.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:03:25.009944,"(6.5, 99999, 99990)","(13.0, 28.0, 25.583333333333332)","(1.9, 2.76, 2.114)","(4.6, 7.6, 5.9125)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 31.181818181818183)","(31.0, 130.0, 82.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:03:26.527925,"(6.5, 99999, 99990)","(13.0, 28.0, 25.583333333333332)","(1.9, 2.76, 2.114)","(4.6, 7.6, 5.9125)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 31.181818181818183)","(31.0, 130.0, 82.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:03:28.001832,"(6.5, 99999, 99990)","(13.0, 28.0, 25.583333333333332)","(1.9, 2.76, 2.114)","(4.6, 7.6, 5.9125)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 31.181818181818183)","(31.0, 130.0, 82.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:03:29.601925,"(6.5, 99999, 99990)","(13.0, 28.0, 25.583333333333332)","(1.9, 2.76, 2.114)","(4.6, 7.6, 5.9125)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 31.181818181818183)","(31.0, 130.0, 82.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:03:31.057318,"(6.5, 99999, 99990)","(13.0, 28.0, 25.583333333333332)","(1.9, 2.76, 2.114)","(4.6, 7.6, 5.9125)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 31.181818181818183)","(31.0, 130.0, 82.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:03:32.552609,"(6.5, 99999, 99990)","(13.0, 28.0, 25.583333333333332)","(1.9, 2.76, 2.114)","(4.6, 7.6, 5.9125)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 31.181818181818183)","(31.0, 130.0, 82.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:03:33.929671,"(6.5, 99999, 99990)","(13.0, 28.0, 25.583333333333332)","(1.9, 2.76, 2.114)","(4.6, 7.6, 5.9125)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 31.181818181818183)","(31.0, 130.0, 82.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:03:35.464182,"(6.5, 99999, 99990)","(13.0, 28.0, 25.583333333333332)","(1.9, 2.76, 2.114)","(4.6, 7.6, 5.9125)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 31.181818181818183)","(31.0, 130.0, 82.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:03:37.071348,"(6.5, 99999, 99990)","(13.0, 28.0, 25.583333333333332)","(1.9, 2.76, 2.114)","(4.6, 7.6, 5.9125)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 31.181818181818183)","(31.0, 130.0, 82.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:03:38.543956,"(6.5, 99999, 99990)","(13.0, 28.0, 25.583333333333332)","(1.9, 2.76, 2.114)","(4.6, 7.6, 5.9125)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 31.181818181818183)","(31.0, 130.0, 82.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:03:39.983355,"(6.5, 99999, 99990)","(13.0, 28.0, 25.583333333333332)","(1.9, 2.76, 2.114)","(4.6, 7.6, 5.9125)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 31.181818181818183)","(31.0, 130.0, 83.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:03:41.369162,"(6.5, 99999, 99990)","(13.0, 28.0, 25.583333333333332)","(1.9, 2.76, 2.114)","(4.6, 7.6, 5.9125)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 31.181818181818183)","(31.0, 130.0, 83.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:03:42.805047,"(6.5, 99999, 99990)","(13.0, 28.0, 25.583333333333332)","(1.9, 2.76, 2.114)","(4.6, 7.6, 5.9125)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 31.181818181818183)","(31.0, 130.0, 83.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:03:44.117073,"(6.5, 99999, 99990)","(13.0, 28.0, 25.583333333333332)","(1.9, 2.76, 2.245)","(4.6, 7.6, 6.15)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 31.181818181818183)","(31.0, 130.0, 53.333333333333336)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
