,Orson Laurie,Blink You Lose,Double Happiness,Boston Budgies,Fernando Diva,Kingsbrae Anna
15-12-2022 12:41:39.720144,"(1.26, 1.49, 1.3940000000000001)","(8.5, 21.0, 11.666666666666668)","(51.0, 430.0, 353.59999999999997)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 11.272727272727273)","(6.5, 14.0, 9.2)"
15-12-2022 12:41:40.882567,"(1.26, 1.48, 1.3607692307692307)","(8.5, 21.0, 11.666666666666668)","(51.0, 430.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.299999999999999)","(6.5, 14.0, 9.2)"
15-12-2022 12:41:42.191865,"(1.26, 1.48, 1.3607692307692307)","(8.5, 21.0, 11.666666666666668)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.825000000000001)","(6.5, 14.0, 9.2)"
15-12-2022 12:41:43.423278,"(1.26, 1.48, 1.3607692307692307)","(8.5, 21.0, 11.666666666666668)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.825000000000001)","(6.5, 14.0, 9.2)"
15-12-2022 12:41:44.768211,"(1.26, 1.48, 1.3607692307692307)","(8.5, 21.0, 11.666666666666668)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.825000000000001)","(6.5, 14.0, 9.2)"
15-12-2022 12:41:45.950569,"(1.26, 1.47, 1.3889473684210527)","(8.5, 21.0, 11.666666666666668)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.825000000000001)","(6.5, 14.0, 9.2)"
15-12-2022 12:41:47.056125,"(1.26, 1.47, 1.3889473684210527)","(8.5, 21.0, 11.666666666666668)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.825000000000001)","(6.5, 14.0, 9.2)"
15-12-2022 12:41:48.137447,"(1.26, 1.52, 1.464421052631579)","(8.5, 21.0, 11.666666666666668)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.825000000000001)","(6.5, 14.0, 9.2)"
15-12-2022 12:41:49.180285,"(1.26, 1.51, 1.3463636363636364)","(8.5, 21.0, 11.666666666666668)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.825000000000001)","(6.5, 14.0, 9.2)"
15-12-2022 12:41:50.184376,"(1.26, 1.5, 1.4267796610169492)","(8.5, 21.0, 11.666666666666668)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.825000000000001)","(6.5, 14.0, 9.2)"
15-12-2022 12:41:51.390466,"(1.26, 1.5, 1.348888888888889)","(8.5, 21.0, 11.666666666666668)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.825000000000001)","(6.5, 14.0, 9.2)"
15-12-2022 12:41:52.561041,"(1.26, 1.5, 1.3311111111111111)","(8.5, 21.0, 11.666666666666668)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.825000000000001)","(6.5, 14.0, 9.2)"
15-12-2022 12:41:53.625480,"(1.26, 1.5, 1.348888888888889)","(8.5, 21.0, 11.666666666666668)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.825000000000001)","(6.5, 14.0, 9.2)"
15-12-2022 12:41:54.623973,"(1.26, 1.5, 1.4494736842105262)","(8.5, 21.0, 11.666666666666668)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.825000000000001)","(6.5, 14.0, 9.2)"
15-12-2022 12:41:55.608207,"(1.26, 1.57, 1.4092857142857143)","(8.5, 21.0, 11.666666666666668)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.825000000000001)","(6.5, 14.0, 9.2)"
15-12-2022 12:41:56.629964,"(1.26, 1.54, 1.3784615384615386)","(8.5, 21.0, 11.666666666666668)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.825000000000001)","(6.5, 14.0, 9.2)"
15-12-2022 12:41:57.763742,"(1.26, 1.52, 1.3472727272727274)","(8.5, 21.0, 16.25)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.825000000000001)","(6.5, 14.0, 9.2)"
15-12-2022 12:41:58.851917,"(1.26, 1.52, 1.3472727272727274)","(8.5, 21.0, 16.25)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.825000000000001)","(6.5, 14.0, 9.2)"
15-12-2022 12:41:59.962977,"(1.26, 1.51, 1.4645652173913044)","(8.5, 21.0, 11.833333333333334)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.825000000000001)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:01.126728,"(1.26, 1.51, 1.3685714285714285)","(8.5, 21.0, 11.833333333333334)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.825000000000001)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:02.119995,"(1.26, 1.51, 1.3685714285714285)","(8.5, 21.0, 11.833333333333334)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.825000000000001)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:03.103572,"(1.26, 1.52, 1.4276923076923078)","(8.5, 21.0, 11.833333333333334)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.825000000000001)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:04.263765,"(1.26, 1.52, 1.3472727272727274)","(8.5, 21.0, 11.833333333333334)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.825000000000001)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:05.435341,"(1.26, 1.51, 1.3561538461538463)","(8.5, 21.0, 11.833333333333334)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.825000000000001)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:06.524535,"(1.26, 1.5, 1.4154545454545455)","(8.5, 21.0, 11.833333333333334)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.825000000000001)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:07.507404,"(1.26, 1.5, 1.364871794871795)","(8.5, 21.0, 11.833333333333334)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.825000000000001)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:08.412240,"(1.26, 1.5, 1.364871794871795)","(8.5, 21.0, 11.833333333333334)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.825000000000001)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:09.500689,"(1.26, 1.49, 1.3973684210526316)","(8.5, 21.0, 16.25)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 12.986666666666668)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:10.589169,"(1.26, 1.49, 1.3973684210526316)","(8.5, 21.0, 16.25)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 12.986666666666668)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:11.610824,"(1.26, 1.49, 1.3973684210526316)","(8.5, 21.0, 11.666666666666668)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 11.654545454545454)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:12.631660,"(1.26, 1.5, 1.364871794871795)","(8.5, 21.0, 16.25)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:13.584891,"(1.26, 1.5, 1.364871794871795)","(8.5, 21.0, 12.25)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:14.579146,"(1.26, 1.5, 1.364871794871795)","(8.5, 21.0, 12.25)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:15.519768,"(1.26, 1.49, 1.3940000000000001)","(8.5, 21.0, 12.25)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:16.515420,"(1.26, 1.48, 1.3607692307692307)","(8.5, 21.0, 12.25)","(51.0, 410.0, 337.6)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:17.512909,"(1.26, 1.48, 1.3607692307692307)","(8.5, 21.0, 12.25)","(51.0, 420.0, 260.57142857142856)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:18.582338,"(1.26, 1.51, 1.3678947368421053)","(8.5, 21.0, 12.25)","(51.0, 420.0, 353.59999999999997)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:19.580647,"(1.26, 1.51, 1.3678947368421053)","(8.5, 21.0, 12.25)","(51.0, 430.0, 353.59999999999997)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:20.643598,"(1.26, 1.51, 1.3678947368421053)","(8.5, 21.0, 12.25)","(51.0, 430.0, 353.59999999999997)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:21.836989,"(1.26, 1.5, 1.3980000000000001)","(8.5, 21.0, 12.25)","(51.0, 430.0, 375.42857142857144)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:22.891277,"(1.26, 1.48, 1.3607692307692307)","(8.5, 21.0, 12.25)","(51.0, 430.0, 375.42857142857144)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:23.787943,"(1.26, 1.48, 1.3607692307692307)","(8.5, 21.0, 12.25)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:24.918778,"(1.26, 1.48, 1.3607692307692307)","(8.5, 21.0, 12.25)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:26.065338,"(1.26, 1.48, 1.3607692307692307)","(8.5, 21.0, 12.25)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:27.076478,"(1.26, 1.47, 1.3889473684210527)","(8.5, 21.0, 12.25)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:28.027433,"(1.26, 1.47, 1.36)","(8.5, 21.0, 12.25)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:29.034264,"(1.26, 1.47, 1.3442857142857143)","(8.5, 21.0, 12.25)","(51.0, 430.0, 334.5)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:30.129914,"(1.26, 1.57, 1.340909090909091)","(8.5, 21.0, 12.25)","(51.0, 430.0, 334.5)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:31.185282,"(1.26, 1.57, 1.4092857142857143)","(8.5, 21.0, 12.25)","(51.0, 430.0, 334.5)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:32.225599,"(1.26, 1.57, 1.340909090909091)","(8.5, 21.0, 12.25)","(51.0, 430.0, 334.5)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:33.330843,"(1.26, 1.53, 1.3845454545454545)","(8.5, 21.0, 12.25)","(51.0, 430.0, 334.5)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:34.442235,"(1.26, 1.52, 1.3472727272727274)","(8.5, 21.0, 12.25)","(51.0, 430.0, 334.5)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:35.401558,"(1.26, 1.52, 1.4276923076923078)","(8.5, 21.0, 12.25)","(51.0, 430.0, 334.5)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:36.406122,"(1.26, 1.52, 1.3472727272727274)","(8.5, 21.0, 12.25)","(51.0, 430.0, 334.5)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:37.425377,"(1.26, 1.52, 1.3523529411764708)","(8.5, 21.0, 12.25)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:38.462961,"(1.26, 1.52, 1.3563636363636364)","(8.5, 21.0, 12.25)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:39.546831,"(1.26, 1.51, 1.391)","(8.5, 21.0, 12.25)","(51.0, 420.0, 327.0)","(17.0, 65.0, 31.181818181818183)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:40.554810,"(1.26, 1.51, 1.4783333333333333)","(8.5, 21.0, 16.25)","(51.0, 420.0, 327.0)","(17.0, 65.0, 31.181818181818183)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:41.598550,"(1.26, 1.51, 1.3840000000000001)","(8.5, 21.0, 12.666666666666666)","(51.0, 420.0, 327.0)","(17.0, 65.0, 31.181818181818183)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:42.639875,"(1.26, 1.49, 1.353235294117647)","(8.5, 21.0, 12.666666666666666)","(51.0, 440.0, 342.0)","(17.0, 65.0, 31.181818181818183)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:43.632876,"(1.26, 1.49, 1.353235294117647)","(8.5, 21.0, 12.666666666666666)","(51.0, 430.0, 375.42857142857144)","(17.0, 65.0, 31.181818181818183)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:44.552404,"(1.26, 1.49, 1.353235294117647)","(8.5, 21.0, 12.666666666666666)","(51.0, 430.0, 375.42857142857144)","(17.0, 65.0, 31.545454545454547)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:45.653857,"(1.26, 1.48, 1.368)","(8.5, 21.0, 12.666666666666666)","(51.0, 430.0, 375.42857142857144)","(17.0, 65.0, 31.545454545454547)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:46.799441,"(1.26, 1.48, 1.368)","(8.5, 21.0, 12.666666666666666)","(51.0, 430.0, 327.0)","(17.0, 65.0, 31.545454545454547)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:47.882096,"(1.26, 1.48, 1.4391489361702128)","(8.5, 21.0, 12.666666666666666)","(51.0, 420.0, 327.0)","(17.0, 65.0, 31.545454545454547)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:48.848608,"(1.26, 1.51, 1.3463636363636364)","(8.5, 21.0, 12.666666666666666)","(51.0, 420.0, 327.0)","(17.0, 65.0, 31.545454545454547)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:49.855746,"(1.26, 1.51, 1.3678947368421053)","(8.5, 21.0, 12.666666666666666)","(51.0, 420.0, 327.0)","(17.0, 65.0, 31.545454545454547)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:50.958289,"(1.26, 1.51, 1.3678947368421053)","(8.5, 21.0, 12.666666666666666)","(51.0, 420.0, 327.0)","(17.0, 65.0, 31.545454545454547)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:52.022414,"(1.26, 1.51, 1.3678947368421053)","(8.5, 21.0, 12.666666666666666)","(51.0, 420.0, 327.0)","(17.0, 65.0, 31.545454545454547)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:52.961274,"(1.26, 1.51, 1.3678947368421053)","(8.5, 21.0, 12.666666666666666)","(51.0, 420.0, 327.0)","(17.0, 65.0, 31.545454545454547)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:54.030726,"(1.26, 1.5, 1.401578947368421)","(8.5, 21.0, 12.666666666666666)","(51.0, 420.0, 327.0)","(17.0, 65.0, 31.545454545454547)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:55.073631,"(1.26, 1.5, 1.401578947368421)","(8.5, 21.0, 12.666666666666666)","(51.0, 420.0, 327.0)","(17.0, 65.0, 31.545454545454547)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:56.059891,"(1.26, 1.5, 1.401578947368421)","(8.5, 21.0, 12.666666666666666)","(51.0, 420.0, 327.0)","(17.0, 65.0, 31.545454545454547)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:57.070670,"(1.26, 1.5, 1.401578947368421)","(8.5, 21.0, 12.666666666666666)","(51.0, 420.0, 327.0)","(17.0, 65.0, 31.545454545454547)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:58.002780,"(1.26, 1.48, 1.3607692307692307)","(8.5, 21.0, 12.666666666666666)","(51.0, 420.0, 327.0)","(17.0, 65.0, 31.545454545454547)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:42:59.010992,"(1.26, 1.48, 1.3607692307692307)","(8.5, 21.0, 12.666666666666666)","(51.0, 420.0, 327.0)","(17.0, 65.0, 31.545454545454547)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:43:00.009836,"(1.26, 1.48, 1.3607692307692307)","(8.5, 21.0, 12.666666666666666)","(51.0, 420.0, 327.0)","(17.0, 65.0, 31.545454545454547)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:43:01.078427,"(1.26, 1.48, 1.3607692307692307)","(8.5, 21.0, 12.666666666666666)","(51.0, 420.0, 327.0)","(17.0, 65.0, 31.545454545454547)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:43:02.087179,"(1.26, 1.48, 1.3607692307692307)","(8.5, 21.0, 12.666666666666666)","(51.0, 420.0, 327.0)","(17.0, 65.0, 31.545454545454547)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:43:03.098969,"(1.26, 1.48, 1.3607692307692307)","(8.5, 21.0, 12.666666666666666)","(51.0, 420.0, 327.0)","(17.0, 65.0, 31.545454545454547)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:43:04.061282,"(1.26, 1.48, 1.3607692307692307)","(8.5, 21.0, 12.666666666666666)","(51.0, 420.0, 327.0)","(17.0, 65.0, 31.545454545454547)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:43:05.014185,"(1.26, 1.48, 1.3607692307692307)","(8.5, 21.0, 12.666666666666666)","(51.0, 420.0, 327.0)","(17.0, 65.0, 31.545454545454547)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:43:06.091051,"(1.26, 1.47, 1.3860000000000001)","(8.5, 21.0, 12.666666666666666)","(51.0, 420.0, 327.0)","(17.0, 65.0, 31.545454545454547)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:43:07.175018,"(1.26, 1.47, 1.358)","(8.5, 21.0, 12.666666666666666)","(51.0, 420.0, 327.0)","(17.0, 65.0, 31.545454545454547)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:43:08.298110,"(1.26, 1.46, 1.4242553191489362)","(8.5, 21.0, 12.666666666666666)","(51.0, 420.0, 327.0)","(17.0, 65.0, 31.545454545454547)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:43:09.282973,"(1.26, 1.46, 1.356)","(8.5, 21.0, 12.666666666666666)","(51.0, 420.0, 327.0)","(17.0, 65.0, 31.545454545454547)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:43:10.146503,"(1.26, 1.46, 1.356)","(8.5, 21.0, 16.25)","(51.0, 420.0, 327.0)","(17.0, 65.0, 31.545454545454547)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:43:11.132224,"(1.26, 1.46, 1.356)","(8.5, 21.0, 11.666666666666668)","(51.0, 420.0, 327.0)","(17.0, 65.0, 31.545454545454547)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:43:12.171521,"(1.26, 1.46, 1.356)","(8.5, 21.0, 11.666666666666668)","(51.0, 420.0, 327.0)","(17.0, 65.0, 31.545454545454547)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:43:13.246502,"(1.26, 1.57, 1.4092857142857143)","(8.5, 21.0, 11.666666666666668)","(51.0, 420.0, 327.0)","(17.0, 65.0, 31.545454545454547)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:43:14.135675,"(1.26, 1.55, 1.35)","(8.5, 21.0, 11.666666666666668)","(51.0, 420.0, 327.0)","(17.0, 65.0, 31.545454545454547)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:43:15.088453,"(1.26, 1.54, 1.3860000000000001)","(8.5, 21.0, 11.666666666666668)","(51.0, 420.0, 327.0)","(17.0, 65.0, 31.545454545454547)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:43:16.015150,"(1.26, 1.54, 1.3860000000000001)","(8.5, 21.0, 11.666666666666668)","(51.0, 420.0, 327.0)","(17.0, 65.0, 31.545454545454547)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:43:16.908495,"(1.26, 1.54, 1.3860000000000001)","(8.5, 21.0, 11.666666666666668)","(51.0, 420.0, 327.0)","(17.0, 65.0, 31.545454545454547)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:43:17.746555,"(1.26, 1.54, 1.3860000000000001)","(8.5, 21.0, 11.666666666666668)","(51.0, 420.0, 327.0)","(17.0, 65.0, 31.545454545454547)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:43:18.702584,"(1.26, 1.54, 1.3860000000000001)","(8.5, 21.0, 11.666666666666668)","(51.0, 420.0, 327.0)","(17.0, 65.0, 31.545454545454547)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:43:19.669097,"(1.26, 1.54, 1.3860000000000001)","(8.5, 21.0, 11.666666666666668)","(51.0, 420.0, 327.0)","(17.0, 65.0, 31.545454545454547)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
