,Our Blue Haze,Shinning Hook,Please Thanks,Remo Rodman,Hot Fudge,Hooked On Red,Waterloo Boy
10-01-2023 18:04:43.964054,"(5.5, 11.0, 9.416666666666666)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 3.5975)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 20.0, 19.253333333333334)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:04:45.084923,"(5.5, 11.0, 9.416666666666666)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 3.5975)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 20.0, 19.253333333333334)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:04:46.111611,"(5.5, 11.0, 9.416666666666666)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 3.5975)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 20.0, 19.253333333333334)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:04:47.174682,"(5.5, 11.0, 9.416666666666666)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 3.5975)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 20.0, 19.253333333333334)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:04:48.286465,"(5.5, 11.0, 9.416666666666666)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 3.5975)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 20.0, 19.253333333333334)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:04:49.425296,"(5.5, 11.0, 9.416666666666666)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 3.5975)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 20.0, 19.253333333333334)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:04:50.593487,"(5.5, 11.0, 9.416666666666666)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 3.5975)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 20.0, 19.253333333333334)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:04:51.782401,"(5.5, 11.0, 9.416666666666666)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 3.5975)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 20.0, 19.253333333333334)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:04:52.849187,"(5.5, 11.0, 9.416666666666666)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 3.5975)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 20.0, 17.2875)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:04:53.814382,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.35, 2.9204545454545454)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 18.5, 17.2875)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:04:54.859263,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.35, 2.9204545454545454)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 18.5, 17.2875)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:04:56.019593,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.35, 2.9204545454545454)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 18.5, 17.2875)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:04:57.177991,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.35, 2.9204545454545454)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 18.5, 17.2875)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:04:58.291038,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.35, 2.9204545454545454)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 18.5, 17.2875)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:04:59.438287,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.35, 2.9204545454545454)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 18.5, 17.2875)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:00.588030,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.35, 2.9204545454545454)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 18.5, 17.2875)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:01.722974,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.35, 2.9204545454545454)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 18.5, 17.2875)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:02.855749,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.35, 2.9204545454545454)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 35.625)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:04.005519,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 35.625)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:05.085834,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 35.625)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:06.156928,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 35.625)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:07.333395,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 30.818181818181817)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:08.428466,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 30.818181818181817)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:09.427684,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 30.818181818181817)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:10.454597,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 30.818181818181817)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:11.508608,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 30.818181818181817)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:12.621196,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 30.818181818181817)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:13.803906,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 30.818181818181817)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:14.971437,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 30.818181818181817)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:16.142746,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 30.818181818181817)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:17.269581,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 30.818181818181817)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:18.360339,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 30.818181818181817)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:19.394821,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 30.818181818181817)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:20.405693,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 30.818181818181817)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:21.435002,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 30.818181818181817)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:22.581965,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 30.818181818181817)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:23.764824,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 30.818181818181817)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:24.942778,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 30.818181818181817)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:26.124445,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 30.818181818181817)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:27.475535,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 30.818181818181817)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:28.787481,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 30.818181818181817)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:30.031934,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 30.818181818181817)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:31.333321,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 30.818181818181817)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:32.576387,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 30.818181818181817)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:33.754653,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 30.818181818181817)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:34.977158,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 30.818181818181817)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:36.089656,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 30.818181818181817)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:37.194410,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 30.818181818181817)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:38.274901,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 30.818181818181817)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:39.361985,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 30.818181818181817)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:40.522110,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 30.818181818181817)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:41.668077,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 30.818181818181817)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:42.903211,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 30.818181818181817)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:44.166269,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 30.818181818181817)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:45.433148,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 30.818181818181817)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:46.625371,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 30.818181818181817)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:47.742187,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 30.818181818181817)","(9.0, 18.5, 16.125)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:48.795979,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 20.0)","(18.0, 65.0, 43.40909090909091)","(9.0, 18.5, 17.2875)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:49.835577,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 18.5, 17.2875)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:50.908019,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 18.5, 17.2875)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:51.981454,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 18.5, 17.2875)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:53.130279,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 18.5, 17.2875)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:54.271749,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 18.5, 17.2875)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:55.378047,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 18.5, 17.2875)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:56.486264,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 18.5, 17.2875)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:57.624567,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 18.5, 17.2875)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:58.795214,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 18.5, 17.2875)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:05:59.941167,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 18.5, 17.2875)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:06:01.120131,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 18.5, 17.2875)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:06:02.290238,"(5.5, 9.4, 8.853333333333333)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 4.962820512820513)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 18.5, 17.2875)","(5.0, 8.0, 5.333333333333333)"
