,Big Time Axel,Churn It Up,Thrilling Bandit,Go Norman,Redeem A Rapper,Big Time Express,Dangerous Woman,Big Time Maurice
11-01-2023 13:38:56.254826,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:38:57.507876,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:38:58.887483,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:39:00.128096,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:39:01.328014,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:39:02.577355,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:39:03.778075,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:39:04.984988,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:39:06.090738,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:39:07.489031,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 7.9)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.580000000000002)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:39:08.674850,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.0, 7.9)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 10.580000000000002)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:39:10.080712,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.0, 7.9)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 10.580000000000002)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:39:11.371051,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.0, 7.9)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 10.580000000000002)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:39:12.435948,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.0, 7.9)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 10.580000000000002)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:39:13.546536,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.0, 7.9)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 10.580000000000002)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:39:14.621329,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.0, 7.9)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 10.580000000000002)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:39:15.804942,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.0, 7.9)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 10.580000000000002)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:39:16.916636,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.0, 7.9)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 10.580000000000002)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:39:18.039774,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.0, 7.9)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 10.580000000000002)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:39:19.260801,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.0, 7.9)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 10.580000000000002)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:39:20.527386,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.0, 7.9)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 10.580000000000002)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:39:21.983588,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.0, 7.9)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 10.580000000000002)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:39:23.152871,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.0, 7.9)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 10.580000000000002)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:39:24.319757,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.0, 7.9)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 10.580000000000002)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:39:25.306644,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.0, 7.9)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 10.580000000000002)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:39:26.381320,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.0, 7.9)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 10.580000000000002)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:39:27.487637,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.0, 7.9)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 10.580000000000002)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:39:28.548558,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.0, 7.9)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 10.580000000000002)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:39:29.653207,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.0, 7.9)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 10.580000000000002)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:39:30.755325,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.0, 7.9)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 10.580000000000002)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:39:31.897019,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.0, 7.9)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 10.580000000000002)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:39:33.243131,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.0, 7.9)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 10.580000000000002)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:39:34.915712,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.0, 7.9)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 10.580000000000002)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:39:36.186506,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.0, 7.9)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 10.580000000000002)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:39:37.320953,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.0, 7.9)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 10.580000000000002)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:39:38.572930,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.0, 7.9)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 10.580000000000002)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:39:39.835516,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.0, 9.075)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 10.580000000000002)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.573333333333334)"
11-01-2023 13:39:41.181597,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 10.5, 9.075)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 10.580000000000002)","(4.6, 16.0, 10.5)","(7.5, 13.0, 12.573333333333334)"
11-01-2023 13:39:42.423199,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 10.5, 9.075)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 10.580000000000002)","(4.6, 16.0, 10.5)","(7.5, 13.0, 12.573333333333334)"
11-01-2023 13:39:43.693961,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 10.5, 9.075)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 10.580000000000002)","(4.6, 16.0, 10.5)","(7.5, 13.0, 12.573333333333334)"
11-01-2023 13:39:44.804176,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 10.5, 9.075)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 10.580000000000002)","(4.6, 16.0, 10.5)","(7.5, 13.0, 12.573333333333334)"
11-01-2023 13:39:46.105742,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 10.5, 9.075)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 7.372727272727273)","(4.6, 16.0, 10.5)","(7.5, 13.0, 12.573333333333334)"
11-01-2023 13:39:47.332904,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 10.5, 9.075)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 7.372727272727273)","(4.6, 16.0, 10.5)","(7.5, 13.0, 12.573333333333334)"
11-01-2023 13:39:48.672256,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 10.5, 9.075)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 7.372727272727273)","(4.6, 16.0, 10.5)","(7.5, 13.0, 12.573333333333334)"
11-01-2023 13:39:50.148881,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 10.5, 9.075)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 7.372727272727273)","(4.6, 16.0, 10.5)","(7.5, 13.0, 12.573333333333334)"
11-01-2023 13:39:51.514088,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 10.5, 9.075)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 7.372727272727273)","(4.6, 16.0, 10.5)","(7.5, 13.0, 12.573333333333334)"
11-01-2023 13:39:52.966770,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 10.5, 9.075)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 7.372727272727273)","(4.6, 16.0, 10.5)","(7.5, 13.0, 12.573333333333334)"
11-01-2023 13:39:54.223619,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 10.5, 9.075)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 7.372727272727273)","(4.6, 16.0, 10.5)","(7.5, 13.0, 12.573333333333334)"
11-01-2023 13:39:55.482968,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 10.5, 9.075)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 7.372727272727273)","(4.6, 16.0, 10.5)","(7.5, 13.0, 12.573333333333334)"
11-01-2023 13:39:56.593382,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 10.5, 9.075)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 7.372727272727273)","(4.6, 16.0, 10.5)","(7.5, 13.0, 12.573333333333334)"
11-01-2023 13:39:57.721937,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 10.5, 9.075)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 7.372727272727273)","(4.6, 16.0, 10.5)","(7.5, 13.0, 12.573333333333334)"
11-01-2023 13:39:58.884004,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 10.5, 9.075)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 7.372727272727273)","(4.6, 16.0, 10.5)","(7.5, 13.0, 12.573333333333334)"
11-01-2023 13:39:59.967750,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 10.5, 9.075)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 7.372727272727273)","(4.6, 16.0, 10.5)","(7.5, 13.0, 12.573333333333334)"
11-01-2023 13:40:01.155006,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 10.5, 9.075)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 7.372727272727273)","(4.6, 16.0, 10.5)","(7.5, 13.0, 12.573333333333334)"
11-01-2023 13:40:02.354612,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 10.5, 9.075)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.5, 7.372727272727273)","(4.6, 16.0, 10.5)","(7.5, 13.0, 12.573333333333334)"
