,Flat Tyre,Good Boy Lloyd,Canya Whisper,Orara Mullet,Aston Cash,Big Bad Bruce,Mary Now Knows,Annabelle Rocks
16-12-2022 12:03:43.815438,"(3.9, 7.6, 7.3)","(5.5, 7.0, 6.070967741935484)","(4.2, 6.0, 5.591666666666667)","(21.0, 50.0, 29.75)","(51.0, 520.0, 357.5)","(10.0, 50.0, 45.8)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.8, 3.618181818181818)"
16-12-2022 12:03:44.919957,"(3.9, 8.2, 7.285714285714285)","(5.5, 7.0, 6.070967741935484)","(4.2, 6.0, 5.5200000000000005)","(21.0, 50.0, 29.75)","(51.0, 520.0, 357.5)","(10.0, 50.0, 45.8)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.8, 3.6916666666666664)"
16-12-2022 12:03:45.992765,"(3.9, 8.2, 7.879999999999999)","(5.5, 7.0, 6.04)","(4.2, 6.0, 5.7375)","(21.0, 50.0, 39.2)","(51.0, 520.0, 357.5)","(10.0, 50.0, 45.8)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.8, 3.6916666666666664)"
16-12-2022 12:03:47.287978,"(3.9, 8.2, 7.181818181818182)","(5.5, 7.0, 6.133333333333333)","(4.2, 6.0, 5.7375)","(21.0, 48.0, 38.0)","(51.0, 520.0, 357.5)","(10.0, 50.0, 45.8)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.8, 3.6916666666666664)"
16-12-2022 12:03:48.523540,"(3.9, 8.2, 7.181818181818182)","(5.5, 6.8, 6.0)","(4.2, 6.0, 5.5200000000000005)","(21.0, 48.0, 28.0)","(51.0, 520.0, 357.5)","(10.0, 50.0, 45.8)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.8, 3.6088235294117643)"
16-12-2022 12:03:49.796115,"(3.9, 8.2, 7.181818181818182)","(5.5, 6.8, 6.0)","(4.2, 6.0, 5.5200000000000005)","(21.0, 48.0, 28.0)","(51.0, 520.0, 357.5)","(10.0, 50.0, 45.8)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.8, 3.6088235294117643)"
16-12-2022 12:03:51.231507,"(3.9, 8.2, 7.181818181818182)","(5.5, 6.8, 6.0)","(4.2, 6.0, 5.7375)","(21.0, 48.0, 28.0)","(51.0, 520.0, 357.5)","(10.0, 50.0, 45.8)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.8, 3.6555555555555554)"
16-12-2022 12:03:52.682301,"(3.9, 8.2, 7.181818181818182)","(5.5, 6.8, 6.0)","(4.2, 6.0, 5.7375)","(21.0, 48.0, 28.0)","(51.0, 520.0, 357.5)","(10.0, 50.0, 45.8)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.8, 3.6555555555555554)"
16-12-2022 12:03:53.887621,"(3.9, 8.2, 7.181818181818182)","(5.5, 6.8, 6.0)","(4.2, 6.0, 5.7375)","(21.0, 48.0, 28.0)","(51.0, 520.0, 357.5)","(10.0, 50.0, 45.8)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.8, 3.6555555555555554)"
16-12-2022 12:03:55.019618,"(3.9, 8.2, 7.181818181818182)","(5.5, 6.8, 6.0)","(4.2, 6.0, 5.7375)","(21.0, 48.0, 28.0)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.8, 3.6088235294117643)"
16-12-2022 12:03:56.070165,"(3.9, 8.2, 7.181818181818182)","(5.5, 6.8, 6.0)","(4.2, 6.0, 5.5200000000000005)","(21.0, 48.0, 28.0)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.8, 3.6555555555555554)"
16-12-2022 12:03:57.086426,"(3.9, 8.2, 7.181818181818182)","(5.5, 6.8, 6.0)","(4.2, 6.0, 5.7375)","(21.0, 48.0, 28.0)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.8, 3.6555555555555554)"
16-12-2022 12:03:58.150264,"(3.9, 8.0, 7.16)","(5.5, 6.6, 6.359999999999999)","(4.2, 6.0, 5.7375)","(21.0, 48.0, 26.571428571428573)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.8, 3.6555555555555554)"
16-12-2022 12:03:59.286280,"(3.9, 8.0, 7.16)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.0, 5.7375)","(21.0, 48.0, 28.0)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.8, 3.6088235294117643)"
16-12-2022 12:04:00.398918,"(3.9, 8.0, 7.16)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.0, 5.7375)","(21.0, 48.0, 28.0)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.8, 3.6088235294117643)"
16-12-2022 12:04:01.511938,"(3.9, 8.0, 7.16)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.0, 5.5200000000000005)","(21.0, 48.0, 28.0)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.8, 3.6555555555555554)"
16-12-2022 12:04:02.614783,"(3.9, 8.0, 7.16)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.0, 5.7375)","(21.0, 48.0, 28.0)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.8, 3.6555555555555554)"
16-12-2022 12:04:03.639793,"(3.9, 8.0, 7.16)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.0, 5.7375)","(21.0, 48.0, 28.0)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.8, 3.6555555555555554)"
16-12-2022 12:04:04.743374,"(3.9, 8.0, 7.16)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.0, 5.7375)","(21.0, 48.0, 28.0)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.8, 3.6555555555555554)"
16-12-2022 12:04:05.853486,"(3.9, 8.0, 7.16)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.0, 5.7375)","(21.0, 48.0, 28.0)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.8, 3.6088235294117643)"
16-12-2022 12:04:06.998299,"(3.9, 8.0, 7.16)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.0, 5.5200000000000005)","(21.0, 48.0, 28.0)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.8, 3.6088235294117643)"
16-12-2022 12:04:08.060958,"(3.9, 8.0, 7.16)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.0, 5.5200000000000005)","(21.0, 48.0, 28.0)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.8, 3.6555555555555554)"
16-12-2022 12:04:09.257157,"(3.9, 8.0, 7.16)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.0, 5.7375)","(21.0, 48.0, 28.0)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.8, 3.65)"
16-12-2022 12:04:10.453967,"(3.9, 8.0, 7.16)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.0, 5.7375)","(21.0, 48.0, 28.0)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.65)"
16-12-2022 12:04:11.614189,"(3.9, 8.0, 7.16)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.0, 5.7375)","(21.0, 48.0, 28.0)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.65)"
16-12-2022 12:04:12.737273,"(3.9, 8.0, 7.16)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.0, 5.7375)","(21.0, 48.0, 28.0)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.607142857142857)"
16-12-2022 12:04:13.813741,"(3.9, 8.0, 7.16)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.0, 5.5200000000000005)","(21.0, 48.0, 28.0)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.607142857142857)"
16-12-2022 12:04:14.899993,"(3.9, 8.0, 7.16)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.0, 5.5200000000000005)","(21.0, 48.0, 28.0)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.607142857142857)"
16-12-2022 12:04:15.951015,"(3.9, 8.0, 7.16)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.0, 5.5200000000000005)","(21.0, 48.0, 28.0)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.65)"
16-12-2022 12:04:16.995349,"(3.9, 8.4, 7.114285714285714)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.0, 5.7375)","(21.0, 48.0, 28.0)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.65)"
16-12-2022 12:04:18.103124,"(3.9, 8.4, 7.114285714285714)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.0, 5.7375)","(21.0, 48.0, 28.0)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.65)"
16-12-2022 12:04:19.209538,"(3.9, 8.4, 7.114285714285714)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.0, 5.7375)","(21.0, 48.0, 26.571428571428573)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.607142857142857)"
16-12-2022 12:04:20.375035,"(3.9, 8.4, 7.114285714285714)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.0, 5.5200000000000005)","(21.0, 48.0, 28.0)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.607142857142857)"
16-12-2022 12:04:21.490517,"(3.9, 8.4, 7.32)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.0, 5.5200000000000005)","(21.0, 48.0, 28.0)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.65)"
16-12-2022 12:04:22.684332,"(3.9, 8.4, 7.114285714285714)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.0, 5.7375)","(21.0, 48.0, 28.0)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.65)"
16-12-2022 12:04:23.775802,"(3.9, 8.4, 7.114285714285714)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.0, 5.7375)","(21.0, 48.0, 28.0)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.65)"
16-12-2022 12:04:24.775762,"(3.9, 8.4, 7.114285714285714)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.0, 5.7375)","(21.0, 48.0, 28.0)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.607142857142857)"
16-12-2022 12:04:25.839153,"(3.9, 8.4, 7.114285714285714)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.0, 5.5200000000000005)","(21.0, 48.0, 28.0)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.607142857142857)"
16-12-2022 12:04:26.831266,"(3.9, 8.4, 7.114285714285714)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.0, 5.5200000000000005)","(21.0, 48.0, 28.0)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.607142857142857)"
16-12-2022 12:04:27.913141,"(3.9, 8.4, 7.114285714285714)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.0, 5.5200000000000005)","(21.0, 48.0, 28.0)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.607142857142857)"
16-12-2022 12:04:29.013922,"(3.9, 8.4, 7.114285714285714)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.0, 5.5200000000000005)","(21.0, 48.0, 28.0)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.65)"
16-12-2022 12:04:30.081895,"(3.9, 8.4, 7.114285714285714)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.0, 5.7375)","(21.0, 48.0, 38.333333333333336)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.65)"
16-12-2022 12:04:31.195049,"(3.9, 8.4, 7.114285714285714)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.0, 5.7375)","(21.0, 46.0, 38.333333333333336)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.65)"
16-12-2022 12:04:32.280467,"(3.9, 8.4, 7.114285714285714)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.0, 5.7375)","(21.0, 46.0, 26.066666666666666)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.607142857142857)"
16-12-2022 12:04:33.330929,"(3.9, 8.4, 7.114285714285714)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.0, 5.5200000000000005)","(21.0, 46.0, 33.5)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.65)"
16-12-2022 12:04:34.381116,"(3.9, 8.2, 7.311111111111111)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.0, 5.7375)","(21.0, 44.0, 39.285714285714285)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.65)"
16-12-2022 12:04:35.402686,"(3.9, 8.2, 7.133333333333333)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.0, 5.7375)","(21.0, 42.0, 36.85714285714286)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.65)"
16-12-2022 12:04:36.456113,"(3.9, 8.2, 7.311111111111111)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.0, 5.7375)","(21.0, 40.0, 32.0)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.65)"
16-12-2022 12:04:37.460896,"(3.9, 8.2, 7.311111111111111)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.0, 5.7375)","(21.0, 40.0, 26.666666666666668)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.607142857142857)"
16-12-2022 12:04:38.465291,"(3.9, 8.2, 7.311111111111111)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.0, 5.5200000000000005)","(21.0, 40.0, 26.666666666666668)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.65)"
16-12-2022 12:04:39.474146,"(3.9, 8.2, 7.311111111111111)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.4, 5.85)","(21.0, 40.0, 25.6)","(51.0, 520.0, 357.5)","(10.0, 50.0, 43.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.6416666666666666)"
16-12-2022 12:04:40.622644,"(3.9, 8.2, 7.133333333333333)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.4, 6.0)","(21.0, 40.0, 25.6)","(51.0, 520.0, 357.5)","(10.0, 50.0, 40.666666666666664)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.6416666666666666)"
16-12-2022 12:04:41.745647,"(3.9, 8.2, 7.311111111111111)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.2, 5.872727272727273)","(21.0, 40.0, 25.6)","(51.0, 520.0, 357.5)","(10.0, 46.0, 31.684210526315788)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.65)"
16-12-2022 12:04:42.740249,"(3.9, 8.2, 7.311111111111111)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.2, 5.872727272727273)","(21.0, 40.0, 25.6)","(51.0, 520.0, 357.5)","(10.0, 46.0, 31.684210526315788)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.607142857142857)"
16-12-2022 12:04:43.714610,"(3.9, 8.2, 7.311111111111111)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.2, 5.6)","(21.0, 40.0, 25.6)","(51.0, 520.0, 357.5)","(10.0, 44.0, 39.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.6416666666666666)"
16-12-2022 12:04:44.691368,"(3.9, 8.2, 7.133333333333333)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.2, 5.844444444444445)","(21.0, 40.0, 25.6)","(51.0, 520.0, 357.5)","(10.0, 44.0, 39.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.6416666666666666)"
16-12-2022 12:04:45.684564,"(3.9, 8.2, 7.311111111111111)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.2, 5.844444444444445)","(21.0, 38.0, 33.0)","(51.0, 520.0, 357.5)","(10.0, 44.0, 39.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.6416666666666666)"
16-12-2022 12:04:46.771169,"(3.9, 8.2, 7.311111111111111)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.2, 5.844444444444445)","(21.0, 38.0, 33.0)","(51.0, 520.0, 357.5)","(10.0, 44.0, 39.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.6416666666666666)"
16-12-2022 12:04:47.863106,"(3.9, 8.2, 7.311111111111111)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.2, 5.844444444444445)","(21.0, 38.0, 26.25)","(51.0, 520.0, 357.5)","(10.0, 44.0, 39.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.607142857142857)"
16-12-2022 12:04:48.951758,"(3.9, 8.2, 7.311111111111111)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.2, 5.6)","(21.0, 36.0, 26.25)","(51.0, 520.0, 357.5)","(10.0, 44.0, 39.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.65)"
16-12-2022 12:04:50.095140,"(3.9, 8.2, 7.311111111111111)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.2, 5.844444444444445)","(21.0, 36.0, 24.625)","(51.0, 520.0, 357.5)","(10.0, 44.0, 31.272727272727273)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.65)"
16-12-2022 12:04:51.236343,"(3.9, 8.2, 7.311111111111111)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.2, 5.844444444444445)","(21.0, 36.0, 24.625)","(51.0, 520.0, 357.5)","(10.0, 44.0, 31.272727272727273)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.65)"
16-12-2022 12:04:52.341545,"(3.9, 8.2, 7.311111111111111)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.2, 5.844444444444445)","(21.0, 36.0, 24.625)","(51.0, 520.0, 357.5)","(10.0, 44.0, 31.272727272727273)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.607142857142857)"
16-12-2022 12:04:53.494237,"(3.9, 8.2, 7.311111111111111)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.2, 5.844444444444445)","(21.0, 36.0, 24.625)","(51.0, 520.0, 357.5)","(10.0, 44.0, 31.272727272727273)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.607142857142857)"
16-12-2022 12:04:54.650430,"(3.9, 8.2, 7.311111111111111)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.2, 5.6)","(21.0, 36.0, 24.625)","(51.0, 520.0, 357.5)","(10.0, 44.0, 31.272727272727273)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.607142857142857)"
16-12-2022 12:04:55.721947,"(3.9, 8.2, 7.311111111111111)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.2, 5.6)","(21.0, 36.0, 24.625)","(51.0, 520.0, 357.5)","(10.0, 44.0, 31.272727272727273)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.65)"
16-12-2022 12:04:56.839976,"(3.9, 8.2, 7.311111111111111)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.2, 5.844444444444445)","(21.0, 36.0, 24.625)","(51.0, 520.0, 357.5)","(10.0, 44.0, 31.272727272727273)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.65)"
16-12-2022 12:04:58.056013,"(3.9, 8.2, 7.311111111111111)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.2, 5.844444444444445)","(21.0, 36.0, 24.625)","(51.0, 520.0, 357.5)","(10.0, 44.0, 31.272727272727273)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.65)"
16-12-2022 12:04:59.611267,"(3.9, 8.2, 7.311111111111111)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.2, 5.844444444444445)","(21.0, 36.0, 24.625)","(51.0, 520.0, 357.5)","(10.0, 44.0, 31.272727272727273)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.607142857142857)"
16-12-2022 12:05:00.887848,"(4.0, 8.2, 7.311111111111111)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.2, 5.844444444444445)","(21.0, 36.0, 24.625)","(61.0, 520.0, 357.5)","(11.0, 44.0, 39.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.65)"
16-12-2022 12:05:02.221758,"(4.0, 8.2, 7.311111111111111)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.2, 5.6)","(21.0, 36.0, 24.625)","(61.0, 520.0, 357.5)","(11.0, 44.0, 39.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.65)"
16-12-2022 12:05:03.339138,"(4.0, 8.2, 7.133333333333333)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.2, 5.844444444444445)","(21.0, 36.0, 24.625)","(61.0, 520.0, 357.5)","(11.0, 44.0, 39.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.65)"
16-12-2022 12:05:04.551465,"(4.0, 8.2, 7.133333333333333)","(5.5, 6.6, 6.309090909090909)","(4.2, 6.2, 5.844444444444445)","(21.0, 36.0, 24.625)","(61.0, 520.0, 357.5)","(11.0, 44.0, 39.333333333333336)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.75, 3.607142857142857)"
