,Alfano,Lamelo,Sacred Field,Ramones,Arion Story,Cake Baby,Anavinci,Fanagoria,Shes A Bad Girl,Coriolis
08-12-2022 14:23:36.262951,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 105.33333333333334)","(101.0, 520.0, 325.0)","(4.2, 4.9, 4.8090909090909095)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:23:37.508612,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 105.33333333333334)","(101.0, 520.0, 325.0)","(4.2, 4.9, 4.8090909090909095)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:23:38.813923,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 105.33333333333334)","(101.0, 520.0, 325.0)","(4.2, 4.9, 4.8090909090909095)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:23:39.972351,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 105.33333333333334)","(101.0, 520.0, 325.0)","(4.2, 4.9, 4.8090909090909095)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:23:41.346564,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 177.0)","(101.0, 520.0, 447.2727272727273)","(4.2, 4.9, 4.847674418604651)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:23:42.733180,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 177.0)","(101.0, 520.0, 447.2727272727273)","(4.2, 4.9, 4.847674418604651)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:23:44.014731,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 177.0)","(101.0, 520.0, 447.2727272727273)","(4.2, 4.9, 4.847674418604651)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:23:45.198741,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 177.0)","(101.0, 520.0, 447.2727272727273)","(4.2, 4.9, 4.847674418604651)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:23:46.412951,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 177.0)","(101.0, 520.0, 447.2727272727273)","(4.2, 4.9, 4.847674418604651)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:23:47.590175,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 177.0)","(101.0, 520.0, 447.2727272727273)","(4.2, 4.9, 4.847674418604651)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:23:48.828181,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 177.0)","(101.0, 520.0, 447.2727272727273)","(4.2, 4.9, 4.847674418604651)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:23:50.032736,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 177.0)","(101.0, 520.0, 325.0)","(4.2, 4.9, 4.847674418604651)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:23:51.214628,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 177.0)","(101.0, 520.0, 325.0)","(4.2, 4.9, 4.847674418604651)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:23:52.431541,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 177.0)","(101.0, 520.0, 325.0)","(4.2, 4.9, 4.847674418604651)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:23:53.630887,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 177.0)","(101.0, 520.0, 325.0)","(4.2, 4.9, 4.847674418604651)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:23:54.785380,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 177.0)","(101.0, 520.0, 325.0)","(4.2, 4.9, 4.847674418604651)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:23:55.974650,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 177.0)","(101.0, 520.0, 325.0)","(4.2, 4.9, 4.847674418604651)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:23:57.170507,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 177.0)","(101.0, 520.0, 325.0)","(4.2, 4.9, 4.847674418604651)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:23:58.437146,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 177.0)","(101.0, 520.0, 325.0)","(4.2, 4.9, 4.847674418604651)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:23:59.706674,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 177.0)","(101.0, 520.0, 325.0)","(4.2, 4.9, 4.847674418604651)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:24:00.954355,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 177.0)","(101.0, 520.0, 325.0)","(4.2, 4.9, 4.847674418604651)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:24:02.166173,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 171.42857142857142)","(101.0, 520.0, 325.0)","(4.2, 4.9, 4.847674418604651)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:24:03.388476,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 171.42857142857142)","(101.0, 520.0, 325.0)","(4.2, 4.9, 4.847674418604651)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:24:04.678562,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 171.42857142857142)","(101.0, 520.0, 325.0)","(4.2, 4.9, 4.847674418604651)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:24:05.953902,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 189.0909090909091)","(101.0, 520.0, 396.6666666666667)","(4.2, 4.9, 4.841558441558441)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:24:07.175203,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 189.0909090909091)","(101.0, 530.0, 396.6666666666667)","(4.2, 4.9, 4.841558441558441)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:24:08.559288,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 189.0909090909091)","(101.0, 530.0, 396.6666666666667)","(4.2, 4.9, 4.841558441558441)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:24:09.738236,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 189.0909090909091)","(101.0, 530.0, 396.6666666666667)","(4.2, 4.9, 4.841558441558441)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:24:10.966297,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 189.0909090909091)","(101.0, 530.0, 396.6666666666667)","(4.2, 4.9, 4.841558441558441)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:24:12.134522,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 189.0909090909091)","(101.0, 530.0, 396.6666666666667)","(4.2, 4.9, 4.841558441558441)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:24:13.405010,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 189.0909090909091)","(101.0, 530.0, 396.6666666666667)","(4.2, 4.9, 4.841558441558441)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:24:14.809478,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 189.0909090909091)","(101.0, 530.0, 396.6666666666667)","(4.2, 4.9, 4.841558441558441)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:24:16.186701,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 189.0909090909091)","(101.0, 530.0, 396.6666666666667)","(4.2, 4.9, 4.841558441558441)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:24:17.534120,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 189.0909090909091)","(101.0, 530.0, 396.6666666666667)","(4.2, 4.9, 4.841558441558441)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:24:18.881421,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 189.0909090909091)","(101.0, 530.0, 396.6666666666667)","(4.2, 4.9, 4.7823529411764705)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:24:20.242958,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 189.0909090909091)","(101.0, 530.0, 396.6666666666667)","(4.2, 4.8, 4.7823529411764705)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:24:21.610006,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 189.0909090909091)","(101.0, 530.0, 396.6666666666667)","(4.2, 4.8, 4.7823529411764705)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:24:22.956339,"(26.0, 48.0, 41.666666666666664)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.333980582524272)","(41.0, 220.0, 189.0909090909091)","(101.0, 530.0, 396.6666666666667)","(4.2, 4.8, 4.747619047619048)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:24:24.299231,"(26.0, 48.0, 45.285714285714285)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.333980582524272)","(41.0, 220.0, 189.0909090909091)","(101.0, 530.0, 396.6666666666667)","(4.2, 4.8, 4.747619047619048)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:24:25.536568,"(26.0, 48.0, 45.285714285714285)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.333980582524272)","(41.0, 220.0, 189.0909090909091)","(101.0, 530.0, 396.6666666666667)","(4.2, 4.8, 4.747619047619048)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:24:26.763254,"(26.0, 48.0, 45.285714285714285)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.333980582524272)","(41.0, 220.0, 189.0909090909091)","(101.0, 530.0, 396.6666666666667)","(4.2, 4.8, 4.747619047619048)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:24:28.036139,"(26.0, 48.0, 45.285714285714285)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.333980582524272)","(41.0, 220.0, 189.0909090909091)","(101.0, 530.0, 396.6666666666667)","(4.2, 4.8, 4.747619047619048)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:24:29.247679,"(26.0, 48.0, 46.64285714285714)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.333980582524272)","(41.0, 220.0, 189.0909090909091)","(101.0, 530.0, 396.6666666666667)","(4.2, 4.8, 4.747619047619048)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:24:30.870012,"(26.0, 48.0, 46.64285714285714)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.333980582524272)","(41.0, 220.0, 189.0909090909091)","(101.0, 520.0, 325.0)","(4.2, 4.8, 4.747619047619048)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:24:32.220665,"(26.0, 48.0, 46.64285714285714)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.333980582524272)","(41.0, 220.0, 189.0909090909091)","(101.0, 520.0, 325.0)","(4.2, 4.8, 4.747619047619048)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:24:33.460073,"(26.0, 48.0, 46.64285714285714)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.333980582524272)","(41.0, 220.0, 189.0909090909091)","(101.0, 520.0, 325.0)","(4.2, 4.8, 4.747619047619048)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:24:34.606406,"(26.0, 48.0, 46.64285714285714)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.333980582524272)","(41.0, 220.0, 189.0909090909091)","(101.0, 520.0, 325.0)","(4.2, 4.8, 4.747619047619048)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:24:35.800548,"(26.0, 48.0, 44.61538461538461)","(19.0, 34.0, 32.067796610169495)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.333980582524272)","(41.0, 220.0, 188.88888888888889)","(101.0, 520.0, 325.0)","(4.2, 4.7, 4.624210526315789)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.841666666666667)"
08-12-2022 14:24:37.017777,"(26.0, 50.0, 44.61538461538461)","(19.0, 34.0, 32.067796610169495)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.333980582524272)","(41.0, 220.0, 188.88888888888889)","(101.0, 520.0, 325.0)","(4.2, 4.7, 4.624210526315789)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.841666666666667)"
08-12-2022 14:24:38.304958,"(26.0, 50.0, 44.61538461538461)","(19.0, 34.0, 32.067796610169495)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.333980582524272)","(41.0, 220.0, 188.88888888888889)","(101.0, 520.0, 325.0)","(4.2, 4.7, 4.624210526315789)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.841666666666667)"
08-12-2022 14:24:39.773800,"(26.0, 50.0, 44.61538461538461)","(19.0, 34.0, 32.067796610169495)","(20.0, 90.0, 64.8)","(2.0, 2.4, 2.333980582524272)","(41.0, 220.0, 188.88888888888889)","(101.0, 520.0, 453.33333333333337)","(4.2, 4.7, 4.624210526315789)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.841666666666667)"
08-12-2022 14:24:40.976513,"(26.0, 50.0, 44.61538461538461)","(19.0, 34.0, 32.067796610169495)","(20.0, 90.0, 64.8)","(2.0, 2.4, 2.333980582524272)","(41.0, 220.0, 188.88888888888889)","(101.0, 520.0, 453.33333333333337)","(4.2, 4.7, 4.624210526315789)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.841666666666667)"
08-12-2022 14:24:42.288401,"(26.0, 50.0, 44.81481481481482)","(19.0, 34.0, 32.067796610169495)","(20.0, 90.0, 64.8)","(2.0, 2.4, 2.333980582524272)","(41.0, 220.0, 188.88888888888889)","(101.0, 520.0, 453.33333333333337)","(4.2, 4.7, 4.624210526315789)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.841666666666667)"
08-12-2022 14:24:43.892997,"(26.0, 50.0, 44.61538461538461)","(19.0, 34.0, 32.067796610169495)","(20.0, 90.0, 64.8)","(2.0, 2.4, 2.333980582524272)","(41.0, 220.0, 188.88888888888889)","(101.0, 520.0, 447.2727272727273)","(4.2, 4.7, 4.624210526315789)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.841666666666667)"
08-12-2022 14:24:45.363904,"(26.0, 50.0, 45.333333333333336)","(19.0, 34.0, 32.06896551724138)","(20.0, 90.0, 64.8)","(2.0, 2.4, 2.334313725490196)","(41.0, 220.0, 188.88888888888889)","(101.0, 520.0, 447.2727272727273)","(4.2, 4.7, 4.624210526315789)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.841666666666667)"
08-12-2022 14:24:46.622013,"(26.0, 50.0, 45.333333333333336)","(19.0, 34.0, 56.5)","(20.0, 90.0, 64.8)","(2.0, 2.4, 2.334313725490196)","(41.0, 220.0, 188.88888888888889)","(101.0, 520.0, 447.2727272727273)","(4.2, 4.7, 4.624210526315789)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.841666666666667)"
