,Cause Havoc,Sir Diamond,Chase Me Chopper,Double Buck,Off Beat
06-01-2023 11:11:50.681441,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.2, 8.68)","(2.5, 3.55, 3.1315625)","(21.0, 60.0, 37.22222222222222)","(4.4, 7.2, 6.825)"
06-01-2023 11:11:51.615532,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.2, 8.68)","(2.5, 3.55, 3.1315625)","(21.0, 60.0, 37.22222222222222)","(4.4, 7.2, 6.825)"
06-01-2023 11:11:52.530300,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.2, 8.68)","(2.5, 3.55, 3.1315625)","(21.0, 60.0, 37.22222222222222)","(4.4, 7.2, 6.825)"
06-01-2023 11:11:53.476802,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.2, 8.68)","(2.5, 3.55, 3.084242424242424)","(21.0, 60.0, 37.22222222222222)","(4.4, 7.2, 6.825)"
06-01-2023 11:11:54.459512,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.2, 8.68)","(2.5, 3.5, 3.084242424242424)","(21.0, 60.0, 37.22222222222222)","(4.4, 7.2, 6.825)"
06-01-2023 11:11:55.434496,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.2, 8.68)","(2.5, 3.5, 3.2464150943396226)","(21.0, 60.0, 37.22222222222222)","(4.4, 7.2, 6.825)"
06-01-2023 11:11:56.484441,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.2, 8.68)","(2.5, 3.5, 3.2464150943396226)","(21.0, 60.0, 37.22222222222222)","(4.4, 7.2, 6.825)"
06-01-2023 11:11:57.474516,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.2, 8.68)","(2.5, 3.5, 3.2464150943396226)","(21.0, 60.0, 37.22222222222222)","(4.4, 7.2, 6.825)"
06-01-2023 11:11:58.496465,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.2, 8.68)","(2.5, 3.5, 3.2464150943396226)","(21.0, 60.0, 37.22222222222222)","(4.4, 7.2, 6.825)"
06-01-2023 11:11:59.556450,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.2, 8.68)","(2.5, 3.5, 3.2464150943396226)","(21.0, 60.0, 37.22222222222222)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:00.612989,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.2, 8.68)","(2.5, 3.5, 3.2464150943396226)","(21.0, 60.0, 37.22222222222222)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:01.621555,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.2, 8.68)","(2.5, 3.5, 3.2464150943396226)","(21.0, 60.0, 37.22222222222222)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:02.667732,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.2, 8.68)","(2.5, 3.5, 3.2464150943396226)","(21.0, 60.0, 37.22222222222222)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:03.751281,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.2, 8.68)","(2.5, 3.5, 3.2464150943396226)","(21.0, 60.0, 37.22222222222222)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:04.824797,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.2, 8.68)","(2.5, 3.5, 3.2464150943396226)","(21.0, 60.0, 37.22222222222222)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:05.898681,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.2, 8.68)","(2.5, 3.5, 3.2464150943396226)","(21.0, 60.0, 37.22222222222222)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:06.846027,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.2, 8.68)","(2.5, 3.5, 3.2464150943396226)","(21.0, 60.0, 37.22222222222222)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:07.879073,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.4, 8.261111111111111)","(2.5, 3.5, 3.2464150943396226)","(21.0, 60.0, 37.22222222222222)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:08.885387,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.4, 8.261111111111111)","(2.5, 3.5, 3.2464150943396226)","(21.0, 60.0, 37.22222222222222)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:09.713157,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.4, 8.261111111111111)","(2.5, 3.5, 3.2464150943396226)","(21.0, 60.0, 37.22222222222222)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:10.666853,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.4, 8.261111111111111)","(2.5, 3.5, 3.2464150943396226)","(21.0, 60.0, 42.916666666666664)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:11.656097,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.4, 8.261111111111111)","(2.5, 3.5, 3.2464150943396226)","(21.0, 60.0, 41.875)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:12.664902,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.4, 8.261111111111111)","(2.5, 3.5, 3.2464150943396226)","(21.0, 60.0, 41.875)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:13.625711,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.4, 8.261111111111111)","(2.5, 3.5, 3.2464150943396226)","(21.0, 60.0, 41.875)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:14.569880,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.4, 8.261111111111111)","(2.5, 3.5, 3.2464150943396226)","(21.0, 60.0, 48.05555555555556)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:15.396220,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.4, 8.261111111111111)","(2.5, 3.5, 3.2464150943396226)","(21.0, 60.0, 48.05555555555556)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:16.388721,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.4, 8.261111111111111)","(2.5, 3.5, 3.2464150943396226)","(21.0, 60.0, 37.22222222222222)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:17.334802,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 60.0, 37.22222222222222)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:18.281297,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 60.0, 37.22222222222222)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:19.163708,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 60.0, 37.22222222222222)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:20.078394,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 210.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:20.968752,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:21.829377,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:22.796732,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:23.696331,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:24.573576,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:25.506360,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:26.481956,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:27.400256,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:28.177668,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:29.040295,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:29.937944,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:30.842528,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:31.774988,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:32.616351,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:33.461350,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:34.279855,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:35.207489,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:36.113958,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:36.902716,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:37.797958,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:38.698450,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:39.565095,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:40.467849,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:41.417600,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:42.305143,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:43.159749,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:44.020463,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:44.919269,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:45.813459,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:46.613124,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:47.463325,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:48.353829,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:49.212809,"(2.4, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:50.140685,"(2.4, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:51.016084,"(2.4, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:51.868571,"(2.4, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:52.688211,"(2.4, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:53.625752,"(2.4, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:54.590246,"(2.4, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:55.494040,"(2.4, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:56.287038,"(2.4, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:57.093303,"(2.4, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:57.973864,"(2.4, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:58.856345,"(2.4, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:12:59.728945,"(2.4, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:13:00.570266,"(2.4, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:13:01.385507,"(2.4, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:13:02.288052,"(2.4, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:13:03.212002,"(2.4, 4.2, 3.163636363636364)","(5.5, 9.8, 9.2)","(2.5, 3.5, 3.2464150943396226)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.2, 7.0)"
06-01-2023 11:13:04.021910,"(2.4, 4.2, 3.163636363636364)","(5.5, 10.0, 9.513793103448275)","(2.5, 3.55, 3.2975)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.4, 7.0)"
06-01-2023 11:13:04.839689,"(2.4, 4.2, 3.163636363636364)","(5.5, 10.0, 9.513793103448275)","(2.5, 3.55, 3.2975)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.4, 7.0)"
06-01-2023 11:13:05.782625,"(2.4, 4.2, 3.163636363636364)","(5.5, 10.5, 9.96206896551724)","(2.5, 3.55, 3.2975)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.4, 7.0)"
06-01-2023 11:13:06.716328,"(2.4, 4.2, 3.163636363636364)","(5.5, 10.5, 9.96206896551724)","(2.5, 3.55, 3.1315625)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.4, 7.0)"
06-01-2023 11:13:07.614869,"(2.4, 4.0, 3.6608695652173915)","(5.5, 10.5, 9.96206896551724)","(2.5, 3.55, 3.1315625)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.4, 7.0)"
06-01-2023 11:13:08.425412,"(2.4, 4.0, 3.6608695652173915)","(5.5, 10.5, 9.96206896551724)","(2.5, 3.55, 3.1315625)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.4, 7.0)"
06-01-2023 11:13:09.263052,"(2.4, 4.0, 3.6608695652173915)","(5.5, 10.5, 9.96206896551724)","(2.5, 3.55, 3.1315625)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.4, 7.0)"
06-01-2023 11:13:10.057215,"(2.4, 4.0, 3.6608695652173915)","(5.5, 10.5, 9.96206896551724)","(2.5, 3.55, 3.1315625)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.4, 7.0)"
06-01-2023 11:13:10.947504,"(2.4, 4.0, 3.6608695652173915)","(5.5, 10.5, 9.96206896551724)","(2.5, 3.55, 3.1315625)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.4, 7.0)"
06-01-2023 11:13:11.846847,"(2.4, 4.0, 3.6608695652173915)","(5.5, 10.5, 9.96206896551724)","(2.5, 3.55, 3.1315625)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.4, 7.0)"
06-01-2023 11:13:12.704416,"(2.4, 4.0, 3.6608695652173915)","(5.5, 10.5, 9.96206896551724)","(2.5, 3.55, 3.2975)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.4, 7.0)"
06-01-2023 11:13:13.525500,"(2.4, 4.0, 3.6608695652173915)","(5.5, 10.5, 9.96206896551724)","(2.5, 3.55, 3.2975)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.4, 7.0)"
06-01-2023 11:13:14.364140,"(2.4, 4.0, 3.6608695652173915)","(5.5, 10.5, 9.96206896551724)","(2.5, 3.55, 3.2975)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.4, 7.0)"
06-01-2023 11:13:15.285389,"(2.4, 4.0, 3.6608695652173915)","(5.5, 10.5, 9.96206896551724)","(2.5, 3.55, 3.2975)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.4, 7.0)"
06-01-2023 11:13:16.161331,"(2.4, 4.0, 3.6608695652173915)","(5.5, 10.5, 9.96206896551724)","(2.5, 3.55, 3.2975)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.4, 7.0)"
06-01-2023 11:13:17.125282,"(2.4, 4.0, 3.6608695652173915)","(5.5, 10.5, 9.96206896551724)","(2.5, 3.55, 3.2975)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.4, 7.0)"
06-01-2023 11:13:18.053794,"(2.4, 4.0, 3.6608695652173915)","(5.5, 10.5, 9.96206896551724)","(2.5, 3.55, 3.2975)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.4, 7.0)"
06-01-2023 11:13:18.930549,"(2.4, 4.0, 3.6608695652173915)","(5.5, 10.5, 9.96206896551724)","(2.5, 3.55, 3.2975)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.4, 7.0)"
06-01-2023 11:13:19.777967,"(2.4, 4.0, 3.6608695652173915)","(5.5, 10.5, 9.96206896551724)","(2.5, 3.55, 3.2975)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.4, 7.0)"
06-01-2023 11:13:20.769027,"(2.4, 4.0, 3.6608695652173915)","(5.5, 10.5, 9.96206896551724)","(2.5, 3.55, 3.2975)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.4, 7.0)"
06-01-2023 11:13:21.775626,"(2.4, 4.0, 3.6608695652173915)","(5.5, 10.5, 9.96206896551724)","(2.5, 3.55, 3.2975)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.4, 7.0)"
06-01-2023 11:13:22.589312,"(2.4, 4.0, 3.6608695652173915)","(5.5, 10.5, 9.96206896551724)","(2.5, 3.55, 3.2975)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.4, 7.0)"
06-01-2023 11:13:23.523457,"(2.4, 4.0, 3.6608695652173915)","(5.5, 10.5, 9.96206896551724)","(2.5, 3.55, 3.2975)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.4, 7.0)"
06-01-2023 11:13:24.412126,"(2.4, 4.0, 3.6608695652173915)","(5.5, 10.5, 9.96206896551724)","(2.5, 3.55, 3.2975)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.4, 7.0)"
06-01-2023 11:13:25.268693,"(2.4, 4.0, 3.6608695652173915)","(5.5, 10.5, 9.96206896551724)","(2.5, 3.55, 3.2975)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.4, 7.0)"
06-01-2023 11:13:26.162293,"(2.4, 4.0, 3.6608695652173915)","(5.5, 10.5, 9.96206896551724)","(2.5, 3.55, 3.2975)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.4, 7.0)"
06-01-2023 11:13:27.123446,"(2.4, 4.0, 3.6608695652173915)","(5.5, 10.5, 9.96206896551724)","(2.5, 3.55, 3.2975)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.4, 7.0)"
06-01-2023 11:13:27.994152,"(2.4, 4.0, 3.6608695652173915)","(5.5, 10.5, 9.96206896551724)","(2.5, 3.55, 3.2975)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.4, 7.0)"
06-01-2023 11:13:28.923484,"(2.4, 4.0, 3.6608695652173915)","(5.5, 10.5, 9.96206896551724)","(2.5, 3.55, 3.2975)","(21.0, 65.0, 39.44444444444444)","(4.4, 7.4, 7.0)"
