,Heavenly Sign,Wotnow Swanee,Nor Westa,Standandeliver,Sport Cadet,Colby Nz,Im Boo Nz,Thundamental
05-01-2023 17:03:02.333014,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:03:03.702702,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:03:05.070410,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:03:06.561068,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:03:07.983043,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:03:09.290225,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:03:10.960153,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:03:12.135879,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:03:13.338698,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:03:14.581517,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:03:16.066662,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:03:17.287714,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:03:18.540053,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:03:19.876767,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:03:21.173824,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:03:22.394865,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:03:23.656959,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:03:25.266314,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:03:26.596322,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:03:27.877310,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:03:29.292137,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:03:31.156405,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:03:32.523992,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:03:33.958126,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:03:35.303613,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:03:36.553569,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:03:37.810265,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:03:39.057716,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:03:40.295785,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:03:41.403400,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:03:42.587120,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:03:43.796914,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:03:45.148011,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:03:46.511662,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:03:48.162049,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:03:49.832986,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 9.32)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 16.055555555555557)"
05-01-2023 17:03:51.339233,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 12.5, 9.32)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 16.055555555555557)"
05-01-2023 17:03:53.042332,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 12.5, 9.32)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 16.055555555555557)"
05-01-2023 17:03:54.679253,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 12.5, 9.32)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 16.055555555555557)"
05-01-2023 17:03:56.078548,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 12.5, 9.32)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 16.055555555555557)"
05-01-2023 17:03:57.441909,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 12.5, 9.32)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 16.055555555555557)"
05-01-2023 17:03:58.860883,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 12.5, 9.32)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 16.055555555555557)"
05-01-2023 17:04:00.282383,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 12.5, 9.32)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 16.055555555555557)"
05-01-2023 17:04:01.868242,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 12.5, 9.32)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 16.055555555555557)"
05-01-2023 17:04:03.452282,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 12.5, 9.32)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 16.055555555555557)"
05-01-2023 17:04:04.901448,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 12.5, 9.32)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 16.055555555555557)"
05-01-2023 17:04:06.609441,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 12.5, 9.32)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 16.055555555555557)"
05-01-2023 17:04:08.140454,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 12.5, 9.32)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 16.055555555555557)"
05-01-2023 17:04:09.635801,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 12.5, 9.32)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 16.055555555555557)"
05-01-2023 17:04:11.095466,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 12.5, 9.32)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 16.055555555555557)"
05-01-2023 17:04:12.569409,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 12.5, 9.32)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 16.055555555555557)"
05-01-2023 17:04:13.991520,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 12.5, 9.32)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 16.055555555555557)"
05-01-2023 17:04:15.435159,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 12.5, 9.32)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 16.055555555555557)"
05-01-2023 17:04:16.851276,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 12.5, 9.32)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 16.055555555555557)"
05-01-2023 17:04:18.210080,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 12.5, 9.32)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 16.055555555555557)"
05-01-2023 17:04:19.603474,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 12.5, 9.32)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 16.055555555555557)"
05-01-2023 17:04:20.981015,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 12.5, 9.32)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 16.055555555555557)"
05-01-2023 17:04:22.431318,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 12.5, 9.32)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 16.055555555555557)"
05-01-2023 17:04:23.772064,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 12.5, 9.32)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 16.055555555555557)"
