,Arctic Rocket,Devilicious,Flying Dubawi,Gold Counter,Sunday Bell,Dastani,Dubai Bound,Hubie Dubie,Lanks,Pleasing Surprise,State Capital,Creedemption,Craigs My Boy,Elite Choice
12-01-2023 12:43:18.474990,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.1171428571428574)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 185.71428571428572)","(10.0, 19.5, 18.075)","(19.0, 95.0, 70.33333333333334)","(4.0, 6.0, 5.5)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:43:20.172096,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.1171428571428574)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 185.71428571428572)","(10.0, 19.5, 18.075)","(19.0, 95.0, 53.285714285714285)","(4.0, 6.0, 5.5)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:43:21.860836,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.1171428571428574)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 185.71428571428572)","(10.0, 19.5, 18.075)","(19.0, 95.0, 53.285714285714285)","(4.0, 6.0, 4.945454545454545)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:43:23.475843,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.1171428571428574)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 211.57894736842104)","(10.0, 19.5, 18.075)","(19.0, 95.0, 53.285714285714285)","(4.0, 5.9, 4.945454545454545)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:43:25.117212,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.1171428571428574)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 211.57894736842104)","(10.0, 19.5, 18.075)","(19.0, 95.0, 53.285714285714285)","(4.0, 5.9, 4.945454545454545)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:43:27.195026,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.1171428571428574)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 211.57894736842104)","(10.0, 19.5, 18.075)","(19.0, 95.0, 53.285714285714285)","(4.0, 5.9, 4.945454545454545)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:43:29.001030,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.1171428571428574)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 211.57894736842104)","(10.0, 19.5, 18.075)","(19.0, 95.0, 53.285714285714285)","(4.0, 5.9, 4.945454545454545)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:43:30.799811,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.1171428571428574)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 211.57894736842104)","(10.0, 19.5, 18.075)","(19.0, 95.0, 53.285714285714285)","(4.0, 5.9, 4.945454545454545)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:43:32.479911,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.1171428571428574)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 211.57894736842104)","(10.0, 19.5, 18.075)","(19.0, 95.0, 53.285714285714285)","(4.0, 5.9, 4.945454545454545)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:43:34.089290,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.1171428571428574)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 211.57894736842104)","(10.0, 19.5, 17.71875)","(19.0, 95.0, 53.285714285714285)","(4.0, 5.9, 4.945454545454545)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:43:35.765289,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.1171428571428574)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 211.57894736842104)","(10.0, 19.5, 17.71875)","(19.0, 95.0, 53.285714285714285)","(4.0, 5.9, 4.945454545454545)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:43:37.418876,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.1171428571428574)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 211.57894736842104)","(10.0, 19.5, 17.71875)","(19.0, 95.0, 53.285714285714285)","(4.0, 5.9, 4.945454545454545)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:43:39.081783,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.1171428571428574)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 211.57894736842104)","(10.0, 19.5, 17.71875)","(19.0, 95.0, 53.285714285714285)","(4.0, 5.9, 4.945454545454545)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:43:40.810473,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.1171428571428574)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 211.57894736842104)","(10.0, 19.5, 17.71875)","(19.0, 95.0, 53.285714285714285)","(4.0, 5.9, 5.458333333333334)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:43:42.478060,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.1171428571428574)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 211.57894736842104)","(10.0, 19.5, 17.71875)","(19.0, 95.0, 53.285714285714285)","(4.0, 6.0, 5.458333333333334)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:43:44.026616,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.1171428571428574)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 211.57894736842104)","(10.0, 19.5, 17.71875)","(19.0, 95.0, 53.285714285714285)","(4.0, 6.0, 5.458333333333334)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:43:45.635108,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.1171428571428574)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 211.57894736842104)","(10.0, 19.5, 17.71875)","(19.0, 95.0, 53.285714285714285)","(4.0, 6.0, 5.458333333333334)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:43:47.143711,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.1171428571428574)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 211.57894736842104)","(10.0, 19.5, 17.71875)","(19.0, 95.0, 53.285714285714285)","(4.0, 6.0, 5.458333333333334)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:43:48.756831,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.1171428571428574)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 211.57894736842104)","(10.0, 19.5, 17.71875)","(19.0, 95.0, 53.285714285714285)","(4.0, 6.0, 5.458333333333334)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:43:50.327491,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.112)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 211.57894736842104)","(10.0, 19.5, 17.71875)","(19.0, 95.0, 53.285714285714285)","(4.0, 6.0, 5.458333333333334)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:43:52.033496,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.112)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 211.57894736842104)","(10.0, 19.5, 17.71875)","(19.0, 95.0, 53.285714285714285)","(4.0, 6.0, 5.458333333333334)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:43:53.641204,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.112)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 211.57894736842104)","(10.0, 19.5, 17.71875)","(19.0, 95.0, 53.285714285714285)","(4.0, 6.0, 5.458333333333334)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:43:55.272005,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.112)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 211.57894736842104)","(10.0, 19.5, 17.71875)","(19.0, 95.0, 53.285714285714285)","(4.0, 6.0, 5.458333333333334)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:43:56.953743,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.112)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 211.57894736842104)","(10.0, 19.5, 17.71875)","(19.0, 95.0, 52.14285714285714)","(4.0, 6.0, 4.945454545454545)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:43:58.653230,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.112)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 211.57894736842104)","(10.0, 19.5, 17.905263157894737)","(19.0, 95.0, 52.14285714285714)","(4.0, 5.9, 4.945454545454545)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:44:00.298218,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.112)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 211.57894736842104)","(10.0, 19.5, 17.905263157894737)","(19.0, 95.0, 52.14285714285714)","(4.0, 5.9, 4.945454545454545)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:44:01.988017,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.115)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 211.57894736842104)","(10.0, 19.5, 17.905263157894737)","(19.0, 95.0, 52.14285714285714)","(4.0, 5.9, 4.945454545454545)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:44:03.602046,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.115)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 211.57894736842104)","(10.0, 19.5, 17.69090909090909)","(19.0, 95.0, 52.14285714285714)","(4.0, 5.9, 4.945454545454545)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:44:05.181367,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.115)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 211.57894736842104)","(10.0, 19.0, 17.743478260869566)","(19.0, 95.0, 52.14285714285714)","(4.0, 5.9, 4.945454545454545)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:44:06.744663,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.115)","(31.0, 170.0, 79.33333333333334)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 211.57894736842104)","(10.0, 19.5, 17.743478260869566)","(19.0, 95.0, 70.0)","(4.0, 5.9, 4.945454545454545)","(16.0, 55.0, 31.25)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:44:08.300747,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.115)","(31.0, 170.0, 79.33333333333334)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 211.57894736842104)","(10.0, 19.5, 17.259090909090908)","(19.0, 95.0, 70.0)","(4.0, 5.9, 4.945454545454545)","(16.0, 55.0, 31.25)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:44:09.873172,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.115)","(31.0, 170.0, 79.33333333333334)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 211.57894736842104)","(10.0, 18.5, 18.554545454545455)","(19.0, 95.0, 70.0)","(4.0, 5.9, 4.945454545454545)","(16.0, 55.0, 31.25)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:44:11.460208,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.115)","(31.0, 170.0, 79.33333333333334)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 211.57894736842104)","(10.0, 20.0, 16.133333333333333)","(19.0, 95.0, 70.0)","(4.0, 5.9, 4.945454545454545)","(16.0, 55.0, 31.25)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:44:13.069544,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.115)","(31.0, 170.0, 79.33333333333334)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 211.57894736842104)","(10.0, 19.5, 16.784615384615385)","(19.0, 95.0, 70.0)","(4.0, 5.9, 4.945454545454545)","(16.0, 55.0, 31.25)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:44:14.653375,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.115)","(31.0, 170.0, 79.33333333333334)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 211.57894736842104)","(10.0, 19.0, 16.015384615384615)","(19.0, 95.0, 70.0)","(4.0, 5.9, 4.945454545454545)","(16.0, 55.0, 39.8)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:44:16.286398,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.115)","(31.0, 170.0, 79.33333333333334)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 211.57894736842104)","(10.0, 18.0, 14.8)","(19.0, 95.0, 70.0)","(4.0, 5.9, 4.945454545454545)","(16.0, 55.0, 39.8)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:44:17.881076,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.115)","(31.0, 170.0, 79.33333333333334)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 211.57894736842104)","(10.0, 17.5, 15.246153846153845)","(19.0, 95.0, 70.0)","(4.0, 5.9, 4.945454545454545)","(16.0, 55.0, 39.8)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:44:19.468131,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.1100000000000003)","(31.0, 170.0, 79.33333333333334)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 211.57894736842104)","(10.0, 17.0, 14.471428571428572)","(19.0, 95.0, 70.0)","(4.0, 5.9, 4.945454545454545)","(16.0, 55.0, 39.8)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
