,Sir Jujon,Pom Pay,Badboybeau Nz,Ellen Shannon,Promising,Don Arthur,Leah Shannon,Bettor Keppel,Major Holiday Nz,Alta Billy
07-12-2022 18:40:36.193616,"(21.0, 190.0, 152.5)","(51.0, 210.0, 137.5)","(1.75, 99999, 99990)","(41.0, 110.0, 66.0)","(2.3, 2.74, 2.7263636363636365)","(14.0, 28.0, 24.857142857142858)","(81.0, 400.0, 221.42857142857144)","(41.0, 240.0, 90.0)","(41.0, 99999, 99990)","(12.0, 22.0, 19.5)"
07-12-2022 18:40:37.560131,"(21.0, 190.0, 152.5)","(51.0, 210.0, 106.42857142857143)","(1.75, 99999, 99990)","(41.0, 120.0, 66.0)","(2.3, 2.74, 2.6542857142857144)","(14.0, 28.0, 24.857142857142858)","(81.0, 390.0, 308.75)","(41.0, 230.0, 137.5)","(41.0, 99999, 99990)","(12.0, 21.0, 17.25)"
07-12-2022 18:40:38.802674,"(21.0, 190.0, 152.5)","(51.0, 210.0, 106.42857142857143)","(1.75, 99999, 99990)","(41.0, 120.0, 66.0)","(2.3, 2.78, 2.6542857142857144)","(14.0, 28.0, 24.857142857142858)","(81.0, 380.0, 308.75)","(41.0, 220.0, 137.5)","(41.0, 99999, 99990)","(12.0, 21.0, 17.25)"
07-12-2022 18:40:39.998391,"(21.0, 190.0, 152.5)","(51.0, 210.0, 106.42857142857143)","(1.75, 99999, 99990)","(41.0, 120.0, 66.0)","(2.3, 2.78, 2.743835616438356)","(14.0, 28.0, 24.857142857142858)","(81.0, 370.0, 278.33333333333337)","(41.0, 210.0, 106.66666666666666)","(41.0, 99999, 99990)","(12.0, 20.0, 16.875)"
07-12-2022 18:40:41.227292,"(21.0, 190.0, 152.5)","(51.0, 210.0, 133.68421052631578)","(1.75, 99999, 99990)","(41.0, 120.0, 66.0)","(2.3, 2.76, 2.74)","(14.0, 28.0, 24.857142857142858)","(81.0, 360.0, 307.0)","(41.0, 200.0, 127.5)","(41.0, 99999, 99990)","(12.0, 19.5, 16.6875)"
07-12-2022 18:40:42.493149,"(21.0, 190.0, 152.5)","(51.0, 210.0, 133.68421052631578)","(1.75, 99999, 99990)","(41.0, 110.0, 85.0)","(2.3, 2.74, 2.5903225806451613)","(14.0, 28.0, 24.857142857142858)","(81.0, 360.0, 220.0)","(41.0, 200.0, 100.0)","(41.0, 99999, 99990)","(12.0, 19.5, 19.714285714285715)"
07-12-2022 18:40:43.792890,"(21.0, 190.0, 152.5)","(51.0, 210.0, 165.3846153846154)","(1.75, 99999, 99990)","(41.0, 120.0, 66.0)","(2.3, 3.2, 2.957575757575758)","(14.0, 28.0, 22.0)","(81.0, 350.0, 220.0)","(41.0, 190.0, 117.5)","(41.0, 99999, 99990)","(12.0, 26.0, 20.4)"
07-12-2022 18:40:45.140215,"(21.0, 180.0, 145.0)","(51.0, 210.0, 165.3846153846154)","(1.75, 99999, 99990)","(41.0, 120.0, 64.61538461538461)","(2.3, 3.2, 2.9466666666666668)","(14.0, 28.0, 22.0)","(81.0, 350.0, 323.33333333333337)","(41.0, 180.0, 93.33333333333334)","(41.0, 99999, 99990)","(12.0, 24.0, 21.0)"
07-12-2022 18:40:46.426989,"(21.0, 170.0, 137.5)","(51.0, 210.0, 165.3846153846154)","(1.75, 99999, 99990)","(41.0, 120.0, 64.61538461538461)","(2.3, 2.98, 2.9752941176470586)","(14.0, 28.0, 25.333333333333336)","(81.0, 440.0, 203.33333333333331)","(41.0, 170.0, 116.66666666666666)","(41.0, 99999, 99990)","(12.0, 23.0, 21.0)"
07-12-2022 18:40:47.667250,"(21.0, 160.0, 120.0)","(51.0, 210.0, 158.21428571428572)","(1.75, 99999, 99990)","(41.0, 120.0, 65.45454545454545)","(2.3, 2.98, 2.9752941176470586)","(14.0, 27.0, 25.333333333333336)","(81.0, 430.0, 337.5)","(41.0, 240.0, 80.0)","(41.0, 99999, 99990)","(12.0, 25.0, 18.11111111111111)"
07-12-2022 18:40:49.046278,"(21.0, 150.0, 96.0)","(51.0, 210.0, 110.0)","(1.75, 99999, 99990)","(41.0, 120.0, 70.0)","(2.3, 3.0, 2.9266666666666667)","(14.0, 27.0, 19.875)","(81.0, 420.0, 337.5)","(41.0, 230.0, 72.5)","(41.0, 99999, 99990)","(12.0, 22.0, 18.11111111111111)"
07-12-2022 18:40:50.306374,"(21.0, 160.0, 120.66666666666667)","(51.0, 210.0, 110.0)","(1.75, 99999, 99990)","(41.0, 120.0, 70.0)","(2.3, 2.98, 2.9266666666666667)","(14.0, 27.0, 20.333333333333332)","(81.0, 420.0, 337.5)","(41.0, 230.0, 110.0)","(41.0, 99999, 99990)","(12.0, 22.0, 19.8)"
07-12-2022 18:40:51.581098,"(21.0, 160.0, 120.66666666666667)","(51.0, 210.0, 110.0)","(1.75, 99999, 99990)","(41.0, 120.0, 70.0)","(2.3, 2.96, 2.9299999999999997)","(14.0, 26.0, 20.333333333333332)","(81.0, 420.0, 282.0)","(41.0, 220.0, 110.0)","(41.0, 99999, 99990)","(12.0, 21.0, 19.8)"
07-12-2022 18:40:52.841943,"(21.0, 130.0, 100.66666666666666)","(51.0, 210.0, 110.0)","(1.75, 99999, 99990)","(41.0, 110.0, 80.0)","(2.3, 2.96, 2.901333333333333)","(14.0, 25.0, 18.583333333333332)","(81.0, 410.0, 270.0)","(41.0, 220.0, 100.0)","(41.0, 99999, 99990)","(12.0, 21.0, 15.833333333333334)"
07-12-2022 18:40:54.091944,"(21.0, 150.0, 96.0)","(51.0, 210.0, 110.0)","(1.75, 99999, 99990)","(41.0, 100.0, 80.0)","(2.3, 2.94, 2.901176470588235)","(14.0, 24.0, 18.15)","(81.0, 390.0, 270.0)","(41.0, 190.0, 100.0)","(41.0, 99999, 99990)","(12.0, 20.0, 16.125)"
07-12-2022 18:40:55.539089,"(21.0, 150.0, 96.0)","(51.0, 210.0, 110.0)","(1.75, 99999, 99990)","(41.0, 100.0, 80.0)","(2.3, 2.94, 2.8649999999999998)","(14.0, 24.0, 18.416666666666668)","(81.0, 390.0, 264.0)","(41.0, 190.0, 112.5)","(41.0, 99999, 99990)","(12.0, 19.5, 16.0)"
07-12-2022 18:40:56.931504,"(21.0, 150.0, 96.0)","(51.0, 210.0, 110.0)","(1.75, 99999, 99990)","(41.0, 100.0, 73.33333333333333)","(2.3, 2.94, 2.940909090909091)","(14.0, 23.0, 17.95)","(81.0, 380.0, 264.0)","(41.0, 170.0, 74.16666666666667)","(41.0, 99999, 99990)","(12.0, 19.0, 15.318181818181818)"
07-12-2022 18:40:58.204200,"(21.0, 130.0, 67.14285714285714)","(51.0, 190.0, 118.0)","(1.75, 99999, 99990)","(41.0, 95.0, 80.0)","(2.3, 3.15, 2.8415789473684208)","(14.0, 22.0, 18.2)","(81.0, 380.0, 300.0)","(41.0, 170.0, 74.0)","(41.0, 99999, 99990)","(12.0, 18.5, 16.25)"
07-12-2022 18:40:59.450447,"(21.0, 120.0, 94.0)","(51.0, 180.0, 106.66666666666666)","(1.75, 99999, 99990)","(41.0, 90.0, 80.0)","(2.3, 2.9, 2.8415789473684208)","(14.0, 21.0, 18.2)","(81.0, 370.0, 300.0)","(41.0, 150.0, 74.0)","(41.0, 99999, 99990)","(12.0, 17.5, 16.25)"
07-12-2022 18:41:00.774306,"(21.0, 110.0, 76.0)","(51.0, 180.0, 125.0)","(1.75, 99999, 99990)","(41.0, 85.0, 72.5)","(2.3, 2.96, 2.9299999999999997)","(14.0, 27.0, 19.875)","(81.0, 370.0, 300.0)","(41.0, 150.0, 63.63636363636364)","(41.0, 99999, 99990)","(12.0, 24.0, 16.333333333333332)"
07-12-2022 18:41:02.045628,"(21.0, 110.0, 76.0)","(51.0, 360.0, 263.33333333333337)","(1.75, 99999, 99990)","(41.0, 85.0, 72.5)","(2.3, 2.96, 2.9299999999999997)","(14.0, 27.0, 18.857142857142858)","(81.0, 360.0, 252.0)","(41.0, 150.0, 63.63636363636364)","(41.0, 99999, 99990)","(12.0, 23.0, 16.333333333333332)"
07-12-2022 18:41:03.353516,"(21.0, 110.0, 76.0)","(51.0, 380.0, 194.0)","(1.75, 99999, 99990)","(41.0, 230.0, 145.0)","(2.3, 2.94, 2.8714285714285714)","(14.0, 25.0, 18.75)","(81.0, 360.0, 252.0)","(41.0, 150.0, 66.875)","(41.0, 99999, 99990)","(12.0, 23.0, 16.0)"
07-12-2022 18:41:04.606345,"(21.0, 110.0, 76.0)","(51.0, 370.0, 220.0)","(1.75, 99999, 99990)","(41.0, 230.0, 145.0)","(2.3, 2.94, 2.8866666666666667)","(14.0, 25.0, 18.75)","(81.0, 350.0, 285.0)","(41.0, 150.0, 66.875)","(41.0, 99999, 99990)","(12.0, 23.0, 16.0)"
07-12-2022 18:41:05.886981,"(21.0, 110.0, 76.0)","(51.0, 360.0, 215.0)","(1.75, 99999, 99990)","(41.0, 220.0, 166.66666666666669)","(2.3, 2.94, 2.828)","(14.0, 24.0, 18.15)","(81.0, 350.0, 285.0)","(41.0, 150.0, 66.875)","(41.0, 99999, 99990)","(12.0, 22.0, 16.4)"
07-12-2022 18:41:07.254988,"(21.0, 110.0, 76.0)","(51.0, 360.0, 215.0)","(1.75, 99999, 99990)","(41.0, 220.0, 166.66666666666669)","(2.3, 2.94, 2.828)","(14.0, 24.0, 18.583333333333332)","(81.0, 350.0, 240.0)","(41.0, 150.0, 70.83333333333333)","(41.0, 99999, 99990)","(12.0, 22.0, 18.0)"
07-12-2022 18:41:08.558207,"(21.0, 110.0, 76.0)","(51.0, 360.0, 215.0)","(1.75, 99999, 99990)","(41.0, 220.0, 166.66666666666669)","(2.3, 2.92, 2.9033333333333333)","(14.0, 23.0, 18.416666666666668)","(81.0, 340.0, 240.0)","(41.0, 150.0, 70.83333333333333)","(41.0, 99999, 99990)","(12.0, 21.0, 15.833333333333334)"
07-12-2022 18:41:09.821973,"(21.0, 110.0, 76.0)","(51.0, 360.0, 215.0)","(1.75, 99999, 99990)","(41.0, 220.0, 166.66666666666669)","(2.3, 2.84, 2.78)","(14.0, 21.0, 20.666666666666668)","(81.0, 330.0, 307.5)","(41.0, 150.0, 76.11111111111111)","(41.0, 99999, 99990)","(12.0, 20.0, 17.25)"
07-12-2022 18:41:11.165345,"(21.0, 110.0, 76.0)","(51.0, 530.0, 180.0)","(1.75, 99999, 99990)","(41.0, 220.0, 153.33333333333331)","(2.3, 2.84, 2.87)","(14.0, 27.0, 20.333333333333332)","(81.0, 380.0, 258.0)","(41.0, 150.0, 118.33333333333334)","(41.0, 99999, 99990)","(12.0, 19.5, 15.75)"
07-12-2022 18:41:12.485910,"(21.0, 200.0, 121.0)","(51.0, 510.0, 180.0)","(1.75, 99999, 99990)","(41.0, 200.0, 140.0)","(2.3, 2.92, 2.87)","(14.0, 26.0, 18.75)","(81.0, 370.0, 285.0)","(41.0, 150.0, 111.66666666666666)","(41.0, 99999, 99990)","(12.0, 19.5, 15.75)"
07-12-2022 18:41:13.999273,"(21.0, 180.0, 81.42857142857143)","(51.0, 490.0, 280.0)","(1.75, 99999, 99990)","(41.0, 180.0, 140.0)","(2.3, 2.92, 2.8499999999999996)","(14.0, 25.0, 18.75)","(81.0, 350.0, 285.0)","(41.0, 140.0, 147.5)","(41.0, 99999, 99990)","(12.0, 19.5, 15.75)"
07-12-2022 18:41:15.495988,"(21.0, 170.0, 106.0)","(51.0, 400.0, 235.0)","(1.75, 99999, 99990)","(41.0, 180.0, 115.0)","(2.3, 2.88, 2.867142857142857)","(14.0, 25.0, 19.666666666666668)","(81.0, 350.0, 240.0)","(41.0, 240.0, 147.5)","(41.0, 99999, 99990)","(12.0, 19.5, 15.75)"
07-12-2022 18:41:16.939685,"(21.0, 160.0, 101.0)","(51.0, 400.0, 283.33333333333337)","(1.75, 99999, 99990)","(41.0, 170.0, 126.66666666666667)","(2.3, 2.88, 2.79)","(14.0, 24.0, 19.0)","(81.0, 340.0, 251.66666666666666)","(41.0, 240.0, 105.45454545454545)","(41.0, 99999, 99990)","(12.0, 19.5, 15.75)"
07-12-2022 18:41:18.322362,"(21.0, 160.0, 112.80000000000001)","(51.0, 390.0, 283.33333333333337)","(1.75, 99999, 99990)","(41.0, 160.0, 91.42857142857143)","(2.3, 2.88, 2.8499999999999996)","(14.0, 24.0, 19.0)","(81.0, 330.0, 212.5)","(41.0, 240.0, 142.5)","(41.0, 99999, 99990)","(12.0, 19.5, 15.642857142857142)"
07-12-2022 18:41:19.672992,"(21.0, 160.0, 101.0)","(51.0, 370.0, 220.0)","(1.75, 99999, 99990)","(41.0, 170.0, 91.42857142857143)","(2.3, 2.88, 2.8466666666666667)","(14.0, 23.0, 19.0)","(81.0, 330.0, 207.5)","(41.0, 230.0, 137.5)","(41.0, 99999, 99990)","(12.0, 19.5, 15.642857142857142)"
07-12-2022 18:41:21.089661,"(21.0, 160.0, 101.0)","(51.0, 370.0, 220.0)","(1.75, 99999, 99990)","(41.0, 170.0, 104.0)","(2.3, 2.86, 2.853333333333333)","(14.0, 20.0, 19.0)","(81.0, 320.0, 207.5)","(41.0, 220.0, 137.5)","(41.0, 99999, 99990)","(12.0, 19.5, 15.642857142857142)"
07-12-2022 18:41:22.462840,"(21.0, 160.0, 75.71428571428572)","(51.0, 360.0, 215.0)","(1.75, 99999, 99990)","(41.0, 160.0, 100.0)","(2.3, 2.92, 2.86)","(14.0, 20.0, 23.0)","(81.0, 320.0, 245.0)","(41.0, 220.0, 158.33333333333331)","(41.0, 99999, 99990)","(12.0, 19.5, 15.642857142857142)"
07-12-2022 18:41:23.785478,"(21.0, 170.0, 127.33333333333333)","(51.0, 360.0, 215.0)","(1.75, 99999, 99990)","(41.0, 150.0, 120.0)","(2.3, 2.88, 2.855)","(14.0, 26.0, 21.0)","(81.0, 320.0, 245.0)","(41.0, 210.0, 127.5)","(41.0, 99999, 99990)","(12.0, 19.5, 15.642857142857142)"
07-12-2022 18:41:25.116873,"(21.0, 170.0, 93.2)","(51.0, 350.0, 256.66666666666663)","(1.75, 99999, 99990)","(41.0, 140.0, 100.0)","(2.3, 2.9, 2.8499999999999996)","(14.0, 25.0, 19.0)","(81.0, 320.0, 245.0)","(41.0, 200.0, 127.5)","(41.0, 99999, 99990)","(12.0, 19.5, 15.642857142857142)"
07-12-2022 18:41:26.421558,"(21.0, 170.0, 93.2)","(51.0, 350.0, 256.66666666666663)","(1.75, 99999, 99990)","(41.0, 140.0, 100.0)","(2.3, 2.92, 2.8499999999999996)","(14.0, 25.0, 19.8)","(81.0, 320.0, 162.14285714285714)","(41.0, 200.0, 127.5)","(41.0, 99999, 99990)","(12.0, 19.5, 15.642857142857142)"
07-12-2022 18:41:27.696136,"(21.0, 170.0, 93.2)","(51.0, 350.0, 256.66666666666663)","(1.75, 99999, 99990)","(41.0, 140.0, 82.85714285714286)","(2.3, 2.9, 2.84)","(14.0, 24.0, 19.8)","(81.0, 330.0, 162.14285714285714)","(41.0, 200.0, 127.5)","(41.0, 99999, 99990)","(12.0, 19.5, 15.642857142857142)"
07-12-2022 18:41:28.864951,"(21.0, 170.0, 93.2)","(51.0, 350.0, 256.66666666666663)","(1.75, 99999, 99990)","(41.0, 130.0, 106.66666666666666)","(2.3, 2.86, 2.82)","(14.0, 23.0, 19.0)","(81.0, 330.0, 162.14285714285714)","(41.0, 190.0, 145.0)","(41.0, 99999, 99990)","(12.0, 19.5, 15.642857142857142)"
07-12-2022 18:41:30.116240,"(21.0, 170.0, 93.2)","(51.0, 350.0, 256.66666666666663)","(1.75, 99999, 99990)","(41.0, 130.0, 106.66666666666666)","(2.3, 2.86, 2.815)","(14.0, 22.0, 21.166666666666668)","(81.0, 330.0, 183.125)","(41.0, 190.0, 156.25)","(41.0, 99999, 99990)","(12.0, 19.5, 17.045454545454547)"
07-12-2022 18:41:31.388545,"(21.0, 170.0, 93.2)","(51.0, 350.0, 256.66666666666663)","(1.75, 99999, 99990)","(41.0, 130.0, 106.66666666666666)","(2.3, 2.9, 2.8499999999999996)","(14.0, 22.0, 18.785714285714285)","(81.0, 320.0, 230.0)","(41.0, 190.0, 156.25)","(41.0, 99999, 99990)","(12.0, 19.5, 16.5)"
07-12-2022 18:41:32.583241,"(21.0, 170.0, 131.14285714285714)","(51.0, 350.0, 321.5)","(1.75, 99999, 99990)","(41.0, 130.0, 95.0)","(2.3, 2.88, 2.7638709677419353)","(14.0, 20.0, 19.4)","(81.0, 310.0, 130.83333333333334)","(41.0, 190.0, 122.5)","(41.0, 99999, 99990)","(12.0, 19.5, 16.5)"
07-12-2022 18:41:33.849915,"(21.0, 170.0, 131.14285714285714)","(51.0, 350.0, 321.5)","(1.75, 99999, 99990)","(41.0, 130.0, 95.0)","(2.3, 2.86, 2.8499999999999996)","(14.0, 20.0, 19.4)","(81.0, 300.0, 197.5)","(41.0, 190.0, 122.5)","(41.0, 99999, 99990)","(12.0, 19.5, 16.6875)"
07-12-2022 18:41:35.173617,"(21.0, 160.0, 124.0)","(51.0, 350.0, 303.3333333333333)","(1.75, 99999, 99990)","(41.0, 130.0, 95.0)","(2.3, 2.9, 2.87)","(14.0, 32.0, 27.0)","(81.0, 290.0, 160.0)","(41.0, 170.0, 112.5)","(41.0, 99999, 99990)","(12.0, 19.5, 16.6875)"
07-12-2022 18:41:36.536914,"(21.0, 160.0, 124.0)","(51.0, 350.0, 295.0)","(1.75, 99999, 99990)","(41.0, 130.0, 95.0)","(2.3, 2.9, 2.855)","(14.0, 29.0, 25.0)","(81.0, 280.0, 232.5)","(41.0, 170.0, 90.0)","(41.0, 99999, 99990)","(12.0, 19.5, 16.6875)"
07-12-2022 18:41:37.895127,"(21.0, 160.0, 124.0)","(51.0, 350.0, 281.25)","(1.75, 99999, 99990)","(41.0, 130.0, 117.0)","(2.3, 2.9, 2.8899999999999997)","(14.0, 29.0, 20.214285714285715)","(81.0, 280.0, 169.0)","(41.0, 160.0, 97.5)","(41.0, 99999, 99990)","(12.0, 19.5, 16.6875)"
07-12-2022 18:41:39.339725,"(21.0, 160.0, 124.0)","(51.0, 350.0, 283.75)","(1.75, 99999, 99990)","(41.0, 130.0, 109.0)","(2.3, 2.9, 2.9)","(14.0, 27.0, 22.25)","(81.0, 280.0, 166.0)","(41.0, 140.0, 70.0)","(41.0, 99999, 99990)","(12.0, 19.5, 17.625)"
07-12-2022 18:41:40.597748,"(21.0, 160.0, 124.0)","(51.0, 350.0, 283.75)","(1.75, 99999, 99990)","(41.0, 120.0, 109.0)","(2.3, 2.92, 2.9)","(14.0, 27.0, 22.25)","(81.0, 280.0, 166.0)","(41.0, 130.0, 97.5)","(41.0, 99999, 99990)","(12.0, 18.5, 17.625)"
07-12-2022 18:41:41.963904,"(21.0, 160.0, 124.0)","(51.0, 350.0, 283.75)","(1.75, 99999, 99990)","(41.0, 120.0, 109.0)","(2.3, 2.92, 2.87)","(14.0, 27.0, 22.25)","(81.0, 280.0, 166.0)","(41.0, 140.0, 97.5)","(41.0, 99999, 99990)","(12.0, 18.5, 22.5)"
07-12-2022 18:41:43.365806,"(21.0, 160.0, 124.0)","(51.0, 350.0, 303.5)","(1.75, 99999, 99990)","(41.0, 120.0, 100.0)","(2.3, 2.92, 2.88)","(14.0, 27.0, 19.692307692307693)","(81.0, 280.0, 186.0)","(41.0, 140.0, 97.5)","(41.0, 99999, 99990)","(12.0, 25.0, 18.375)"
07-12-2022 18:41:44.771704,"(21.0, 160.0, 124.0)","(51.0, 330.0, 303.5)","(1.75, 99999, 99990)","(41.0, 110.0, 73.33333333333333)","(2.3, 2.92, 2.88)","(14.0, 27.0, 19.692307692307693)","(81.0, 250.0, 218.57142857142856)","(41.0, 140.0, 97.5)","(41.0, 99999, 99990)","(12.0, 24.0, 18.0)"
07-12-2022 18:41:46.268501,"(21.0, 160.0, 124.0)","(51.0, 330.0, 170.0)","(1.75, 99999, 99990)","(41.0, 100.0, 73.33333333333333)","(2.3, 2.92, 2.8899999999999997)","(14.0, 27.0, 19.692307692307693)","(81.0, 240.0, 215.83333333333334)","(41.0, 140.0, 97.5)","(41.0, 99999, 99990)","(12.0, 23.0, 19.2)"
07-12-2022 18:41:47.784914,"(21.0, 160.0, 119.33333333333333)","(51.0, 330.0, 215.0)","(1.75, 99999, 99990)","(41.0, 100.0, 70.0)","(2.3, 2.9, 2.88)","(14.0, 27.0, 24.3)","(81.0, 240.0, 200.0)","(41.0, 140.0, 83.33333333333333)","(41.0, 99999, 99990)","(12.0, 22.0, 16.428571428571427)"
07-12-2022 18:41:49.131323,"(21.0, 160.0, 119.33333333333333)","(51.0, 320.0, 263.0)","(1.75, 99999, 99990)","(41.0, 100.0, 83.33333333333333)","(2.3, 2.92, 2.88)","(14.0, 26.0, 24.3)","(81.0, 230.0, 200.0)","(41.0, 140.0, 87.5)","(41.0, 99999, 99990)","(12.0, 22.0, 18.25)"
