,Imperial Master,Perfect Design,Shrinking,Weblec Breeze,Miss Graphite,Scott Hue,Follow You,Diamond Carat
07-01-2023 09:09:25.429848,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:26.468938,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:27.520609,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:28.606688,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:29.642575,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:30.669330,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:31.724075,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:32.778548,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:33.811353,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:34.785396,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:35.813601,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:36.825949,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:37.848553,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:38.929252,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:39.920166,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:40.939849,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:41.951123,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:42.979957,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:43.988770,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:44.983570,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:45.957535,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:46.930930,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:47.907788,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
