,Busted Axel,Springview Magic,Alpha Zap,Magical Trav,Magical Len,Champagne Jazzy
14-12-2022 13:25:58.556198,"(10.0, 24.0, 17.75)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 44.0, 26.333333333333336)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:25:59.568636,"(10.0, 24.0, 17.75)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 44.0, 26.333333333333336)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:00.614310,"(10.0, 24.0, 17.75)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 44.0, 26.333333333333336)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:01.705781,"(10.0, 24.0, 17.75)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 44.0, 26.333333333333336)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:02.747840,"(10.0, 24.0, 17.75)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 44.0, 26.333333333333336)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:03.800262,"(10.0, 24.0, 17.75)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 44.0, 26.333333333333336)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:04.729180,"(10.0, 24.0, 17.75)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 44.0, 26.333333333333336)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:05.756524,"(10.0, 24.0, 17.75)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 44.0, 26.333333333333336)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:06.749829,"(10.0, 24.0, 17.75)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 44.0, 26.333333333333336)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:07.858725,"(10.0, 24.0, 17.75)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 44.0, 26.333333333333336)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:08.870675,"(10.0, 24.0, 17.75)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 44.0, 26.333333333333336)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:09.842367,"(10.0, 24.0, 17.75)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 44.0, 26.333333333333336)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:10.825382,"(10.0, 24.0, 17.75)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 44.0, 26.333333333333336)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:11.928318,"(10.0, 24.0, 17.75)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 44.0, 26.333333333333336)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:12.921605,"(10.0, 24.0, 17.75)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 44.0, 25.666666666666664)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:14.062474,"(10.0, 24.0, 17.75)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 25.666666666666664)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:15.177266,"(10.0, 24.0, 17.75)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 25.666666666666664)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:16.224931,"(10.0, 24.0, 17.75)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 25.666666666666664)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:17.241400,"(10.0, 24.0, 17.75)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 25.666666666666664)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:18.351456,"(10.0, 24.0, 17.75)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 25.666666666666664)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:19.468693,"(10.0, 24.0, 17.75)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 25.666666666666664)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:20.757833,"(10.0, 24.0, 17.75)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 25.666666666666664)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:21.826939,"(10.0, 24.0, 17.75)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 25.666666666666664)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:22.915480,"(10.0, 24.0, 17.75)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 25.666666666666664)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:24.067427,"(10.0, 23.0, 14.375)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 25.666666666666664)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:25.211456,"(10.0, 23.0, 14.375)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 25.666666666666664)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:26.393749,"(10.0, 23.0, 14.375)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 25.666666666666664)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:27.450141,"(10.0, 23.0, 14.375)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 25.666666666666664)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:28.514002,"(10.0, 23.0, 14.375)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 25.666666666666664)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:29.440083,"(10.0, 23.0, 14.375)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 25.666666666666664)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:30.510208,"(10.0, 23.0, 14.375)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 25.666666666666664)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:31.528763,"(10.0, 23.0, 14.375)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 25.666666666666664)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:32.579418,"(10.0, 23.0, 14.375)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 25.666666666666664)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:33.655937,"(10.0, 23.0, 14.375)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 25.666666666666664)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:34.707649,"(10.0, 23.0, 14.375)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 25.666666666666664)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:35.748147,"(10.0, 23.0, 14.375)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 25.666666666666664)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:36.747604,"(10.0, 23.0, 14.375)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 25.666666666666664)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:37.671599,"(10.0, 23.0, 14.375)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 25.666666666666664)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:38.730376,"(10.0, 23.0, 14.375)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 25.666666666666664)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:39.747042,"(10.0, 23.0, 14.375)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 25.666666666666664)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:40.689093,"(10.0, 23.0, 14.375)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 25.666666666666664)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:41.711525,"(10.0, 23.0, 14.375)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 25.666666666666664)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:42.847560,"(10.0, 23.0, 14.375)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 25.0)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:43.879662,"(10.0, 23.0, 14.375)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 40.0, 25.0)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:44.872621,"(10.0, 23.0, 14.375)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 40.0, 26.153846153846153)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:45.892903,"(10.0, 23.0, 14.375)","(7.0, 14.5, 9.766666666666667)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 40.0, 26.153846153846153)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:46.936642,"(10.0, 23.0, 14.375)","(7.0, 14.5, 9.766666666666667)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 40.0, 25.0)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:47.870804,"(10.0, 23.0, 14.375)","(7.0, 14.5, 12.471428571428572)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 40.0, 25.0)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:48.932530,"(10.0, 23.0, 14.375)","(7.0, 14.5, 12.471428571428572)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 40.0, 25.333333333333332)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:49.939188,"(10.0, 23.0, 14.375)","(7.0, 14.5, 9.9)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 40.0, 20.444444444444443)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:50.801637,"(10.0, 23.0, 14.375)","(7.0, 14.5, 9.9)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 40.0, 20.444444444444443)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:51.744618,"(10.0, 23.0, 14.375)","(7.0, 14.5, 9.9)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 40.0, 20.444444444444443)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:52.756644,"(10.0, 23.0, 14.375)","(7.0, 14.5, 9.9)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 40.0, 20.444444444444443)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:53.745204,"(10.0, 23.0, 14.375)","(7.0, 14.5, 9.9)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 40.0, 20.444444444444443)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:54.773504,"(10.0, 23.0, 14.375)","(7.0, 14.5, 9.9)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 40.0, 20.444444444444443)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:55.840001,"(10.0, 23.0, 14.375)","(7.0, 14.5, 9.9)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 40.0, 20.444444444444443)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:56.842830,"(10.0, 23.0, 14.375)","(7.0, 14.5, 9.9)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 40.0, 20.444444444444443)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:57.737460,"(10.0, 23.0, 14.375)","(7.0, 14.5, 9.9)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 40.0, 20.444444444444443)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:58.720128,"(10.0, 23.0, 14.375)","(7.0, 14.5, 9.9)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 40.0, 20.444444444444443)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:26:59.689680,"(10.0, 23.0, 14.375)","(7.0, 14.5, 9.9)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 40.0, 20.444444444444443)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:27:00.653149,"(10.0, 23.0, 14.375)","(7.0, 14.5, 9.9)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 40.0, 20.444444444444443)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:27:01.653418,"(10.0, 23.0, 14.375)","(7.0, 14.5, 9.9)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 40.0, 20.444444444444443)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:27:02.611394,"(10.0, 23.0, 14.375)","(7.0, 14.5, 9.9)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 40.0, 20.444444444444443)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:27:03.547221,"(10.0, 23.0, 14.375)","(7.0, 14.5, 9.9)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 44.0, 22.333333333333332)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:27:04.472078,"(10.0, 23.0, 14.375)","(7.0, 14.5, 9.9)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 44.0, 22.333333333333332)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:27:05.563240,"(10.0, 23.0, 14.375)","(7.0, 14.5, 9.9)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 44.0, 22.333333333333332)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:27:06.483458,"(10.0, 23.0, 14.375)","(7.0, 14.5, 9.9)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 44.0, 22.333333333333332)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:27:07.471082,"(10.0, 23.0, 14.375)","(7.0, 14.5, 9.9)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 44.0, 26.666666666666664)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:27:08.363398,"(10.0, 23.0, 14.375)","(7.0, 14.5, 9.9)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 44.0, 26.666666666666664)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:27:09.246501,"(10.0, 23.0, 14.375)","(7.0, 14.5, 9.9)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 44.0, 26.666666666666664)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:27:10.196952,"(10.0, 23.0, 14.375)","(7.0, 14.5, 9.9)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 44.0, 26.666666666666664)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:27:11.185186,"(10.0, 23.0, 14.375)","(7.0, 14.5, 9.9)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 44.0, 20.88888888888889)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:27:12.445094,"(10.0, 23.0, 14.375)","(7.0, 14.5, 9.9)","(11.0, 23.0, 14.272727272727273)","(7.0, 14.5, 9.9)","(18.0, 44.0, 20.88888888888889)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:27:13.573337,"(10.0, 23.0, 14.375)","(7.0, 14.5, 9.9)","(11.0, 23.0, 14.272727272727273)","(7.0, 14.5, 9.9)","(18.0, 44.0, 20.88888888888889)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:27:14.589878,"(10.0, 24.0, 21.916666666666668)","(7.0, 14.5, 9.9)","(11.0, 23.0, 13.222222222222221)","(7.0, 14.5, 12.528571428571428)","(18.0, 44.0, 20.88888888888889)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:27:15.505874,"(10.0, 24.0, 21.916666666666668)","(7.0, 14.5, 9.9)","(11.0, 23.0, 13.222222222222221)","(7.0, 14.5, 12.528571428571428)","(18.0, 44.0, 20.88888888888889)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:27:16.585178,"(10.0, 24.0, 21.916666666666668)","(7.0, 14.5, 9.9)","(11.0, 23.0, 13.222222222222221)","(7.0, 14.5, 12.585714285714285)","(18.0, 44.0, 20.88888888888889)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:27:17.679504,"(10.0, 24.0, 21.916666666666668)","(7.0, 14.5, 9.9)","(11.0, 23.0, 13.222222222222221)","(7.0, 14.5, 12.585714285714285)","(18.0, 44.0, 20.88888888888889)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:27:18.656954,"(10.0, 24.0, 18.25)","(7.0, 14.5, 9.9)","(11.0, 23.0, 13.222222222222221)","(7.0, 14.5, 12.585714285714285)","(18.0, 44.0, 26.666666666666664)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:27:19.635449,"(10.0, 24.0, 18.25)","(7.0, 14.5, 9.9)","(11.0, 23.0, 13.222222222222221)","(7.0, 14.5, 12.585714285714285)","(18.0, 44.0, 25.666666666666664)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:27:20.484965,"(10.0, 24.0, 18.25)","(7.0, 14.5, 9.9)","(11.0, 23.0, 13.222222222222221)","(7.0, 14.5, 12.585714285714285)","(18.0, 44.0, 25.666666666666664)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:27:21.416956,"(10.0, 24.0, 18.25)","(7.0, 14.5, 12.775)","(11.0, 23.0, 13.222222222222221)","(7.0, 14.5, 12.585714285714285)","(18.0, 44.0, 25.666666666666664)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:27:22.494789,"(10.0, 24.0, 18.25)","(7.0, 14.5, 12.775)","(11.0, 23.0, 13.222222222222221)","(7.0, 14.5, 12.333333333333332)","(18.0, 44.0, 25.0)","(1.3, 1.86, 1.5833333333333335)"
14-12-2022 13:27:23.579017,"(10.0, 24.0, 18.25)","(7.0, 14.5, 12.775)","(11.0, 23.0, 13.222222222222221)","(7.0, 14.5, 12.333333333333332)","(18.0, 42.0, 25.0)","(1.3, 1.85, 1.5833333333333335)"
14-12-2022 13:27:24.612578,"(10.0, 24.0, 18.25)","(7.0, 14.5, 12.775)","(11.0, 23.0, 13.222222222222221)","(7.0, 14.5, 12.333333333333332)","(18.0, 42.0, 25.0)","(1.3, 1.85, 1.5833333333333335)"
14-12-2022 13:27:25.611468,"(10.0, 24.0, 18.25)","(7.0, 14.5, 12.775)","(11.0, 23.0, 13.222222222222221)","(7.0, 14.5, 12.333333333333332)","(18.0, 42.0, 25.0)","(1.3, 1.85, 1.540909090909091)"
14-12-2022 13:27:26.572853,"(10.0, 24.0, 18.25)","(7.0, 14.5, 12.775)","(11.0, 23.0, 15.0)","(7.0, 14.5, 12.333333333333332)","(18.0, 42.0, 25.0)","(1.3, 1.84, 1.540909090909091)"
14-12-2022 13:27:27.444421,"(10.0, 24.0, 18.25)","(7.0, 14.5, 12.775)","(11.0, 23.0, 15.0)","(7.0, 14.5, 12.333333333333332)","(18.0, 42.0, 25.0)","(1.3, 1.84, 1.540909090909091)"
14-12-2022 13:27:28.453075,"(10.0, 24.0, 18.25)","(7.0, 14.5, 12.775)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 10.299999999999999)","(18.0, 42.0, 25.0)","(1.3, 1.84, 1.540909090909091)"
14-12-2022 13:27:29.366444,"(10.0, 24.0, 18.25)","(7.0, 14.5, 12.775)","(11.0, 23.0, 15.0)","(7.0, 14.5, 10.299999999999999)","(18.0, 42.0, 25.0)","(1.3, 1.84, 1.540909090909091)"
14-12-2022 13:27:30.482376,"(10.0, 24.0, 18.25)","(7.0, 14.5, 12.775)","(11.0, 23.0, 13.666666666666666)","(7.0, 14.5, 10.299999999999999)","(18.0, 42.0, 25.0)","(1.3, 1.84, 1.540909090909091)"
14-12-2022 13:27:31.489901,"(10.0, 24.0, 18.25)","(7.0, 14.5, 12.775)","(11.0, 23.0, 13.666666666666666)","(7.0, 14.5, 10.299999999999999)","(18.0, 42.0, 25.0)","(1.3, 1.84, 1.540909090909091)"
14-12-2022 13:27:32.520344,"(10.0, 24.0, 18.25)","(7.0, 14.5, 12.775)","(11.0, 23.0, 13.666666666666666)","(7.0, 14.5, 10.299999999999999)","(18.0, 42.0, 25.0)","(1.3, 1.84, 1.540909090909091)"
14-12-2022 13:27:33.542838,"(10.0, 24.0, 18.25)","(7.0, 14.5, 12.775)","(11.0, 23.0, 13.666666666666666)","(7.0, 14.5, 10.299999999999999)","(18.0, 42.0, 25.0)","(1.3, 1.84, 1.540909090909091)"
14-12-2022 13:27:34.427683,"(10.0, 24.0, 18.25)","(7.0, 14.5, 12.775)","(11.0, 23.0, 13.666666666666666)","(7.0, 14.5, 10.299999999999999)","(18.0, 42.0, 25.0)","(1.3, 1.84, 1.540909090909091)"
14-12-2022 13:27:35.354948,"(10.0, 24.0, 18.25)","(7.0, 14.5, 12.775)","(11.0, 23.0, 13.666666666666666)","(7.0, 14.5, 10.299999999999999)","(18.0, 42.0, 25.0)","(1.3, 1.84, 1.540909090909091)"
14-12-2022 13:27:36.391743,"(10.0, 24.0, 18.25)","(7.0, 14.5, 12.775)","(11.0, 23.0, 13.666666666666666)","(7.0, 14.5, 10.299999999999999)","(18.0, 42.0, 25.0)","(1.3, 1.84, 1.540909090909091)"
