,Interpretation,Yering Soho,Terror To Rock,Star Shine,Honolulu Lulu,Mods,Gilardi,Eddee,Rocking Wroxton
10-01-2023 16:44:23.994474,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:44:25.486255,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:44:26.924662,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:44:28.363504,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:44:29.710608,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:44:31.128668,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:44:32.504315,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:44:33.927341,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:44:35.273120,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:44:36.599005,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:44:37.999308,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:44:39.315337,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:44:40.788147,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:44:42.180189,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:44:43.686843,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:44:45.146188,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:44:46.543696,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:44:47.963908,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:44:49.419010,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:44:50.898283,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:44:52.346634,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:44:53.712342,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:44:55.128670,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:44:56.596863,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:44:58.047044,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:44:59.533392,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:00.996572,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:02.523749,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:03.923177,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 23.0, 19.9)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:05.383889,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 22.0, 19.9)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:06.852726,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 22.0, 19.9)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:08.314663,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 22.0, 19.9)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:09.761074,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 22.0, 19.9)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:11.194687,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 22.0, 19.1)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:12.637167,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 21.0, 17.833333333333332)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:14.077210,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 21.0, 17.833333333333332)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:15.594856,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 21.0, 17.833333333333332)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:17.266496,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 21.0, 17.833333333333332)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:18.806132,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 21.0, 17.833333333333332)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:20.356381,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 21.0, 17.833333333333332)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:21.845327,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 21.0, 17.833333333333332)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:23.374123,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 21.0, 17.833333333333332)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:24.882907,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 21.0, 17.833333333333332)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:26.402493,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 21.0, 17.833333333333332)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:27.946357,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 21.0, 17.833333333333332)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:29.473014,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 21.0, 17.833333333333332)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:31.016808,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 21.0, 17.833333333333332)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:32.537384,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 21.0, 17.833333333333332)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:34.018852,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 21.0, 17.833333333333332)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:35.484408,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 21.0, 17.833333333333332)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:36.966207,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 21.0, 17.833333333333332)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:38.412707,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 21.0, 17.833333333333332)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:39.945705,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 21.0, 17.833333333333332)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:41.391555,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 21.0, 17.833333333333332)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:42.916729,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 21.0, 17.833333333333332)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:44.401367,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 21.0, 17.833333333333332)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:45.882406,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 21.0, 17.833333333333332)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:47.409913,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 21.0, 17.833333333333332)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:48.944265,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 21.0, 17.833333333333332)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:50.477427,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 21.0, 17.833333333333332)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:52.047974,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 21.0, 17.833333333333332)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:53.486220,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 21.0, 17.833333333333332)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:54.993347,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 21.0, 17.833333333333332)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:56.569914,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 21.0, 17.833333333333332)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:58.088171,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 21.0, 17.833333333333332)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:45:59.635395,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 21.0, 17.833333333333332)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:46:01.202878,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 21.0, 17.833333333333332)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:46:02.750781,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 21.0, 17.833333333333332)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:46:04.343587,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 21.0, 17.833333333333332)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:46:05.923049,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 21.0, 17.833333333333332)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
