,Rich List,Bretts Hope,Mums Pet Rock,Resolute Bay,Movin Millions,Mister Nien,Denstown Nz,Streamliner,Taste It
09-01-2023 14:08:55.942166,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 18.666666666666668)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:08:57.110983,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 18.666666666666668)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:08:58.230706,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 18.666666666666668)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:08:59.360672,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 18.666666666666668)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:00.533919,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 18.666666666666668)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:01.685794,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 23.333333333333336)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.027272727272727)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:02.870407,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 23.333333333333336)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.027272727272727)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:04.038090,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 24.0)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.027272727272727)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:05.205448,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 24.0)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.027272727272727)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:06.353217,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 24.0)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.027272727272727)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:07.491473,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 24.0)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.027272727272727)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:08.599427,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 24.0)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.027272727272727)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:09.681220,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 24.0)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.027272727272727)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:10.838364,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 24.0)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.027272727272727)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:11.993104,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 24.0)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.027272727272727)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:13.062744,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 24.0)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.027272727272727)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:14.237234,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 24.0)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.027272727272727)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:15.491970,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 24.0)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.027272727272727)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:16.661804,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 24.0)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.027272727272727)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:17.842147,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 24.0)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.027272727272727)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:19.022267,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 24.0)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.027272727272727)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:20.243861,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 24.0)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.027272727272727)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:21.422609,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 24.0)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.027272727272727)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:22.519316,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 24.0)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.027272727272727)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:23.600609,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 24.0)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:24.702812,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 24.0)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:25.823037,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 24.0)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:26.922097,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 24.0)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:28.022279,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 24.0)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:29.113927,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 24.0)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:30.211076,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 24.0)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:31.311341,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 24.0)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:32.453887,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 24.0)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:33.615653,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 24.0)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:34.774451,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 24.0)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:35.993208,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 24.0)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:37.165537,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 24.0)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:38.388935,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 24.0)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:39.613346,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 24.0)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:40.789394,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 24.0)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:41.864804,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 24.0)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:43.035282,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 24.0)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:44.220462,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 21.0)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.027272727272727)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:45.306813,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 21.0)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.027272727272727)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:46.362180,"(5.5, 10.0, 8.733333333333334)","(15.0, 27.0, 21.22222222222222)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.027272727272727)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:47.393108,"(5.5, 10.0, 8.733333333333334)","(15.0, 26.0, 22.57142857142857)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.027272727272727)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:48.530368,"(5.5, 10.0, 8.733333333333334)","(15.0, 26.0, 22.57142857142857)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.027272727272727)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:49.642895,"(5.5, 10.0, 8.733333333333334)","(15.0, 26.0, 22.57142857142857)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:50.757918,"(5.5, 10.0, 8.733333333333334)","(15.0, 26.0, 22.57142857142857)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:51.884509,"(5.5, 10.0, 8.733333333333334)","(15.0, 26.0, 22.57142857142857)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:53.032504,"(5.5, 10.0, 8.733333333333334)","(15.0, 26.0, 22.57142857142857)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:54.158302,"(5.5, 10.0, 8.733333333333334)","(15.0, 26.0, 22.57142857142857)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:55.370988,"(5.5, 10.0, 8.733333333333334)","(15.0, 26.0, 22.57142857142857)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:56.540572,"(5.5, 10.0, 8.733333333333334)","(15.0, 26.0, 22.57142857142857)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:57.644022,"(5.5, 10.0, 8.733333333333334)","(15.0, 26.0, 22.57142857142857)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:58.770787,"(5.5, 10.0, 8.733333333333334)","(15.0, 26.0, 22.57142857142857)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:09:59.886825,"(5.5, 10.0, 8.733333333333334)","(15.0, 26.0, 22.57142857142857)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:10:01.076782,"(5.5, 10.0, 8.733333333333334)","(15.0, 26.0, 22.57142857142857)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:10:02.176195,"(5.5, 10.0, 8.733333333333334)","(15.0, 26.0, 22.57142857142857)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:10:03.317080,"(5.5, 10.0, 8.733333333333334)","(15.0, 26.0, 22.57142857142857)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:10:04.459977,"(5.5, 10.0, 8.733333333333334)","(15.0, 26.0, 22.57142857142857)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:10:05.589740,"(5.5, 10.0, 8.733333333333334)","(15.0, 26.0, 22.57142857142857)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:10:06.674080,"(5.5, 10.0, 8.733333333333334)","(15.0, 26.0, 22.57142857142857)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:10:07.833175,"(5.5, 10.0, 8.733333333333334)","(15.0, 26.0, 22.57142857142857)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:10:08.994366,"(5.5, 10.0, 8.733333333333334)","(15.0, 26.0, 22.57142857142857)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:10:10.174451,"(5.5, 10.0, 8.733333333333334)","(15.0, 26.0, 22.57142857142857)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:10:11.302048,"(5.5, 10.0, 8.733333333333334)","(15.0, 26.0, 22.57142857142857)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 26.2)","(5.0, 6.6, 6.027272727272727)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
