,Magic Drum,Tom The Star,Silly Salmon,Strad,Beautrooper,Funny Impact,Isolating,Beaukati,Belle Power,Miss Epernay,Low Level Flying,Ourzacracker
10-01-2023 15:14:07.013316,"(9.0, 12.0, 11.277777777777779)","(5.0, 8.4, 8.338461538461539)","(3.4, 4.1, 4.014285714285714)","(10.0, 16.5, 16.0)","(8.5, 10.5, 9.546666666666667)","(26.0, 55.0, 46.75)","(10.0, 12.0, 11.935714285714285)","(3.9, 5.1, 4.949999999999999)","(21.0, 27.0, 26.705882352941178)","(101.0, 190.0, 172.22222222222223)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 112.5)"
10-01-2023 15:14:08.566730,"(9.0, 12.0, 11.277777777777779)","(5.0, 8.4, 8.338461538461539)","(3.4, 4.1, 4.014285714285714)","(10.0, 16.5, 16.0)","(8.5, 10.5, 9.546666666666667)","(26.0, 55.0, 46.75)","(10.0, 12.0, 11.935714285714285)","(3.9, 5.1, 4.949999999999999)","(21.0, 27.0, 26.705882352941178)","(101.0, 190.0, 172.22222222222223)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 112.5)"
10-01-2023 15:14:10.330392,"(9.0, 12.0, 11.277777777777779)","(5.0, 8.4, 8.338461538461539)","(3.4, 4.1, 4.014285714285714)","(10.0, 16.5, 16.0)","(8.5, 10.5, 9.546666666666667)","(26.0, 55.0, 46.75)","(10.0, 12.0, 11.935714285714285)","(3.9, 5.1, 4.949999999999999)","(21.0, 27.0, 26.705882352941178)","(101.0, 190.0, 172.22222222222223)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 112.5)"
10-01-2023 15:14:11.904053,"(9.0, 12.0, 11.083333333333334)","(5.0, 8.4, 8.35)","(3.4, 4.1, 4.014285714285714)","(10.0, 16.5, 16.0)","(8.5, 10.5, 9.546666666666667)","(26.0, 55.0, 46.75)","(10.0, 12.0, 11.935714285714285)","(3.9, 5.1, 4.949999999999999)","(21.0, 27.0, 26.705882352941178)","(101.0, 190.0, 172.22222222222223)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 112.5)"
10-01-2023 15:14:13.333613,"(9.0, 11.5, 11.083333333333334)","(5.0, 8.4, 8.35)","(3.4, 4.1, 4.014285714285714)","(10.0, 16.5, 16.0)","(8.5, 10.5, 9.546666666666667)","(26.0, 55.0, 46.75)","(10.0, 12.0, 11.935714285714285)","(3.9, 5.1, 4.992857142857143)","(21.0, 27.0, 26.705882352941178)","(101.0, 190.0, 172.22222222222223)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 110.0)"
10-01-2023 15:14:14.835603,"(9.0, 11.5, 11.083333333333334)","(5.0, 8.4, 8.35)","(3.4, 4.1, 4.014285714285714)","(10.0, 16.5, 16.0)","(8.5, 10.5, 9.546666666666667)","(26.0, 55.0, 46.75)","(10.0, 12.0, 11.935714285714285)","(3.9, 5.1, 4.992857142857143)","(21.0, 27.0, 26.705882352941178)","(101.0, 190.0, 172.22222222222223)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 110.0)"
10-01-2023 15:14:16.454893,"(9.0, 11.5, 11.083333333333334)","(5.0, 8.4, 8.35)","(3.4, 4.1, 4.014285714285714)","(10.0, 16.5, 16.0)","(8.5, 10.5, 9.546666666666667)","(26.0, 55.0, 46.75)","(10.0, 12.0, 11.935714285714285)","(3.9, 5.1, 4.875)","(21.0, 27.0, 25.6)","(101.0, 190.0, 172.22222222222223)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 110.0)"
10-01-2023 15:14:18.077373,"(9.0, 11.5, 11.083333333333334)","(5.0, 8.4, 8.35)","(3.4, 4.1, 4.014285714285714)","(10.0, 16.5, 16.0)","(8.5, 10.5, 9.546666666666667)","(26.0, 55.0, 46.75)","(10.0, 12.0, 11.935714285714285)","(3.9, 5.0, 4.875)","(21.0, 26.0, 25.6)","(101.0, 190.0, 172.22222222222223)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 110.0)"
10-01-2023 15:14:19.685185,"(9.0, 11.5, 11.083333333333334)","(5.0, 8.4, 8.35)","(3.4, 4.1, 4.014285714285714)","(10.0, 16.5, 16.0)","(8.5, 10.5, 9.546666666666667)","(26.0, 55.0, 46.75)","(10.0, 12.0, 11.935714285714285)","(3.9, 5.0, 4.875)","(21.0, 26.0, 25.6)","(101.0, 190.0, 172.22222222222223)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 110.0)"
10-01-2023 15:14:21.145390,"(9.0, 11.5, 11.083333333333334)","(5.0, 8.4, 8.35)","(3.4, 4.1, 4.014285714285714)","(10.0, 16.5, 16.0)","(8.5, 10.5, 9.546666666666667)","(26.0, 55.0, 46.75)","(10.0, 12.0, 11.935714285714285)","(3.9, 5.0, 4.875)","(21.0, 26.0, 25.6)","(101.0, 190.0, 172.22222222222223)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 110.0)"
10-01-2023 15:14:22.610432,"(9.0, 11.5, 11.083333333333334)","(5.0, 8.4, 8.35)","(3.4, 4.1, 4.014285714285714)","(10.0, 16.5, 16.0)","(8.5, 10.5, 9.546666666666667)","(26.0, 55.0, 46.75)","(10.0, 12.0, 11.935714285714285)","(3.9, 5.0, 4.875)","(21.0, 26.0, 25.6)","(101.0, 190.0, 172.22222222222223)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 110.0)"
10-01-2023 15:14:24.078132,"(9.0, 11.5, 11.083333333333334)","(5.0, 8.4, 8.35)","(3.4, 4.1, 4.014285714285714)","(10.0, 16.5, 16.0)","(8.5, 10.5, 9.546666666666667)","(26.0, 55.0, 46.75)","(10.0, 12.0, 11.935714285714285)","(3.9, 5.0, 4.875)","(21.0, 26.0, 27.4)","(101.0, 190.0, 172.22222222222223)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 110.0)"
10-01-2023 15:14:25.636517,"(9.0, 11.0, 10.833333333333334)","(5.0, 8.4, 8.35)","(3.4, 4.1, 4.014285714285714)","(10.0, 16.5, 16.0)","(8.5, 10.5, 9.546666666666667)","(26.0, 55.0, 46.75)","(10.0, 12.0, 11.935714285714285)","(3.9, 5.0, 4.875)","(21.0, 28.0, 30.88888888888889)","(101.0, 190.0, 172.22222222222223)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 116.66666666666667)"
10-01-2023 15:14:27.178269,"(9.0, 11.5, 10.928571428571429)","(5.0, 8.4, 8.35)","(3.4, 4.1, 4.014285714285714)","(10.0, 16.5, 16.0)","(8.5, 10.5, 9.546666666666667)","(26.0, 55.0, 46.75)","(10.0, 12.0, 11.935714285714285)","(3.9, 5.0, 4.875)","(21.0, 32.0, 29.916666666666668)","(101.0, 190.0, 172.22222222222223)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 116.66666666666667)"
10-01-2023 15:14:28.724750,"(9.0, 11.5, 10.928571428571429)","(5.0, 8.4, 8.35)","(3.4, 4.1, 4.014285714285714)","(10.0, 16.5, 16.0)","(8.5, 10.5, 9.546666666666667)","(26.0, 55.0, 46.75)","(10.0, 12.0, 11.935714285714285)","(3.9, 5.0, 4.875)","(21.0, 32.0, 29.916666666666668)","(101.0, 190.0, 172.22222222222223)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 116.66666666666667)"
10-01-2023 15:14:30.284916,"(9.0, 11.5, 10.928571428571429)","(5.0, 8.4, 8.35)","(3.4, 4.1, 4.014285714285714)","(10.0, 16.5, 16.0)","(8.5, 10.5, 9.546666666666667)","(26.0, 55.0, 46.75)","(10.0, 12.0, 11.935714285714285)","(3.9, 5.0, 4.875)","(21.0, 32.0, 29.916666666666668)","(101.0, 190.0, 172.22222222222223)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 116.66666666666667)"
10-01-2023 15:14:31.814507,"(9.0, 11.5, 10.928571428571429)","(5.0, 8.4, 8.35)","(3.4, 4.1, 4.014285714285714)","(10.0, 16.5, 16.0)","(8.5, 10.5, 9.546666666666667)","(26.0, 55.0, 46.75)","(10.0, 12.0, 11.935714285714285)","(3.9, 5.0, 4.875)","(21.0, 32.0, 29.916666666666668)","(101.0, 190.0, 185.17241379310343)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 116.66666666666667)"
10-01-2023 15:14:33.418983,"(9.0, 11.5, 10.928571428571429)","(5.0, 8.4, 8.35)","(3.4, 4.1, 4.014285714285714)","(10.0, 16.5, 16.0)","(8.5, 10.5, 9.546666666666667)","(26.0, 55.0, 46.75)","(10.0, 12.0, 11.935714285714285)","(3.9, 5.0, 4.875)","(21.0, 32.0, 29.916666666666668)","(101.0, 190.0, 185.17241379310343)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 116.66666666666667)"
10-01-2023 15:14:34.996671,"(9.0, 11.5, 10.928571428571429)","(5.0, 8.4, 8.3875)","(3.4, 4.1, 4.13)","(10.0, 16.5, 16.641025641025642)","(8.5, 10.5, 9.466666666666667)","(26.0, 55.0, 46.75)","(10.0, 12.0, 11.45486111111111)","(3.9, 5.0, 4.875)","(21.0, 32.0, 29.916666666666668)","(101.0, 190.0, 185.17241379310343)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 110.0)"
10-01-2023 15:14:36.579761,"(9.0, 11.5, 10.928571428571429)","(5.0, 8.8, 8.35)","(3.4, 4.4, 4.2125)","(10.0, 17.0, 16.641025641025642)","(8.5, 10.0, 9.466666666666667)","(26.0, 55.0, 45.375)","(10.0, 11.5, 11.45486111111111)","(3.9, 5.0, 4.875)","(21.0, 32.0, 29.916666666666668)","(101.0, 190.0, 177.27272727272725)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 110.0)"
10-01-2023 15:14:38.202297,"(9.0, 11.5, 10.928571428571429)","(5.0, 8.8, 8.605882352941176)","(3.4, 4.3, 4.171052631578947)","(10.0, 17.0, 16.606060606060606)","(8.5, 10.0, 9.466666666666667)","(26.0, 55.0, 45.375)","(10.0, 11.5, 11.45486111111111)","(3.9, 5.0, 4.875)","(21.0, 32.0, 29.916666666666668)","(101.0, 190.0, 177.27272727272725)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 110.0)"
10-01-2023 15:14:39.834705,"(9.0, 11.5, 10.928571428571429)","(5.0, 8.8, 8.605882352941176)","(3.4, 4.3, 4.171052631578947)","(10.0, 17.0, 16.606060606060606)","(8.5, 10.0, 9.466666666666667)","(26.0, 55.0, 45.375)","(10.0, 11.5, 11.45486111111111)","(3.9, 5.0, 4.875)","(21.0, 32.0, 29.916666666666668)","(101.0, 190.0, 177.27272727272725)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 110.0)"
10-01-2023 15:14:41.487236,"(9.0, 11.5, 10.928571428571429)","(5.0, 8.8, 8.563157894736843)","(3.4, 4.3, 4.171052631578947)","(10.0, 17.0, 16.606060606060606)","(8.5, 10.0, 9.466666666666667)","(26.0, 55.0, 45.375)","(10.0, 11.5, 11.45486111111111)","(3.9, 5.0, 4.875)","(21.0, 32.0, 29.916666666666668)","(101.0, 190.0, 177.27272727272725)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 110.0)"
10-01-2023 15:14:43.178524,"(9.0, 11.5, 10.928571428571429)","(5.0, 8.8, 8.605882352941176)","(3.4, 4.3, 4.1078947368421055)","(10.0, 17.0, 16.606060606060606)","(8.5, 10.0, 9.466666666666667)","(26.0, 55.0, 46.75)","(10.0, 11.5, 11.45486111111111)","(3.9, 5.0, 4.875)","(21.0, 32.0, 29.916666666666668)","(101.0, 190.0, 177.27272727272725)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 110.0)"
10-01-2023 15:14:44.880856,"(9.0, 11.5, 10.928571428571429)","(5.0, 8.8, 8.605882352941176)","(3.4, 4.2, 4.1078947368421055)","(10.0, 17.0, 16.606060606060606)","(8.5, 10.0, 9.466666666666667)","(26.0, 55.0, 46.75)","(10.0, 11.5, 11.45486111111111)","(3.9, 5.0, 4.875)","(21.0, 32.0, 29.916666666666668)","(101.0, 190.0, 177.27272727272725)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 110.0)"
10-01-2023 15:14:46.806736,"(9.0, 11.5, 10.928571428571429)","(5.0, 8.8, 8.605882352941176)","(3.4, 4.2, 4.1078947368421055)","(10.0, 17.0, 16.606060606060606)","(8.5, 10.0, 9.466666666666667)","(26.0, 55.0, 46.75)","(10.0, 11.5, 11.45486111111111)","(3.9, 5.0, 4.914285714285715)","(21.0, 32.0, 29.916666666666668)","(101.0, 190.0, 177.27272727272725)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 110.0)"
10-01-2023 15:14:48.618225,"(9.0, 11.5, 10.928571428571429)","(5.0, 8.8, 8.605882352941176)","(3.4, 4.2, 4.1078947368421055)","(10.0, 17.0, 16.606060606060606)","(8.5, 10.0, 9.466666666666667)","(26.0, 55.0, 46.75)","(10.0, 11.5, 11.45486111111111)","(3.9, 5.0, 4.921052631578947)","(21.0, 32.0, 29.916666666666668)","(101.0, 190.0, 177.27272727272725)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 110.0)"
10-01-2023 15:14:50.570021,"(9.0, 11.5, 10.928571428571429)","(5.0, 8.8, 8.605882352941176)","(3.4, 4.2, 4.1078947368421055)","(10.0, 17.0, 16.606060606060606)","(8.5, 10.0, 9.466666666666667)","(26.0, 55.0, 46.75)","(10.0, 11.5, 11.45486111111111)","(3.9, 5.0, 4.921052631578947)","(21.0, 32.0, 29.916666666666668)","(101.0, 190.0, 177.27272727272725)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 110.0)"
10-01-2023 15:14:52.453725,"(9.0, 11.5, 10.928571428571429)","(5.0, 8.8, 8.605882352941176)","(3.4, 4.2, 4.1078947368421055)","(10.0, 17.0, 16.606060606060606)","(8.5, 10.0, 9.466666666666667)","(26.0, 55.0, 46.75)","(10.0, 11.5, 11.45486111111111)","(3.9, 5.0, 4.90952380952381)","(21.0, 32.0, 29.916666666666668)","(101.0, 190.0, 185.17241379310343)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 110.0)"
10-01-2023 15:14:54.074712,"(9.0, 11.5, 10.928571428571429)","(5.0, 8.8, 8.605882352941176)","(3.4, 4.2, 4.1078947368421055)","(10.0, 17.0, 16.606060606060606)","(8.5, 10.0, 9.466666666666667)","(26.0, 55.0, 46.75)","(10.0, 11.5, 11.45486111111111)","(3.9, 5.0, 4.90952380952381)","(21.0, 32.0, 29.916666666666668)","(101.0, 190.0, 185.17241379310343)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 110.0)"
10-01-2023 15:14:55.747507,"(9.0, 11.5, 10.928571428571429)","(5.0, 8.8, 8.605882352941176)","(3.4, 4.3, 4.1)","(10.0, 17.0, 16.606060606060606)","(8.5, 10.0, 9.466666666666667)","(26.0, 55.0, 46.75)","(10.0, 11.5, 11.45486111111111)","(3.9, 4.9, 4.886956521739131)","(21.0, 32.0, 29.916666666666668)","(101.0, 190.0, 185.17241379310343)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 110.0)"
10-01-2023 15:14:57.374930,"(9.0, 11.5, 10.928571428571429)","(5.0, 8.8, 8.605882352941176)","(3.4, 4.2, 4.044444444444444)","(10.0, 17.0, 16.606060606060606)","(8.5, 10.0, 9.466666666666667)","(26.0, 55.0, 46.75)","(10.0, 11.5, 11.45486111111111)","(3.9, 4.9, 4.886956521739131)","(21.0, 32.0, 29.916666666666668)","(101.0, 190.0, 185.17241379310343)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 110.0)"
10-01-2023 15:14:59.135991,"(9.0, 11.5, 10.928571428571429)","(5.0, 8.8, 8.621621621621621)","(3.4, 4.2, 4.1)","(10.0, 17.0, 16.606060606060606)","(8.5, 10.0, 9.466666666666667)","(26.0, 55.0, 46.75)","(10.0, 11.5, 11.45486111111111)","(3.9, 4.9, 4.886956521739131)","(21.0, 30.0, 29.307692307692307)","(101.0, 190.0, 185.17241379310343)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 110.0)"
10-01-2023 15:15:01.071520,"(9.0, 11.5, 10.928571428571429)","(5.0, 8.8, 8.639024390243902)","(3.4, 4.3, 4.066666666666666)","(10.0, 17.0, 16.606060606060606)","(8.5, 10.0, 9.466666666666667)","(26.0, 55.0, 46.75)","(10.0, 11.5, 11.45486111111111)","(3.9, 4.9, 4.888888888888889)","(21.0, 30.0, 29.307692307692307)","(101.0, 190.0, 185.17241379310343)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 110.0)"
10-01-2023 15:15:02.892786,"(9.0, 11.5, 10.928571428571429)","(5.0, 8.8, 8.639024390243902)","(3.4, 4.2, 4.1)","(10.0, 17.0, 16.606060606060606)","(8.5, 10.0, 9.466666666666667)","(26.0, 55.0, 46.75)","(10.0, 11.5, 11.45486111111111)","(3.9, 4.9, 4.886956521739131)","(21.0, 30.0, 29.307692307692307)","(101.0, 190.0, 185.33333333333334)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 110.0)"
10-01-2023 15:15:04.786990,"(9.0, 11.5, 10.928571428571429)","(5.0, 8.8, 8.639024390243902)","(3.4, 4.3, 4.1)","(10.0, 17.0, 16.606060606060606)","(8.5, 10.0, 9.466666666666667)","(26.0, 55.0, 45.375)","(10.0, 11.5, 11.45486111111111)","(3.9, 4.9, 4.886956521739131)","(21.0, 30.0, 29.555555555555557)","(101.0, 190.0, 185.33333333333334)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 110.0)"
10-01-2023 15:15:06.568361,"(9.0, 11.5, 10.928571428571429)","(5.0, 8.8, 8.639024390243902)","(3.4, 4.3, 4.066666666666666)","(10.0, 17.0, 16.606060606060606)","(8.5, 10.0, 9.466666666666667)","(26.0, 55.0, 46.75)","(10.0, 11.5, 11.642857142857142)","(3.9, 4.9, 4.63030303030303)","(21.0, 32.0, 30.88888888888889)","(101.0, 190.0, 185.33333333333334)","(101.0, 190.0, 170.0)","(91.0, 130.0, 110.0)"
10-01-2023 15:15:08.353854,"(9.0, 11.5, 10.928571428571429)","(5.0, 8.8, 8.639024390243902)","(3.4, 4.2, 4.066666666666666)","(10.0, 17.0, 16.689655172413794)","(8.5, 10.0, 9.466666666666667)","(26.0, 55.0, 46.75)","(10.0, 12.0, 12.2)","(3.9, 4.7, 4.602127659574468)","(21.0, 32.0, 30.88888888888889)","(101.0, 190.0, 185.33333333333334)","(101.0, 190.0, 170.0)","(91.0, 130.0, 110.0)"
10-01-2023 15:15:10.034064,"(9.0, 11.5, 10.928571428571429)","(5.0, 8.8, 8.639024390243902)","(3.4, 4.2, 4.066666666666666)","(10.0, 17.0, 16.689655172413794)","(8.5, 10.0, 9.466666666666667)","(26.0, 55.0, 46.75)","(10.0, 12.5, 12.277777777777779)","(3.9, 4.7, 4.581818181818181)","(21.0, 32.0, 31.2)","(101.0, 190.0, 185.33333333333334)","(101.0, 190.0, 170.0)","(91.0, 130.0, 110.0)"
10-01-2023 15:15:11.722829,"(9.0, 11.5, 10.928571428571429)","(5.0, 8.8, 8.639024390243902)","(3.4, 4.3, 4.133333333333334)","(10.0, 17.0, 16.689655172413794)","(8.5, 10.0, 9.466666666666667)","(26.0, 55.0, 46.75)","(10.0, 12.5, 12.423076923076923)","(3.9, 4.6, 4.581818181818181)","(21.0, 32.0, 35.111111111111114)","(101.0, 190.0, 185.33333333333334)","(101.0, 190.0, 170.0)","(91.0, 130.0, 110.0)"
10-01-2023 15:15:13.346418,"(9.0, 11.5, 10.782608695652174)","(5.0, 8.8, 8.566666666666666)","(3.4, 4.4, 4.1)","(10.0, 17.0, 16.576923076923077)","(8.5, 10.0, 9.52)","(26.0, 55.0, 52.5625)","(10.0, 12.5, 12.4)","(3.9, 4.6, 4.5717647058823525)","(21.0, 36.0, 32.57142857142857)","(101.0, 190.0, 185.17241379310343)","(101.0, 220.0, 173.33333333333334)","(91.0, 130.0, 112.5)"
10-01-2023 15:15:14.994091,"(9.0, 11.5, 10.782608695652174)","(5.0, 8.6, 8.566666666666666)","(3.4, 4.3, 4.066666666666666)","(10.0, 17.0, 16.576923076923077)","(8.5, 10.0, 9.52)","(26.0, 55.0, 52.5625)","(10.0, 12.5, 12.4)","(3.9, 4.6, 4.5285714285714285)","(21.0, 36.0, 32.57142857142857)","(101.0, 190.0, 185.17241379310343)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 112.5)"
10-01-2023 15:15:16.592287,"(9.0, 11.5, 10.782608695652174)","(5.0, 8.6, 8.566666666666666)","(3.4, 4.3, 4.066666666666666)","(10.0, 17.0, 16.576923076923077)","(8.5, 10.0, 9.52)","(26.0, 55.0, 52.5625)","(10.0, 12.5, 12.4)","(3.9, 4.6, 4.5)","(21.0, 36.0, 32.57142857142857)","(101.0, 190.0, 185.17241379310343)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 112.5)"
10-01-2023 15:15:18.280683,"(9.0, 11.5, 10.782608695652174)","(5.0, 8.6, 8.566666666666666)","(3.4, 4.3, 4.066666666666666)","(10.0, 17.0, 16.576923076923077)","(8.5, 10.0, 9.52)","(26.0, 55.0, 48.4)","(10.0, 12.5, 12.38888888888889)","(3.9, 4.6, 4.462616822429906)","(21.0, 36.0, 31.333333333333332)","(101.0, 190.0, 160.0)","(101.0, 200.0, 170.0)","(91.0, 130.0, 112.5)"
10-01-2023 15:15:19.883212,"(9.0, 11.5, 10.782608695652174)","(5.0, 8.6, 8.566666666666666)","(3.4, 4.3, 4.066666666666666)","(10.0, 17.0, 16.576923076923077)","(8.5, 10.0, 9.52)","(26.0, 55.0, 51.333333333333336)","(10.0, 12.5, 12.38888888888889)","(3.9, 4.5, 4.442857142857143)","(21.0, 36.0, 38.57142857142857)","(101.0, 190.0, 160.0)","(101.0, 210.0, 176.66666666666666)","(91.0, 130.0, 112.5)"
10-01-2023 15:15:21.486154,"(9.0, 11.5, 10.782608695652174)","(5.0, 8.6, 8.566666666666666)","(3.4, 4.3, 4.066666666666666)","(10.0, 17.0, 16.517241379310345)","(8.5, 10.0, 9.52)","(26.0, 55.0, 51.333333333333336)","(10.0, 12.5, 12.38888888888889)","(3.9, 4.5, 4.445454545454545)","(21.0, 42.0, 37.05882352941177)","(101.0, 190.0, 160.0)","(101.0, 210.0, 176.66666666666666)","(91.0, 130.0, 112.5)"
