,Ms Morena,Cupids Joy,Beautiful Taps,Mazi,Cat Tale Breeze,Valley Verde,Sweet Dynasty
16-12-2022 10:49:44.388746,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.0, 3.9)","(6.5, 10.0, 8.016666666666666)","(4.0, 6.6, 6.24)","(3.9, 4.7, 4.211111111111111)"
16-12-2022 10:49:45.485252,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.0, 3.8923076923076922)","(6.5, 10.0, 8.016666666666666)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.211111111111111)"
16-12-2022 10:49:46.548321,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.1, 3.8923076923076922)","(6.5, 10.0, 8.016666666666666)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.211111111111111)"
16-12-2022 10:49:47.614859,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.1, 3.8923076923076922)","(6.5, 10.0, 8.016666666666666)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.211111111111111)"
16-12-2022 10:49:48.614135,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.0, 3.8615384615384616)","(6.5, 10.0, 8.016666666666666)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.211111111111111)"
16-12-2022 10:49:49.655213,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.0, 3.8615384615384616)","(6.5, 10.0, 8.016666666666666)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.211111111111111)"
16-12-2022 10:49:50.671012,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.0, 3.8615384615384616)","(6.5, 10.0, 8.016666666666666)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.211111111111111)"
16-12-2022 10:49:51.790531,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.0, 3.8615384615384616)","(6.5, 10.0, 8.016666666666666)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.211111111111111)"
16-12-2022 10:49:52.855007,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.0, 3.8615384615384616)","(6.5, 10.0, 8.016666666666666)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.211111111111111)"
16-12-2022 10:49:53.920149,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.0, 3.8615384615384616)","(6.5, 10.0, 8.016666666666666)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.211111111111111)"
16-12-2022 10:49:55.010358,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.0, 3.8615384615384616)","(6.5, 10.0, 8.016666666666666)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.211111111111111)"
16-12-2022 10:49:56.149758,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.0, 3.8615384615384616)","(6.5, 10.0, 8.016666666666666)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.211111111111111)"
16-12-2022 10:49:57.304824,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.0, 3.8615384615384616)","(6.5, 10.0, 8.016666666666666)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.211111111111111)"
16-12-2022 10:49:58.416061,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.0, 3.8615384615384616)","(6.5, 10.0, 8.016666666666666)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.211111111111111)"
16-12-2022 10:49:59.475571,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.0, 3.8615384615384616)","(6.5, 10.0, 8.016666666666666)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.211111111111111)"
16-12-2022 10:50:00.517380,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.0, 3.8615384615384616)","(6.5, 10.0, 8.016666666666666)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.211111111111111)"
16-12-2022 10:50:01.605371,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.0, 3.8615384615384616)","(6.5, 10.0, 8.016666666666666)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.211111111111111)"
16-12-2022 10:50:02.744032,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.0, 3.8615384615384616)","(6.5, 10.0, 8.016666666666666)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.211111111111111)"
16-12-2022 10:50:03.882065,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.0, 3.8615384615384616)","(6.5, 10.0, 8.016666666666666)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.211111111111111)"
16-12-2022 10:50:04.972394,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.0, 3.8615384615384616)","(6.5, 10.0, 8.016666666666666)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.211111111111111)"
16-12-2022 10:50:06.261346,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.0, 3.8615384615384616)","(6.5, 10.0, 8.145454545454545)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.211111111111111)"
16-12-2022 10:50:07.474013,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.0, 3.8615384615384616)","(6.5, 10.0, 8.0)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.211111111111111)"
16-12-2022 10:50:08.707333,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.0, 3.8615384615384616)","(6.5, 9.4, 9.266666666666667)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.211111111111111)"
16-12-2022 10:50:09.999089,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.0, 3.8615384615384616)","(6.5, 9.8, 9.266666666666667)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.211111111111111)"
16-12-2022 10:50:11.200544,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.0, 3.8615384615384616)","(6.5, 9.8, 9.266666666666667)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.1125)"
16-12-2022 10:50:12.500733,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.0, 3.84)","(6.5, 9.8, 9.266666666666667)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.1125)"
16-12-2022 10:50:13.685339,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(6.5, 9.8, 9.266666666666667)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.1125)"
16-12-2022 10:50:14.820000,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(6.5, 9.8, 9.266666666666667)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.1125)"
16-12-2022 10:50:16.121371,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(6.5, 9.8, 9.266666666666667)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.1125)"
16-12-2022 10:50:17.339164,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(6.5, 9.8, 9.266666666666667)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.1125)"
16-12-2022 10:50:18.497603,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(6.5, 9.8, 9.266666666666667)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.1125)"
16-12-2022 10:50:19.890994,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(6.5, 9.8, 9.266666666666667)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.1125)"
16-12-2022 10:50:21.333885,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(6.5, 9.8, 9.266666666666667)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.1125)"
16-12-2022 10:50:22.602839,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(6.5, 9.8, 9.266666666666667)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.1125)"
16-12-2022 10:50:23.718751,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(6.5, 9.8, 9.266666666666667)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.1125)"
16-12-2022 10:50:24.883004,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(6.5, 9.8, 9.266666666666667)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.1125)"
16-12-2022 10:50:26.064693,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(6.5, 9.8, 9.266666666666667)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.457894736842105)"
16-12-2022 10:50:27.254951,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(6.5, 9.8, 9.266666666666667)","(4.0, 6.6, 6.24)","(3.9, 4.5, 4.457894736842105)"
16-12-2022 10:50:28.423812,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(6.5, 9.8, 9.266666666666667)","(4.0, 6.6, 6.24)","(3.9, 4.5, 4.325)"
16-12-2022 10:50:29.594160,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(6.5, 9.8, 9.266666666666667)","(4.0, 6.6, 6.24)","(3.9, 4.5, 4.155555555555555)"
16-12-2022 10:50:30.731105,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(6.5, 9.8, 9.266666666666667)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.155555555555555)"
16-12-2022 10:50:31.909700,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(6.5, 9.8, 9.1)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.155555555555555)"
16-12-2022 10:50:33.221990,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(6.5, 9.6, 9.1)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.155555555555555)"
16-12-2022 10:50:34.501536,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(6.5, 9.6, 9.1)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.155555555555555)"
16-12-2022 10:50:35.738867,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(7.0, 9.6, 9.1)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.155555555555555)"
16-12-2022 10:50:37.009852,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(7.0, 9.6, 9.1)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.155555555555555)"
16-12-2022 10:50:38.184732,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(7.0, 9.6, 9.1)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.155555555555555)"
16-12-2022 10:50:39.391946,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(7.0, 9.6, 9.1)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.155555555555555)"
16-12-2022 10:50:40.502690,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(7.0, 9.6, 9.1)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.088636363636364)"
16-12-2022 10:50:41.681635,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(7.0, 9.6, 9.1)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.088636363636364)"
16-12-2022 10:50:42.788820,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(7.0, 9.6, 9.1)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.088636363636364)"
16-12-2022 10:50:43.850511,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(7.0, 9.6, 9.1)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.088636363636364)"
16-12-2022 10:50:45.088643,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(7.0, 9.6, 9.1)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.088636363636364)"
16-12-2022 10:50:46.303207,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(7.0, 9.6, 9.1)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.088636363636364)"
16-12-2022 10:50:47.433893,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(7.0, 9.6, 9.1)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.088636363636364)"
16-12-2022 10:50:48.436025,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(7.0, 9.6, 9.1)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.088636363636364)"
16-12-2022 10:50:49.570336,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(7.0, 9.6, 9.1)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.088636363636364)"
16-12-2022 10:50:50.712323,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(7.0, 9.6, 9.1)","(4.0, 6.6, 6.24)","(3.9, 4.6, 4.144444444444445)"
16-12-2022 10:50:51.823444,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(7.0, 9.6, 9.1)","(4.0, 6.6, 6.24)","(3.9, 4.5, 4.2)"
