,Lala Noel,Hailey Lainey,Especial Pip,You Yang Yaala,Amlin Princess,No Holds Barred,Sailors Girl,Alfie Solomon
09-01-2023 11:38:13.514734,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:14.778513,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:16.041549,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:17.217984,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:18.408022,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:19.599039,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:20.830039,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:22.034952,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:23.155966,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:24.259767,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:25.280281,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:26.323320,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:27.494830,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:28.683705,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:29.918470,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:31.178379,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:32.460670,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:33.671273,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:34.909731,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:36.164390,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:37.440706,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:38.710788,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:39.959761,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:41.241411,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:42.510785,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:43.853065,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:45.222711,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:46.697363,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:48.020588,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:49.351375,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:50.550433,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:51.705644,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:52.785130,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:53.853898,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:54.894423,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:56.072398,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:57.286355,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:58.514987,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:59.745589,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:39:00.966094,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:39:02.217391,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:39:03.510909,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:39:04.710403,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:39:05.943386,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:39:07.187562,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:39:08.395024,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:39:09.597401,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:39:10.829528,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:39:12.014183,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:39:13.237805,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:39:14.394047,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:39:15.535640,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:39:16.693889,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:39:17.835620,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:39:18.946861,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:39:20.011999,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:39:20.984982,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:39:21.993988,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:39:22.986273,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:39:24.070348,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:39:25.133021,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:39:26.244016,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:39:27.355588,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:39:28.515156,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:39:29.703208,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:39:30.843353,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:39:32.044004,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:39:33.245506,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:39:34.439438,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:39:35.645932,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:39:36.868051,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
