,Mr Oklahoma City,Legionary,Gist,Hit One Out,Country Brave,Im Crenshaw,Spirit Of Spoatie,Canonize
15-12-2022 13:44:42.660261,"(12.0, 25.0, 21.666666666666668)","(4.2, 6.2, 5.65)","(18.0, 95.0, 66.5)","(8.0, 10.5, 9.34)","(6.5, 8.6, 8.266666666666666)","(4.2, 4.5, 4.076923076923077)","(5.0, 6.4, 6.316666666666667)","(8.5, 11.0, 10.28)"
15-12-2022 13:44:43.874445,"(12.0, 25.0, 21.666666666666668)","(4.2, 6.2, 5.550000000000001)","(18.0, 95.0, 66.5)","(8.0, 10.5, 9.5)","(6.5, 8.6, 7.457142857142857)","(4.2, 4.5, 4.076923076923077)","(5.0, 6.4, 5.85)","(8.5, 11.0, 10.28)"
15-12-2022 13:44:45.104244,"(12.0, 25.0, 21.666666666666668)","(4.2, 6.2, 5.885714285714286)","(18.0, 95.0, 66.5)","(8.0, 10.5, 9.5)","(6.5, 8.6, 7.457142857142857)","(4.2, 4.5, 4.076923076923077)","(5.0, 6.4, 5.85)","(8.5, 11.0, 10.28)"
15-12-2022 13:44:46.367550,"(12.0, 25.0, 21.666666666666668)","(4.2, 6.2, 5.885714285714286)","(18.0, 95.0, 66.5)","(8.0, 10.5, 9.5)","(6.5, 8.6, 7.457142857142857)","(4.2, 4.5, 4.076923076923077)","(5.0, 6.4, 6.125)","(8.5, 11.0, 10.28)"
15-12-2022 13:44:47.621007,"(12.0, 25.0, 21.666666666666668)","(4.2, 6.2, 5.885714285714286)","(18.0, 95.0, 66.5)","(8.0, 10.5, 11.375)","(6.5, 8.6, 7.7)","(4.2, 4.5, 4.2)","(5.0, 6.4, 6.125)","(8.5, 11.0, 10.28)"
15-12-2022 13:44:48.792749,"(12.0, 25.0, 21.666666666666668)","(4.2, 6.2, 5.800000000000001)","(18.0, 95.0, 66.5)","(8.0, 12.5, 11.375)","(6.5, 8.4, 7.7)","(4.2, 4.4, 4.2)","(5.0, 6.4, 6.125)","(8.5, 11.0, 10.28)"
15-12-2022 13:44:49.919860,"(12.0, 25.0, 21.666666666666668)","(4.2, 6.4, 6.300000000000001)","(18.0, 95.0, 66.5)","(8.0, 12.0, 10.4)","(6.5, 8.4, 7.7)","(4.2, 4.4, 4.2)","(5.0, 6.4, 6.125)","(8.5, 11.0, 10.28)"
15-12-2022 13:44:51.037791,"(12.0, 25.0, 21.666666666666668)","(4.2, 6.4, 5.894736842105264)","(18.0, 95.0, 66.5)","(8.0, 12.5, 9.35)","(6.5, 8.4, 7.7)","(4.2, 4.4, 4.2)","(5.0, 6.4, 6.125)","(8.5, 11.0, 10.28)"
15-12-2022 13:44:52.143678,"(12.0, 25.0, 21.666666666666668)","(4.2, 6.4, 5.894736842105264)","(18.0, 95.0, 66.5)","(8.0, 12.0, 10.066666666666666)","(6.5, 8.4, 7.7)","(4.2, 4.4, 4.2)","(5.0, 6.4, 6.125)","(8.5, 11.0, 10.28)"
15-12-2022 13:44:53.352937,"(12.0, 25.0, 21.666666666666668)","(4.2, 6.4, 5.894736842105264)","(18.0, 95.0, 66.5)","(8.0, 12.0, 11.485714285714286)","(6.5, 8.4, 7.7)","(4.2, 4.4, 4.2)","(5.0, 6.4, 6.155555555555556)","(8.5, 11.0, 9.533333333333333)"
15-12-2022 13:44:54.573534,"(12.0, 25.0, 23.1)","(4.2, 6.4, 5.672727272727273)","(18.0, 95.0, 66.5)","(8.0, 12.0, 10.88888888888889)","(6.5, 8.4, 7.7)","(4.2, 4.4, 4.2)","(5.0, 6.4, 6.155555555555556)","(8.5, 11.0, 10.733333333333334)"
15-12-2022 13:44:55.862723,"(12.0, 25.0, 23.1)","(4.2, 6.4, 5.68)","(18.0, 95.0, 66.5)","(8.0, 12.0, 10.08)","(6.5, 8.4, 8.200000000000001)","(4.2, 4.4, 4.2)","(5.0, 6.4, 6.383333333333333)","(8.5, 11.0, 9.533333333333333)"
15-12-2022 13:44:57.331785,"(12.0, 25.0, 18.0)","(4.2, 6.4, 5.68)","(18.0, 95.0, 66.5)","(8.0, 12.0, 10.08)","(6.5, 8.8, 8.200000000000001)","(4.2, 4.4, 4.2)","(5.0, 6.6, 6.5)","(8.5, 11.0, 9.533333333333333)"
15-12-2022 13:44:58.851335,"(12.0, 25.0, 18.0)","(4.2, 6.4, 5.68)","(18.0, 95.0, 66.5)","(8.0, 12.0, 10.08)","(6.5, 8.8, 8.200000000000001)","(4.2, 4.4, 4.2)","(5.0, 7.0, 5.866666666666666)","(8.5, 11.0, 9.533333333333333)"
15-12-2022 13:45:00.051492,"(12.0, 25.0, 18.0)","(4.2, 6.4, 5.68)","(18.0, 95.0, 66.5)","(8.0, 12.0, 10.08)","(6.5, 8.8, 8.200000000000001)","(4.2, 4.4, 4.2)","(5.0, 7.0, 5.866666666666666)","(8.5, 11.0, 9.533333333333333)"
