,Akina Crusader,Dr Cinny,Myall Sparrow,Dr Whitlee,Early Boy,Dr Audrey,Rapidfire Serena
11-01-2023 18:05:43.782721,"(2.1, 3.45, 2.161111111111111)","(13.0, 30.0, 27.6875)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 25.583333333333336)"
11-01-2023 18:05:45.169504,"(2.1, 3.45, 2.161111111111111)","(13.0, 30.0, 27.6875)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 25.583333333333336)"
11-01-2023 18:05:46.509100,"(2.1, 3.45, 2.161111111111111)","(13.0, 30.0, 27.6875)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 25.583333333333336)"
11-01-2023 18:05:47.838507,"(2.1, 3.45, 2.161111111111111)","(13.0, 30.0, 27.6875)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 25.583333333333336)"
11-01-2023 18:05:49.180630,"(2.1, 3.45, 2.161111111111111)","(13.0, 30.0, 27.6875)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 25.583333333333336)"
11-01-2023 18:05:50.491266,"(2.1, 3.45, 2.161111111111111)","(13.0, 30.0, 27.6875)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 25.583333333333336)"
11-01-2023 18:05:51.744846,"(2.1, 3.45, 2.161111111111111)","(13.0, 30.0, 27.6875)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 25.583333333333336)"
11-01-2023 18:05:53.341776,"(2.1, 3.45, 2.161111111111111)","(13.0, 30.0, 27.6875)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 25.583333333333336)"
11-01-2023 18:05:54.729264,"(2.1, 3.45, 2.161111111111111)","(13.0, 30.0, 27.6875)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 25.583333333333336)"
11-01-2023 18:05:56.106628,"(2.1, 3.45, 2.161111111111111)","(13.0, 30.0, 27.6875)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:05:57.287635,"(2.1, 3.45, 2.161111111111111)","(13.0, 30.0, 27.6875)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:05:58.584552,"(2.1, 3.45, 2.161111111111111)","(13.0, 30.0, 27.6875)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:05:59.845103,"(2.1, 3.45, 3.003846153846154)","(13.0, 30.0, 27.6875)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:01.032388,"(2.1, 3.45, 3.0100000000000002)","(13.0, 30.0, 27.6875)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:02.289405,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 27.6875)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:03.563673,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 27.6875)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:04.712301,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 27.6875)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:05.797703,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 27.6875)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:06.905528,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:08.072187,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:09.354092,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:10.465158,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:11.576370,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:12.639116,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:13.765705,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:14.933164,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:16.102897,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:17.293463,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:18.433691,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:19.572282,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:20.609105,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:21.786187,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:22.893682,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:23.999787,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:25.124636,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:26.196451,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:27.290654,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:28.245136,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:29.275936,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:30.491934,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:31.637546,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:32.800806,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:33.896687,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:34.899349,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:35.930683,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:36.983484,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:38.077350,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:39.122880,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:40.181385,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:41.330361,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:42.340373,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:43.527162,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:44.681740,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:45.846364,"(2.1, 3.45, 2.232222222222222)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:46.991085,"(2.1, 3.15, 2.1429411764705883)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:48.159484,"(2.1, 3.15, 2.1429411764705883)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:49.361099,"(2.1, 3.15, 2.1429411764705883)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:50.549382,"(2.1, 3.15, 2.1429411764705883)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:51.858011,"(2.1, 3.15, 2.1429411764705883)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:53.076561,"(2.1, 3.15, 2.1429411764705883)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:54.315187,"(2.1, 3.15, 2.1429411764705883)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:55.403481,"(2.1, 3.15, 2.1429411764705883)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:56.473798,"(2.1, 3.15, 2.1429411764705883)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:57.602462,"(2.1, 3.15, 2.1429411764705883)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:58.811084,"(2.1, 3.15, 2.1429411764705883)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:06:59.974988,"(2.1, 3.15, 2.1429411764705883)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:07:00.993372,"(2.1, 3.15, 2.1429411764705883)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 21.0)"
11-01-2023 18:07:02.010991,"(2.1, 3.15, 2.1429411764705883)","(13.0, 30.0, 21.46153846153846)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 25.5)","(11.0, 27.0, 16.0)"
11-01-2023 18:07:03.057002,"(2.1, 3.15, 2.1429411764705883)","(13.0, 30.0, 16.153846153846153)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 30.625)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 25.5)","(11.0, 27.0, 16.0)"
11-01-2023 18:07:04.138620,"(2.1, 3.15, 2.1429411764705883)","(13.0, 30.0, 16.153846153846153)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 30.625)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 25.5)","(11.0, 27.0, 16.0)"
11-01-2023 18:07:05.214950,"(2.1, 3.15, 2.1429411764705883)","(13.0, 30.0, 16.153846153846153)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 30.625)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 25.5)","(11.0, 27.0, 16.0)"
11-01-2023 18:07:06.262579,"(2.1, 3.15, 2.1429411764705883)","(13.0, 30.0, 16.153846153846153)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 30.625)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 25.5)","(11.0, 27.0, 16.0)"
11-01-2023 18:07:07.387007,"(2.1, 3.15, 2.1429411764705883)","(13.0, 30.0, 16.153846153846153)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 30.625)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 25.5)","(11.0, 27.0, 16.0)"
11-01-2023 18:07:08.475609,"(2.1, 3.15, 2.1429411764705883)","(13.0, 30.0, 16.153846153846153)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 30.625)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 25.5)","(11.0, 27.0, 16.0)"
11-01-2023 18:07:09.526712,"(2.1, 3.15, 2.1429411764705883)","(13.0, 30.0, 16.153846153846153)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 30.625)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 25.5)","(11.0, 27.0, 16.0)"
11-01-2023 18:07:10.559720,"(2.1, 3.15, 2.1429411764705883)","(13.0, 30.0, 16.153846153846153)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 30.625)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 25.5)","(11.0, 27.0, 16.0)"
11-01-2023 18:07:11.611875,"(2.1, 3.15, 2.1429411764705883)","(13.0, 30.0, 16.153846153846153)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 30.625)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 25.5)","(11.0, 27.0, 16.0)"
11-01-2023 18:07:12.742735,"(2.1, 3.15, 2.1429411764705883)","(13.0, 30.0, 16.153846153846153)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 30.625)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 25.5)","(11.0, 27.0, 16.0)"
11-01-2023 18:07:13.886073,"(2.1, 3.15, 2.1429411764705883)","(13.0, 30.0, 16.153846153846153)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 30.625)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 25.5)","(11.0, 27.0, 16.0)"
11-01-2023 18:07:15.018402,"(2.1, 3.15, 2.1429411764705883)","(13.0, 30.0, 16.153846153846153)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 30.625)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 25.5)","(11.0, 27.0, 16.0)"
