,Set Us Free,Inordinate,Rebel Racer,Dixie Built,Hollerween,Turin,Black Banjo,Manhattan Sting,Fabiola,Hesontherun,Delightful Hustler,Anything But
10-01-2023 14:49:40.121737,"(14.0, 19.0, 18.75)","(3.7, 4.7, 4.561538461538462)","(8.5, 12.0, 11.375)","(9.0, 13.0, 11.96875)","(5.0, 8.4, 8.016)","(3.9, 4.5, 4.4161016949152545)","(31.0, 44.0, 43.55555555555556)","(101.0, 180.0, 147.33333333333334)","(10.0, 12.0, 11.75)","(14.0, 21.0, 19.2)","(21.0, 28.0, 27.0)","(101.0, 210.0, 189.41176470588235)"
10-01-2023 14:49:41.581421,"(14.0, 19.0, 18.75)","(3.7, 4.7, 4.561538461538462)","(8.5, 12.0, 11.375)","(9.0, 13.0, 11.96875)","(5.0, 8.4, 8.1)","(3.9, 4.5, 4.4161016949152545)","(31.0, 44.0, 43.55555555555556)","(101.0, 180.0, 147.33333333333334)","(10.0, 12.0, 11.75)","(14.0, 21.0, 19.2)","(21.0, 28.0, 27.0)","(101.0, 210.0, 189.41176470588235)"
10-01-2023 14:49:42.958875,"(14.0, 19.0, 18.75)","(3.7, 4.7, 4.561538461538462)","(8.5, 12.0, 11.375)","(9.0, 13.0, 11.96875)","(5.0, 8.4, 8.1)","(3.9, 4.5, 4.4161016949152545)","(31.0, 44.0, 43.55555555555556)","(101.0, 180.0, 147.33333333333334)","(10.0, 12.0, 11.75)","(14.0, 21.0, 19.2)","(21.0, 28.0, 27.0)","(101.0, 210.0, 189.41176470588235)"
10-01-2023 14:49:44.438409,"(14.0, 19.0, 18.75)","(3.7, 4.7, 4.561538461538462)","(8.5, 12.0, 11.375)","(9.0, 13.0, 11.96875)","(5.0, 8.4, 8.133333333333333)","(3.9, 4.5, 4.4161016949152545)","(31.0, 44.0, 43.55555555555556)","(101.0, 180.0, 147.33333333333334)","(10.0, 12.0, 11.75)","(14.0, 21.0, 19.2)","(21.0, 28.0, 26.5)","(101.0, 210.0, 189.41176470588235)"
10-01-2023 14:49:45.838392,"(14.0, 19.0, 18.75)","(3.7, 4.7, 4.505)","(8.5, 12.0, 11.375)","(9.0, 13.0, 11.96875)","(5.0, 8.4, 8.1)","(3.9, 4.5, 4.4161016949152545)","(31.0, 44.0, 43.4)","(101.0, 180.0, 147.33333333333334)","(10.0, 12.0, 11.75)","(14.0, 21.0, 19.2)","(21.0, 28.0, 25.714285714285715)","(101.0, 210.0, 189.41176470588235)"
10-01-2023 14:49:47.193822,"(14.0, 19.0, 18.75)","(3.7, 4.7, 4.505)","(8.5, 12.0, 11.375)","(9.0, 13.0, 12.125)","(5.0, 8.4, 8.1)","(3.9, 4.5, 4.4161016949152545)","(31.0, 44.0, 43.2)","(101.0, 180.0, 147.33333333333334)","(10.0, 12.0, 11.75)","(14.0, 21.0, 19.2)","(21.0, 28.0, 26.0)","(101.0, 210.0, 189.41176470588235)"
10-01-2023 14:49:48.471755,"(14.0, 19.0, 18.75)","(3.7, 4.7, 4.505)","(8.5, 12.0, 11.375)","(9.0, 13.0, 12.125)","(5.0, 8.4, 8.1)","(3.9, 4.5, 4.4161016949152545)","(31.0, 44.0, 44.18181818181818)","(101.0, 180.0, 150.0)","(10.0, 12.0, 11.75)","(14.0, 21.0, 19.2)","(21.0, 28.0, 26.5)","(101.0, 210.0, 189.41176470588235)"
10-01-2023 14:49:49.845566,"(14.0, 19.0, 18.75)","(3.7, 4.7, 4.505)","(8.5, 12.0, 11.375)","(9.0, 13.0, 12.125)","(5.0, 8.4, 8.1)","(3.9, 4.5, 4.4161016949152545)","(31.0, 46.0, 44.25)","(101.0, 160.0, 150.0)","(10.0, 12.0, 11.307692307692308)","(14.0, 21.0, 19.2)","(21.0, 28.0, 26.5)","(101.0, 210.0, 189.41176470588235)"
10-01-2023 14:49:51.213190,"(14.0, 20.0, 19.3)","(3.7, 4.7, 4.505)","(8.5, 12.0, 11.375)","(9.0, 13.0, 12.125)","(5.0, 8.4, 8.1)","(3.9, 4.5, 4.4161016949152545)","(31.0, 46.0, 44.25)","(101.0, 160.0, 150.0)","(10.0, 12.0, 11.35)","(14.0, 21.0, 19.2)","(21.0, 28.0, 26.5)","(101.0, 210.0, 189.41176470588235)"
10-01-2023 14:49:52.533732,"(14.0, 20.0, 19.3)","(3.7, 4.7, 4.505)","(8.5, 12.0, 11.375)","(9.0, 13.0, 12.125)","(5.0, 8.4, 8.1)","(3.9, 4.5, 4.4161016949152545)","(31.0, 46.0, 44.25)","(101.0, 160.0, 150.0)","(10.0, 12.0, 11.35)","(14.0, 21.0, 19.2)","(21.0, 28.0, 26.5)","(101.0, 210.0, 189.41176470588235)"
