,Drop Zone,Monkey Paw,Greek Malt,Little Fred,Winlock To Rise,Purse Strings,Brockton Bomber,Chip Rock
15-12-2022 14:17:06.368560,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.36, 1.8319999999999999)","(21.0, 65.0, 41.111111111111114)","(41.0, 340.0, 151.0)","(8.5, 15.5, 9.18888888888889)","(6.0, 11.0, 10.581818181818182)","(21.0, 70.0, 38.666666666666664)","(10.0, 25.0, 12.166666666666666)"
15-12-2022 14:17:07.513690,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.36, 1.8319999999999999)","(21.0, 65.0, 41.111111111111114)","(41.0, 340.0, 151.0)","(8.5, 15.5, 9.18888888888889)","(6.0, 11.0, 10.581818181818182)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 12.4)"
15-12-2022 14:17:08.654020,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.36, 1.8319999999999999)","(21.0, 65.0, 36.333333333333336)","(41.0, 340.0, 151.0)","(8.5, 15.5, 9.18888888888889)","(6.0, 11.0, 10.581818181818182)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 12.4)"
15-12-2022 14:17:09.777735,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.36, 1.8319999999999999)","(21.0, 65.0, 41.111111111111114)","(41.0, 340.0, 151.0)","(8.5, 15.5, 9.18888888888889)","(6.0, 11.0, 10.581818181818182)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 12.4)"
15-12-2022 14:17:10.857492,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.36, 1.8319999999999999)","(21.0, 65.0, 41.111111111111114)","(41.0, 340.0, 151.0)","(8.5, 15.5, 9.18888888888889)","(6.0, 11.0, 10.581818181818182)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 12.166666666666666)"
15-12-2022 14:17:11.888092,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.36, 1.7323076923076923)","(21.0, 65.0, 41.111111111111114)","(41.0, 340.0, 151.0)","(8.5, 15.5, 10.48181818181818)","(6.0, 12.5, 11.228571428571428)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 12.166666666666666)"
15-12-2022 14:17:12.905485,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.36, 1.7323076923076923)","(21.0, 65.0, 41.111111111111114)","(41.0, 340.0, 151.0)","(8.5, 15.5, 10.67)","(6.0, 12.0, 10.7)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 12.166666666666666)"
15-12-2022 14:17:14.030665,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.36, 1.7323076923076923)","(21.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.5, 15.5, 10.81)","(6.0, 12.0, 10.7)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 12.166666666666666)"
15-12-2022 14:17:15.147523,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.36, 1.7323076923076923)","(21.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.5, 15.5, 10.81)","(6.0, 12.0, 10.7)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 15.941176470588236)"
15-12-2022 14:17:16.212857,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.36, 1.7323076923076923)","(21.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.5, 15.5, 10.81)","(6.0, 12.0, 10.7)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 15.941176470588236)"
15-12-2022 14:17:17.243322,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.36, 1.7323076923076923)","(21.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.5, 15.5, 10.81)","(6.0, 12.0, 10.7)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 15.941176470588236)"
15-12-2022 14:17:18.267735,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.36, 1.7323076923076923)","(21.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.5, 15.5, 10.81)","(6.0, 12.0, 10.7)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 15.941176470588236)"
15-12-2022 14:17:19.321357,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.36, 1.7323076923076923)","(21.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.5, 15.5, 10.81)","(6.0, 12.0, 10.7)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 15.941176470588236)"
15-12-2022 14:17:20.447685,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.36, 1.7323076923076923)","(21.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.5, 15.5, 10.81)","(6.0, 12.0, 11.325)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 15.941176470588236)"
15-12-2022 14:17:21.609268,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.36, 1.7323076923076923)","(21.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.5, 15.5, 11.11)","(6.0, 12.0, 10.7)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 15.941176470588236)"
15-12-2022 14:17:22.706098,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.36, 1.8575)","(21.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.5, 16.5, 11.125)","(6.0, 12.0, 11.49090909090909)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 15.941176470588236)"
15-12-2022 14:17:23.755264,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.36, 1.8319999999999999)","(21.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.5, 15.0, 11.125)","(6.0, 12.0, 11.49090909090909)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 15.941176470588236)"
15-12-2022 14:17:24.788109,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.36, 1.8319999999999999)","(21.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.5, 15.0, 11.5)","(6.0, 12.0, 11.257142857142856)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 15.941176470588236)"
15-12-2022 14:17:25.818779,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.36, 1.8319999999999999)","(21.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.5, 15.0, 11.5)","(6.0, 12.0, 11.527272727272727)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 15.941176470588236)"
15-12-2022 14:17:26.989485,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.36, 1.8319999999999999)","(21.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.5, 15.0, 11.5)","(6.0, 12.0, 11.527272727272727)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 12.166666666666666)"
15-12-2022 14:17:28.108968,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.36, 1.8319999999999999)","(21.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.5, 15.0, 11.5)","(6.0, 12.0, 11.527272727272727)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 12.166666666666666)"
15-12-2022 14:17:29.246650,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.36, 1.8319999999999999)","(21.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.5, 15.0, 11.5)","(6.0, 12.0, 11.527272727272727)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 12.166666666666666)"
15-12-2022 14:17:30.314017,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.36, 1.8319999999999999)","(21.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.5, 15.0, 11.5)","(6.0, 12.0, 11.527272727272727)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 15.941176470588236)"
15-12-2022 14:17:31.351885,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.36, 1.8319999999999999)","(21.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.5, 15.0, 11.5)","(6.0, 12.0, 11.527272727272727)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 15.941176470588236)"
15-12-2022 14:17:32.366901,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.36, 1.8319999999999999)","(21.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.5, 15.0, 11.5)","(6.0, 12.0, 11.527272727272727)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 15.941176470588236)"
15-12-2022 14:17:33.425825,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.36, 1.7323076923076923)","(21.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.5, 15.0, 11.5)","(6.0, 12.0, 11.527272727272727)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 15.941176470588236)"
15-12-2022 14:17:34.465743,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.34, 1.79)","(21.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.5, 15.0, 11.5)","(6.0, 12.0, 11.527272727272727)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 15.941176470588236)"
15-12-2022 14:17:35.555694,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.34, 1.79)","(21.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.5, 15.0, 11.530000000000001)","(6.0, 12.0, 11.527272727272727)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 15.941176470588236)"
15-12-2022 14:17:36.667308,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.34, 1.79)","(21.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.5, 16.5, 11.530000000000001)","(6.0, 12.0, 11.527272727272727)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 15.941176470588236)"
15-12-2022 14:17:37.733081,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.34, 1.79)","(21.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.5, 16.5, 11.95)","(6.0, 12.0, 10.8)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 15.941176470588236)"
15-12-2022 14:17:38.813586,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.34, 1.79)","(21.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.5, 16.5, 11.95)","(6.0, 12.0, 10.8)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 15.941176470588236)"
15-12-2022 14:17:39.952577,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.34, 1.79)","(21.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.5, 16.5, 11.95)","(6.0, 12.0, 10.8)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 15.941176470588236)"
15-12-2022 14:17:41.044528,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.34, 1.94)","(21.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.5, 16.5, 11.95)","(6.0, 12.0, 10.8)","(21.0, 70.0, 39.84615384615385)","(10.0, 25.0, 15.941176470588236)"
15-12-2022 14:17:42.154915,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.34, 1.94)","(21.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.5, 16.5, 11.95)","(6.0, 12.0, 10.8)","(21.0, 70.0, 39.84615384615385)","(10.0, 25.0, 15.941176470588236)"
15-12-2022 14:17:43.203134,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.34, 1.94)","(21.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.5, 16.5, 9.4125)","(6.0, 12.0, 11.758333333333333)","(21.0, 70.0, 39.84615384615385)","(10.0, 25.0, 12.166666666666666)"
15-12-2022 14:17:44.281339,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.34, 1.94)","(21.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.5, 16.5, 11.775)","(6.0, 12.0, 11.325)","(21.0, 70.0, 39.84615384615385)","(10.0, 25.0, 12.272727272727273)"
15-12-2022 14:17:45.394915,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.34, 1.94)","(21.0, 65.0, 41.111111111111114)","(51.0, 340.0, 151.0)","(8.5, 16.5, 11.775)","(6.0, 12.0, 11.325)","(21.0, 70.0, 39.84615384615385)","(10.0, 25.0, 16.25)"
15-12-2022 14:17:46.486412,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.32, 1.9324999999999999)","(21.0, 65.0, 41.111111111111114)","(51.0, 340.0, 151.0)","(8.5, 16.5, 13.775)","(6.0, 12.0, 11.257142857142856)","(21.0, 70.0, 39.84615384615385)","(10.0, 25.0, 16.25)"
15-12-2022 14:17:47.511288,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.32, 1.9324999999999999)","(21.0, 65.0, 41.111111111111114)","(51.0, 340.0, 151.0)","(8.5, 17.0, 13.775)","(6.0, 12.0, 11.48)","(21.0, 70.0, 39.84615384615385)","(10.0, 25.0, 16.25)"
15-12-2022 14:17:48.555532,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.32, 1.9324999999999999)","(21.0, 65.0, 41.111111111111114)","(51.0, 340.0, 151.0)","(8.5, 17.0, 13.775)","(6.0, 12.0, 11.48)","(21.0, 70.0, 39.84615384615385)","(10.0, 25.0, 16.25)"
15-12-2022 14:17:49.615286,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.32, 1.9324999999999999)","(21.0, 65.0, 41.111111111111114)","(51.0, 340.0, 151.0)","(8.5, 17.0, 13.775)","(6.0, 12.0, 11.48)","(21.0, 70.0, 39.84615384615385)","(10.0, 25.0, 16.25)"
15-12-2022 14:17:50.761653,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.32, 1.9324999999999999)","(21.0, 65.0, 41.111111111111114)","(51.0, 340.0, 151.0)","(8.5, 17.0, 13.775)","(6.0, 12.0, 11.48)","(21.0, 70.0, 39.84615384615385)","(10.0, 25.0, 16.25)"
15-12-2022 14:17:51.826900,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.32, 1.9324999999999999)","(21.0, 65.0, 41.111111111111114)","(51.0, 340.0, 151.0)","(8.5, 17.0, 13.775)","(6.0, 12.0, 11.48)","(21.0, 70.0, 39.84615384615385)","(10.0, 25.0, 16.25)"
15-12-2022 14:17:52.927435,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.32, 1.9324999999999999)","(21.0, 65.0, 41.111111111111114)","(51.0, 340.0, 151.0)","(8.5, 17.0, 13.775)","(6.0, 12.0, 11.48)","(21.0, 70.0, 39.84615384615385)","(10.0, 25.0, 16.25)"
15-12-2022 14:17:53.935232,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.32, 1.9324999999999999)","(21.0, 70.0, 43.33333333333333)","(51.0, 340.0, 151.0)","(8.5, 17.0, 13.775)","(6.0, 12.0, 10.7)","(21.0, 70.0, 39.84615384615385)","(10.0, 25.0, 17.0)"
15-12-2022 14:17:54.890157,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.32, 1.9324999999999999)","(21.0, 70.0, 43.33333333333333)","(51.0, 340.0, 151.0)","(8.5, 17.0, 14.2)","(6.0, 12.0, 11.325)","(21.0, 70.0, 39.84615384615385)","(10.0, 25.0, 17.0)"
15-12-2022 14:17:55.923387,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.32, 1.9324999999999999)","(21.0, 70.0, 43.33333333333333)","(51.0, 340.0, 151.0)","(9.0, 17.0, 12.9)","(6.5, 12.0, 11.325)","(21.0, 70.0, 39.84615384615385)","(11.0, 25.0, 17.0)"
15-12-2022 14:17:57.046059,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.32, 1.7323076923076923)","(21.0, 70.0, 43.33333333333333)","(51.0, 340.0, 151.0)","(9.0, 17.0, 13.0)","(6.5, 12.0, 10.6)","(21.0, 70.0, 39.84615384615385)","(11.0, 25.0, 12.555555555555555)"
15-12-2022 14:17:58.125728,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.36, 1.7323076923076923)","(21.0, 70.0, 43.33333333333333)","(51.0, 340.0, 151.0)","(9.0, 17.0, 13.0)","(6.5, 12.0, 10.7)","(21.0, 70.0, 39.84615384615385)","(11.0, 25.0, 12.555555555555555)"
15-12-2022 14:17:59.196029,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.36, 1.7323076923076923)","(21.0, 70.0, 38.0)","(51.0, 340.0, 151.0)","(9.0, 17.0, 13.0)","(6.5, 12.0, 11.49090909090909)","(21.0, 70.0, 39.84615384615385)","(11.0, 25.0, 17.0)"
15-12-2022 14:18:00.271344,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.36, 1.7323076923076923)","(21.0, 70.0, 38.0)","(51.0, 340.0, 151.0)","(9.0, 17.0, 13.0)","(6.5, 12.0, 11.257142857142856)","(21.0, 70.0, 39.84615384615385)","(11.0, 25.0, 17.0)"
15-12-2022 14:18:01.302012,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.36, 1.7323076923076923)","(21.0, 70.0, 38.0)","(51.0, 340.0, 151.0)","(9.0, 17.0, 13.0)","(6.5, 12.0, 10.7)","(21.0, 70.0, 39.84615384615385)","(11.0, 25.0, 17.0)"
15-12-2022 14:18:02.352784,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.34, 1.7742857142857142)","(21.0, 70.0, 38.0)","(51.0, 340.0, 151.0)","(9.0, 17.0, 13.0)","(6.5, 12.0, 10.7)","(21.0, 70.0, 42.57142857142857)","(11.0, 25.0, 17.0)"
15-12-2022 14:18:03.364755,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.34, 1.95)","(21.0, 70.0, 38.0)","(51.0, 340.0, 151.0)","(9.0, 17.0, 13.0)","(6.5, 12.0, 10.7)","(21.0, 70.0, 42.57142857142857)","(11.0, 25.0, 17.0)"
15-12-2022 14:18:04.441609,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.34, 1.9133333333333333)","(21.0, 70.0, 38.0)","(51.0, 340.0, 151.0)","(9.0, 17.0, 13.0)","(6.5, 12.0, 10.7)","(21.0, 70.0, 42.57142857142857)","(11.0, 25.0, 17.0)"
15-12-2022 14:18:05.460589,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.34, 1.9133333333333333)","(21.0, 70.0, 38.0)","(51.0, 340.0, 151.0)","(9.0, 17.0, 13.0)","(6.5, 12.0, 10.7)","(21.0, 70.0, 42.57142857142857)","(11.0, 25.0, 17.0)"
15-12-2022 14:18:06.457289,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.34, 1.9133333333333333)","(21.0, 70.0, 38.0)","(51.0, 340.0, 151.0)","(9.0, 17.0, 13.0)","(6.5, 12.0, 10.7)","(21.0, 70.0, 42.57142857142857)","(11.0, 25.0, 17.0)"
15-12-2022 14:18:07.484622,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.34, 1.9133333333333333)","(21.0, 70.0, 38.0)","(51.0, 340.0, 151.0)","(9.0, 17.0, 13.0)","(6.5, 12.0, 10.7)","(21.0, 70.0, 42.57142857142857)","(11.0, 25.0, 17.0)"
15-12-2022 14:18:08.580011,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.34, 1.9133333333333333)","(21.0, 70.0, 38.0)","(51.0, 340.0, 151.0)","(9.0, 17.0, 13.0)","(6.5, 12.0, 10.7)","(21.0, 70.0, 42.57142857142857)","(11.0, 25.0, 17.0)"
15-12-2022 14:18:09.668984,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.34, 1.9133333333333333)","(21.0, 70.0, 38.0)","(51.0, 340.0, 151.0)","(9.0, 17.0, 13.0)","(6.5, 12.0, 10.7)","(21.0, 70.0, 42.57142857142857)","(11.0, 25.0, 17.0)"
15-12-2022 14:18:10.789500,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.2, 1.7184615384615385)","(21.0, 70.0, 38.0)","(51.0, 340.0, 151.0)","(9.0, 17.0, 13.0)","(6.5, 12.0, 11.49090909090909)","(21.0, 70.0, 42.57142857142857)","(11.0, 25.0, 17.0)"
15-12-2022 14:18:11.964425,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.18, 1.7184615384615385)","(21.0, 70.0, 38.0)","(51.0, 340.0, 151.0)","(8.5, 17.0, 13.0)","(6.0, 12.0, 11.49090909090909)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 17.0)"
15-12-2022 14:18:13.045678,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.18, 1.7184615384615385)","(21.0, 70.0, 38.0)","(51.0, 340.0, 151.0)","(8.5, 17.0, 13.0)","(6.0, 12.0, 11.49090909090909)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 17.0)"
15-12-2022 14:18:14.147816,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.18, 1.7184615384615385)","(21.0, 70.0, 38.0)","(51.0, 390.0, 168.85714285714286)","(8.5, 17.0, 13.0)","(6.0, 12.0, 11.49090909090909)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 17.0)"
15-12-2022 14:18:15.295185,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.18, 1.7184615384615385)","(21.0, 70.0, 38.0)","(51.0, 390.0, 168.85714285714286)","(8.5, 17.0, 13.0)","(6.0, 12.0, 11.49090909090909)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 12.555555555555555)"
15-12-2022 14:18:16.473096,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.18, 1.7184615384615385)","(21.0, 70.0, 38.0)","(51.0, 390.0, 168.85714285714286)","(8.5, 17.0, 13.0)","(6.0, 12.0, 10.152941176470588)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 12.555555555555555)"
15-12-2022 14:18:17.689976,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.16, 1.7485714285714284)","(21.0, 70.0, 38.0)","(51.0, 390.0, 168.85714285714286)","(8.5, 17.0, 13.0)","(6.0, 12.5, 10.152941176470588)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 12.555555555555555)"
15-12-2022 14:18:18.790511,"(5.0, 10.5, 10.066666666666666)","(1.45, 2.16, 1.8533333333333333)","(21.0, 70.0, 38.0)","(51.0, 390.0, 168.85714285714286)","(9.0, 17.0, 13.0)","(6.5, 12.5, 10.152941176470588)","(21.0, 70.0, 42.57142857142857)","(11.0, 25.0, 17.0)"
15-12-2022 14:18:19.870968,"(5.0, 10.5, 10.066666666666666)","(1.45, 2.16, 1.8533333333333333)","(21.0, 70.0, 38.0)","(51.0, 390.0, 168.85714285714286)","(9.0, 17.0, 13.0)","(6.5, 12.5, 10.152941176470588)","(21.0, 70.0, 42.57142857142857)","(11.0, 25.0, 17.0)"
