,Chatty Mavis,Sozins Queen,Epic Blossom,Lucky Jack,Goldstar Clover,Romeo,Homebush Thaw,Retread Pete
15-12-2022 13:46:59.658524,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:00.772505,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:01.907162,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:03.023015,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:04.161555,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:05.359806,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:06.510254,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:07.763646,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:08.907303,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:10.011773,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:11.066450,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:12.134402,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:13.307512,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:14.462942,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:15.640157,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:16.794801,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:17.971558,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:19.069321,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:20.207865,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:21.382138,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:22.608694,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:23.818437,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:25.079682,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:26.357812,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:27.731048,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:28.991072,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:30.208492,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:31.405239,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:32.607699,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:33.767311,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:34.948939,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:36.186233,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:37.450332,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:38.651306,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:39.829047,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:40.945085,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:42.139015,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:43.433154,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:44.660751,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:45.960545,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:47.196233,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:48.438533,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:49.704300,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:50.908318,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:52.135875,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:53.366097,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:54.596078,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:55.768256,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:56.975590,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:58.130183,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:47:59.248910,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:48:00.402431,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:48:01.690174,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:48:02.904719,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:48:04.080582,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:48:05.236680,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:48:06.380511,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:48:07.591002,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:48:08.816089,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:48:10.142463,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:48:12.897488,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:48:15.166773,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:48:16.345382,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:48:17.658669,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:48:19.098573,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:48:20.644166,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:48:22.043677,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:48:23.872319,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:48:25.357888,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:48:26.668440,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:48:27.943802,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
