,Deluxe Legend,Exlover,Tupelawara,Regal Conqueror,Warrioress,Crazy Eyed Fred,Super Art,Good Girl
08-01-2023 12:29:04.218786,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.946764705882353)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 8.133333333333333)"
08-01-2023 12:29:05.274535,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.946764705882353)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 8.133333333333333)"
08-01-2023 12:29:06.339935,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 8.133333333333333)"
08-01-2023 12:29:07.506902,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 8.133333333333333)"
08-01-2023 12:29:08.590746,"(9.0, 10.0, 9.84)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 8.133333333333333)"
08-01-2023 12:29:09.730704,"(9.0, 10.0, 9.84)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 8.133333333333333)"
08-01-2023 12:29:10.815040,"(9.0, 10.0, 9.84)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 8.133333333333333)"
08-01-2023 12:29:11.864429,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 8.133333333333333)"
08-01-2023 12:29:13.084870,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 8.133333333333333)"
08-01-2023 12:29:14.162493,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 8.133333333333333)"
08-01-2023 12:29:15.233614,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 8.133333333333333)"
08-01-2023 12:29:16.324516,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 8.133333333333333)"
08-01-2023 12:29:17.467127,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 8.133333333333333)"
08-01-2023 12:29:18.518533,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 8.133333333333333)"
08-01-2023 12:29:19.512247,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 8.133333333333333)"
08-01-2023 12:29:20.523025,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 8.133333333333333)"
08-01-2023 12:29:21.700398,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 8.133333333333333)"
08-01-2023 12:29:22.809489,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 55.0, 49.27272727272727)","(5.5, 8.4, 8.133333333333333)"
08-01-2023 12:29:23.912842,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 50.0, 49.27272727272727)","(5.5, 8.4, 8.133333333333333)"
08-01-2023 12:29:25.005545,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 50.0, 49.27272727272727)","(5.5, 8.4, 8.133333333333333)"
08-01-2023 12:29:26.130694,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 50.0, 52.83333333333333)","(5.5, 8.4, 8.133333333333333)"
08-01-2023 12:29:27.243136,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 8.133333333333333)"
08-01-2023 12:29:28.320757,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 8.133333333333333)"
08-01-2023 12:29:29.376981,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 8.133333333333333)"
08-01-2023 12:29:30.373363,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 8.133333333333333)"
08-01-2023 12:29:31.414745,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 8.133333333333333)"
08-01-2023 12:29:32.410147,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 8.133333333333333)"
08-01-2023 12:29:33.443962,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 8.133333333333333)"
08-01-2023 12:29:34.464341,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 8.133333333333333)"
08-01-2023 12:29:35.564397,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 16.285714285714285)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 7.714285714285714)"
08-01-2023 12:29:36.576074,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 16.285714285714285)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 7.714285714285714)"
08-01-2023 12:29:37.669600,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 16.285714285714285)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 7.7)"
08-01-2023 12:29:38.685530,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 16.285714285714285)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 7.7)"
08-01-2023 12:29:39.823378,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 16.285714285714285)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 7.7)"
08-01-2023 12:29:40.905231,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 16.285714285714285)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 7.7)"
08-01-2023 12:29:41.989909,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 16.285714285714285)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 7.885714285714286)"
08-01-2023 12:29:43.084326,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 16.285714285714285)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 7.885714285714286)"
08-01-2023 12:29:44.174820,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 16.285714285714285)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 7.885714285714286)"
08-01-2023 12:29:45.212238,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 16.285714285714285)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 7.885714285714286)"
08-01-2023 12:29:46.297423,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 16.285714285714285)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 7.885714285714286)"
08-01-2023 12:29:47.362644,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 16.285714285714285)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 7.885714285714286)"
08-01-2023 12:29:48.457692,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 16.285714285714285)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 184.28571428571428)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 7.885714285714286)"
08-01-2023 12:29:49.521247,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 16.285714285714285)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 184.28571428571428)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 7.885714285714286)"
08-01-2023 12:29:50.559604,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 16.285714285714285)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 184.28571428571428)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 7.885714285714286)"
08-01-2023 12:29:51.583054,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 16.285714285714285)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 184.28571428571428)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 7.885714285714286)"
08-01-2023 12:29:52.635373,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 16.285714285714285)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 184.28571428571428)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 7.885714285714286)"
08-01-2023 12:29:53.690165,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 16.285714285714285)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 184.28571428571428)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 7.885714285714286)"
08-01-2023 12:29:54.788166,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 16.285714285714285)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 184.28571428571428)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 7.885714285714286)"
08-01-2023 12:29:55.939132,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 16.285714285714285)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 184.28571428571428)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 7.885714285714286)"
08-01-2023 12:29:56.992433,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 16.285714285714285)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 184.28571428571428)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 7.885714285714286)"
08-01-2023 12:29:58.021538,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 16.285714285714285)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 184.28571428571428)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 7.885714285714286)"
08-01-2023 12:29:59.032472,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 16.285714285714285)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 184.28571428571428)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 7.885714285714286)"
08-01-2023 12:30:00.028036,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 16.285714285714285)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 184.28571428571428)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 7.885714285714286)"
08-01-2023 12:30:01.069151,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 16.285714285714285)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 184.28571428571428)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 7.885714285714286)"
08-01-2023 12:30:02.155148,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 16.285714285714285)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 184.28571428571428)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 7.885714285714286)"
08-01-2023 12:30:03.309279,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.4, 7.0, 6.1875)","(14.0, 17.0, 16.285714285714285)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 184.28571428571428)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 7.885714285714286)"
08-01-2023 12:30:04.432473,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.4, 7.0, 6.1875)","(14.0, 17.0, 16.285714285714285)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 184.28571428571428)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 7.885714285714286)"
08-01-2023 12:30:05.560607,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.4, 7.0, 6.1875)","(14.0, 17.0, 16.285714285714285)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 184.28571428571428)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 7.885714285714286)"
08-01-2023 12:30:06.683262,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.4, 7.0, 6.1875)","(14.0, 17.0, 16.285714285714285)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 184.28571428571428)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 7.885714285714286)"
08-01-2023 12:30:07.772677,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.4, 7.0, 6.1875)","(14.0, 17.0, 16.285714285714285)","(1.7, 1.96, 1.9461538461538461)","(101.0, 210.0, 184.28571428571428)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 7.885714285714286)"
08-01-2023 12:30:08.865650,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.4, 7.0, 6.1875)","(14.0, 17.0, 16.285714285714285)","(1.7, 1.96, 1.9754716981132074)","(101.0, 210.0, 184.28571428571428)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 7.885714285714286)"
08-01-2023 12:30:09.886642,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.4, 7.0, 6.1875)","(14.0, 17.0, 16.285714285714285)","(1.7, 1.98, 1.9754716981132074)","(101.0, 210.0, 184.28571428571428)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 7.885714285714286)"
08-01-2023 12:30:10.905977,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.4, 7.0, 6.1875)","(14.0, 17.0, 16.285714285714285)","(1.7, 1.98, 1.9757142857142858)","(101.0, 210.0, 184.28571428571428)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 7.885714285714286)"
08-01-2023 12:30:11.903347,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.4, 7.0, 6.1875)","(14.0, 17.0, 16.285714285714285)","(1.7, 1.98, 1.9757142857142858)","(101.0, 210.0, 184.28571428571428)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 7.885714285714286)"
08-01-2023 12:30:12.980109,"(9.0, 10.0, 9.75)","(31.0, 65.0, 60.166666666666664)","(3.4, 7.0, 6.375)","(14.0, 17.0, 16.22222222222222)","(1.7, 2.0, 1.9232456140350878)","(101.0, 210.0, 184.28571428571428)","(51.0, 55.0, 52.63636363636364)","(5.5, 8.4, 7.885714285714286)"
08-01-2023 12:30:14.037464,"(9.0, 10.0, 9.75)","(31.0, 65.0, 60.166666666666664)","(3.4, 7.0, 6.375)","(14.0, 17.0, 16.22222222222222)","(1.7, 2.0, 1.924793388429752)","(101.0, 210.0, 184.28571428571428)","(51.0, 55.0, 52.63636363636364)","(5.5, 8.4, 7.885714285714286)"
08-01-2023 12:30:15.134283,"(9.0, 10.0, 9.75)","(31.0, 65.0, 60.166666666666664)","(3.4, 7.6, 6.252631578947368)","(14.0, 17.0, 16.22222222222222)","(1.7, 2.0, 1.924793388429752)","(101.0, 210.0, 184.28571428571428)","(51.0, 55.0, 52.63636363636364)","(5.5, 8.4, 7.885714285714286)"
08-01-2023 12:30:16.228176,"(9.0, 10.0, 9.75)","(31.0, 65.0, 60.166666666666664)","(3.4, 7.4, 6.221052631578948)","(14.0, 17.0, 16.22222222222222)","(1.7, 2.0, 1.924793388429752)","(101.0, 210.0, 184.28571428571428)","(51.0, 55.0, 52.63636363636364)","(5.5, 8.4, 7.885714285714286)"
08-01-2023 12:30:17.396182,"(9.0, 10.0, 9.75)","(31.0, 65.0, 60.166666666666664)","(3.4, 7.4, 6.221052631578948)","(14.0, 17.0, 16.22222222222222)","(1.7, 2.0, 1.924793388429752)","(101.0, 210.0, 184.28571428571428)","(51.0, 55.0, 52.63636363636364)","(5.5, 8.4, 7.885714285714286)"
08-01-2023 12:30:18.449644,"(9.0, 10.0, 9.75)","(31.0, 65.0, 60.166666666666664)","(3.4, 7.4, 6.221052631578948)","(14.0, 17.0, 16.22222222222222)","(1.7, 2.0, 1.924793388429752)","(101.0, 210.0, 184.28571428571428)","(51.0, 55.0, 52.63636363636364)","(5.5, 8.4, 7.885714285714286)"
08-01-2023 12:30:19.479247,"(9.0, 10.0, 9.75)","(31.0, 65.0, 60.166666666666664)","(3.4, 7.4, 6.221052631578948)","(14.0, 17.0, 16.22222222222222)","(1.7, 2.0, 1.924793388429752)","(101.0, 210.0, 184.28571428571428)","(51.0, 55.0, 52.80952380952381)","(5.5, 8.4, 7.885714285714286)"
