,Mary Austin Nz,Plains In Heaven,Emer,Direct Command Nz,Carramar Solomona,Machane Said,Puzzle Piece
07-12-2022 18:38:12.413497,"(41.0, 99999, 99990)","(21.0, 38.0, 31.333333333333332)","(4.2, 5.7, 5.5875)","(10.0, 99999, 99990)","(2.6, 3.65, 3.55625)","(3.5, 3.75, 3.518181818181818)","(4.8, 7.2, 6.92)"
07-12-2022 18:38:13.396094,"(41.0, 99999, 99990)","(21.0, 38.0, 31.333333333333332)","(4.2, 5.7, 5.5875)","(10.0, 99999, 99990)","(2.6, 3.65, 3.55625)","(3.5, 3.65, 3.408333333333333)","(4.8, 7.2, 6.92)"
07-12-2022 18:38:14.334711,"(41.0, 99999, 99990)","(21.0, 38.0, 30.2)","(4.2, 5.7, 5.5875)","(10.0, 99999, 99990)","(2.6, 3.65, 3.55625)","(3.5, 3.65, 3.43030303030303)","(4.8, 7.2, 6.92)"
07-12-2022 18:38:15.289548,"(41.0, 99999, 99990)","(21.0, 38.0, 30.2)","(4.2, 5.7, 5.5875)","(10.0, 99999, 99990)","(2.6, 3.65, 3.55625)","(3.5, 3.65, 3.43030303030303)","(4.8, 7.2, 6.92)"
07-12-2022 18:38:16.259693,"(41.0, 99999, 99990)","(21.0, 38.0, 30.2)","(4.2, 5.7, 5.5875)","(10.0, 99999, 99990)","(2.6, 3.65, 3.55625)","(3.5, 3.65, 3.43030303030303)","(4.8, 7.2, 6.92)"
07-12-2022 18:38:17.246806,"(41.0, 99999, 99990)","(21.0, 38.0, 30.8)","(4.2, 5.7, 5.5875)","(10.0, 99999, 99990)","(2.6, 3.65, 3.55625)","(3.5, 3.65, 3.43030303030303)","(4.8, 7.2, 6.92)"
07-12-2022 18:38:18.190351,"(41.0, 99999, 99990)","(21.0, 38.0, 30.8)","(4.2, 5.7, 5.5875)","(10.0, 99999, 99990)","(2.6, 3.65, 3.55625)","(3.5, 3.65, 3.43030303030303)","(4.8, 7.2, 6.92)"
07-12-2022 18:38:19.125562,"(41.0, 99999, 99990)","(21.0, 38.0, 30.8)","(4.2, 5.7, 5.5875)","(10.0, 99999, 99990)","(2.6, 3.65, 3.55625)","(3.5, 3.65, 3.43030303030303)","(4.8, 7.2, 6.92)"
07-12-2022 18:38:20.113306,"(41.0, 99999, 99990)","(21.0, 38.0, 30.8)","(4.2, 5.7, 5.5875)","(10.0, 99999, 99990)","(2.6, 3.65, 3.55625)","(3.5, 3.65, 3.43030303030303)","(4.8, 7.2, 6.92)"
07-12-2022 18:38:21.202893,"(41.0, 99999, 99990)","(21.0, 38.0, 32.46153846153846)","(4.2, 5.7, 5.5875)","(10.0, 99999, 99990)","(2.6, 3.65, 3.55625)","(3.5, 3.65, 3.43030303030303)","(4.8, 7.2, 6.92)"
07-12-2022 18:38:22.219094,"(41.0, 99999, 99990)","(21.0, 38.0, 30.666666666666668)","(4.2, 5.7, 5.5875)","(10.0, 99999, 99990)","(2.6, 3.65, 3.6344827586206896)","(3.5, 3.65, 3.4234375)","(4.8, 7.2, 6.92)"
07-12-2022 18:38:23.214203,"(41.0, 99999, 99990)","(21.0, 38.0, 30.666666666666668)","(4.2, 5.7, 5.5875)","(10.0, 99999, 99990)","(2.6, 3.65, 3.6344827586206896)","(3.5, 3.65, 3.427027027027027)","(4.8, 7.2, 6.92)"
07-12-2022 18:38:24.177939,"(41.0, 99999, 99990)","(21.0, 38.0, 30.666666666666668)","(4.2, 5.7, 5.5875)","(10.0, 99999, 99990)","(2.6, 3.65, 3.55625)","(3.5, 3.65, 3.3824324324324326)","(4.8, 7.2, 6.92)"
07-12-2022 18:38:25.115070,"(41.0, 99999, 99990)","(21.0, 38.0, 31.333333333333332)","(4.2, 5.7, 5.5875)","(10.0, 99999, 99990)","(2.6, 3.65, 3.55625)","(3.5, 3.65, 3.3824324324324326)","(4.8, 7.2, 6.92)"
07-12-2022 18:38:26.023652,"(41.0, 99999, 99990)","(21.0, 38.0, 31.333333333333332)","(4.2, 5.7, 5.5875)","(10.0, 99999, 99990)","(2.6, 3.65, 3.55625)","(3.5, 3.65, 3.3824324324324326)","(4.8, 7.2, 6.92)"
