,Loui,Our Princess Kennedy Nz,Freddy Singh,Smooth Overarm Nz,Mighty Joe,Pippo Nien,Oursouthernstar,Mach Daddy,Eagle Commander,Bertie Jones Nz
14-12-2022 19:00:23.853053,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 29.291666666666668)","(4.6, 99999, 99990)","(13.0, 28.0, 17.333333333333332)","(26.0, 75.0, 38.6)","(12.0, 27.0, 21.833333333333336)","(11.0, 21.0, 14.0)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:00:25.447632,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 29.291666666666668)","(4.6, 99999, 99990)","(13.0, 28.0, 17.333333333333332)","(26.0, 75.0, 38.6)","(12.0, 27.0, 21.833333333333336)","(11.0, 21.0, 14.0)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:00:27.052186,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 29.291666666666668)","(4.6, 99999, 99990)","(13.0, 28.0, 17.333333333333332)","(26.0, 75.0, 38.6)","(12.0, 27.0, 21.833333333333336)","(11.0, 21.0, 14.0)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:00:28.751741,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 29.291666666666668)","(4.6, 99999, 99990)","(13.0, 28.0, 17.333333333333332)","(26.0, 75.0, 38.6)","(12.0, 27.0, 21.833333333333336)","(11.0, 21.0, 14.0)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:00:30.474492,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 29.291666666666668)","(4.6, 99999, 99990)","(13.0, 28.0, 17.333333333333332)","(26.0, 75.0, 38.6)","(12.0, 27.0, 21.833333333333336)","(11.0, 21.0, 14.0)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:00:32.183289,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 29.291666666666668)","(4.6, 99999, 99990)","(13.0, 28.0, 17.333333333333332)","(26.0, 75.0, 38.6)","(12.0, 27.0, 21.833333333333336)","(11.0, 21.0, 14.0)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:00:33.850235,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 29.291666666666668)","(4.6, 99999, 99990)","(13.0, 28.0, 17.333333333333332)","(26.0, 75.0, 38.6)","(12.0, 27.0, 21.833333333333336)","(11.0, 21.0, 14.0)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:00:35.557337,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 29.291666666666668)","(4.6, 99999, 99990)","(13.0, 28.0, 17.333333333333332)","(26.0, 75.0, 38.6)","(12.0, 27.0, 21.833333333333336)","(11.0, 21.0, 14.0)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:00:37.191542,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 29.291666666666668)","(4.6, 99999, 99990)","(13.0, 28.0, 17.333333333333332)","(26.0, 75.0, 38.6)","(12.0, 27.0, 21.833333333333336)","(11.0, 21.0, 14.0)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:00:38.857064,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 29.291666666666668)","(4.6, 99999, 99990)","(13.0, 28.0, 17.333333333333332)","(26.0, 75.0, 38.6)","(12.0, 27.0, 21.833333333333336)","(11.0, 21.0, 14.0)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:00:40.451430,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 29.291666666666668)","(4.6, 99999, 99990)","(13.0, 28.0, 17.333333333333332)","(26.0, 75.0, 38.6)","(12.0, 27.0, 21.833333333333336)","(11.0, 21.0, 14.0)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:00:42.021469,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 29.291666666666668)","(4.6, 99999, 99990)","(13.0, 28.0, 17.333333333333332)","(26.0, 75.0, 38.6)","(12.0, 27.0, 21.833333333333336)","(11.0, 21.0, 14.0)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:00:43.560152,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 29.291666666666668)","(4.6, 99999, 99990)","(13.0, 28.0, 17.333333333333332)","(26.0, 75.0, 38.6)","(12.0, 27.0, 21.833333333333336)","(11.0, 21.0, 14.0)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:00:45.183439,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 32.625)","(12.0, 27.0, 16.666666666666668)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:00:46.790170,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 32.625)","(12.0, 27.0, 16.666666666666668)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:00:48.463299,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 32.625)","(12.0, 27.0, 16.666666666666668)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:00:50.231674,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 32.625)","(12.0, 27.0, 16.666666666666668)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:00:51.867117,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 32.625)","(12.0, 27.0, 16.666666666666668)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:00:53.520048,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 32.625)","(12.0, 27.0, 16.666666666666668)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:00:55.291790,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 32.625)","(12.0, 27.0, 16.666666666666668)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:00:56.866768,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 32.625)","(12.0, 27.0, 16.666666666666668)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:00:58.381538,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 32.625)","(12.0, 27.0, 16.666666666666668)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:00:59.951746,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 32.625)","(12.0, 27.0, 16.666666666666668)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:01.631445,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 32.625)","(12.0, 27.0, 16.666666666666668)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:03.333808,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 32.625)","(12.0, 27.0, 16.666666666666668)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:04.894312,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 32.625)","(12.0, 27.0, 16.666666666666668)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:06.560792,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 32.625)","(12.0, 27.0, 16.666666666666668)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:08.132895,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 32.625)","(12.0, 27.0, 16.666666666666668)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:09.748852,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 32.625)","(12.0, 27.0, 16.666666666666668)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:11.350553,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 32.625)","(12.0, 27.0, 16.666666666666668)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:12.970962,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 32.625)","(12.0, 27.0, 16.666666666666668)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:14.705497,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 32.625)","(12.0, 27.0, 16.666666666666668)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:16.277357,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 32.625)","(12.0, 27.0, 16.666666666666668)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:17.947788,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 32.625)","(12.0, 27.0, 16.666666666666668)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:19.442099,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 32.625)","(12.0, 27.0, 16.666666666666668)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:20.957135,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 32.625)","(12.0, 27.0, 16.666666666666668)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:22.497858,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 32.625)","(12.0, 27.0, 16.666666666666668)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:24.057435,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 32.625)","(12.0, 27.0, 16.666666666666668)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:25.665414,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 32.625)","(12.0, 27.0, 16.666666666666668)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:27.248702,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 32.625)","(12.0, 27.0, 16.666666666666668)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:28.732366,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 32.625)","(12.0, 27.0, 16.666666666666668)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:30.270866,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 32.625)","(12.0, 27.0, 16.666666666666668)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:31.749419,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 32.625)","(12.0, 27.0, 16.666666666666668)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:33.271243,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 32.625)","(12.0, 27.0, 16.666666666666668)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:34.773861,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 32.625)","(12.0, 27.0, 16.666666666666668)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:36.289920,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 32.625)","(12.0, 27.0, 16.666666666666668)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:37.785217,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 32.625)","(12.0, 27.0, 16.666666666666668)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:39.254199,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 32.625)","(12.0, 27.0, 16.666666666666668)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:40.681393,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 32.625)","(12.0, 27.0, 16.666666666666668)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:42.165894,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 32.625)","(12.0, 27.0, 16.666666666666668)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:43.650676,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 32.625)","(12.0, 27.0, 16.666666666666668)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:45.109406,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 36.6875)","(4.6, 99999, 99990)","(13.0, 28.0, 17.0)","(26.0, 75.0, 38.6)","(12.0, 27.0, 21.833333333333336)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:46.668687,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 29.291666666666668)","(4.6, 99999, 99990)","(13.0, 28.0, 17.333333333333332)","(26.0, 75.0, 38.6)","(12.0, 27.0, 21.833333333333336)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:48.224550,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 29.291666666666668)","(4.6, 99999, 99990)","(13.0, 28.0, 17.333333333333332)","(26.0, 75.0, 38.6)","(12.0, 27.0, 21.833333333333336)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:49.655117,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 29.291666666666668)","(4.6, 99999, 99990)","(13.0, 28.0, 17.333333333333332)","(26.0, 75.0, 38.6)","(12.0, 27.0, 21.833333333333336)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:51.116192,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 29.291666666666668)","(4.6, 99999, 99990)","(13.0, 28.0, 17.333333333333332)","(26.0, 75.0, 38.6)","(12.0, 27.0, 21.833333333333336)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:52.553363,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 29.291666666666668)","(4.6, 99999, 99990)","(13.0, 28.0, 17.333333333333332)","(26.0, 75.0, 38.6)","(12.0, 27.0, 21.833333333333336)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:53.920178,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 29.291666666666668)","(4.6, 99999, 99990)","(13.0, 28.0, 17.333333333333332)","(26.0, 75.0, 38.6)","(12.0, 27.0, 21.833333333333336)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:55.275756,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 29.291666666666668)","(4.6, 99999, 99990)","(13.0, 28.0, 17.333333333333332)","(26.0, 75.0, 38.6)","(12.0, 27.0, 21.833333333333336)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:56.582592,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 29.291666666666668)","(4.6, 99999, 99990)","(13.0, 28.0, 17.333333333333332)","(26.0, 75.0, 38.6)","(12.0, 27.0, 21.833333333333336)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:57.971207,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 29.291666666666668)","(4.6, 99999, 99990)","(13.0, 28.0, 17.333333333333332)","(26.0, 75.0, 38.6)","(12.0, 27.0, 21.833333333333336)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:01:59.449926,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 29.291666666666668)","(4.6, 99999, 99990)","(13.0, 28.0, 17.333333333333332)","(26.0, 75.0, 38.6)","(12.0, 27.0, 21.833333333333336)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:02:00.901679,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 29.291666666666668)","(4.6, 99999, 99990)","(13.0, 28.0, 17.333333333333332)","(26.0, 75.0, 38.6)","(12.0, 27.0, 21.833333333333336)","(11.0, 21.0, 13.666666666666666)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
