,Darby Valley,Jakes A Rake,Talk It Up,Lizard,Kooringa Jack,Cool Red,Chicago Merc,Colonel Angus
08-12-2022 12:56:29.435457,"(4.4, 8.8, 5.246666666666667)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 8.163636363636364)","(2.25, 2.88, 2.428888888888889)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:30.878162,"(4.4, 8.8, 5.246666666666667)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 8.163636363636364)","(2.25, 2.88, 2.428888888888889)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:32.282428,"(4.4, 8.8, 5.246666666666667)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 8.163636363636364)","(2.25, 2.88, 2.428888888888889)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:33.617231,"(4.4, 8.8, 5.246666666666667)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 8.163636363636364)","(2.25, 2.88, 2.428888888888889)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:34.901527,"(4.4, 8.8, 5.246666666666667)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 8.163636363636364)","(2.25, 2.88, 2.428888888888889)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:36.245214,"(4.4, 8.8, 5.246666666666667)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 8.163636363636364)","(2.25, 2.88, 2.428888888888889)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:37.530278,"(4.4, 8.8, 5.246666666666667)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 8.163636363636364)","(2.25, 2.88, 2.428888888888889)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:38.750255,"(4.4, 8.8, 5.246666666666667)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 8.163636363636364)","(2.25, 2.88, 2.428888888888889)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:40.023216,"(4.4, 8.8, 5.246666666666667)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 8.163636363636364)","(2.25, 2.88, 2.428888888888889)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:41.359814,"(4.4, 8.8, 5.246666666666667)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 8.163636363636364)","(2.25, 2.88, 2.524)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:42.732979,"(4.4, 8.8, 5.246666666666667)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 8.163636363636364)","(2.25, 2.86, 2.524)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:44.108398,"(4.4, 8.8, 5.246666666666667)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 8.163636363636364)","(2.25, 2.86, 2.42)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:45.333520,"(4.4, 8.8, 5.246666666666667)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 8.163636363636364)","(2.25, 2.84, 2.42)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:46.541425,"(4.4, 8.8, 5.246666666666667)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 8.163636363636364)","(2.25, 2.84, 2.42)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:47.728118,"(4.4, 8.8, 5.246666666666667)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 8.163636363636364)","(2.25, 2.84, 2.42)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:48.920335,"(4.4, 8.8, 5.246666666666667)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 8.163636363636364)","(2.25, 2.84, 2.42)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:50.164397,"(4.4, 8.8, 5.246666666666667)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 8.163636363636364)","(2.25, 2.84, 2.42)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:51.367034,"(4.4, 8.8, 5.246666666666667)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 8.163636363636364)","(2.25, 2.84, 2.42)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:52.471088,"(4.4, 8.8, 5.246666666666667)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 8.163636363636364)","(2.25, 2.84, 2.42)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:53.595262,"(4.4, 8.8, 5.246666666666667)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 8.163636363636364)","(2.25, 2.84, 2.42)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:54.719232,"(4.4, 8.8, 5.246666666666667)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 8.163636363636364)","(2.25, 2.84, 2.42)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:55.790574,"(4.4, 8.8, 5.246666666666667)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 8.163636363636364)","(2.25, 2.84, 2.42)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:56.908316,"(4.4, 8.8, 5.246666666666667)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 8.163636363636364)","(2.25, 2.84, 2.42)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:57.980235,"(4.4, 8.8, 5.246666666666667)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 8.163636363636364)","(2.25, 2.84, 2.42)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:59.148956,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.15)","(2.25, 2.84, 2.42)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:00.305455,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.15)","(2.25, 2.84, 2.42)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:01.612165,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.700000000000001)","(2.25, 2.84, 2.42)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:02.811238,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.2)","(2.25, 2.84, 2.473333333333333)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:03.952569,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.2)","(2.25, 2.82, 2.473333333333333)","(3.9, 4.1, 4.061)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:05.147933,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.2)","(2.25, 2.82, 2.411111111111111)","(3.9, 4.1, 3.960714285714286)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:06.313811,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.2)","(2.25, 2.8, 2.411111111111111)","(3.9, 4.1, 3.960714285714286)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:07.560999,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.2)","(2.25, 2.8, 2.411111111111111)","(3.9, 4.1, 3.960714285714286)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:08.697594,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.2)","(2.25, 2.8, 2.411111111111111)","(3.9, 4.1, 3.960714285714286)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:09.918365,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.5200000000000005)","(2.25, 2.8, 2.411111111111111)","(3.9, 5.9, 4.6000000000000005)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:10.956057,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.5200000000000005)","(2.25, 2.8, 2.411111111111111)","(3.9, 7.2, 5.890909090909091)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:12.148031,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 8.346666666666668)","(2.25, 2.8, 2.411111111111111)","(3.9, 7.0, 5.890909090909091)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:13.256374,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 8.346666666666668)","(2.25, 2.8, 2.411111111111111)","(3.9, 7.0, 5.890909090909091)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:14.365790,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.857142857142858)","(2.25, 2.8, 2.411111111111111)","(3.9, 7.0, 4.6)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:15.453872,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.857142857142858)","(2.25, 2.8, 2.411111111111111)","(3.9, 7.0, 4.6)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:16.546325,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.857142857142858)","(2.25, 2.8, 2.411111111111111)","(3.9, 7.0, 4.6)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:17.669762,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.857142857142858)","(2.25, 2.8, 2.411111111111111)","(3.9, 7.0, 4.866666666666666)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:19.111704,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.857142857142858)","(2.25, 2.8, 2.411111111111111)","(3.9, 6.6, 4.52)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:20.363527,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.857142857142858)","(2.25, 2.8, 2.411111111111111)","(3.9, 6.6, 4.52)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:21.623496,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.857142857142858)","(2.25, 2.8, 2.411111111111111)","(3.9, 6.6, 4.52)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:23.099353,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.857142857142858)","(2.25, 2.8, 2.411111111111111)","(3.9, 6.6, 4.52)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:24.437438,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.857142857142858)","(2.25, 2.8, 2.46)","(3.9, 6.6, 4.52)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:25.797885,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.857142857142858)","(2.25, 2.78, 2.402222222222222)","(3.9, 6.6, 4.52)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:27.030349,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.857142857142858)","(2.25, 2.76, 2.402222222222222)","(3.9, 6.6, 4.52)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:28.227026,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.857142857142858)","(2.25, 2.76, 2.402222222222222)","(3.9, 6.6, 4.52)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:29.414506,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.857142857142858)","(2.25, 2.76, 2.402222222222222)","(3.9, 6.6, 4.52)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:30.717093,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.857142857142858)","(2.25, 2.76, 2.402222222222222)","(3.9, 6.6, 4.52)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:31.871011,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.857142857142858)","(2.25, 2.76, 2.402222222222222)","(3.9, 6.6, 4.52)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:33.066029,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.857142857142858)","(2.25, 2.76, 2.402222222222222)","(3.9, 6.6, 4.52)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:34.254304,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.857142857142858)","(2.25, 2.76, 2.402222222222222)","(3.9, 6.6, 4.52)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:35.410741,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.857142857142858)","(2.25, 2.76, 2.402222222222222)","(3.9, 6.6, 4.52)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:36.559829,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.857142857142858)","(2.25, 2.76, 2.402222222222222)","(3.9, 6.6, 4.52)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:37.678082,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.857142857142858)","(2.25, 2.76, 2.402222222222222)","(3.9, 6.6, 4.52)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:38.923672,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.857142857142858)","(2.25, 2.76, 2.402222222222222)","(3.9, 6.6, 4.52)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:40.556722,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.857142857142858)","(2.25, 2.76, 2.402222222222222)","(3.9, 6.6, 4.52)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:41.899711,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 19.6)","(5.5, 8.8, 7.857142857142858)","(2.25, 2.76, 2.402222222222222)","(3.9, 6.6, 4.44)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:43.509549,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 19.6)","(5.5, 8.8, 7.857142857142858)","(2.25, 2.76, 2.402222222222222)","(3.9, 6.2, 4.44)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:44.984464,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.857142857142858)","(2.25, 2.76, 2.4466666666666668)","(3.9, 6.2, 4.44)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:46.428757,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.857142857142858)","(2.25, 2.74, 2.4466666666666668)","(3.9, 6.2, 4.44)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:47.926309,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.857142857142858)","(2.25, 2.74, 2.393333333333333)","(3.9, 6.2, 4.44)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:49.373531,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 19.8)","(5.5, 8.8, 7.857142857142858)","(2.25, 2.72, 2.393333333333333)","(3.9, 6.2, 4.38)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:50.671087,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 19.8)","(5.5, 8.8, 7.857142857142858)","(2.25, 2.72, 2.393333333333333)","(3.9, 5.9, 4.38)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:57:51.945138,"(4.4, 8.4, 6.550000000000001)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 19.8)","(5.5, 8.8, 7.857142857142858)","(2.25, 2.72, 2.393333333333333)","(3.9, 5.9, 4.38)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
