,Mount Tate,Just Ellie,Licorice,Bali Lava,Fair Call,Firkin,Skedaddle Amber
09-01-2023 18:38:50.421057,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.032142857142857)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:38:51.570686,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.032142857142857)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:38:52.908208,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.032142857142857)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:38:54.165977,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.032142857142857)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:38:55.400086,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.032142857142857)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:38:56.654317,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.032142857142857)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:38:57.788013,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.925)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:38:58.921903,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.925)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:00.020339,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:01.292053,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:02.524039,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:03.795533,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:05.012861,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:06.161095,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:07.545576,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:09.128413,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:10.438725,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:11.516518,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:12.726517,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:13.967790,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:15.116657,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:16.276773,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:17.490070,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:18.667321,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:19.864482,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:21.199644,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:22.437705,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:23.614138,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:24.844028,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:26.190487,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:27.347310,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:28.464127,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.032142857142857)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:29.693981,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.032142857142857)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:30.836891,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.032142857142857)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:32.071970,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.032142857142857)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:33.310776,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.032142857142857)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:34.579334,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.032142857142857)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:35.733624,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.032142857142857)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:36.898980,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.032142857142857)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:37.968643,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.925)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:39.020152,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.159375)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:40.194084,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.159375)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:41.444088,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.159375)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:42.716077,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.159375)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:43.995597,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.159375)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:45.261374,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.159375)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:46.564864,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.159375)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:47.787966,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.159375)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:48.918413,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.159375)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:49.986729,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.159375)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:50.966914,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.159375)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:51.888321,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.159375)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:52.952609,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.159375)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:54.286772,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.159375)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:55.662541,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.159375)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:56.950757,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.159375)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:58.191597,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.159375)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:39:59.530897,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.159375)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:40:00.698037,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.159375)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:40:01.749130,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.159375)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:40:02.753406,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.159375)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:40:03.825149,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.159375)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:40:04.957562,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.159375)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:40:06.159076,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.159375)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
