,Farmor Admission,Devils Sister,Velocity Carly,Bentley Boom,La Folie,Frosty Feet,Three Putt Par,Hes Blazing
09-01-2023 10:48:59.255367,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:00.342017,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:01.429659,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:02.502887,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:03.635745,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:04.792415,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:05.902378,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:07.040378,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:08.177727,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:09.329116,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:10.462435,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:11.547619,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:12.725765,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:13.833226,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:15.019464,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:16.128097,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:17.230387,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:18.313894,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:19.353872,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:20.420722,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:21.451338,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:22.451736,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:23.454410,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:24.504726,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:25.570900,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:26.673217,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:27.832234,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:28.934535,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:30.107464,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:31.322537,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:32.422938,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:33.551125,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:34.745539,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:35.832335,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:36.967046,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:38.093881,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:39.263635,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:40.384078,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:41.502219,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:42.597901,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:43.679284,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:44.791776,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:45.872124,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:46.923441,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:47.998992,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:49.038400,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:50.052830,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:51.031878,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:52.032380,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:53.077666,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:54.150420,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:55.240741,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:56.349332,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:57.417421,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:58.521834,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:49:59.641484,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:50:00.803503,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:50:01.936435,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:50:03.047255,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:50:04.100984,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:50:05.180690,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:50:06.248956,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:50:07.331694,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:50:08.490843,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:50:09.611127,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:50:10.739425,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:50:11.926799,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:50:13.092842,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
