,Neretva,Wolff Boss,Zumikon,Friscos Image,Spending My Time,Brave Enough,Hamilton Hill,Princess Bojack
07-01-2023 13:18:05.742732,"(26.0, 48.0, 44.4)","(3.9, 4.9, 4.804)","(5.5, 9.8, 9.492307692307692)","(61.0, 90.0, 69.16666666666667)","(16.0, 19.5, 17.9)","(13.0, 36.0, 31.333333333333332)","(4.0, 4.9, 4.84)","(2.6, 3.1, 3.0446153846153847)"
07-01-2023 13:18:06.838322,"(26.0, 48.0, 42.0)","(3.9, 4.9, 4.7620689655172415)","(5.5, 9.8, 9.492307692307692)","(61.0, 90.0, 69.16666666666667)","(16.0, 19.5, 17.9)","(13.0, 36.0, 31.333333333333332)","(4.0, 4.9, 4.84)","(2.6, 3.1, 3.0446153846153847)"
07-01-2023 13:18:07.918478,"(26.0, 48.0, 42.0)","(3.9, 4.9, 4.7620689655172415)","(5.5, 9.8, 9.492307692307692)","(61.0, 90.0, 69.16666666666667)","(16.0, 19.5, 17.9)","(13.0, 36.0, 31.333333333333332)","(4.0, 4.9, 4.84)","(2.6, 3.1, 3.0446153846153847)"
07-01-2023 13:18:08.979433,"(26.0, 44.0, 38.0)","(3.9, 4.9, 4.804)","(5.5, 9.8, 9.492307692307692)","(61.0, 90.0, 69.16666666666667)","(16.0, 19.5, 17.9)","(13.0, 36.0, 31.333333333333332)","(4.0, 4.9, 4.84)","(2.6, 3.1, 3.0446153846153847)"
07-01-2023 13:18:10.190406,"(26.0, 42.0, 39.6)","(3.9, 4.9, 4.804)","(5.5, 9.8, 9.492307692307692)","(61.0, 90.0, 69.16666666666667)","(16.0, 19.5, 17.9)","(13.0, 36.0, 31.333333333333332)","(4.0, 4.9, 4.84)","(2.6, 3.1, 3.0446153846153847)"
07-01-2023 13:18:11.399362,"(26.0, 42.0, 39.6)","(3.9, 4.9, 4.804)","(5.5, 9.8, 9.492307692307692)","(61.0, 90.0, 69.16666666666667)","(16.0, 19.5, 18.166666666666668)","(13.0, 36.0, 31.333333333333332)","(4.0, 4.9, 4.84)","(2.6, 3.1, 3.0446153846153847)"
07-01-2023 13:18:12.603240,"(26.0, 42.0, 38.72727272727273)","(3.9, 4.9, 4.804)","(5.5, 9.8, 9.492307692307692)","(61.0, 90.0, 69.16666666666667)","(16.0, 18.5, 18.642857142857142)","(13.0, 36.0, 31.333333333333332)","(4.0, 4.9, 4.84)","(2.6, 3.1, 3.0733333333333333)"
07-01-2023 13:18:13.817485,"(26.0, 40.0, 38.0)","(3.9, 4.9, 4.804)","(5.5, 9.8, 9.492307692307692)","(61.0, 90.0, 73.33333333333333)","(16.0, 19.5, 18.642857142857142)","(13.0, 36.0, 31.333333333333332)","(4.0, 4.9, 4.84)","(2.6, 3.1, 3.0446153846153847)"
07-01-2023 13:18:15.049439,"(26.0, 40.0, 35.0)","(3.9, 4.9, 4.804)","(5.5, 9.8, 9.492307692307692)","(61.0, 90.0, 73.33333333333333)","(16.0, 19.5, 18.642857142857142)","(13.0, 36.0, 31.333333333333332)","(4.0, 4.9, 4.84)","(2.6, 3.1, 3.0446153846153847)"
07-01-2023 13:18:16.229850,"(26.0, 40.0, 32.857142857142854)","(3.9, 4.9, 4.804)","(5.5, 9.8, 9.492307692307692)","(61.0, 90.0, 73.33333333333333)","(16.0, 19.5, 18.642857142857142)","(13.0, 36.0, 32.5)","(4.0, 4.9, 4.84)","(2.6, 3.1, 3.0446153846153847)"
07-01-2023 13:18:17.384775,"(26.0, 40.0, 32.857142857142854)","(3.9, 4.9, 4.804)","(5.5, 9.8, 9.492307692307692)","(61.0, 90.0, 73.33333333333333)","(16.0, 19.5, 18.642857142857142)","(13.0, 36.0, 32.5)","(4.0, 4.9, 4.84)","(2.6, 3.1, 3.0446153846153847)"
07-01-2023 13:18:18.586658,"(26.0, 40.0, 32.857142857142854)","(3.9, 4.9, 4.804)","(5.5, 9.8, 9.492307692307692)","(61.0, 90.0, 73.33333333333333)","(16.0, 19.5, 18.227272727272727)","(13.0, 36.0, 33.0)","(4.0, 4.9, 4.84)","(2.6, 3.1, 3.0446153846153847)"
07-01-2023 13:18:19.688197,"(26.0, 40.0, 32.857142857142854)","(3.9, 4.9, 4.804)","(5.5, 9.8, 9.492307692307692)","(61.0, 90.0, 73.33333333333333)","(16.0, 19.5, 18.227272727272727)","(13.0, 36.0, 33.0)","(4.0, 4.9, 4.84)","(2.6, 3.1, 3.0446153846153847)"
07-01-2023 13:18:20.813743,"(26.0, 40.0, 32.857142857142854)","(3.9, 4.9, 4.804)","(5.5, 9.8, 9.492307692307692)","(61.0, 90.0, 73.33333333333333)","(16.0, 19.5, 17.5)","(13.0, 36.0, 33.0)","(4.0, 4.9, 4.84)","(2.6, 3.1, 3.0446153846153847)"
07-01-2023 13:18:21.899814,"(26.0, 40.0, 32.857142857142854)","(3.9, 4.9, 4.804)","(5.5, 9.8, 9.492307692307692)","(61.0, 90.0, 73.33333333333333)","(16.0, 19.5, 18.22222222222222)","(13.0, 36.0, 34.285714285714285)","(4.0, 4.9, 4.84)","(2.6, 3.1, 3.0733333333333333)"
07-01-2023 13:18:23.009966,"(26.0, 40.0, 32.857142857142854)","(3.9, 4.9, 4.804)","(5.5, 9.8, 9.492307692307692)","(61.0, 90.0, 73.33333333333333)","(16.0, 19.0, 18.22222222222222)","(13.0, 36.0, 34.285714285714285)","(4.0, 4.9, 4.84)","(2.6, 3.1, 3.0733333333333333)"
07-01-2023 13:18:24.362995,"(26.0, 40.0, 32.857142857142854)","(3.9, 4.9, 4.804)","(5.5, 9.8, 9.492307692307692)","(61.0, 90.0, 73.33333333333333)","(16.0, 19.0, 16.725)","(13.0, 36.0, 34.285714285714285)","(4.0, 4.9, 4.84)","(2.6, 3.1, 3.0733333333333333)"
07-01-2023 13:18:25.878956,"(26.0, 40.0, 32.857142857142854)","(3.9, 4.9, 4.804)","(5.5, 9.8, 9.492307692307692)","(61.0, 90.0, 73.33333333333333)","(16.0, 19.0, 16.725)","(13.0, 36.0, 34.285714285714285)","(4.0, 4.9, 4.84)","(2.6, 3.1, 3.0733333333333333)"
07-01-2023 13:18:27.046558,"(26.0, 40.0, 32.857142857142854)","(3.9, 4.9, 4.804)","(5.5, 9.8, 9.492307692307692)","(61.0, 90.0, 73.33333333333333)","(16.0, 19.0, 17.0)","(13.0, 36.0, 34.285714285714285)","(4.0, 4.9, 4.84)","(2.6, 3.1, 3.0733333333333333)"
07-01-2023 13:18:28.380901,"(26.0, 40.0, 32.857142857142854)","(3.9, 4.9, 4.804)","(5.5, 9.8, 9.492307692307692)","(61.0, 90.0, 73.33333333333333)","(16.0, 19.0, 16.333333333333332)","(13.0, 36.0, 34.5)","(4.0, 4.9, 4.84)","(2.6, 3.1, 3.0733333333333333)"
07-01-2023 13:18:29.597244,"(26.0, 40.0, 32.857142857142854)","(3.9, 4.9, 4.804)","(5.5, 9.8, 9.492307692307692)","(61.0, 90.0, 73.33333333333333)","(16.0, 19.0, 16.857142857142858)","(13.0, 36.0, 34.5)","(4.0, 4.9, 4.84)","(2.6, 3.1, 3.0733333333333333)"
07-01-2023 13:18:30.801606,"(26.0, 40.0, 34.285714285714285)","(3.9, 4.9, 4.804)","(5.5, 9.8, 9.492307692307692)","(61.0, 90.0, 73.33333333333333)","(16.0, 19.0, 16.857142857142858)","(13.0, 36.0, 34.5)","(4.0, 4.9, 4.84)","(2.6, 3.1, 3.0733333333333333)"
07-01-2023 13:18:31.996448,"(26.0, 40.0, 34.285714285714285)","(3.9, 4.9, 4.804)","(5.5, 9.8, 9.492307692307692)","(61.0, 90.0, 73.33333333333333)","(16.0, 19.0, 16.857142857142858)","(13.0, 36.0, 34.5)","(4.0, 4.9, 4.84)","(2.6, 3.1, 3.0733333333333333)"
07-01-2023 13:18:33.220337,"(26.0, 40.0, 34.285714285714285)","(3.9, 4.9, 4.804)","(5.5, 9.8, 9.492307692307692)","(61.0, 90.0, 73.33333333333333)","(16.0, 19.0, 16.857142857142858)","(13.0, 36.0, 34.5)","(4.0, 4.9, 4.84)","(2.6, 3.1, 3.0733333333333333)"
07-01-2023 13:18:34.358924,"(26.0, 40.0, 34.285714285714285)","(3.9, 4.9, 4.804)","(5.5, 9.8, 9.492307692307692)","(61.0, 90.0, 73.33333333333333)","(16.0, 19.0, 17.25)","(13.0, 36.0, 34.5)","(4.0, 4.9, 4.66)","(2.6, 3.1, 3.0733333333333333)"
07-01-2023 13:18:35.428175,"(26.0, 40.0, 34.285714285714285)","(3.9, 4.9, 4.804)","(5.5, 9.8, 9.492307692307692)","(61.0, 90.0, 73.33333333333333)","(16.0, 19.0, 17.25)","(13.0, 36.0, 34.5)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 3.0733333333333333)"
07-01-2023 13:18:36.648241,"(26.0, 40.0, 34.285714285714285)","(3.9, 4.9, 4.804)","(5.5, 9.8, 9.492307692307692)","(61.0, 90.0, 73.33333333333333)","(16.0, 19.0, 17.25)","(13.0, 36.0, 34.5)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 3.0733333333333333)"
07-01-2023 13:18:37.755714,"(26.0, 40.0, 34.285714285714285)","(3.9, 4.9, 4.804)","(5.5, 9.8, 9.492307692307692)","(61.0, 90.0, 73.33333333333333)","(16.0, 19.0, 17.25)","(13.0, 36.0, 34.5)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 3.0446153846153847)"
07-01-2023 13:18:38.942697,"(26.0, 40.0, 34.285714285714285)","(3.9, 4.9, 4.804)","(5.5, 9.8, 9.492307692307692)","(61.0, 90.0, 73.33333333333333)","(16.0, 19.0, 17.25)","(13.0, 36.0, 34.5)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 3.0446153846153847)"
07-01-2023 13:18:40.165043,"(26.0, 40.0, 34.285714285714285)","(3.9, 4.9, 4.804)","(5.5, 9.8, 9.492307692307692)","(61.0, 90.0, 73.33333333333333)","(16.0, 19.0, 17.25)","(13.0, 36.0, 34.5)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 3.0446153846153847)"
07-01-2023 13:18:41.359137,"(26.0, 40.0, 34.285714285714285)","(3.9, 4.9, 4.804)","(5.5, 9.8, 9.492307692307692)","(61.0, 90.0, 73.33333333333333)","(16.0, 19.0, 17.25)","(13.0, 36.0, 34.5)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 2.993333333333333)"
07-01-2023 13:18:42.454801,"(26.0, 40.0, 34.285714285714285)","(3.9, 4.9, 4.845454545454546)","(5.5, 9.6, 9.48)","(61.0, 90.0, 73.33333333333333)","(16.0, 19.0, 17.833333333333332)","(13.0, 36.0, 34.5)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 2.993333333333333)"
07-01-2023 13:18:43.567745,"(26.0, 40.0, 34.285714285714285)","(3.9, 4.9, 4.845454545454546)","(5.5, 9.6, 9.48)","(61.0, 90.0, 73.33333333333333)","(16.0, 19.0, 17.833333333333332)","(13.0, 36.0, 34.5)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 2.993333333333333)"
07-01-2023 13:18:44.820550,"(26.0, 40.0, 34.285714285714285)","(3.9, 4.9, 4.845454545454546)","(5.5, 9.6, 9.48)","(61.0, 90.0, 73.33333333333333)","(16.0, 19.0, 17.833333333333332)","(13.0, 36.0, 34.5)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 2.993333333333333)"
07-01-2023 13:18:46.041023,"(26.0, 40.0, 34.285714285714285)","(3.9, 4.9, 4.845454545454546)","(5.5, 9.6, 9.48)","(61.0, 90.0, 73.33333333333333)","(16.0, 19.0, 17.833333333333332)","(13.0, 36.0, 34.5)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 2.993333333333333)"
07-01-2023 13:18:47.258222,"(26.0, 40.0, 34.285714285714285)","(3.9, 4.9, 4.845454545454546)","(5.5, 9.6, 9.48)","(61.0, 90.0, 73.33333333333333)","(16.0, 19.0, 17.833333333333332)","(13.0, 36.0, 39.333333333333336)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 2.993333333333333)"
07-01-2023 13:18:48.426204,"(26.0, 40.0, 34.285714285714285)","(3.9, 4.9, 4.845454545454546)","(5.5, 9.6, 9.48)","(61.0, 90.0, 73.33333333333333)","(16.0, 19.0, 17.833333333333332)","(13.0, 44.0, 39.333333333333336)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 2.993333333333333)"
07-01-2023 13:18:49.569283,"(26.0, 40.0, 35.2)","(3.9, 4.9, 4.845454545454546)","(5.5, 9.6, 9.48)","(61.0, 90.0, 73.33333333333333)","(16.0, 19.0, 17.833333333333332)","(13.0, 44.0, 39.333333333333336)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 2.993333333333333)"
07-01-2023 13:18:50.700721,"(26.0, 40.0, 35.2)","(3.9, 4.9, 4.845454545454546)","(6.0, 9.6, 9.48)","(51.0, 90.0, 73.33333333333333)","(16.0, 19.0, 17.833333333333332)","(14.0, 44.0, 39.333333333333336)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 3.02)"
07-01-2023 13:18:51.877563,"(26.0, 40.0, 35.2)","(3.9, 4.9, 4.845454545454546)","(6.0, 9.6, 9.48)","(51.0, 90.0, 73.33333333333333)","(16.0, 19.0, 17.833333333333332)","(14.0, 44.0, 39.333333333333336)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 3.02)"
07-01-2023 13:18:53.119463,"(26.0, 40.0, 35.2)","(3.9, 4.9, 4.845454545454546)","(6.0, 9.6, 9.48)","(51.0, 90.0, 73.33333333333333)","(16.0, 19.0, 17.833333333333332)","(14.0, 44.0, 39.333333333333336)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 3.02)"
07-01-2023 13:18:54.370377,"(26.0, 40.0, 35.2)","(3.9, 4.9, 4.845454545454546)","(6.0, 9.6, 9.48)","(51.0, 90.0, 79.28571428571428)","(16.0, 19.0, 17.833333333333332)","(14.0, 44.0, 39.333333333333336)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 3.02)"
07-01-2023 13:18:55.648543,"(26.0, 40.0, 35.2)","(3.9, 4.9, 4.845454545454546)","(6.0, 9.6, 9.48)","(51.0, 90.0, 79.28571428571428)","(16.0, 19.0, 17.833333333333332)","(14.0, 44.0, 39.333333333333336)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 3.02)"
07-01-2023 13:18:56.843519,"(26.0, 40.0, 35.2)","(3.9, 4.9, 4.845454545454546)","(6.0, 9.6, 9.48)","(51.0, 90.0, 79.28571428571428)","(16.0, 19.0, 17.833333333333332)","(14.0, 44.0, 39.333333333333336)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 3.02)"
07-01-2023 13:18:57.991690,"(26.0, 40.0, 35.2)","(3.9, 4.9, 4.845454545454546)","(6.0, 9.6, 9.48)","(51.0, 90.0, 71.25)","(16.0, 19.0, 17.833333333333332)","(14.0, 44.0, 39.333333333333336)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 3.02)"
07-01-2023 13:18:59.129296,"(26.0, 40.0, 34.0)","(3.9, 4.9, 4.845454545454546)","(6.0, 9.6, 9.48)","(51.0, 90.0, 71.25)","(16.0, 19.0, 17.833333333333332)","(14.0, 44.0, 39.333333333333336)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 2.98)"
07-01-2023 13:19:00.362708,"(26.0, 40.0, 34.0)","(3.9, 4.9, 4.845454545454546)","(6.0, 9.6, 9.48)","(51.0, 90.0, 71.25)","(16.0, 19.0, 17.833333333333332)","(14.0, 44.0, 39.333333333333336)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 2.98)"
07-01-2023 13:19:01.682434,"(26.0, 40.0, 34.0)","(3.9, 4.9, 4.845454545454546)","(6.0, 9.6, 10.35483870967742)","(51.0, 90.0, 71.25)","(16.0, 19.0, 17.833333333333332)","(14.0, 44.0, 39.333333333333336)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 2.965)"
07-01-2023 13:19:03.087840,"(26.0, 40.0, 34.0)","(3.9, 4.9, 4.845454545454546)","(6.0, 10.5, 10.35483870967742)","(51.0, 90.0, 71.25)","(16.0, 19.0, 17.833333333333332)","(14.0, 44.0, 39.333333333333336)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 3.01)"
07-01-2023 13:19:04.488112,"(26.0, 40.0, 34.0)","(3.9, 4.9, 4.845454545454546)","(6.0, 10.5, 10.2)","(51.0, 90.0, 78.33333333333334)","(16.0, 18.5, 16.7)","(14.0, 42.0, 37.2)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 3.01)"
07-01-2023 13:19:05.766796,"(26.0, 40.0, 34.0)","(3.9, 4.9, 4.845454545454546)","(6.0, 10.5, 10.2)","(51.0, 85.0, 78.33333333333334)","(16.0, 18.5, 16.7)","(14.0, 42.0, 37.2)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 3.01)"
07-01-2023 13:19:07.183085,"(26.0, 40.0, 34.0)","(3.9, 4.9, 4.804)","(6.0, 10.0, 9.428571428571429)","(51.0, 85.0, 68.33333333333333)","(16.0, 18.5, 17.333333333333332)","(14.0, 44.0, 40.0)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 3.01)"
07-01-2023 13:19:08.383835,"(26.0, 40.0, 34.0)","(3.9, 4.9, 4.804)","(6.0, 10.0, 9.428571428571429)","(51.0, 85.0, 68.33333333333333)","(16.0, 18.0, 16.6)","(14.0, 44.0, 44.666666666666664)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 3.01)"
07-01-2023 13:19:09.564024,"(26.0, 40.0, 34.0)","(3.9, 4.9, 4.804)","(6.0, 10.0, 9.428571428571429)","(51.0, 85.0, 68.33333333333333)","(16.0, 17.5, 16.333333333333332)","(14.0, 50.0, 39.0)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 3.01)"
07-01-2023 13:19:10.763455,"(26.0, 40.0, 34.0)","(3.9, 4.9, 4.804)","(6.0, 10.0, 9.428571428571429)","(51.0, 85.0, 68.33333333333333)","(16.0, 17.5, 16.333333333333332)","(14.0, 44.0, 39.0)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 3.01)"
07-01-2023 13:19:12.007929,"(26.0, 40.0, 34.0)","(3.9, 4.9, 4.804)","(6.0, 10.0, 9.428571428571429)","(51.0, 85.0, 68.33333333333333)","(16.0, 17.5, 16.333333333333332)","(14.0, 44.0, 37.333333333333336)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 3.01)"
07-01-2023 13:19:13.197032,"(26.0, 40.0, 34.0)","(3.9, 4.9, 4.804)","(6.0, 10.0, 9.428571428571429)","(51.0, 85.0, 71.66666666666667)","(16.0, 17.5, 16.333333333333332)","(14.0, 44.0, 37.333333333333336)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 3.0228571428571427)"
07-01-2023 13:19:14.328984,"(26.0, 40.0, 34.0)","(3.9, 4.9, 4.804)","(6.0, 10.0, 9.428571428571429)","(51.0, 85.0, 75.0)","(16.0, 17.5, 16.333333333333332)","(14.0, 44.0, 37.333333333333336)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 3.0228571428571427)"
07-01-2023 13:19:15.483858,"(26.0, 40.0, 34.0)","(3.9, 4.9, 4.804)","(6.0, 10.0, 9.6)","(51.0, 80.0, 75.0)","(16.0, 17.5, 16.333333333333332)","(14.0, 44.0, 37.333333333333336)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 3.0228571428571427)"
07-01-2023 13:19:16.597660,"(26.0, 40.0, 34.0)","(3.9, 4.9, 4.804)","(6.0, 10.0, 9.6)","(51.0, 80.0, 75.0)","(16.0, 17.5, 16.333333333333332)","(14.0, 44.0, 37.333333333333336)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 3.0228571428571427)"
07-01-2023 13:19:17.739348,"(26.0, 40.0, 34.0)","(3.9, 4.9, 4.804)","(6.0, 10.0, 9.6)","(51.0, 80.0, 75.0)","(16.0, 17.5, 16.666666666666668)","(14.0, 44.0, 38.0)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 3.0228571428571427)"
07-01-2023 13:19:19.017095,"(26.0, 40.0, 34.0)","(3.9, 4.9, 4.804)","(6.0, 10.0, 9.6)","(51.0, 80.0, 75.0)","(16.0, 17.5, 16.666666666666668)","(14.0, 42.0, 36.285714285714285)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 3.0228571428571427)"
07-01-2023 13:19:20.362458,"(26.0, 40.0, 35.2)","(3.9, 4.9, 4.804)","(6.0, 10.0, 9.6)","(51.0, 80.0, 75.0)","(16.0, 17.5, 16.666666666666668)","(14.0, 42.0, 36.285714285714285)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 3.0228571428571427)"
07-01-2023 13:19:21.666864,"(26.0, 40.0, 34.0)","(3.9, 4.9, 4.804)","(6.0, 10.0, 9.6)","(51.0, 80.0, 75.0)","(16.0, 17.5, 16.666666666666668)","(14.0, 42.0, 36.285714285714285)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 3.0228571428571427)"
07-01-2023 13:19:22.940329,"(26.0, 40.0, 34.0)","(3.9, 4.9, 4.804)","(6.0, 10.0, 9.6)","(51.0, 80.0, 75.0)","(16.0, 17.5, 16.041666666666668)","(14.0, 42.0, 36.285714285714285)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 3.0228571428571427)"
07-01-2023 13:19:24.160209,"(26.0, 40.0, 34.0)","(3.9, 4.9, 4.804)","(6.0, 10.0, 9.6)","(51.0, 80.0, 75.0)","(16.0, 17.5, 16.041666666666668)","(14.0, 42.0, 36.285714285714285)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 3.0228571428571427)"
07-01-2023 13:19:25.365437,"(26.0, 40.0, 34.0)","(3.9, 4.9, 4.804)","(6.0, 10.0, 9.6)","(51.0, 80.0, 75.0)","(16.0, 17.5, 16.041666666666668)","(14.0, 42.0, 36.285714285714285)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 3.0228571428571427)"
07-01-2023 13:19:26.501562,"(26.0, 40.0, 34.0)","(3.9, 4.9, 4.804)","(6.0, 10.0, 9.6)","(51.0, 80.0, 75.0)","(16.0, 17.5, 16.041666666666668)","(14.0, 42.0, 36.285714285714285)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 3.0228571428571427)"
07-01-2023 13:19:27.644549,"(26.0, 40.0, 34.0)","(3.9, 4.9, 4.804)","(6.0, 10.0, 9.6)","(51.0, 80.0, 75.0)","(16.0, 17.5, 16.041666666666668)","(14.0, 42.0, 36.285714285714285)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 3.0228571428571427)"
07-01-2023 13:19:28.702714,"(26.0, 40.0, 34.0)","(3.9, 4.9, 4.804)","(6.0, 10.0, 9.6)","(51.0, 80.0, 75.0)","(16.0, 17.5, 16.041666666666668)","(14.0, 42.0, 36.285714285714285)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 3.0228571428571427)"
07-01-2023 13:19:29.782232,"(26.0, 40.0, 34.0)","(3.9, 4.9, 4.804)","(6.0, 10.0, 9.6)","(51.0, 80.0, 75.0)","(16.0, 17.5, 16.041666666666668)","(14.0, 42.0, 36.285714285714285)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 3.0228571428571427)"
07-01-2023 13:19:30.872609,"(26.0, 40.0, 34.0)","(3.9, 4.9, 4.804)","(6.0, 10.0, 9.6)","(51.0, 80.0, 75.0)","(16.0, 17.5, 16.041666666666668)","(14.0, 42.0, 36.285714285714285)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 3.0228571428571427)"
07-01-2023 13:19:31.981080,"(26.0, 40.0, 34.0)","(3.9, 4.9, 4.804)","(6.0, 10.0, 9.6)","(51.0, 80.0, 75.0)","(16.0, 17.5, 16.041666666666668)","(14.0, 42.0, 36.285714285714285)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 3.0228571428571427)"
07-01-2023 13:19:33.100804,"(26.0, 40.0, 34.0)","(3.9, 4.9, 4.804)","(6.0, 10.0, 9.6)","(51.0, 80.0, 75.0)","(16.0, 17.5, 16.041666666666668)","(14.0, 42.0, 36.285714285714285)","(4.0, 4.9, 4.637499999999999)","(2.6, 3.1, 3.0228571428571427)"
