,Magic Tale,Mine Master,Alvin Rose,Casino Rose,Psychotic Babe,Sort Of Sublime,Wickham
11-01-2023 12:25:42.768589,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:43.784279,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:44.866122,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:45.977305,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:47.030660,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:48.093312,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:49.181115,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:50.049777,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:50.934783,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:51.912685,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:53.049619,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:54.179947,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:55.304036,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:56.337072,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:57.406381,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:58.325396,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:59.299625,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:00.261679,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:01.270961,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:02.243052,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:03.246965,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:04.282323,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:05.377444,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:06.386261,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:07.472093,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:08.801336,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:09.943284,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:10.984721,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:11.968013,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:12.929464,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:13.879807,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:15.020388,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:16.165494,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:17.160501,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:18.143875,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:19.141123,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:20.158667,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:21.174136,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:22.143314,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:23.109131,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:24.040631,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:24.955816,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:25.902928,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:26.902325,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:27.856622,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:29.005646,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:30.032928,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:31.014886,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:32.052333,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:33.160734,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:34.280004,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:35.209858,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:36.198979,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:37.111150,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:38.113611,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:39.204959,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:40.196961,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:41.315026,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:42.371647,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:43.415836,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:44.518849,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:45.634347,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:46.779552,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:47.948672,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:49.025121,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:50.139405,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:51.230561,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:52.345806,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:26:53.538848,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
