,Nana Jann,Black Edition,Enraged,Prince Pulpogan,Renegade Ruslie,Dundee Fidget,Nash Bale,War Knee
15-12-2022 14:59:50.982431,"(21.0, 85.0, 53.5)","(8.0, 20.0, 12.266666666666667)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 85.0, 53.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 14.923076923076923)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:52.165808,"(21.0, 85.0, 53.5)","(8.0, 20.0, 12.266666666666667)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 85.0, 53.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 14.923076923076923)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:53.309409,"(21.0, 85.0, 53.5)","(8.0, 20.0, 12.266666666666667)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 85.0, 53.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 14.923076923076923)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:54.488976,"(21.0, 85.0, 53.5)","(8.0, 20.0, 12.266666666666667)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 85.0, 53.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 14.923076923076923)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:55.644975,"(21.0, 85.0, 53.5)","(8.0, 20.0, 12.266666666666667)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 85.0, 53.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 14.923076923076923)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:56.721654,"(21.0, 85.0, 53.5)","(8.0, 20.0, 12.266666666666667)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 85.0, 53.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 14.923076923076923)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:57.802943,"(21.0, 85.0, 53.5)","(8.0, 20.0, 12.266666666666667)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 85.0, 53.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 14.923076923076923)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:58.986321,"(21.0, 85.0, 53.5)","(8.0, 20.0, 12.266666666666667)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 85.0, 53.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 14.923076923076923)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 15:00:00.171574,"(21.0, 85.0, 53.5)","(8.0, 20.0, 12.266666666666667)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 85.0, 53.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 14.923076923076923)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 15:00:01.399991,"(21.0, 85.0, 53.5)","(8.0, 20.0, 12.266666666666667)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 85.0, 53.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 14.923076923076923)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 15:00:02.573062,"(21.0, 85.0, 53.5)","(8.0, 20.0, 12.266666666666667)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 85.0, 53.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 14.923076923076923)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 15:00:03.703316,"(21.0, 85.0, 53.5)","(8.0, 20.0, 12.266666666666667)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 13.312000000000001)","(21.0, 85.0, 53.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 15:00:04.879731,"(21.0, 85.0, 53.5)","(8.0, 20.0, 13.555555555555555)","(12.0, 30.0, 22.4)","(8.0, 16.5, 13.652000000000001)","(21.0, 85.0, 58.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 15:00:06.032358,"(21.0, 95.0, 58.5)","(8.0, 20.0, 13.555555555555555)","(12.0, 30.0, 22.4)","(8.0, 16.5, 13.652000000000001)","(21.0, 95.0, 58.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 15:00:07.225066,"(21.0, 95.0, 58.5)","(8.0, 20.0, 13.555555555555555)","(12.0, 30.0, 22.4)","(8.0, 16.5, 13.652000000000001)","(21.0, 95.0, 58.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 15:00:08.378333,"(21.0, 95.0, 58.5)","(8.0, 20.0, 13.555555555555555)","(12.0, 30.0, 22.4)","(8.0, 16.5, 13.652000000000001)","(21.0, 95.0, 58.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 15:00:09.477027,"(21.0, 95.0, 58.5)","(8.0, 20.0, 13.555555555555555)","(12.0, 30.0, 22.4)","(8.0, 16.5, 13.652000000000001)","(21.0, 95.0, 58.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 15:00:10.578316,"(21.0, 95.0, 58.5)","(8.0, 20.0, 13.555555555555555)","(12.0, 30.0, 22.4)","(8.0, 16.5, 13.652000000000001)","(21.0, 95.0, 58.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 15:00:11.740568,"(21.0, 95.0, 58.5)","(8.0, 20.0, 13.555555555555555)","(12.0, 30.0, 22.4)","(8.0, 16.5, 13.652000000000001)","(21.0, 95.0, 58.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 15:00:12.913262,"(21.0, 95.0, 58.5)","(8.0, 20.0, 13.555555555555555)","(12.0, 30.0, 22.4)","(8.0, 16.5, 13.652000000000001)","(21.0, 95.0, 58.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 15:00:14.169177,"(21.0, 95.0, 58.5)","(8.0, 20.0, 13.555555555555555)","(12.0, 30.0, 22.4)","(8.0, 16.5, 13.652000000000001)","(21.0, 95.0, 58.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 15:00:15.257935,"(21.0, 95.0, 58.5)","(8.0, 20.0, 13.555555555555555)","(12.0, 30.0, 22.4)","(8.0, 16.5, 13.652000000000001)","(21.0, 95.0, 58.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 15:00:16.385625,"(21.0, 95.0, 58.5)","(8.0, 20.0, 13.555555555555555)","(12.0, 30.0, 22.4)","(8.0, 16.5, 13.652000000000001)","(21.0, 95.0, 58.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 15:00:17.567132,"(21.0, 95.0, 58.5)","(8.0, 20.0, 13.555555555555555)","(12.0, 30.0, 22.4)","(8.0, 16.5, 13.652000000000001)","(21.0, 95.0, 58.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 15:00:18.739498,"(21.0, 95.0, 58.5)","(8.0, 20.0, 13.555555555555555)","(12.0, 30.0, 22.4)","(8.0, 16.5, 13.652000000000001)","(21.0, 95.0, 58.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 15:00:19.886831,"(21.0, 95.0, 58.5)","(8.0, 20.0, 13.555555555555555)","(12.0, 30.0, 22.4)","(8.0, 16.5, 13.652000000000001)","(21.0, 95.0, 58.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 15:00:21.035516,"(21.0, 95.0, 58.5)","(8.0, 20.0, 13.555555555555555)","(12.0, 30.0, 22.4)","(8.0, 16.5, 13.652000000000001)","(21.0, 95.0, 58.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 15:00:22.109714,"(21.0, 95.0, 58.5)","(8.0, 20.0, 13.555555555555555)","(12.0, 30.0, 22.4)","(8.0, 16.5, 13.652000000000001)","(21.0, 95.0, 58.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 15:00:23.222156,"(21.0, 95.0, 58.5)","(8.0, 20.0, 13.555555555555555)","(12.0, 30.0, 22.4)","(8.0, 16.5, 13.652000000000001)","(21.0, 95.0, 58.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 15:00:24.452798,"(21.0, 95.0, 58.5)","(8.0, 20.0, 13.555555555555555)","(12.0, 30.0, 22.4)","(8.0, 16.5, 13.652000000000001)","(21.0, 95.0, 58.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 15:00:25.680076,"(21.0, 95.0, 58.5)","(8.0, 20.0, 13.555555555555555)","(12.0, 30.0, 22.4)","(8.0, 16.5, 13.652000000000001)","(21.0, 95.0, 58.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 15:00:26.956666,"(21.0, 95.0, 58.5)","(8.0, 20.0, 13.555555555555555)","(12.0, 30.0, 22.4)","(8.0, 16.5, 13.652000000000001)","(21.0, 95.0, 58.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 15:00:28.228173,"(21.0, 95.0, 58.5)","(8.0, 20.0, 13.555555555555555)","(12.0, 30.0, 22.4)","(8.0, 16.5, 13.652000000000001)","(21.0, 95.0, 58.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 15:00:29.402638,"(21.0, 95.0, 58.5)","(8.0, 20.0, 13.555555555555555)","(12.0, 30.0, 22.4)","(8.0, 16.5, 13.652000000000001)","(21.0, 95.0, 58.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
