,Mad Martigan,Ravioli,Active Opal,Queen Zeus,Black Daniels,Corporal Trigger,Sister Two
08-01-2023 17:14:21.704915,"(31.0, 220.0, 114.44444444444444)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:22.780658,"(31.0, 220.0, 114.44444444444444)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:23.883598,"(31.0, 220.0, 114.44444444444444)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:25.020062,"(31.0, 220.0, 114.44444444444444)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:26.046565,"(31.0, 220.0, 114.44444444444444)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:27.015927,"(31.0, 220.0, 114.44444444444444)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:28.098070,"(31.0, 220.0, 114.44444444444444)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:29.235527,"(31.0, 220.0, 114.44444444444444)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:30.294449,"(31.0, 220.0, 114.44444444444444)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:31.417069,"(31.0, 220.0, 114.44444444444444)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:32.504253,"(31.0, 220.0, 114.44444444444444)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:33.581503,"(31.0, 220.0, 114.44444444444444)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:34.606359,"(31.0, 220.0, 114.44444444444444)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:35.587322,"(31.0, 220.0, 114.44444444444444)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:36.687344,"(31.0, 220.0, 114.44444444444444)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:37.796549,"(31.0, 220.0, 114.44444444444444)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:38.946504,"(31.0, 220.0, 114.44444444444444)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:40.032474,"(31.0, 220.0, 114.44444444444444)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:41.219098,"(31.0, 220.0, 114.44444444444444)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:42.382870,"(31.0, 220.0, 114.44444444444444)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:43.451779,"(31.0, 220.0, 114.44444444444444)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:44.409470,"(31.0, 220.0, 114.44444444444444)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:45.511061,"(31.0, 220.0, 114.44444444444444)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:46.672345,"(31.0, 220.0, 114.44444444444444)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:47.777198,"(31.0, 220.0, 114.44444444444444)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:48.876984,"(31.0, 220.0, 114.44444444444444)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:49.947706,"(31.0, 220.0, 114.44444444444444)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:51.094089,"(31.0, 220.0, 114.44444444444444)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:52.210455,"(31.0, 220.0, 114.44444444444444)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:53.456432,"(31.0, 220.0, 114.44444444444444)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:54.950249,"(31.0, 220.0, 126.0)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:56.313530,"(31.0, 220.0, 126.0)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:57.493584,"(31.0, 220.0, 126.0)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:58.760168,"(31.0, 220.0, 126.0)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:00.020929,"(31.0, 220.0, 126.0)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:01.275847,"(31.0, 220.0, 126.0)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:02.428283,"(31.0, 220.0, 126.0)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:03.583970,"(31.0, 220.0, 126.0)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:04.730966,"(31.0, 220.0, 100.625)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:05.905811,"(31.0, 220.0, 100.625)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:07.084693,"(31.0, 220.0, 100.625)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:08.277166,"(31.0, 220.0, 100.625)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:09.335989,"(31.0, 220.0, 116.66666666666667)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:10.394407,"(31.0, 220.0, 116.66666666666667)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:11.537268,"(31.0, 220.0, 116.66666666666667)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:12.709419,"(31.0, 220.0, 116.66666666666667)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:13.881858,"(31.0, 220.0, 116.66666666666667)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:15.062147,"(31.0, 220.0, 116.66666666666667)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:16.213846,"(31.0, 220.0, 116.66666666666667)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:17.446276,"(31.0, 220.0, 116.66666666666667)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:18.566136,"(31.0, 220.0, 116.66666666666667)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:19.669578,"(31.0, 220.0, 116.66666666666667)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:20.732119,"(31.0, 220.0, 116.66666666666667)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:22.050978,"(31.0, 220.0, 116.66666666666667)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:23.245903,"(31.0, 220.0, 116.66666666666667)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:24.416350,"(31.0, 220.0, 116.66666666666667)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:25.593863,"(31.0, 220.0, 116.66666666666667)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:26.821366,"(31.0, 220.0, 116.66666666666667)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:28.005856,"(31.0, 220.0, 116.66666666666667)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:29.225607,"(31.0, 220.0, 116.66666666666667)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:30.362187,"(31.0, 220.0, 116.66666666666667)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:31.522788,"(31.0, 220.0, 116.66666666666667)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:32.689502,"(31.0, 220.0, 116.66666666666667)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:33.838343,"(31.0, 220.0, 116.66666666666667)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:34.900163,"(31.0, 220.0, 116.66666666666667)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:36.056522,"(31.0, 220.0, 116.66666666666667)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:37.274228,"(31.0, 220.0, 116.66666666666667)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:38.441572,"(31.0, 220.0, 116.66666666666667)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:39.600218,"(31.0, 220.0, 116.66666666666667)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:40.853854,"(31.0, 220.0, 116.66666666666667)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:42.115221,"(31.0, 220.0, 116.66666666666667)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:43.263258,"(31.0, 220.0, 116.66666666666667)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:44.398244,"(31.0, 220.0, 116.66666666666667)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:45.570274,"(31.0, 220.0, 116.66666666666667)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:46.706930,"(31.0, 220.0, 116.66666666666667)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:48.055946,"(31.0, 220.0, 116.66666666666667)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:49.311240,"(31.0, 220.0, 116.66666666666667)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:50.674453,"(31.0, 220.0, 116.66666666666667)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:51.783941,"(31.0, 220.0, 116.66666666666667)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:52.829431,"(31.0, 220.0, 116.66666666666667)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:53.962005,"(31.0, 220.0, 128.0)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:55.097974,"(31.0, 220.0, 128.0)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:56.229033,"(31.0, 220.0, 128.0)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:57.399698,"(31.0, 220.0, 128.0)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:58.579143,"(31.0, 220.0, 128.0)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:15:59.743675,"(31.0, 220.0, 128.0)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:16:00.848561,"(31.0, 220.0, 128.0)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
