,Sharkattack,Ace Duigan,Shez Elite,Keayang Alex,Go George Go,Iamawingate,Salsboy,Classically Smooth,Blue Cannon,Our Miki Diva Nz,Kyloan Queen,Lavender Dolly
12-01-2023 17:14:06.375844,"(3.7, 5.1, 4.3)","(14.0, 30.0, 18.857142857142858)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(81.0, 210.0, 135.0)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:07.649204,"(3.7, 5.1, 4.3)","(14.0, 30.0, 18.857142857142858)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(81.0, 210.0, 135.0)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:09.019276,"(3.7, 5.1, 4.3)","(14.0, 30.0, 18.857142857142858)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(81.0, 210.0, 135.0)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:10.388159,"(3.7, 5.1, 4.3)","(14.0, 30.0, 18.857142857142858)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(81.0, 210.0, 135.0)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:11.721496,"(3.7, 5.1, 4.3)","(14.0, 30.0, 18.857142857142858)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(81.0, 210.0, 135.0)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:13.082795,"(3.7, 5.1, 4.3)","(14.0, 30.0, 18.857142857142858)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(81.0, 210.0, 135.0)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:14.389042,"(3.7, 5.1, 4.3)","(14.0, 30.0, 18.857142857142858)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(81.0, 210.0, 135.0)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:15.723251,"(3.7, 5.1, 4.3)","(14.0, 30.0, 18.857142857142858)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(81.0, 210.0, 135.0)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:17.062346,"(3.7, 5.1, 4.3)","(14.0, 30.0, 18.857142857142858)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(81.0, 210.0, 135.0)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:18.350629,"(3.7, 5.1, 4.3)","(14.0, 30.0, 18.857142857142858)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(71.0, 210.0, 135.0)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6107692307692307)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:19.741781,"(3.7, 5.1, 4.3)","(14.0, 30.0, 18.857142857142858)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(71.0, 210.0, 135.0)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:21.090783,"(3.7, 5.1, 4.3)","(14.0, 30.0, 18.857142857142858)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(71.0, 210.0, 135.0)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:22.401276,"(3.7, 5.1, 4.3)","(14.0, 30.0, 18.857142857142858)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(71.0, 210.0, 135.0)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:23.648440,"(3.7, 5.1, 4.3)","(14.0, 30.0, 18.857142857142858)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(71.0, 210.0, 135.0)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:24.936033,"(3.7, 5.1, 4.3)","(14.0, 30.0, 18.857142857142858)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(71.0, 210.0, 135.0)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:26.262853,"(3.7, 5.1, 4.3)","(14.0, 30.0, 18.857142857142858)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(71.0, 210.0, 135.0)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:27.608770,"(3.7, 5.1, 4.3)","(14.0, 30.0, 18.857142857142858)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(71.0, 210.0, 142.5)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:28.887357,"(3.7, 5.1, 4.3)","(14.0, 28.0, 19.75)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(71.0, 210.0, 145.0)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:30.152367,"(3.7, 5.1, 4.3)","(14.0, 28.0, 19.75)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(71.0, 210.0, 145.0)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:31.478406,"(3.7, 5.1, 4.3)","(14.0, 28.0, 19.75)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(71.0, 210.0, 145.0)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:32.804393,"(3.7, 5.1, 4.3)","(14.0, 28.0, 19.75)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(71.0, 210.0, 160.0)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:34.228727,"(3.7, 5.1, 4.3)","(14.0, 28.0, 19.75)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(71.0, 210.0, 160.0)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:35.738438,"(3.7, 5.1, 4.3)","(14.0, 28.0, 19.75)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(71.0, 210.0, 160.0)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:37.109740,"(3.7, 5.1, 4.3)","(14.0, 28.0, 19.75)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(71.0, 210.0, 161.78571428571428)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:38.517311,"(3.7, 5.1, 4.3)","(14.0, 27.0, 20.333333333333332)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(71.0, 210.0, 161.78571428571428)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:39.914637,"(3.7, 5.1, 4.3)","(14.0, 27.0, 20.333333333333332)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(71.0, 210.0, 161.78571428571428)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:41.370173,"(3.7, 5.1, 4.3)","(14.0, 27.0, 20.333333333333332)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(71.0, 210.0, 161.78571428571428)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:42.768644,"(3.7, 5.1, 4.3)","(14.0, 27.0, 20.333333333333332)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(71.0, 210.0, 161.78571428571428)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:44.143430,"(3.7, 5.1, 4.3)","(14.0, 27.0, 20.333333333333332)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(71.0, 210.0, 161.78571428571428)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:45.804107,"(3.7, 5.1, 4.3)","(14.0, 27.0, 20.333333333333332)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(71.0, 210.0, 161.78571428571428)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:47.132530,"(3.7, 5.1, 4.3)","(14.0, 27.0, 20.333333333333332)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(71.0, 210.0, 161.78571428571428)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:48.461854,"(3.7, 5.1, 4.3)","(14.0, 27.0, 20.333333333333332)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(71.0, 210.0, 161.78571428571428)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:50.075727,"(3.7, 5.1, 4.3)","(14.0, 27.0, 20.333333333333332)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(71.0, 210.0, 161.78571428571428)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:51.522852,"(3.7, 5.1, 4.3)","(14.0, 27.0, 20.333333333333332)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(71.0, 210.0, 161.78571428571428)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:52.939900,"(3.7, 5.1, 4.3)","(14.0, 27.0, 20.333333333333332)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(71.0, 210.0, 161.78571428571428)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:54.353979,"(3.7, 5.1, 4.3)","(14.0, 27.0, 20.333333333333332)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(71.0, 210.0, 161.78571428571428)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6107692307692307)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:55.728601,"(3.7, 5.1, 4.3)","(14.0, 27.0, 20.333333333333332)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(71.0, 210.0, 161.78571428571428)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6107692307692307)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:57.058682,"(3.7, 5.1, 4.3)","(14.0, 27.0, 20.333333333333332)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(71.0, 210.0, 161.78571428571428)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:58.397050,"(3.7, 5.1, 4.3)","(14.0, 27.0, 20.333333333333332)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(71.0, 210.0, 161.78571428571428)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:59.772786,"(3.7, 5.1, 4.3)","(14.0, 27.0, 20.333333333333332)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(71.0, 210.0, 161.78571428571428)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:15:01.248901,"(3.7, 5.1, 4.3)","(14.0, 27.0, 20.333333333333332)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(71.0, 210.0, 161.78571428571428)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:15:02.620347,"(3.7, 5.1, 4.3)","(14.0, 27.0, 20.333333333333332)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(71.0, 210.0, 161.78571428571428)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:15:04.307164,"(3.7, 5.1, 4.3)","(14.0, 27.0, 20.333333333333332)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(71.0, 210.0, 161.78571428571428)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:15:05.671098,"(3.7, 5.1, 4.3)","(14.0, 27.0, 20.333333333333332)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(71.0, 210.0, 161.78571428571428)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:15:07.066268,"(3.7, 5.1, 4.3)","(14.0, 27.0, 20.333333333333332)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(71.0, 210.0, 135.0)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:15:08.542113,"(3.7, 5.1, 4.3)","(14.0, 27.0, 20.333333333333332)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(71.0, 210.0, 145.0)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
