,Choose Well,Magic Ale,Magic Secret,Jet Set Jack,Amber Jack,Bokarm Donna,Fan Cool Unit,Brunello
12-01-2023 11:19:09.570900,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:19:10.734408,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 95.38461538461539)"
12-01-2023 11:19:11.957261,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 58.0)"
12-01-2023 11:19:13.135176,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 58.0)"
12-01-2023 11:19:14.235838,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 58.0)"
12-01-2023 11:19:15.324362,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 58.0)"
12-01-2023 11:19:16.392284,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 58.0)"
12-01-2023 11:19:17.519133,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 58.0)"
12-01-2023 11:19:18.608203,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 58.0)"
12-01-2023 11:19:19.732396,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 58.0)"
12-01-2023 11:19:20.821825,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 58.0)"
12-01-2023 11:19:21.793576,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 58.0)"
12-01-2023 11:19:22.795699,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 69.45454545454545)"
12-01-2023 11:19:23.877239,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 69.45454545454545)"
12-01-2023 11:19:24.994868,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 69.45454545454545)"
12-01-2023 11:19:26.116441,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 69.45454545454545)"
12-01-2023 11:19:27.157475,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 66.36842105263159)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 69.45454545454545)"
12-01-2023 11:19:28.224766,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 95.0, 66.36842105263159)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:19:29.419273,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 95.0, 66.36842105263159)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:19:30.657617,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 95.0, 66.36842105263159)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:19:31.772743,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 95.0, 66.36842105263159)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:19:32.873559,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 95.0, 66.36842105263159)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:19:33.871691,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 95.0, 66.36842105263159)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:19:34.923726,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 95.0, 66.36842105263159)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:19:36.003615,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 95.0, 66.36842105263159)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:19:37.099912,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 95.0, 75.05263157894737)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:19:38.136313,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 110.0, 75.05263157894737)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:19:39.147028,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 110.0, 75.05263157894737)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:19:40.232874,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 110.0, 75.05263157894737)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:19:41.354641,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 110.0, 75.05263157894737)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:19:42.512143,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 110.0, 75.05263157894737)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:19:43.524021,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 110.0, 75.05263157894737)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:19:44.529987,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 110.0, 75.05263157894737)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:19:45.537818,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 110.0, 75.05263157894737)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:19:46.621862,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 110.0, 75.05263157894737)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:19:47.802775,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 110.0, 75.05263157894737)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:19:48.929179,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 110.0, 75.05263157894737)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:19:50.049862,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 110.0, 75.05263157894737)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:19:51.172999,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 110.0, 75.05263157894737)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:19:52.364341,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 110.0, 75.05263157894737)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 58.0)"
12-01-2023 11:19:53.691134,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 110.0, 75.05263157894737)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 58.0)"
12-01-2023 11:19:54.929889,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 110.0, 75.05263157894737)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 58.0)"
12-01-2023 11:19:56.075782,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 110.0, 75.05263157894737)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 58.0)"
12-01-2023 11:19:57.170352,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 110.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 58.0)"
12-01-2023 11:19:58.431590,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 58.0)"
12-01-2023 11:19:59.574330,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 58.0)"
12-01-2023 11:20:00.670962,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 58.0)"
12-01-2023 11:20:01.766229,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 58.0)"
12-01-2023 11:20:02.803895,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 58.0)"
12-01-2023 11:20:03.907671,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 58.0)"
12-01-2023 11:20:05.044571,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 58.0)"
12-01-2023 11:20:06.148440,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 58.0)"
12-01-2023 11:20:07.260281,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 69.45454545454545)"
12-01-2023 11:20:08.393518,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 69.45454545454545)"
12-01-2023 11:20:09.460470,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 69.45454545454545)"
12-01-2023 11:20:10.618262,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.3895238095238094)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 69.45454545454545)"
12-01-2023 11:20:11.697722,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.95, 3.3895238095238094)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:20:12.788274,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.9, 3.0176470588235293)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:20:13.768770,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.9, 3.0176470588235293)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:20:14.861517,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.85, 3.058333333333333)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:20:15.942977,"(2.1, 2.7, 2.185714285714286)","(12.0, 32.0, 28.4)","(2.8, 3.85, 3.058333333333333)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:20:17.026451,"(2.1, 2.7, 2.185714285714286)","(12.0, 30.0, 26.8)","(2.8, 3.85, 3.058333333333333)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:20:18.162290,"(2.1, 2.7, 2.185714285714286)","(12.0, 30.0, 26.8)","(2.8, 3.85, 3.058333333333333)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:20:19.281363,"(2.1, 2.7, 2.185714285714286)","(12.0, 30.0, 26.8)","(2.8, 3.85, 3.058333333333333)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:20:20.409826,"(2.1, 2.7, 2.185714285714286)","(12.0, 30.0, 26.8)","(2.8, 3.85, 3.058333333333333)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 73.75)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:20:21.526850,"(2.1, 2.7, 2.185714285714286)","(12.0, 30.0, 26.8)","(2.8, 3.85, 3.058333333333333)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 95.0, 66.36842105263159)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:20:22.917562,"(2.1, 2.7, 2.185714285714286)","(12.0, 30.0, 26.8)","(2.8, 3.85, 3.058333333333333)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 95.0, 66.36842105263159)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:20:24.296587,"(2.1, 2.7, 2.185714285714286)","(12.0, 30.0, 26.8)","(2.8, 3.85, 3.157142857142857)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 95.0, 66.36842105263159)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:20:25.622661,"(2.1, 2.7, 2.185714285714286)","(12.0, 30.0, 26.8)","(2.8, 3.8, 3.157142857142857)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 95.0, 66.36842105263159)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:20:26.798686,"(2.1, 2.7, 2.185714285714286)","(12.0, 30.0, 26.8)","(2.8, 3.8, 3.083333333333333)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 95.0, 66.36842105263159)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:20:28.014382,"(2.1, 2.7, 2.185714285714286)","(12.0, 30.0, 26.8)","(2.8, 3.8, 3.083333333333333)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 95.0, 66.36842105263159)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:20:29.281919,"(2.1, 2.7, 2.185714285714286)","(12.0, 30.0, 26.8)","(2.8, 3.8, 3.083333333333333)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 95.0, 66.36842105263159)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:20:30.450119,"(2.1, 2.7, 2.185714285714286)","(12.0, 30.0, 26.8)","(2.8, 3.8, 3.083333333333333)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 95.0, 66.36842105263159)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:20:31.547314,"(2.1, 2.7, 2.185714285714286)","(12.0, 30.0, 26.8)","(2.8, 3.8, 3.083333333333333)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 95.0, 66.36842105263159)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
