,Im Riddler,Colorado Banner Nz,Radiant Bay,Ryleeorielly,Classnsmart,Sunpatra,Miss Stefani,The Dark Night,Roll Em
11-01-2023 17:43:35.023665,"(101.0, 190.0, 160.0)","(2.0, 99999, 99990)","(21.0, 46.0, 27.666666666666664)","(61.0, 170.0, 103.33333333333334)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.085714285714285)","(8.0, 11.5, 9.82857142857143)","(31.0, 85.0, 49.66666666666667)","(3.2, 4.5, 3.8000000000000003)"
11-01-2023 17:43:36.169446,"(101.0, 190.0, 160.0)","(2.0, 99999, 99990)","(21.0, 46.0, 27.666666666666664)","(61.0, 170.0, 103.33333333333334)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.085714285714285)","(8.0, 11.5, 9.82857142857143)","(31.0, 85.0, 49.66666666666667)","(3.2, 4.5, 3.8000000000000003)"
11-01-2023 17:43:37.391560,"(101.0, 190.0, 160.0)","(2.0, 99999, 99990)","(21.0, 46.0, 27.666666666666664)","(61.0, 170.0, 103.33333333333334)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.085714285714285)","(8.0, 11.5, 9.82857142857143)","(31.0, 85.0, 49.66666666666667)","(3.2, 4.5, 3.8000000000000003)"
11-01-2023 17:43:38.579487,"(101.0, 190.0, 160.0)","(2.0, 99999, 99990)","(21.0, 46.0, 27.666666666666664)","(61.0, 170.0, 135.0)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.085714285714285)","(8.0, 11.5, 9.82857142857143)","(31.0, 85.0, 49.66666666666667)","(3.2, 4.5, 3.8000000000000003)"
11-01-2023 17:43:39.756311,"(101.0, 190.0, 160.0)","(2.0, 99999, 99990)","(21.0, 46.0, 27.666666666666664)","(61.0, 170.0, 135.0)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.085714285714285)","(8.0, 11.5, 9.82857142857143)","(31.0, 85.0, 49.66666666666667)","(3.2, 4.5, 3.8000000000000003)"
11-01-2023 17:43:40.938901,"(101.0, 190.0, 160.0)","(2.0, 99999, 99990)","(21.0, 46.0, 27.666666666666664)","(61.0, 170.0, 135.0)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.085714285714285)","(8.0, 11.5, 9.82857142857143)","(31.0, 85.0, 49.66666666666667)","(3.2, 4.5, 3.8000000000000003)"
11-01-2023 17:43:42.099539,"(101.0, 190.0, 160.0)","(2.0, 99999, 99990)","(21.0, 46.0, 27.666666666666664)","(61.0, 170.0, 135.0)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.085714285714285)","(8.0, 11.5, 9.82857142857143)","(31.0, 85.0, 49.66666666666667)","(3.2, 4.5, 3.8000000000000003)"
11-01-2023 17:43:43.310246,"(101.0, 190.0, 160.0)","(2.0, 99999, 99990)","(21.0, 46.0, 27.666666666666664)","(61.0, 170.0, 135.0)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.085714285714285)","(8.0, 11.5, 9.82857142857143)","(31.0, 85.0, 49.66666666666667)","(3.2, 4.5, 3.8000000000000003)"
11-01-2023 17:43:44.436284,"(101.0, 190.0, 160.0)","(2.0, 99999, 99990)","(21.0, 46.0, 27.666666666666664)","(61.0, 170.0, 135.0)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.085714285714285)","(8.0, 11.5, 9.82857142857143)","(31.0, 85.0, 49.66666666666667)","(3.2, 4.5, 3.8000000000000003)"
11-01-2023 17:43:45.481546,"(101.0, 190.0, 160.0)","(2.0, 99999, 99990)","(21.0, 46.0, 27.666666666666664)","(61.0, 170.0, 135.0)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.085714285714285)","(8.0, 11.5, 9.82857142857143)","(31.0, 85.0, 44.0)","(3.2, 4.5, 3.8000000000000003)"
11-01-2023 17:43:46.543048,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 44.0, 24.875)","(61.0, 170.0, 103.33333333333334)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.085714285714285)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 4.5, 3.8000000000000003)"
11-01-2023 17:43:47.642022,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 44.0, 24.875)","(61.0, 170.0, 103.33333333333334)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.085714285714285)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 4.5, 3.8000000000000003)"
11-01-2023 17:43:48.758173,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 44.0, 24.875)","(61.0, 170.0, 103.33333333333334)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.085714285714285)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 4.5, 3.8000000000000003)"
11-01-2023 17:43:49.845132,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 44.0, 24.875)","(61.0, 170.0, 103.33333333333334)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.085714285714285)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 4.5, 3.8000000000000003)"
11-01-2023 17:43:50.907007,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 44.0, 24.875)","(61.0, 170.0, 103.33333333333334)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.085714285714285)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 4.5, 3.8000000000000003)"
11-01-2023 17:43:51.988741,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 44.0, 24.875)","(61.0, 170.0, 103.33333333333334)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.085714285714285)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 4.5, 3.8000000000000003)"
11-01-2023 17:43:53.164907,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 44.0, 24.875)","(61.0, 170.0, 103.33333333333334)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.085714285714285)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 4.5, 3.8000000000000003)"
11-01-2023 17:43:54.466698,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 44.0, 24.875)","(61.0, 170.0, 103.33333333333334)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.085714285714285)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 4.5, 3.8000000000000003)"
11-01-2023 17:43:55.607922,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 44.0, 24.875)","(61.0, 170.0, 103.33333333333334)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.085714285714285)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 4.5, 3.8000000000000003)"
11-01-2023 17:43:56.715409,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 44.0, 24.875)","(61.0, 170.0, 103.33333333333334)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.085714285714285)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 4.5, 3.8000000000000003)"
11-01-2023 17:43:57.841428,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 42.0, 26.333333333333332)","(61.0, 170.0, 103.33333333333334)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.085714285714285)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 4.5, 3.8000000000000003)"
11-01-2023 17:43:59.012729,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 42.0, 26.333333333333332)","(61.0, 170.0, 103.33333333333334)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.085714285714285)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 4.5, 3.8000000000000003)"
11-01-2023 17:44:00.271563,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 42.0, 26.333333333333332)","(61.0, 170.0, 103.33333333333334)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.085714285714285)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 4.5, 3.8000000000000003)"
11-01-2023 17:44:01.483713,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 42.0, 26.333333333333332)","(61.0, 170.0, 103.33333333333334)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.085714285714285)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 4.5, 3.8000000000000003)"
11-01-2023 17:44:02.581856,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 42.0, 26.333333333333332)","(61.0, 170.0, 103.33333333333334)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.085714285714285)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 4.5, 3.8000000000000003)"
11-01-2023 17:44:03.681016,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 42.0, 26.333333333333332)","(61.0, 170.0, 103.33333333333334)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.085714285714285)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 4.5, 3.8000000000000003)"
11-01-2023 17:44:04.933268,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 42.0, 26.333333333333332)","(61.0, 170.0, 103.33333333333334)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.085714285714285)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 4.5, 3.8000000000000003)"
11-01-2023 17:44:06.104557,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 42.0, 26.333333333333332)","(61.0, 170.0, 103.33333333333334)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.085714285714285)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 4.5, 3.8000000000000003)"
11-01-2023 17:44:07.309941,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 42.0, 26.333333333333332)","(61.0, 170.0, 103.33333333333334)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.490909090909091)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 4.5, 3.55)"
11-01-2023 17:44:08.557038,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 42.0, 26.333333333333332)","(61.0, 170.0, 103.33333333333334)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.490909090909091)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 3.85, 3.55)"
11-01-2023 17:44:09.788096,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 42.0, 26.333333333333332)","(61.0, 170.0, 103.33333333333334)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.490909090909091)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 3.85, 3.55)"
11-01-2023 17:44:11.048618,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 40.0, 23.875)","(61.0, 170.0, 136.66666666666669)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.490909090909091)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 3.85, 3.55)"
11-01-2023 17:44:12.263341,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 40.0, 23.875)","(61.0, 170.0, 136.66666666666669)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.490909090909091)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 3.85, 3.55)"
11-01-2023 17:44:13.398077,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 38.0, 25.0)","(61.0, 170.0, 136.66666666666669)","(91.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.490909090909091)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 3.85, 3.55)"
11-01-2023 17:44:14.605278,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 38.0, 25.0)","(61.0, 170.0, 136.66666666666669)","(91.0, 210.0, 98.66666666666666)","(4.0, 5.9, 5.490909090909091)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 3.85, 3.55)"
11-01-2023 17:44:15.760810,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 38.0, 25.0)","(61.0, 170.0, 136.66666666666669)","(91.0, 200.0, 98.66666666666666)","(4.0, 5.9, 5.490909090909091)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 3.85, 3.55)"
11-01-2023 17:44:16.900716,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 38.0, 25.0)","(61.0, 170.0, 136.66666666666669)","(91.0, 200.0, 98.66666666666666)","(4.0, 5.9, 5.490909090909091)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 3.85, 3.55)"
11-01-2023 17:44:17.997420,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 38.0, 25.0)","(61.0, 170.0, 136.66666666666669)","(91.0, 200.0, 98.66666666666666)","(4.0, 5.9, 5.490909090909091)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 3.85, 3.55)"
11-01-2023 17:44:19.141889,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 38.0, 25.0)","(61.0, 170.0, 136.66666666666669)","(91.0, 200.0, 98.66666666666666)","(4.0, 5.9, 5.490909090909091)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 3.85, 3.55)"
11-01-2023 17:44:20.366993,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 38.0, 25.0)","(61.0, 170.0, 103.33333333333334)","(91.0, 200.0, 98.66666666666666)","(4.0, 5.9, 5.490909090909091)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 3.85, 3.55)"
11-01-2023 17:44:21.620107,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 38.0, 25.0)","(61.0, 170.0, 103.33333333333334)","(91.0, 200.0, 98.66666666666666)","(4.0, 5.9, 5.490909090909091)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 3.85, 3.55)"
11-01-2023 17:44:22.826750,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 38.0, 25.0)","(61.0, 170.0, 103.33333333333334)","(91.0, 200.0, 98.66666666666666)","(4.0, 5.9, 5.490909090909091)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 3.85, 3.55)"
11-01-2023 17:44:23.983391,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 38.0, 25.0)","(61.0, 170.0, 103.33333333333334)","(91.0, 200.0, 98.66666666666666)","(4.0, 5.9, 5.490909090909091)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 3.85, 3.55)"
11-01-2023 17:44:25.123940,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 38.0, 25.0)","(61.0, 170.0, 103.33333333333334)","(91.0, 200.0, 98.66666666666666)","(4.0, 5.9, 5.490909090909091)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 3.85, 3.55)"
11-01-2023 17:44:26.288664,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 38.0, 25.0)","(61.0, 170.0, 103.33333333333334)","(91.0, 200.0, 98.66666666666666)","(4.0, 5.9, 5.490909090909091)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 3.85, 3.55)"
11-01-2023 17:44:27.488887,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 38.0, 25.0)","(61.0, 170.0, 103.33333333333334)","(91.0, 200.0, 98.66666666666666)","(4.0, 5.9, 5.433333333333334)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 3.85, 3.55)"
11-01-2023 17:44:28.718621,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 38.0, 25.0)","(61.0, 170.0, 103.33333333333334)","(91.0, 200.0, 98.66666666666666)","(4.0, 5.9, 5.433333333333334)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 3.85, 3.5777777777777775)"
11-01-2023 17:44:29.926185,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 38.0, 25.0)","(61.0, 170.0, 103.33333333333334)","(91.0, 200.0, 98.66666666666666)","(4.0, 5.9, 5.433333333333334)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 3.8, 3.5777777777777775)"
11-01-2023 17:44:31.108327,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 38.0, 25.0)","(61.0, 170.0, 103.33333333333334)","(91.0, 200.0, 98.66666666666666)","(4.0, 5.9, 5.433333333333334)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 3.8, 3.5777777777777775)"
11-01-2023 17:44:32.212386,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 38.0, 25.0)","(61.0, 170.0, 103.33333333333334)","(91.0, 200.0, 98.66666666666666)","(4.0, 5.9, 5.433333333333334)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 3.8, 3.5777777777777775)"
11-01-2023 17:44:33.329915,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 38.0, 25.0)","(61.0, 170.0, 103.33333333333334)","(91.0, 200.0, 98.66666666666666)","(4.0, 5.9, 5.433333333333334)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 3.8, 3.5777777777777775)"
11-01-2023 17:44:34.506849,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 38.0, 25.0)","(61.0, 170.0, 103.33333333333334)","(91.0, 200.0, 98.66666666666666)","(4.0, 5.9, 5.433333333333334)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 3.8, 3.5777777777777775)"
11-01-2023 17:44:35.664863,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 38.0, 25.0)","(61.0, 170.0, 103.33333333333334)","(91.0, 200.0, 98.66666666666666)","(4.0, 5.9, 5.433333333333334)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 3.8, 3.5777777777777775)"
11-01-2023 17:44:36.818597,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 38.0, 25.0)","(61.0, 170.0, 103.33333333333334)","(91.0, 200.0, 98.66666666666666)","(4.0, 5.9, 5.433333333333334)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 3.8, 3.5777777777777775)"
11-01-2023 17:44:37.961954,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 38.0, 25.0)","(61.0, 170.0, 103.33333333333334)","(91.0, 200.0, 98.66666666666666)","(4.0, 5.9, 5.433333333333334)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 3.8, 3.5777777777777775)"
11-01-2023 17:44:39.157300,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 38.0, 25.0)","(61.0, 170.0, 103.33333333333334)","(91.0, 200.0, 98.66666666666666)","(4.0, 5.9, 5.433333333333334)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 3.8, 3.5777777777777775)"
11-01-2023 17:44:40.391218,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 38.0, 25.0)","(61.0, 170.0, 103.33333333333334)","(91.0, 200.0, 98.66666666666666)","(4.0, 5.9, 5.433333333333334)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 3.8, 3.5777777777777775)"
11-01-2023 17:44:41.659555,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 38.0, 25.0)","(61.0, 170.0, 103.33333333333334)","(91.0, 200.0, 98.66666666666666)","(4.0, 5.9, 5.433333333333334)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 3.8, 3.5777777777777775)"
11-01-2023 17:44:42.888699,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 38.0, 25.0)","(61.0, 170.0, 103.33333333333334)","(91.0, 200.0, 98.66666666666666)","(4.0, 5.9, 5.433333333333334)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 3.8, 3.5777777777777775)"
11-01-2023 17:44:43.979894,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 38.0, 25.0)","(61.0, 170.0, 136.66666666666669)","(91.0, 200.0, 98.66666666666666)","(4.0, 5.9, 5.433333333333334)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 3.8, 3.5777777777777775)"
11-01-2023 17:44:45.122043,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 38.0, 25.0)","(61.0, 170.0, 136.66666666666669)","(91.0, 200.0, 98.66666666666666)","(4.0, 5.9, 5.433333333333334)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 3.8, 3.5777777777777775)"
11-01-2023 17:44:46.330953,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 38.0, 25.0)","(61.0, 170.0, 136.66666666666669)","(91.0, 200.0, 98.66666666666666)","(4.0, 5.9, 5.433333333333334)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 3.8, 3.5777777777777775)"
11-01-2023 17:44:47.549356,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 38.0, 25.0)","(61.0, 170.0, 136.66666666666669)","(91.0, 200.0, 98.66666666666666)","(4.0, 5.9, 5.433333333333334)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 3.8, 3.5777777777777775)"
11-01-2023 17:44:48.769495,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 38.0, 25.0)","(61.0, 170.0, 136.66666666666669)","(91.0, 200.0, 98.66666666666666)","(4.0, 5.9, 5.433333333333334)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 3.8, 3.5777777777777775)"
11-01-2023 17:44:49.820376,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 38.0, 25.0)","(61.0, 170.0, 136.66666666666669)","(91.0, 200.0, 98.66666666666666)","(4.0, 5.9, 5.433333333333334)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 3.8, 3.5777777777777775)"
11-01-2023 17:44:50.921559,"(101.0, 190.0, 163.75)","(2.0, 99999, 99990)","(21.0, 38.0, 25.0)","(61.0, 170.0, 136.66666666666669)","(91.0, 200.0, 98.66666666666666)","(4.0, 5.9, 5.433333333333334)","(8.0, 11.5, 9.82857142857143)","(31.0, 80.0, 44.0)","(3.2, 3.8, 3.5777777777777775)"
