,Royal Apollo,Oscar Bravo,Calculating Dancer,Tallaras Shadow,Lester,Imagoldcloud,Sugoi Alto,Miyagi Boy
07-12-2022 21:00:59.028468,"(13.0, 17.5, 16.214285714285715)","(5.0, 7.6, 6.775)","(13.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.2, 7.942857142857142)","(26.0, 38.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:01:00.194474,"(13.0, 17.5, 16.214285714285715)","(5.0, 7.6, 6.775)","(13.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.2, 7.942857142857142)","(26.0, 38.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:01:01.426926,"(14.0, 17.5, 16.214285714285715)","(5.0, 7.6, 7.2333333333333325)","(12.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.2, 7.942857142857142)","(26.0, 38.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:01:02.662118,"(14.0, 17.5, 16.214285714285715)","(5.0, 7.6, 7.2333333333333325)","(12.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.2, 7.942857142857142)","(26.0, 38.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:01:03.867030,"(14.0, 17.5, 16.214285714285715)","(5.0, 7.6, 7.2333333333333325)","(12.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.2, 7.942857142857142)","(26.0, 38.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:01:05.259756,"(14.0, 17.5, 16.214285714285715)","(5.0, 7.6, 7.2333333333333325)","(12.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.2, 7.942857142857142)","(26.0, 38.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:01:06.786009,"(14.0, 17.5, 16.214285714285715)","(5.0, 7.6, 7.2333333333333325)","(12.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.2, 7.942857142857142)","(26.0, 38.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:01:08.025811,"(14.0, 17.5, 16.214285714285715)","(5.0, 7.6, 7.2333333333333325)","(12.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.2, 7.942857142857142)","(26.0, 38.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:01:09.622450,"(14.0, 17.5, 16.214285714285715)","(5.0, 7.6, 7.2333333333333325)","(12.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.2, 7.942857142857142)","(26.0, 38.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:01:10.915599,"(14.0, 17.5, 16.214285714285715)","(5.0, 7.6, 7.2333333333333325)","(12.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.2, 7.942857142857142)","(26.0, 38.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:01:12.139248,"(14.0, 17.5, 16.214285714285715)","(5.0, 7.6, 7.2333333333333325)","(12.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.2, 7.942857142857142)","(26.0, 38.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:01:13.452217,"(14.0, 17.5, 16.214285714285715)","(5.0, 7.6, 7.2333333333333325)","(12.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.2, 7.942857142857142)","(26.0, 38.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:01:14.763855,"(14.0, 17.5, 16.214285714285715)","(5.0, 7.6, 7.2333333333333325)","(12.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.2, 7.942857142857142)","(26.0, 38.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:01:16.074113,"(14.0, 17.5, 16.214285714285715)","(5.0, 7.6, 7.2333333333333325)","(12.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.2, 7.942857142857142)","(26.0, 38.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:01:17.369160,"(14.0, 17.5, 16.214285714285715)","(5.0, 7.6, 7.2333333333333325)","(12.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.2, 7.942857142857142)","(26.0, 38.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:01:18.649295,"(14.0, 17.5, 16.214285714285715)","(5.0, 7.6, 7.2333333333333325)","(12.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.2, 7.942857142857142)","(26.0, 38.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
07-12-2022 21:01:19.856079,"(14.0, 17.5, 16.214285714285715)","(5.0, 7.6, 7.2333333333333325)","(12.0, 19.5, 17.0)","(15.0, 19.0, 17.333333333333332)","(5.5, 9.2, 8.0)","(26.0, 38.0, 33.2)","(31.0, 42.0, 32.666666666666664)","(1.65, 2.02, 1.9352941176470588)"
