,Atomic Cabang,Coach Beard,Phoenix Flight,Branson Bale,Buck Hunter,Blue Tequila,Nash Bale
08-01-2023 17:49:39.693409,"(2.4, 3.85, 2.628)","(4.2, 4.8, 3.994396551724138)","(18.0, 150.0, 68.125)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:40.811110,"(2.4, 3.85, 2.628)","(4.2, 4.8, 3.994396551724138)","(18.0, 150.0, 68.125)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:41.871684,"(2.4, 3.85, 2.628)","(4.2, 4.8, 3.994396551724138)","(18.0, 150.0, 68.125)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:42.891168,"(2.4, 3.85, 2.628)","(4.2, 4.8, 3.994396551724138)","(18.0, 150.0, 68.125)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:43.936111,"(2.4, 3.85, 2.628)","(4.2, 4.8, 3.994396551724138)","(18.0, 150.0, 68.125)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:44.973571,"(2.4, 3.85, 2.628)","(4.2, 4.8, 4.0260869565217385)","(18.0, 150.0, 68.125)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:45.998540,"(2.4, 3.85, 2.628)","(4.2, 4.8, 4.0260869565217385)","(18.0, 150.0, 68.125)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:47.028729,"(2.4, 3.85, 2.628)","(4.2, 4.8, 4.0260869565217385)","(18.0, 150.0, 68.125)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:48.060476,"(2.4, 3.85, 2.628)","(4.2, 4.8, 4.0260869565217385)","(18.0, 150.0, 68.125)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:49.047763,"(2.4, 3.85, 2.628)","(4.2, 4.8, 4.0260869565217385)","(18.0, 150.0, 68.125)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:49.977806,"(2.4, 3.85, 2.628)","(4.2, 4.8, 4.0260869565217385)","(18.0, 150.0, 67.5)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:51.004245,"(2.4, 3.85, 2.628)","(4.2, 4.8, 4.0260869565217385)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:51.983460,"(2.4, 3.85, 2.628)","(4.2, 4.8, 4.0260869565217385)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:53.073462,"(2.4, 3.85, 2.628)","(4.2, 4.8, 4.0260869565217385)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:54.124477,"(2.4, 3.85, 2.628)","(4.2, 4.8, 4.0260869565217385)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:55.154904,"(2.4, 3.85, 2.628)","(4.2, 4.8, 4.0260869565217385)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:56.188902,"(2.4, 3.85, 2.628)","(4.2, 4.8, 4.0260869565217385)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:57.382705,"(2.4, 3.85, 2.628)","(4.2, 4.8, 4.0260869565217385)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:58.518256,"(2.4, 3.85, 2.628)","(4.2, 4.8, 4.0260869565217385)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
08-01-2023 17:49:59.775435,"(2.4, 3.85, 2.628)","(4.2, 4.8, 4.0260869565217385)","(18.0, 150.0, 76.94444444444444)","(15.0, 40.0, 26.11111111111111)","(3.4, 5.0, 4.114285714285714)","(21.0, 65.0, 39.44444444444444)","(5.0, 10.5, 5.863636363636364)"
