,Maralago,Burnt By Bernie,Gotta Fly,More Mischief,Ocean Honour,Pierro Warrior,State Of America,Step Aside,Lover Girl,Poetic Drama,Chouilly
04-01-2023 13:32:29.862555,"(41.0, 75.0, 64.66666666666667)","(4.2, 5.7, 5.661538461538462)","(26.0, 38.0, 35.0)","(41.0, 70.0, 54.44444444444444)","(8.5, 9.6, 9.544444444444444)","(61.0, 85.0, 80.9090909090909)","(51.0, 70.0, 66.73913043478261)","(2.05, 2.48, 2.45)","(101.0, 730.0, 714.4117647058823)","(5.5, 8.4, 7.28)","(10.0, 14.0, 13.796875)"
04-01-2023 13:32:31.251913,"(41.0, 75.0, 64.66666666666667)","(4.2, 5.7, 5.6850746268656716)","(26.0, 38.0, 35.0)","(41.0, 70.0, 54.44444444444444)","(8.5, 9.6, 9.544444444444444)","(61.0, 85.0, 80.9090909090909)","(51.0, 70.0, 66.73913043478261)","(2.05, 2.48, 2.45)","(101.0, 730.0, 714.4117647058823)","(5.5, 8.4, 7.28)","(10.0, 14.0, 13.796875)"
04-01-2023 13:32:32.695685,"(41.0, 75.0, 64.66666666666667)","(4.2, 5.7, 5.6850746268656716)","(26.0, 38.0, 35.0)","(41.0, 70.0, 54.44444444444444)","(8.5, 9.6, 9.544444444444444)","(61.0, 85.0, 80.9090909090909)","(51.0, 70.0, 66.73913043478261)","(2.05, 2.48, 2.45)","(101.0, 730.0, 714.4117647058823)","(5.5, 8.4, 7.28)","(10.0, 14.0, 13.796875)"
04-01-2023 13:32:34.003348,"(41.0, 75.0, 64.66666666666667)","(4.2, 5.7, 5.683870967741935)","(26.0, 38.0, 35.0)","(41.0, 70.0, 54.44444444444444)","(8.5, 9.6, 9.544444444444444)","(61.0, 85.0, 75.625)","(51.0, 70.0, 65.0)","(2.05, 2.48, 2.45)","(101.0, 730.0, 714.4117647058823)","(5.5, 8.4, 7.28)","(10.0, 14.0, 13.796875)"
04-01-2023 13:32:35.397947,"(41.0, 75.0, 71.42857142857143)","(4.2, 5.6, 5.539393939393939)","(26.0, 38.0, 36.46153846153846)","(41.0, 70.0, 54.44444444444444)","(8.5, 9.6, 9.565957446808511)","(61.0, 85.0, 75.625)","(51.0, 70.0, 65.0)","(2.05, 2.48, 2.455593220338983)","(101.0, 730.0, 714.4117647058823)","(5.5, 8.4, 7.28)","(10.0, 14.0, 13.796875)"
04-01-2023 13:32:36.950217,"(41.0, 75.0, 71.42857142857143)","(4.2, 5.6, 5.536507936507936)","(26.0, 38.0, 36.46153846153846)","(41.0, 70.0, 54.44444444444444)","(8.5, 9.6, 9.565957446808511)","(61.0, 85.0, 70.0)","(51.0, 70.0, 65.0)","(2.05, 2.48, 2.455593220338983)","(101.0, 730.0, 714.4117647058823)","(5.5, 8.4, 7.28)","(10.0, 14.0, 13.796875)"
04-01-2023 13:32:38.443480,"(41.0, 75.0, 71.42857142857143)","(4.2, 5.6, 5.536507936507936)","(26.0, 38.0, 36.46153846153846)","(41.0, 70.0, 54.44444444444444)","(8.5, 9.6, 9.574193548387097)","(61.0, 85.0, 70.0)","(51.0, 70.0, 65.0)","(2.05, 2.48, 2.455593220338983)","(101.0, 730.0, 714.4117647058823)","(5.5, 8.4, 7.28)","(10.0, 14.0, 13.796875)"
04-01-2023 13:32:40.201926,"(41.0, 75.0, 71.42857142857143)","(4.2, 5.6, 5.536507936507936)","(26.0, 38.0, 36.46153846153846)","(41.0, 70.0, 60.66666666666667)","(8.5, 9.6, 9.574193548387097)","(61.0, 85.0, 70.0)","(51.0, 70.0, 65.0)","(2.05, 2.48, 2.455593220338983)","(101.0, 730.0, 714.4117647058823)","(5.5, 8.4, 7.28)","(10.0, 14.0, 13.796875)"
04-01-2023 13:32:41.945701,"(41.0, 75.0, 71.42857142857143)","(4.2, 5.6, 5.536507936507936)","(26.0, 38.0, 36.46153846153846)","(41.0, 70.0, 60.66666666666667)","(8.5, 9.6, 9.574193548387097)","(61.0, 85.0, 70.0)","(51.0, 70.0, 65.0)","(2.05, 2.48, 2.455593220338983)","(101.0, 730.0, 714.4117647058823)","(5.5, 8.4, 7.28)","(10.0, 14.0, 13.796875)"
04-01-2023 13:32:43.363858,"(41.0, 75.0, 71.42857142857143)","(4.2, 5.6, 5.536507936507936)","(26.0, 38.0, 36.46153846153846)","(41.0, 70.0, 60.66666666666667)","(8.5, 9.6, 9.574193548387097)","(61.0, 85.0, 70.0)","(51.0, 70.0, 65.0)","(2.05, 2.48, 2.440854700854701)","(101.0, 730.0, 714.4117647058823)","(5.5, 8.4, 7.28)","(10.0, 14.0, 13.796875)"
04-01-2023 13:32:44.793402,"(41.0, 75.0, 71.42857142857143)","(4.2, 5.6, 5.536507936507936)","(26.0, 38.0, 36.46153846153846)","(41.0, 70.0, 60.66666666666667)","(8.5, 9.6, 9.574193548387097)","(61.0, 85.0, 67.6923076923077)","(51.0, 70.0, 65.0)","(2.05, 2.46, 2.440854700854701)","(101.0, 730.0, 714.4117647058823)","(5.5, 8.4, 7.28)","(10.0, 14.0, 13.796875)"
04-01-2023 13:32:46.152874,"(41.0, 75.0, 71.42857142857143)","(4.2, 5.6, 5.536507936507936)","(26.0, 38.0, 36.46153846153846)","(41.0, 70.0, 60.66666666666667)","(8.5, 9.6, 9.574193548387097)","(61.0, 85.0, 67.6923076923077)","(51.0, 70.0, 65.0)","(2.05, 2.46, 2.440854700854701)","(101.0, 730.0, 714.4117647058823)","(5.5, 8.4, 7.28)","(10.0, 14.0, 13.796875)"
04-01-2023 13:32:47.565060,"(41.0, 75.0, 71.42857142857143)","(4.2, 5.6, 5.533884297520661)","(26.0, 38.0, 36.888888888888886)","(41.0, 70.0, 60.66666666666667)","(8.5, 9.6, 9.574193548387097)","(61.0, 85.0, 67.6923076923077)","(51.0, 70.0, 65.45454545454545)","(2.05, 2.46, 2.440854700854701)","(101.0, 730.0, 714.4117647058823)","(5.5, 8.4, 7.28)","(10.0, 14.0, 14.538461538461538)"
04-01-2023 13:32:49.028172,"(41.0, 75.0, 71.42857142857143)","(4.2, 5.6, 5.533884297520661)","(26.0, 38.0, 37.09090909090909)","(41.0, 70.0, 60.66666666666667)","(8.5, 9.6, 9.574193548387097)","(61.0, 85.0, 67.6923076923077)","(51.0, 70.0, 65.45454545454545)","(2.05, 2.46, 2.440854700854701)","(101.0, 730.0, 714.4117647058823)","(5.5, 8.4, 7.28)","(10.0, 15.0, 14.411764705882353)"
04-01-2023 13:32:50.412035,"(41.0, 75.0, 71.42857142857143)","(4.2, 5.6, 5.533884297520661)","(26.0, 38.0, 37.09090909090909)","(41.0, 70.0, 57.333333333333336)","(8.5, 9.6, 9.574193548387097)","(61.0, 85.0, 67.6923076923077)","(51.0, 70.0, 65.45454545454545)","(2.05, 2.46, 2.440854700854701)","(101.0, 730.0, 690.2857142857142)","(5.5, 8.4, 7.28)","(10.0, 15.0, 14.411764705882353)"
04-01-2023 13:32:51.852216,"(41.0, 75.0, 71.42857142857143)","(4.2, 5.6, 5.533884297520661)","(26.0, 38.0, 37.09090909090909)","(41.0, 65.0, 58.42857142857143)","(8.5, 9.6, 9.574193548387097)","(61.0, 85.0, 67.6923076923077)","(51.0, 70.0, 65.45454545454545)","(2.05, 2.46, 2.440854700854701)","(101.0, 720.0, 690.2857142857142)","(5.5, 8.4, 7.28)","(10.0, 15.0, 14.411764705882353)"
04-01-2023 13:32:53.207708,"(41.0, 75.0, 71.42857142857143)","(4.2, 5.6, 5.533884297520661)","(26.0, 38.0, 37.09090909090909)","(41.0, 65.0, 53.5)","(8.5, 9.6, 9.574193548387097)","(61.0, 85.0, 67.6923076923077)","(51.0, 70.0, 65.45454545454545)","(2.05, 2.46, 2.440854700854701)","(101.0, 720.0, 690.2857142857142)","(5.5, 8.4, 7.28)","(10.0, 15.0, 14.411764705882353)"
04-01-2023 13:32:54.683066,"(41.0, 75.0, 71.42857142857143)","(4.2, 5.6, 5.533884297520661)","(26.0, 38.0, 36.8235294117647)","(41.0, 65.0, 54.5)","(8.5, 9.6, 9.574193548387097)","(61.0, 85.0, 67.6923076923077)","(51.0, 70.0, 65.45454545454545)","(2.05, 2.46, 2.440854700854701)","(101.0, 720.0, 690.2857142857142)","(5.5, 8.4, 7.28)","(10.0, 15.0, 14.411764705882353)"
04-01-2023 13:32:56.084923,"(41.0, 75.0, 71.42857142857143)","(4.2, 5.6, 5.533884297520661)","(26.0, 38.0, 36.8235294117647)","(41.0, 65.0, 54.5)","(8.5, 9.6, 9.574193548387097)","(61.0, 85.0, 67.6923076923077)","(51.0, 70.0, 65.45454545454545)","(2.05, 2.46, 2.440854700854701)","(101.0, 720.0, 680.8571428571429)","(5.5, 8.4, 7.28)","(10.0, 15.0, 14.411764705882353)"
04-01-2023 13:32:57.430822,"(41.0, 75.0, 71.42857142857143)","(4.2, 5.6, 5.533884297520661)","(26.0, 38.0, 36.8235294117647)","(41.0, 65.0, 54.5)","(8.5, 9.6, 9.574193548387097)","(61.0, 85.0, 67.6923076923077)","(51.0, 70.0, 65.45454545454545)","(2.05, 2.46, 2.440854700854701)","(101.0, 710.0, 680.8571428571429)","(5.5, 8.4, 7.28)","(10.0, 15.0, 14.7)"
04-01-2023 13:32:58.808754,"(41.0, 75.0, 71.42857142857143)","(4.2, 5.6, 5.533884297520661)","(26.0, 38.0, 36.8235294117647)","(41.0, 65.0, 54.5)","(8.5, 9.6, 9.574193548387097)","(61.0, 85.0, 73.33333333333333)","(51.0, 70.0, 65.45454545454545)","(2.05, 2.46, 2.440854700854701)","(101.0, 710.0, 680.8571428571429)","(5.5, 8.4, 7.28)","(10.0, 15.0, 14.7)"
04-01-2023 13:33:00.186694,"(41.0, 75.0, 71.42857142857143)","(4.2, 5.6, 5.533884297520661)","(26.0, 38.0, 36.8235294117647)","(41.0, 65.0, 54.5)","(8.5, 9.6, 9.574193548387097)","(61.0, 80.0, 73.33333333333333)","(51.0, 70.0, 65.45454545454545)","(2.05, 2.46, 2.440854700854701)","(101.0, 710.0, 680.8571428571429)","(5.5, 8.4, 7.28)","(10.0, 15.0, 14.7)"
04-01-2023 13:33:01.594612,"(41.0, 75.0, 71.42857142857143)","(4.2, 5.6, 5.531034482758621)","(26.0, 38.0, 36.8235294117647)","(41.0, 65.0, 54.5)","(8.5, 9.6, 9.574193548387097)","(61.0, 80.0, 68.88888888888889)","(51.0, 70.0, 65.45454545454545)","(2.05, 2.46, 2.440854700854701)","(101.0, 710.0, 680.8571428571429)","(5.5, 8.4, 7.28)","(10.0, 15.0, 14.7)"
04-01-2023 13:33:02.980728,"(41.0, 75.0, 71.42857142857143)","(4.2, 5.6, 5.531034482758621)","(26.0, 38.0, 36.8235294117647)","(41.0, 65.0, 54.5)","(8.5, 9.6, 9.574193548387097)","(61.0, 80.0, 68.88888888888889)","(51.0, 70.0, 65.45454545454545)","(2.05, 2.46, 2.440854700854701)","(101.0, 710.0, 680.8571428571429)","(5.5, 8.4, 7.28)","(10.0, 15.0, 14.5)"
04-01-2023 13:33:04.376421,"(41.0, 75.0, 71.42857142857143)","(4.2, 5.6, 5.531034482758621)","(26.0, 38.0, 36.8235294117647)","(41.0, 65.0, 54.5)","(8.5, 9.6, 9.574193548387097)","(61.0, 80.0, 68.88888888888889)","(51.0, 70.0, 65.45454545454545)","(2.05, 2.46, 2.440854700854701)","(101.0, 710.0, 680.8571428571429)","(5.5, 8.4, 7.28)","(10.0, 15.0, 14.823529411764707)"
04-01-2023 13:33:05.703549,"(41.0, 75.0, 71.42857142857143)","(4.2, 5.6, 5.531034482758621)","(26.0, 38.0, 36.8235294117647)","(41.0, 65.0, 54.5)","(8.5, 9.6, 9.574193548387097)","(61.0, 80.0, 70.0)","(51.0, 70.0, 65.45454545454545)","(2.05, 2.46, 2.440854700854701)","(101.0, 710.0, 680.8571428571429)","(5.5, 8.4, 7.28)","(10.0, 15.0, 14.823529411764707)"
04-01-2023 13:33:07.077741,"(41.0, 75.0, 71.42857142857143)","(4.2, 5.6, 5.531034482758621)","(26.0, 38.0, 36.8235294117647)","(41.0, 65.0, 54.5)","(8.5, 9.6, 9.574193548387097)","(61.0, 80.0, 70.0)","(51.0, 70.0, 65.0)","(2.05, 2.46, 2.440854700854701)","(101.0, 710.0, 680.8571428571429)","(5.5, 8.4, 7.28)","(10.0, 15.0, 14.823529411764707)"
04-01-2023 13:33:08.436355,"(41.0, 75.0, 68.33333333333333)","(4.2, 5.6, 5.531034482758621)","(26.0, 38.0, 36.8235294117647)","(41.0, 65.0, 54.5)","(8.5, 9.6, 9.574193548387097)","(61.0, 80.0, 70.0)","(51.0, 70.0, 65.0)","(2.05, 2.46, 2.440854700854701)","(101.0, 710.0, 680.8571428571429)","(5.5, 8.4, 7.28)","(10.0, 15.0, 14.823529411764707)"
04-01-2023 13:33:09.670701,"(41.0, 75.0, 68.33333333333333)","(4.2, 5.6, 5.531034482758621)","(26.0, 38.0, 36.8235294117647)","(41.0, 65.0, 54.5)","(8.5, 9.6, 9.574193548387097)","(61.0, 80.0, 70.0)","(51.0, 70.0, 65.0)","(2.05, 2.46, 2.440854700854701)","(101.0, 710.0, 680.8571428571429)","(5.5, 8.4, 7.28)","(10.0, 15.0, 14.823529411764707)"
04-01-2023 13:33:11.009352,"(41.0, 75.0, 68.33333333333333)","(4.2, 5.6, 5.531034482758621)","(26.0, 38.0, 36.8235294117647)","(41.0, 65.0, 54.5)","(8.5, 9.6, 9.574193548387097)","(61.0, 80.0, 70.0)","(51.0, 70.0, 65.0)","(2.05, 2.46, 2.440854700854701)","(101.0, 710.0, 667.5)","(5.5, 8.4, 7.28)","(10.0, 15.0, 14.823529411764707)"
04-01-2023 13:33:12.377152,"(41.0, 75.0, 68.33333333333333)","(4.2, 5.6, 5.531034482758621)","(26.0, 38.0, 36.8235294117647)","(41.0, 65.0, 54.5)","(8.5, 9.6, 9.574193548387097)","(61.0, 80.0, 70.0)","(51.0, 70.0, 65.0)","(2.05, 2.46, 2.440854700854701)","(101.0, 710.0, 667.5)","(5.5, 8.4, 7.28)","(10.0, 15.0, 14.823529411764707)"
04-01-2023 13:33:13.693478,"(41.0, 75.0, 68.33333333333333)","(4.2, 5.6, 5.531034482758621)","(26.0, 38.0, 36.8235294117647)","(41.0, 65.0, 54.5)","(8.5, 9.6, 9.573109243697479)","(61.0, 80.0, 70.0)","(51.0, 70.0, 65.0)","(2.05, 2.46, 2.440854700854701)","(101.0, 710.0, 667.5)","(5.5, 8.4, 7.28)","(10.0, 15.0, 14.823529411764707)"
04-01-2023 13:33:14.936609,"(41.0, 75.0, 68.33333333333333)","(4.2, 5.6, 5.531034482758621)","(26.0, 38.0, 36.8235294117647)","(41.0, 65.0, 54.5)","(8.5, 9.6, 9.573109243697479)","(61.0, 80.0, 70.0)","(51.0, 70.0, 65.0)","(2.05, 2.46, 2.440854700854701)","(101.0, 710.0, 714.4117647058823)","(5.5, 8.4, 7.28)","(10.0, 15.0, 14.875)"
04-01-2023 13:33:16.195046,"(41.0, 75.0, 68.33333333333333)","(4.2, 5.6, 5.527927927927927)","(26.0, 38.0, 36.8235294117647)","(41.0, 65.0, 54.5)","(8.5, 9.6, 9.573109243697479)","(61.0, 80.0, 70.0)","(51.0, 70.0, 65.0)","(2.05, 2.46, 2.440854700854701)","(101.0, 730.0, 714.4117647058823)","(5.5, 8.4, 7.28)","(10.0, 15.0, 14.875)"
04-01-2023 13:33:17.517302,"(41.0, 75.0, 68.33333333333333)","(4.2, 5.6, 5.527927927927927)","(26.0, 38.0, 36.8235294117647)","(41.0, 65.0, 54.5)","(8.5, 9.6, 9.573109243697479)","(61.0, 80.0, 70.0)","(51.0, 70.0, 65.0)","(2.05, 2.46, 2.440854700854701)","(101.0, 730.0, 714.4117647058823)","(5.5, 8.4, 7.28)","(10.0, 15.0, 14.875)"
04-01-2023 13:33:18.826060,"(41.0, 75.0, 68.33333333333333)","(4.2, 5.6, 5.527927927927927)","(26.0, 38.0, 36.8235294117647)","(41.0, 65.0, 54.5)","(8.5, 9.6, 9.573109243697479)","(61.0, 80.0, 70.0)","(51.0, 70.0, 65.0)","(2.05, 2.46, 2.440854700854701)","(101.0, 730.0, 714.4117647058823)","(5.5, 8.4, 7.28)","(10.0, 15.0, 14.875)"
04-01-2023 13:33:20.144997,"(41.0, 75.0, 68.33333333333333)","(4.2, 5.6, 5.527927927927927)","(26.0, 38.0, 36.8235294117647)","(41.0, 65.0, 54.5)","(8.5, 9.6, 9.573109243697479)","(61.0, 80.0, 70.0)","(51.0, 70.0, 65.0)","(2.05, 2.46, 2.440854700854701)","(101.0, 730.0, 714.4117647058823)","(5.5, 8.4, 7.28)","(10.0, 15.0, 14.875)"
04-01-2023 13:33:21.486568,"(41.0, 75.0, 68.33333333333333)","(4.2, 5.6, 5.527927927927927)","(26.0, 38.0, 36.8235294117647)","(41.0, 65.0, 54.5)","(8.5, 9.6, 9.573109243697479)","(61.0, 80.0, 70.0)","(51.0, 70.0, 65.0)","(2.05, 2.46, 2.440854700854701)","(101.0, 730.0, 714.4117647058823)","(5.5, 8.4, 7.28)","(10.0, 15.0, 14.875)"
04-01-2023 13:33:22.757839,"(41.0, 75.0, 68.33333333333333)","(4.2, 5.6, 5.527927927927927)","(26.0, 38.0, 36.8235294117647)","(41.0, 65.0, 54.5)","(8.5, 9.6, 9.573109243697479)","(61.0, 80.0, 70.0)","(51.0, 70.0, 65.0)","(2.05, 2.46, 2.440854700854701)","(101.0, 730.0, 714.4117647058823)","(5.5, 8.4, 7.28)","(10.0, 15.0, 14.875)"
04-01-2023 13:33:23.981031,"(41.0, 75.0, 68.33333333333333)","(4.2, 5.6, 5.527927927927927)","(26.0, 38.0, 36.8235294117647)","(41.0, 65.0, 54.5)","(8.5, 9.6, 9.573109243697479)","(61.0, 80.0, 70.0)","(51.0, 70.0, 65.0)","(2.05, 2.46, 2.440854700854701)","(101.0, 730.0, 714.4117647058823)","(5.5, 8.4, 7.28)","(10.0, 15.0, 14.875)"
04-01-2023 13:33:25.224123,"(41.0, 75.0, 68.33333333333333)","(4.2, 5.6, 5.527927927927927)","(26.0, 38.0, 36.8235294117647)","(41.0, 65.0, 54.5)","(8.5, 9.6, 9.573109243697479)","(61.0, 80.0, 70.0)","(51.0, 70.0, 65.0)","(2.05, 2.46, 2.440854700854701)","(101.0, 730.0, 714.4117647058823)","(5.5, 8.4, 7.28)","(10.0, 15.0, 14.875)"
04-01-2023 13:33:26.570274,"(41.0, 75.0, 68.33333333333333)","(4.2, 5.6, 5.527927927927927)","(26.0, 38.0, 36.8235294117647)","(41.0, 65.0, 54.5)","(8.5, 9.6, 9.573109243697479)","(61.0, 80.0, 70.0)","(51.0, 70.0, 65.0)","(2.05, 2.46, 2.440854700854701)","(101.0, 730.0, 714.4117647058823)","(5.5, 8.4, 7.28)","(10.0, 15.0, 14.875)"
04-01-2023 13:33:27.888369,"(41.0, 75.0, 68.33333333333333)","(4.4, 5.6, 5.527927927927927)","(26.0, 38.0, 36.8235294117647)","(41.0, 65.0, 54.5)","(8.5, 9.6, 9.573109243697479)","(61.0, 80.0, 70.0)","(51.0, 70.0, 65.0)","(2.05, 2.46, 2.440854700854701)","(101.0, 730.0, 714.4117647058823)","(5.5, 8.4, 7.28)","(10.0, 15.0, 14.875)"
04-01-2023 13:33:29.195890,"(41.0, 75.0, 68.33333333333333)","(4.4, 5.6, 5.524528301886792)","(26.0, 38.0, 36.8235294117647)","(41.0, 65.0, 54.5)","(8.5, 9.6, 9.573109243697479)","(61.0, 80.0, 70.0)","(51.0, 70.0, 65.0)","(2.05, 2.46, 2.440854700854701)","(101.0, 730.0, 714.4117647058823)","(5.5, 8.4, 7.28)","(10.0, 15.0, 14.875)"
04-01-2023 13:33:30.473730,"(41.0, 75.0, 68.33333333333333)","(4.4, 5.6, 5.524528301886792)","(26.0, 38.0, 36.8235294117647)","(41.0, 65.0, 54.5)","(8.5, 9.6, 9.573109243697479)","(61.0, 80.0, 70.0)","(51.0, 70.0, 65.0)","(2.05, 2.46, 2.440854700854701)","(101.0, 730.0, 714.4117647058823)","(5.5, 8.4, 7.28)","(10.0, 15.0, 14.875)"
