,Kanga Lights,Elope To Paris,Blaze Maker,Patch Herrera,Serving Soldier,Big Prediction,Remember Prince,Colden Express
11-01-2023 12:38:40.852554,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 29.2)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:42.275906,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 29.2)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:43.628209,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 29.2)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:44.854046,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 29.2)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:46.188629,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 29.2)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:47.477616,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 29.2)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:48.798778,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 29.4)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:50.098722,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 29.4)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:51.363938,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 29.4)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:52.662119,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 29.6)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:53.884573,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 29.6)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:55.102451,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 28.5)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:56.376600,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 28.5)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:57.546783,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 28.5)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:58.752476,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 28.5)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:38:59.902373,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 28.5)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:01.176404,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 28.5)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:02.424187,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 28.5)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:03.657987,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 28.5)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:04.863425,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 28.5)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:06.132462,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 28.5)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:07.512230,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 28.5)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:08.908516,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 28.5)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:10.191410,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 28.5)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:11.424056,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 28.5)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:12.697611,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 30.4)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:13.875811,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 30.4)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:15.064677,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 30.8)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:16.344633,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 30.8)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:17.693161,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 30.8)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:18.991138,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 30.8)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:20.304291,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 30.8)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:21.772165,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 30.8)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:23.309126,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 30.8)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:24.620798,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 30.8)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:26.020708,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 30.0)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:27.451520,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 30.0)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:28.807234,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 30.0)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:30.161365,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 30.0)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:31.447779,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 30.0)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:32.861818,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 30.0)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:34.303942,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 30.0)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:35.683586,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 31.6)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:37.018506,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 31.6)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:38.386326,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 31.6)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:39.912069,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 31.6)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:41.430818,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 31.6)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:42.860782,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 31.6)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:44.138837,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 31.6)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:45.473230,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 31.6)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:46.826620,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 31.6)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:48.413641,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 31.6)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:49.684345,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 31.6)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:50.982465,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 31.6)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:52.164794,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 31.6)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:53.330210,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 31.6)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:54.687805,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 31.6)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:55.891595,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 31.6)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
11-01-2023 12:39:57.144502,"(6.0, 10.5, 8.966666666666667)","(21.0, 90.0, 46.875)","(11.0, 36.0, 31.6)","(17.0, 60.0, 32.8125)","(12.0, 28.0, 17.8)","(10.0, 24.0, 16.5)","(5.0, 8.2, 6.55)","(1.75, 2.12, 1.8413333333333333)"
