,Zing Zang Oscar,Sintra,Temerity Spirit,Blaze Victorem,Rolling Riot,Empress Eleven,Sunshot,Solar Circles
07-01-2023 10:10:01.110993,"(2.7, 3.75, 3.225357142857143)","(4.2, 7.0, 5.377272727272727)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:02.201768,"(2.7, 3.75, 3.225357142857143)","(4.2, 7.0, 5.377272727272727)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:03.399089,"(2.7, 3.75, 3.225357142857143)","(4.2, 7.0, 5.377272727272727)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:04.504983,"(2.7, 3.75, 3.225357142857143)","(4.2, 7.0, 5.377272727272727)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:05.595203,"(2.7, 3.75, 3.225357142857143)","(4.2, 7.0, 5.377272727272727)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:06.639141,"(2.7, 3.75, 3.225357142857143)","(4.2, 7.0, 5.377272727272727)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:07.670340,"(2.7, 3.75, 3.225357142857143)","(4.2, 7.0, 5.377272727272727)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:08.679420,"(2.7, 3.75, 3.225357142857143)","(4.2, 7.0, 5.377272727272727)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:09.760946,"(2.7, 3.75, 3.225357142857143)","(4.2, 7.0, 5.377272727272727)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:10.917176,"(2.7, 3.75, 3.225357142857143)","(4.2, 7.0, 5.377272727272727)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:12.013949,"(2.7, 3.75, 3.225357142857143)","(4.2, 7.0, 5.377272727272727)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:13.127976,"(2.7, 3.75, 3.225357142857143)","(4.2, 7.0, 5.377272727272727)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:14.274739,"(2.7, 3.75, 3.225357142857143)","(4.2, 7.0, 5.377272727272727)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:15.264837,"(2.7, 3.75, 3.247777777777778)","(4.2, 7.0, 5.3265625)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:16.361833,"(2.7, 3.75, 3.247777777777778)","(4.2, 7.0, 5.3265625)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:17.491993,"(2.7, 3.75, 3.247777777777778)","(4.2, 7.0, 5.3265625)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:18.570604,"(2.7, 3.75, 3.247777777777778)","(4.2, 7.0, 5.3265625)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:19.624254,"(2.7, 3.75, 3.247777777777778)","(4.2, 7.0, 5.3265625)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:20.711365,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 5.3265625)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:21.776152,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 5.3265625)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:22.801822,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 5.3265625)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:23.901799,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 5.3265625)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:25.027852,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 5.3265625)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:26.102939,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 5.3265625)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:27.182046,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 5.3265625)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:28.234799,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 5.3265625)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:29.278153,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 5.3265625)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:30.364104,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 5.3265625)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:31.478402,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 5.3265625)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:32.588066,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 5.3265625)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:33.625460,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 5.3265625)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:34.833746,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 5.243333333333333)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:35.951757,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 5.243333333333333)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:36.974941,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 5.243333333333333)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:38.083175,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 4.530952380952381)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:39.133935,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 4.530952380952381)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:40.249016,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 4.530952380952381)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:41.408344,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 4.530952380952381)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:42.575574,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 4.530952380952381)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:43.706956,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 4.530952380952381)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:44.784072,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 4.530952380952381)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:45.878984,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 4.530952380952381)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:46.913493,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 4.530952380952381)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:48.023099,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 4.530952380952381)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:49.140905,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 4.530952380952381)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:50.300708,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 4.530952380952381)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:51.384427,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 4.530952380952381)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:52.386384,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 4.530952380952381)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 7.604651162790698)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:53.384668,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 4.530952380952381)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 6.625)","(17.0, 60.0, 33.125)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:54.438252,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 4.530952380952381)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 6.625)","(17.0, 60.0, 36.111111111111114)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:55.528646,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 4.530952380952381)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 6.625)","(17.0, 60.0, 36.111111111111114)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:56.623156,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 4.530952380952381)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 6.625)","(17.0, 60.0, 36.111111111111114)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:57.670114,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 4.530952380952381)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 6.222222222222222)","(17.0, 60.0, 36.111111111111114)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:58.718535,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 4.530952380952381)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 6.222222222222222)","(17.0, 60.0, 36.111111111111114)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:10:59.824824,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 4.530952380952381)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 6.222222222222222)","(17.0, 60.0, 36.111111111111114)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:11:00.914192,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 4.530952380952381)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 6.222222222222222)","(17.0, 60.0, 36.111111111111114)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:11:01.972615,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 4.530952380952381)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 6.222222222222222)","(17.0, 60.0, 36.111111111111114)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:11:03.100678,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 4.530952380952381)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 6.222222222222222)","(17.0, 60.0, 36.111111111111114)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:11:04.221126,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 4.530952380952381)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 6.222222222222222)","(17.0, 60.0, 36.111111111111114)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:11:05.261527,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 4.530952380952381)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 6.222222222222222)","(17.0, 60.0, 36.111111111111114)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:11:06.373540,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 4.530952380952381)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 6.222222222222222)","(17.0, 60.0, 36.111111111111114)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:11:07.465794,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 4.530952380952381)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 6.222222222222222)","(17.0, 60.0, 36.111111111111114)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:11:08.541350,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 4.530952380952381)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 6.222222222222222)","(17.0, 60.0, 36.111111111111114)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:11:09.685943,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 4.530952380952381)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 6.222222222222222)","(17.0, 60.0, 36.111111111111114)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:11:10.943180,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 4.530952380952381)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 6.222222222222222)","(17.0, 60.0, 36.111111111111114)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
07-01-2023 10:11:12.010721,"(2.7, 3.75, 3.265714285714286)","(4.2, 7.0, 4.530952380952381)","(15.0, 50.0, 38.75)","(81.0, 580.0, 495.83333333333337)","(5.0, 8.0, 6.222222222222222)","(17.0, 60.0, 36.111111111111114)","(5.0, 8.0, 6.25)","(5.5, 9.0, 7.64)"
