,Goldstar Farryn,Torpedo Bay,Homebush Cheeky,Angry Jane,Homebush Yoshi,Goldstar Royal,Amuri Luck
09-01-2023 09:02:16.830772,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:17.764310,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:18.695313,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:19.642741,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:20.593947,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:21.686266,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:22.725280,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:23.757860,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:24.733042,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:25.678471,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:26.599778,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:27.535734,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:28.514189,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:29.500880,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:30.413159,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:31.357084,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:32.346511,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:33.366034,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:34.366563,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:35.295817,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:36.231749,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:37.137045,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:38.110516,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:39.048150,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:39.973463,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:40.913369,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:41.869060,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:42.929972,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:43.958804,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:44.952939,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:45.969849,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:46.930289,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:47.903076,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:48.915295,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:49.907315,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:50.857720,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:51.763625,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:52.714681,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:53.618325,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:54.608693,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:55.563811,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:56.509827,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:57.465758,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:58.456801,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:02:59.470746,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:00.452052,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:01.431677,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:02.336226,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:03.243994,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:04.162279,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:05.131351,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:06.061875,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:07.022259,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:07.963318,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:08.969783,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:09.964119,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:11.014251,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:11.996716,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:12.936959,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:13.896816,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:14.797660,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:15.769227,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:16.672564,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:17.571190,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:18.543722,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:19.530419,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:20.508841,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:21.448839,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:22.422937,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:23.344978,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:24.298459,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:25.278824,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:26.241551,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:27.167668,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:28.078928,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:29.025252,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:29.968735,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:30.995369,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:31.942698,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:32.954718,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:33.914203,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:34.873187,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:35.857764,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:36.844782,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
09-01-2023 09:03:37.786638,"(13.0, 32.0, 29.4375)","(6.5, 13.5, 12.766666666666666)","(21.0, 190.0, 105.0)","(2.9, 4.4, 3.5647058823529414)","(17.0, 170.0, 77.0)","(41.0, 320.0, 144.0)","(1.65, 2.64, 2.5080769230769233)"
