,Euro Beat Nz,Oursouthernstar,Mister Haywood,Voodoo Lou,London Legs,Eagle Commander,Dark Terror
11-01-2023 18:22:34.751311,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 24.6)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:22:35.964904,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 24.6)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:22:37.169933,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 24.6)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 124.0)"
11-01-2023 18:22:38.286457,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 28.363636363636363)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:22:39.445632,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 27.666666666666664)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:22:40.540112,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 27.666666666666664)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:22:41.562462,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 27.666666666666664)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:22:42.750835,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 27.666666666666664)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:22:43.991139,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 27.666666666666664)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:22:45.011599,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 27.666666666666664)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:22:46.146412,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 27.666666666666664)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:22:47.319332,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 27.666666666666664)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:22:48.443188,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 27.666666666666664)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:22:49.605112,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 27.666666666666664)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:22:50.629064,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 27.666666666666664)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:22:51.718068,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 27.666666666666664)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:22:52.754595,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 27.666666666666664)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:22:53.888302,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 27.666666666666664)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
11-01-2023 18:22:54.981268,"(2.5, 99999, 99990)","(3.1, 4.9, 4.3500000000000005)","(14.0, 32.0, 27.666666666666664)","(5.0, 12.0, 8.55)","(3.7, 5.8, 4.0)","(15.0, 44.0, 17.857142857142858)","(51.0, 160.0, 98.0)"
