,Latrell,Human Touch,Emma Bundock,Faster Than Hoot,Coruba,Umagico
09-01-2023 18:46:30.740081,"(2.4, 3.05, 3.03253164556962)","(10.0, 20.0, 15.25)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.45, 2.7833333333333337)"
09-01-2023 18:46:31.822193,"(2.4, 3.05, 3.03253164556962)","(10.0, 20.0, 15.25)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.45, 2.7833333333333337)"
09-01-2023 18:46:32.802481,"(2.4, 3.05, 3.03253164556962)","(10.0, 20.0, 15.25)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.45, 2.7833333333333337)"
09-01-2023 18:46:33.858122,"(2.4, 3.05, 3.03253164556962)","(10.0, 20.0, 15.25)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.45, 2.7833333333333337)"
09-01-2023 18:46:34.924515,"(2.4, 3.05, 3.03253164556962)","(10.0, 20.0, 15.25)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.45, 2.7833333333333337)"
09-01-2023 18:46:35.957303,"(2.4, 3.05, 3.03253164556962)","(10.0, 20.0, 15.25)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.45, 2.7833333333333337)"
09-01-2023 18:46:37.043999,"(2.4, 3.05, 3.03253164556962)","(10.0, 20.0, 15.25)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.45, 2.7833333333333337)"
09-01-2023 18:46:38.084855,"(2.4, 3.05, 3.03253164556962)","(10.0, 20.0, 15.25)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.45, 2.7833333333333337)"
09-01-2023 18:46:39.109332,"(2.4, 3.05, 3.03253164556962)","(10.0, 20.0, 15.25)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.45, 2.7833333333333337)"
09-01-2023 18:46:40.121493,"(2.4, 2.98, 2.9643037974683546)","(10.0, 20.0, 15.25)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.45, 2.7833333333333337)"
09-01-2023 18:46:41.028946,"(2.4, 2.98, 2.9643037974683546)","(10.0, 20.0, 15.25)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.45, 2.7833333333333337)"
09-01-2023 18:46:41.987256,"(2.4, 2.98, 2.9643037974683546)","(10.0, 20.0, 15.25)","(15.0, 44.0, 34.5)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.45, 2.7833333333333337)"
09-01-2023 18:46:42.972896,"(2.4, 2.98, 2.9643037974683546)","(10.0, 21.0, 15.75)","(15.0, 42.0, 33.16666666666667)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.45, 2.7833333333333337)"
09-01-2023 18:46:44.017130,"(2.4, 2.98, 2.9643037974683546)","(10.0, 21.0, 15.75)","(15.0, 42.0, 33.16666666666667)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.45, 2.7833333333333337)"
09-01-2023 18:46:45.022825,"(2.4, 2.98, 2.9643037974683546)","(10.0, 20.0, 15.25)","(15.0, 42.0, 33.16666666666667)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.45, 2.7833333333333337)"
09-01-2023 18:46:46.212483,"(2.4, 2.98, 2.9643037974683546)","(10.0, 20.0, 15.25)","(15.0, 42.0, 33.16666666666667)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.45, 2.7833333333333337)"
09-01-2023 18:46:47.533429,"(2.4, 2.98, 2.9643037974683546)","(10.0, 20.0, 15.75)","(15.0, 42.0, 25.0)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.45, 2.7833333333333337)"
09-01-2023 18:46:48.813635,"(2.4, 2.98, 2.9643037974683546)","(10.0, 21.0, 15.75)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.45, 2.7833333333333337)"
09-01-2023 18:46:50.059476,"(2.4, 2.98, 2.9643037974683546)","(10.0, 21.0, 15.75)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.45, 2.7833333333333337)"
09-01-2023 18:46:51.187080,"(2.4, 2.98, 2.9643037974683546)","(10.0, 21.0, 15.75)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.45, 2.7833333333333337)"
09-01-2023 18:46:52.408291,"(2.4, 2.98, 2.9643037974683546)","(10.0, 21.0, 15.75)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.45, 2.7833333333333337)"
09-01-2023 18:46:53.573428,"(2.4, 2.98, 2.9643037974683546)","(10.0, 21.0, 15.75)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.45, 2.7833333333333337)"
09-01-2023 18:46:54.715339,"(2.4, 2.98, 2.9643037974683546)","(10.0, 21.0, 15.75)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.45, 2.7833333333333337)"
09-01-2023 18:46:55.737274,"(2.4, 2.98, 2.9643037974683546)","(10.0, 21.0, 15.75)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.45, 2.7833333333333337)"
09-01-2023 18:46:56.673848,"(2.4, 2.98, 2.9643037974683546)","(10.0, 21.0, 15.75)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.45, 2.7833333333333337)"
09-01-2023 18:46:57.714418,"(2.4, 2.98, 2.9643037974683546)","(10.0, 21.0, 15.75)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.45, 2.7833333333333337)"
09-01-2023 18:46:58.824443,"(2.4, 2.98, 2.9643037974683546)","(10.0, 21.0, 18.9)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.45, 2.777777777777778)"
09-01-2023 18:46:59.926114,"(2.4, 2.98, 2.9643037974683546)","(10.0, 21.0, 18.9)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.4, 2.777777777777778)"
09-01-2023 18:47:01.008776,"(2.4, 2.98, 2.9643037974683546)","(10.0, 21.0, 18.9)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.4, 2.777777777777778)"
09-01-2023 18:47:02.047185,"(2.4, 2.98, 2.9643037974683546)","(10.0, 21.0, 18.9)","(15.0, 44.0, 38.3)","(5.5, 12.0, 7.6)","(11.0, 23.0, 17.75)","(2.35, 3.4, 2.777777777777778)"
09-01-2023 18:47:03.094816,"(2.4, 2.98, 2.9643037974683546)","(10.0, 21.0, 19.8125)","(15.0, 34.0, 30.3)","(5.5, 12.0, 6.857142857142857)","(11.0, 23.0, 17.75)","(2.35, 3.4, 2.777777777777778)"
09-01-2023 18:47:04.052030,"(2.4, 2.98, 2.9643037974683546)","(10.0, 21.0, 18.75)","(15.0, 34.0, 30.3)","(5.5, 12.0, 6.857142857142857)","(11.0, 23.0, 17.75)","(2.35, 3.4, 2.777777777777778)"
09-01-2023 18:47:05.079692,"(2.4, 2.98, 2.9643037974683546)","(10.0, 21.0, 18.75)","(15.0, 34.0, 30.3)","(5.5, 12.0, 7.0344827586206895)","(11.0, 23.0, 17.75)","(2.35, 3.4, 2.777777777777778)"
09-01-2023 18:47:06.142890,"(2.4, 2.98, 2.9643037974683546)","(10.0, 21.0, 16.0)","(15.0, 34.0, 30.3)","(5.5, 12.0, 7.0344827586206895)","(11.0, 23.0, 17.75)","(2.35, 3.4, 2.777777777777778)"
09-01-2023 18:47:07.194650,"(2.4, 2.98, 2.9643037974683546)","(10.0, 20.0, 15.555555555555555)","(15.0, 34.0, 30.3)","(5.5, 12.0, 7.0344827586206895)","(11.0, 23.0, 17.75)","(2.35, 3.4, 2.777777777777778)"
09-01-2023 18:47:08.278036,"(2.4, 2.98, 2.9643037974683546)","(10.0, 20.0, 15.555555555555555)","(15.0, 34.0, 30.3)","(5.5, 12.0, 7.0344827586206895)","(11.0, 23.0, 17.75)","(2.35, 3.4, 2.777777777777778)"
09-01-2023 18:47:09.236790,"(2.4, 2.98, 2.9643037974683546)","(10.0, 20.0, 15.555555555555555)","(15.0, 34.0, 30.3)","(5.5, 12.0, 7.0344827586206895)","(11.0, 23.0, 17.75)","(2.35, 3.4, 2.777777777777778)"
09-01-2023 18:47:10.143644,"(2.4, 2.94, 2.8454347826086956)","(10.0, 20.0, 16.57142857142857)","(15.0, 38.0, 28.357142857142858)","(5.5, 12.0, 7.0344827586206895)","(11.0, 23.0, 17.75)","(2.35, 3.4, 2.777777777777778)"
09-01-2023 18:47:11.153637,"(2.4, 2.92, 2.9058227848101263)","(10.0, 20.0, 19.2)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.0344827586206895)","(11.0, 23.0, 17.75)","(2.35, 3.4, 2.777777777777778)"
09-01-2023 18:47:12.247667,"(2.4, 2.9, 2.893076923076923)","(10.0, 21.0, 19.2)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.0344827586206895)","(11.0, 23.0, 17.75)","(2.35, 3.4, 2.777777777777778)"
09-01-2023 18:47:13.392820,"(2.4, 2.9, 2.874)","(10.0, 21.0, 19.2)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.0344827586206895)","(11.0, 23.0, 17.75)","(2.35, 3.4, 2.777777777777778)"
09-01-2023 18:47:14.489905,"(2.4, 2.9, 2.874)","(10.0, 21.0, 19.2)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.0344827586206895)","(11.0, 23.0, 17.75)","(2.35, 3.4, 2.777777777777778)"
09-01-2023 18:47:15.546549,"(2.4, 2.9, 2.874)","(10.0, 21.0, 19.2)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.0344827586206895)","(11.0, 23.0, 17.75)","(2.35, 3.4, 2.777777777777778)"
09-01-2023 18:47:16.535641,"(2.4, 2.9, 2.809565217391304)","(10.0, 21.0, 19.2)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.0344827586206895)","(11.0, 23.0, 17.75)","(2.35, 3.4, 2.777777777777778)"
09-01-2023 18:47:17.505220,"(2.4, 2.9, 2.809565217391304)","(10.0, 21.0, 19.2)","(15.0, 44.0, 25.0)","(5.5, 12.0, 6.0)","(11.0, 23.0, 17.75)","(2.35, 3.4, 2.777777777777778)"
09-01-2023 18:47:18.515663,"(2.4, 2.9, 2.809565217391304)","(10.0, 21.0, 19.2)","(15.0, 44.0, 25.0)","(5.5, 12.0, 6.4)","(11.0, 23.0, 17.75)","(2.35, 3.4, 2.777777777777778)"
09-01-2023 18:47:19.589592,"(2.4, 2.9, 2.8504761904761904)","(10.0, 21.0, 19.2)","(15.0, 44.0, 25.0)","(5.5, 12.0, 6.4)","(11.0, 23.0, 17.75)","(2.35, 3.4, 2.777777777777778)"
09-01-2023 18:47:20.661161,"(2.4, 2.9, 2.8504761904761904)","(10.0, 21.0, 19.2)","(15.0, 44.0, 25.0)","(5.5, 12.0, 6.0)","(11.0, 23.0, 17.75)","(2.35, 3.4, 2.777777777777778)"
09-01-2023 18:47:21.706279,"(2.4, 2.9, 2.8504761904761904)","(10.0, 21.0, 19.2)","(15.0, 44.0, 25.0)","(5.5, 12.0, 6.0)","(11.0, 23.0, 17.75)","(2.35, 3.4, 2.777777777777778)"
09-01-2023 18:47:22.719296,"(2.4, 2.9, 2.8504761904761904)","(10.0, 21.0, 19.2)","(15.0, 44.0, 25.0)","(5.5, 12.0, 6.0)","(11.0, 23.0, 17.75)","(2.35, 3.4, 2.777777777777778)"
09-01-2023 18:47:23.671489,"(2.4, 2.9, 2.8504761904761904)","(10.0, 21.0, 19.2)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.7333333333333325)","(11.0, 23.0, 17.75)","(2.35, 3.4, 2.777777777777778)"
09-01-2023 18:47:24.688784,"(2.4, 2.9, 2.8504761904761904)","(10.0, 21.0, 19.2)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.345454545454545)","(11.0, 23.0, 17.75)","(2.35, 3.4, 2.777777777777778)"
09-01-2023 18:47:25.794587,"(2.4, 2.9, 2.8863291139240506)","(10.0, 21.0, 19.2)","(15.0, 44.0, 25.0)","(5.5, 12.0, 7.345454545454545)","(11.0, 23.0, 17.75)","(2.35, 3.4, 2.777777777777778)"
09-01-2023 18:47:26.974237,"(2.4, 2.9, 2.833333333333333)","(10.0, 21.0, 19.2)","(15.0, 44.0, 25.0)","(5.5, 12.0, 6.786206896551724)","(11.0, 23.0, 17.75)","(2.35, 3.4, 2.777777777777778)"
09-01-2023 18:47:28.180544,"(2.4, 2.9, 2.823076923076923)","(10.0, 21.0, 19.2)","(15.0, 44.0, 25.0)","(5.5, 12.0, 6.786206896551724)","(11.0, 23.0, 17.75)","(2.35, 3.4, 2.777777777777778)"
09-01-2023 18:47:29.320795,"(2.4, 2.9, 2.809090909090909)","(10.0, 21.0, 19.2)","(15.0, 44.0, 25.0)","(5.5, 12.0, 6.786206896551724)","(11.0, 23.0, 17.75)","(2.35, 3.4, 2.7722222222222226)"
09-01-2023 18:47:30.383870,"(2.4, 2.9, 2.809090909090909)","(10.0, 21.0, 19.2)","(15.0, 44.0, 25.0)","(5.5, 12.0, 6.786206896551724)","(11.0, 23.0, 17.75)","(2.35, 3.35, 2.7722222222222226)"
09-01-2023 18:47:31.449503,"(2.4, 2.9, 2.809090909090909)","(10.0, 21.0, 19.2)","(15.0, 44.0, 25.0)","(5.5, 12.0, 6.86896551724138)","(11.0, 23.0, 17.75)","(2.35, 3.35, 2.7722222222222226)"
09-01-2023 18:47:32.497647,"(2.4, 2.9, 2.809090909090909)","(10.0, 21.0, 19.2)","(15.0, 44.0, 29.944444444444443)","(5.5, 12.0, 8.223809523809525)","(11.0, 23.0, 17.75)","(2.35, 3.35, 2.7722222222222226)"
09-01-2023 18:47:33.560285,"(2.4, 2.9, 2.809090909090909)","(10.0, 22.0, 20.0)","(15.0, 48.0, 29.944444444444443)","(5.5, 12.0, 8.055)","(11.0, 23.0, 17.75)","(2.35, 3.35, 2.7722222222222226)"
09-01-2023 18:47:34.655383,"(2.4, 2.9, 2.809090909090909)","(10.0, 22.0, 20.0)","(15.0, 48.0, 29.944444444444443)","(5.5, 11.5, 7.35625)","(11.0, 23.0, 17.75)","(2.35, 3.35, 2.7722222222222226)"
09-01-2023 18:47:35.744012,"(2.4, 2.9, 2.809090909090909)","(10.0, 22.0, 20.0)","(15.0, 48.0, 29.944444444444443)","(5.5, 11.5, 7.205263157894738)","(11.0, 23.0, 15.125)","(2.35, 3.35, 2.7722222222222226)"
09-01-2023 18:47:36.757002,"(2.4, 2.9, 2.6999999999999997)","(10.0, 21.0, 18.3)","(15.0, 48.0, 29.944444444444443)","(5.5, 11.5, 7.205263157894738)","(11.0, 23.0, 15.125)","(2.35, 3.35, 2.7722222222222226)"
09-01-2023 18:47:37.707726,"(2.4, 2.9, 2.6999999999999997)","(10.0, 19.5, 16.375)","(15.0, 48.0, 29.944444444444443)","(5.5, 11.5, 8.081818181818182)","(11.0, 23.0, 15.125)","(2.35, 3.35, 2.7722222222222226)"
09-01-2023 18:47:38.698472,"(2.4, 2.9, 2.6999999999999997)","(10.0, 19.0, 16.083333333333336)","(15.0, 48.0, 26.333333333333336)","(5.5, 11.5, 8.372727272727273)","(11.0, 23.0, 15.125)","(2.35, 3.35, 2.7722222222222226)"
09-01-2023 18:47:39.745383,"(2.4, 2.9, 2.6999999999999997)","(10.0, 19.0, 16.083333333333336)","(15.0, 48.0, 26.333333333333336)","(5.5, 11.5, 8.748)","(11.0, 23.0, 15.125)","(2.35, 3.35, 2.754166666666667)"
09-01-2023 18:47:40.872269,"(2.4, 2.86, 2.5533333333333332)","(10.0, 19.0, 16.083333333333336)","(15.0, 48.0, 26.333333333333336)","(5.5, 11.5, 8.748)","(11.0, 23.0, 15.125)","(2.35, 3.35, 2.754166666666667)"
09-01-2023 18:47:42.016060,"(2.4, 2.86, 2.5533333333333332)","(10.0, 19.0, 16.083333333333336)","(15.0, 48.0, 26.333333333333336)","(5.5, 11.5, 8.748)","(11.0, 23.0, 15.125)","(2.35, 3.35, 2.754166666666667)"
09-01-2023 18:47:43.165549,"(2.3, 2.86, 2.533548387096774)","(10.0, 18.5, 15.23076923076923)","(15.0, 48.0, 26.333333333333336)","(5.5, 11.5, 8.748)","(11.0, 23.0, 15.125)","(2.3, 3.35, 2.7722222222222226)"
09-01-2023 18:47:44.261876,"(2.3, 2.8, 2.76)","(10.0, 18.0, 15.23076923076923)","(15.0, 48.0, 26.333333333333336)","(5.5, 11.5, 8.748)","(11.0, 23.0, 15.125)","(2.3, 3.35, 2.7722222222222226)"
09-01-2023 18:47:45.354506,"(2.3, 2.8, 2.76)","(10.0, 18.0, 15.23076923076923)","(15.0, 48.0, 26.333333333333336)","(5.5, 11.5, 8.748)","(11.0, 23.0, 15.125)","(2.3, 3.35, 2.7722222222222226)"
09-01-2023 18:47:46.299363,"(2.3, 2.8, 2.76)","(10.0, 18.0, 15.23076923076923)","(15.0, 48.0, 26.333333333333336)","(5.5, 11.5, 8.748)","(11.0, 23.0, 15.125)","(2.3, 3.35, 2.7722222222222226)"
09-01-2023 18:47:47.289442,"(2.3, 2.8, 2.76)","(10.0, 18.0, 15.23076923076923)","(15.0, 48.0, 26.333333333333336)","(5.5, 11.5, 8.853846153846154)","(11.0, 23.0, 15.125)","(2.3, 3.35, 2.7722222222222226)"
09-01-2023 18:47:48.403900,"(2.3, 2.8, 2.76)","(10.0, 18.0, 15.23076923076923)","(15.0, 48.0, 26.333333333333336)","(5.5, 11.5, 8.853846153846154)","(11.0, 23.0, 15.125)","(2.3, 3.35, 2.7722222222222226)"
09-01-2023 18:47:49.561722,"(2.3, 2.8, 2.76)","(10.0, 18.0, 15.23076923076923)","(15.0, 48.0, 26.333333333333336)","(5.5, 11.5, 8.853846153846154)","(11.0, 23.0, 15.125)","(2.3, 3.35, 2.7722222222222226)"
09-01-2023 18:47:50.689216,"(2.3, 2.8, 2.76)","(10.0, 18.0, 15.23076923076923)","(15.0, 48.0, 26.333333333333336)","(5.5, 11.5, 8.853846153846154)","(11.0, 23.0, 15.125)","(2.3, 3.35, 2.7722222222222226)"
09-01-2023 18:47:51.912737,"(2.3, 2.8, 2.76)","(10.0, 18.0, 15.23076923076923)","(15.0, 48.0, 26.333333333333336)","(5.5, 11.5, 8.853846153846154)","(11.0, 23.0, 15.125)","(2.3, 3.35, 2.7722222222222226)"
09-01-2023 18:47:53.450693,"(2.3, 2.8, 2.76)","(10.0, 18.0, 15.23076923076923)","(15.0, 48.0, 26.333333333333336)","(5.5, 11.5, 8.853846153846154)","(11.0, 23.0, 15.125)","(2.3, 3.35, 2.7722222222222226)"
09-01-2023 18:47:54.695193,"(2.3, 2.8, 2.76)","(10.0, 18.0, 15.23076923076923)","(15.0, 48.0, 26.333333333333336)","(5.5, 11.5, 8.853846153846154)","(11.0, 23.0, 15.125)","(2.3, 3.35, 2.7722222222222226)"
09-01-2023 18:47:55.982654,"(2.3, 2.8, 2.5999999999999996)","(10.0, 18.0, 14.4)","(15.0, 48.0, 26.333333333333336)","(5.5, 11.5, 8.853846153846154)","(11.0, 23.0, 15.125)","(2.3, 3.35, 2.7722222222222226)"
09-01-2023 18:47:57.090100,"(2.3, 2.78, 2.5999999999999996)","(10.0, 18.0, 14.4)","(15.0, 48.0, 26.333333333333336)","(5.5, 11.5, 8.853846153846154)","(11.0, 23.0, 15.125)","(2.3, 3.35, 2.7722222222222226)"
09-01-2023 18:47:58.171460,"(2.3, 2.78, 2.586829268292683)","(10.0, 18.0, 15.23076923076923)","(15.0, 48.0, 26.333333333333336)","(5.5, 11.5, 8.227027027027027)","(11.0, 23.0, 15.125)","(2.3, 3.35, 2.7722222222222226)"
09-01-2023 18:47:59.271674,"(2.3, 2.78, 2.586829268292683)","(10.0, 18.0, 15.23076923076923)","(15.0, 48.0, 26.333333333333336)","(5.5, 11.0, 8.3)","(11.0, 23.0, 15.125)","(2.3, 3.35, 2.8666666666666667)"
09-01-2023 18:48:00.348635,"(2.3, 2.72, 2.702352941176471)","(10.0, 18.0, 15.23076923076923)","(15.0, 48.0, 26.333333333333336)","(5.5, 10.5, 9.95)","(11.0, 23.0, 15.125)","(2.3, 3.7, 2.7678571428571432)"
09-01-2023 18:48:01.385891,"(2.3, 2.72, 2.702352941176471)","(10.0, 18.0, 14.4)","(15.0, 48.0, 26.333333333333336)","(5.5, 10.0, 9.533333333333333)","(11.0, 23.0, 15.125)","(2.3, 3.65, 2.7678571428571432)"
09-01-2023 18:48:02.549914,"(2.3, 2.72, 2.7084615384615387)","(10.0, 18.0, 14.4)","(15.0, 48.0, 26.333333333333336)","(5.5, 10.0, 9.533333333333333)","(11.0, 23.0, 15.125)","(2.3, 3.65, 2.7678571428571432)"
09-01-2023 18:48:03.546677,"(2.3, 2.72, 2.7084615384615387)","(10.0, 18.0, 14.4)","(15.0, 48.0, 26.333333333333336)","(5.5, 10.0, 9.533333333333333)","(11.0, 23.0, 15.125)","(2.3, 3.65, 2.7678571428571432)"
09-01-2023 18:48:04.686934,"(2.3, 2.72, 2.7084615384615387)","(10.0, 18.0, 14.4)","(15.0, 48.0, 26.333333333333336)","(5.5, 10.0, 9.533333333333333)","(11.0, 23.0, 15.125)","(2.3, 3.65, 2.7678571428571432)"
09-01-2023 18:48:05.864294,"(2.3, 2.72, 2.702352941176471)","(10.0, 18.0, 14.4)","(15.0, 48.0, 26.333333333333336)","(5.5, 10.0, 9.533333333333333)","(11.0, 23.0, 15.125)","(2.3, 3.65, 2.7678571428571432)"
09-01-2023 18:48:06.960294,"(2.3, 2.72, 2.702352941176471)","(10.0, 18.0, 14.4)","(15.0, 48.0, 26.333333333333336)","(5.5, 10.0, 9.533333333333333)","(11.0, 23.0, 15.125)","(2.3, 3.65, 2.7678571428571432)"
09-01-2023 18:48:07.971472,"(2.3, 2.72, 2.702352941176471)","(10.0, 18.0, 14.4)","(15.0, 48.0, 26.333333333333336)","(5.5, 10.0, 9.533333333333333)","(11.0, 23.0, 15.125)","(2.3, 3.65, 2.7678571428571432)"
09-01-2023 18:48:08.968692,"(2.3, 2.72, 2.702352941176471)","(10.0, 18.0, 14.4)","(15.0, 48.0, 26.333333333333336)","(5.5, 10.0, 8.46923076923077)","(11.0, 23.0, 15.125)","(2.3, 3.65, 2.7678571428571432)"
09-01-2023 18:48:10.003443,"(2.3, 2.72, 2.702352941176471)","(10.0, 18.0, 14.4)","(15.0, 48.0, 26.333333333333336)","(5.5, 10.5, 8.3)","(11.0, 23.0, 15.125)","(2.3, 3.65, 2.7678571428571432)"
09-01-2023 18:48:11.316631,"(2.3, 2.72, 2.62)","(10.0, 18.0, 14.4)","(15.0, 48.0, 26.333333333333336)","(5.5, 10.5, 8.3)","(11.0, 23.0, 15.125)","(2.3, 3.65, 2.7678571428571432)"
09-01-2023 18:48:12.398319,"(2.3, 2.7, 2.606666666666667)","(10.0, 18.0, 14.4)","(15.0, 48.0, 26.333333333333336)","(5.5, 10.5, 8.3)","(11.0, 23.0, 15.125)","(2.3, 3.65, 2.7678571428571432)"
09-01-2023 18:48:13.411919,"(2.3, 2.7, 2.606666666666667)","(10.0, 18.0, 14.4)","(15.0, 48.0, 26.333333333333336)","(5.5, 10.5, 8.3)","(11.0, 23.0, 15.125)","(2.3, 3.65, 2.7678571428571432)"
09-01-2023 18:48:14.388897,"(2.3, 2.7, 2.606666666666667)","(10.0, 18.0, 14.4)","(15.0, 48.0, 26.333333333333336)","(5.5, 10.5, 8.3)","(11.0, 23.0, 15.125)","(2.3, 3.65, 2.7678571428571432)"
