,Bull Dimple Rum,Bullet Hero,Kobestar,Midnight Rambler,Scenic Rim,Hyde,Gunmetal Girl,Sumnamilla,Shadie Milly
07-01-2023 15:10:55.225912,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 13.125)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.54, 2.51)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:10:56.378464,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 13.125)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.54, 2.51)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:10:57.649310,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 13.125)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.54, 2.51)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:10:58.832934,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 13.125)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.54, 2.51)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:00.131997,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 13.125)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.54, 2.51)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:01.576523,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 13.125)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.54, 2.51)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:02.990273,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 13.125)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.54, 2.51)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:04.400594,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 13.125)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.54, 2.51)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:05.871892,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 13.125)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.54, 2.5576470588235294)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:07.286322,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 13.125)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.56, 2.5576470588235294)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:08.703025,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 13.125)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.56, 2.5576470588235294)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:10.094850,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 13.125)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.56, 2.5576470588235294)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:11.461491,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 13.125)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.56, 2.5576470588235294)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:12.759830,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 13.125)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.56, 2.5576470588235294)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:13.967459,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 13.125)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.56, 2.5576470588235294)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:15.277242,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 13.125)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.56, 2.5576470588235294)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:16.582623,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 13.125)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.56, 2.5576470588235294)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:17.834566,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 13.125)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.56, 2.5576470588235294)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:19.295863,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 13.125)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.56, 2.5576470588235294)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:20.757866,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 13.125)","(2.6, 3.7, 3.430769230769231)","(31.0, 42.0, 34.5)","(2.2, 2.56, 2.697142857142857)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:22.213804,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 12.5625)","(2.6, 3.7, 3.376470588235294)","(31.0, 42.0, 31.5)","(2.2, 2.76, 2.6479999999999997)","(13.0, 22.0, 20.8)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:23.727036,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 12.5625)","(2.6, 3.7, 3.376470588235294)","(31.0, 42.0, 31.5)","(2.2, 2.76, 2.6479999999999997)","(13.0, 22.0, 20.8)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:25.149532,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 12.5625)","(2.6, 3.7, 3.376470588235294)","(31.0, 42.0, 31.5)","(2.2, 2.76, 2.588888888888889)","(13.0, 22.0, 20.8)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:26.615741,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 12.5625)","(2.6, 3.7, 3.376470588235294)","(31.0, 42.0, 31.5)","(2.2, 2.76, 2.64)","(13.0, 22.0, 20.8)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:28.032434,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 12.5625)","(2.6, 3.7, 3.376470588235294)","(31.0, 42.0, 31.5)","(2.2, 2.74, 2.606666666666667)","(13.0, 22.0, 20.8)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:29.452250,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 12.5625)","(2.6, 3.7, 3.376470588235294)","(31.0, 42.0, 31.5)","(2.2, 2.74, 2.606666666666667)","(13.0, 22.0, 20.8)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:30.752560,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 12.5625)","(2.6, 3.7, 3.376470588235294)","(31.0, 42.0, 31.5)","(2.2, 2.74, 2.606666666666667)","(13.0, 22.0, 20.8)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:32.067855,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 12.5625)","(2.6, 3.7, 3.376470588235294)","(31.0, 42.0, 31.5)","(2.2, 2.74, 2.606666666666667)","(13.0, 22.0, 20.8)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:33.526161,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 12.5625)","(2.6, 3.7, 3.376470588235294)","(31.0, 42.0, 31.5)","(2.2, 2.74, 2.606666666666667)","(13.0, 22.0, 20.8)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:34.964446,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 12.5625)","(2.6, 3.7, 3.376470588235294)","(31.0, 42.0, 31.5)","(2.2, 2.74, 2.606666666666667)","(13.0, 22.0, 20.8)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:36.446314,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 12.5625)","(2.6, 3.7, 3.376470588235294)","(31.0, 42.0, 31.5)","(2.2, 2.74, 2.63)","(13.0, 22.0, 20.8)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:37.853215,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 12.5625)","(2.6, 3.7, 3.376470588235294)","(31.0, 42.0, 31.5)","(2.2, 2.72, 2.63)","(13.0, 22.0, 20.8)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:39.210397,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 12.5625)","(2.6, 3.7, 3.376470588235294)","(31.0, 42.0, 31.5)","(2.2, 2.72, 2.6810810810810812)","(13.0, 22.0, 20.8)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:40.511047,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 12.5625)","(2.6, 3.7, 3.376470588235294)","(31.0, 42.0, 31.5)","(2.2, 2.72, 2.6810810810810812)","(13.0, 22.0, 20.8)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:41.905123,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 12.5625)","(2.6, 3.7, 3.376470588235294)","(31.0, 42.0, 31.5)","(2.2, 2.72, 2.6810810810810812)","(13.0, 22.0, 20.8)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:43.263329,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 12.5625)","(2.6, 3.7, 3.376470588235294)","(31.0, 42.0, 31.5)","(2.2, 2.72, 2.6810810810810812)","(13.0, 22.0, 20.8)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:44.657998,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 12.5625)","(2.6, 3.7, 3.376470588235294)","(31.0, 42.0, 31.5)","(2.2, 2.72, 2.6981818181818182)","(13.0, 22.0, 20.8)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:46.133664,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 12.5625)","(2.6, 3.7, 3.376470588235294)","(31.0, 42.0, 31.5)","(2.2, 2.72, 2.6981818181818182)","(13.0, 22.0, 20.8)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:47.659077,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 12.5625)","(2.6, 3.7, 3.376470588235294)","(31.0, 42.0, 31.5)","(2.2, 2.72, 2.6981818181818182)","(13.0, 22.0, 20.8)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:49.202682,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 12.5625)","(2.6, 3.7, 3.376470588235294)","(31.0, 42.0, 31.5)","(2.2, 2.72, 2.6981818181818182)","(13.0, 22.0, 20.8)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:50.675712,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 12.5625)","(2.6, 3.7, 3.376470588235294)","(31.0, 42.0, 31.5)","(2.2, 2.72, 2.6981818181818182)","(13.0, 22.0, 20.8)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:52.130660,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 12.5625)","(2.6, 3.7, 3.376470588235294)","(31.0, 42.0, 31.5)","(2.2, 2.72, 2.6981818181818182)","(13.0, 22.0, 20.8)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:53.576062,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 12.5625)","(2.6, 3.7, 3.376470588235294)","(31.0, 42.0, 31.5)","(2.2, 2.72, 2.6981818181818182)","(13.0, 22.0, 20.8)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:55.045562,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 12.5625)","(2.6, 3.7, 3.376470588235294)","(31.0, 42.0, 31.5)","(2.2, 2.72, 2.6981818181818182)","(13.0, 22.0, 20.8)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:56.493111,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 12.5625)","(2.6, 3.7, 3.376470588235294)","(31.0, 42.0, 31.5)","(2.2, 2.72, 2.6981818181818182)","(13.0, 22.0, 20.8)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:57.883930,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 12.5625)","(2.6, 3.7, 3.376470588235294)","(31.0, 42.0, 31.5)","(2.2, 2.72, 2.6981818181818182)","(13.0, 22.0, 20.8)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:11:59.161866,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 12.5625)","(2.6, 3.7, 3.376470588235294)","(31.0, 42.0, 31.5)","(2.2, 2.72, 2.6981818181818182)","(13.0, 22.0, 20.8)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:12:00.522852,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 12.5625)","(2.6, 3.7, 3.376470588235294)","(31.0, 42.0, 31.5)","(2.2, 2.72, 2.6981818181818182)","(13.0, 22.0, 20.8)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:12:01.861674,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 12.5625)","(2.6, 3.7, 3.376470588235294)","(31.0, 42.0, 34.53333333333333)","(2.2, 2.72, 2.6981818181818182)","(13.0, 22.0, 20.8)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:12:03.256922,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 12.5625)","(2.6, 3.7, 3.376470588235294)","(31.0, 42.0, 34.53333333333333)","(2.2, 2.72, 2.6981818181818182)","(13.0, 22.0, 20.8)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:12:04.711682,"(21.0, 55.0, 35.0)","(31.0, 70.0, 52.0)","(10.0, 16.5, 12.5625)","(2.6, 3.7, 3.376470588235294)","(31.0, 42.0, 37.63636363636364)","(2.2, 2.72, 2.6981818181818182)","(13.0, 22.0, 20.8)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:12:06.194328,"(21.0, 55.0, 31.25)","(31.0, 70.0, 52.0)","(10.0, 16.5, 13.318181818181818)","(2.6, 3.7, 3.376470588235294)","(31.0, 42.0, 36.666666666666664)","(2.2, 2.72, 2.6981818181818182)","(13.0, 22.0, 20.8)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:12:07.827140,"(21.0, 50.0, 31.25)","(31.0, 70.0, 52.0)","(10.0, 16.5, 13.318181818181818)","(2.6, 3.7, 3.376470588235294)","(31.0, 42.0, 36.666666666666664)","(2.2, 2.72, 2.6981818181818182)","(13.0, 22.0, 20.8)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:12:09.255793,"(21.0, 50.0, 31.25)","(31.0, 70.0, 52.0)","(10.0, 16.5, 13.318181818181818)","(2.6, 3.7, 3.376470588235294)","(31.0, 42.0, 36.666666666666664)","(2.2, 2.72, 2.6981818181818182)","(13.0, 22.0, 20.8)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:12:10.720865,"(21.0, 50.0, 31.25)","(31.0, 70.0, 52.0)","(10.0, 16.5, 14.5)","(2.6, 3.7, 3.376470588235294)","(31.0, 42.0, 37.2)","(2.2, 2.72, 2.6981818181818182)","(13.0, 22.0, 20.8)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:12:12.115454,"(21.0, 50.0, 31.25)","(31.0, 70.0, 52.0)","(10.0, 16.0, 13.5)","(2.6, 3.7, 3.376470588235294)","(31.0, 40.0, 34.61538461538461)","(2.2, 2.72, 2.6981818181818182)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
07-01-2023 15:12:13.513100,"(21.0, 50.0, 31.25)","(31.0, 70.0, 52.0)","(10.0, 16.0, 13.5)","(2.6, 3.7, 3.376470588235294)","(31.0, 40.0, 34.61538461538461)","(2.2, 2.72, 2.6981818181818182)","(13.0, 22.0, 21.454545454545453)","(7.0, 9.0, 8.6)","(101.0, 220.0, 170.0)"
