,Stacked Deck,Moonlit Picture,Tranquil Ben,Skylahs Misfit,Little Gomez,Kingsbrae Anna,Mundy Valley,Leon Kingsbrae
12-01-2023 12:38:54.788304,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.582352941176471)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.8, 2.309090909090909)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:38:55.863171,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.582352941176471)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.8, 2.309090909090909)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:38:56.867192,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.582352941176471)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.8, 2.309090909090909)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:38:57.865500,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.582352941176471)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.8, 2.309090909090909)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:38:58.920735,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.582352941176471)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.8, 2.309090909090909)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:38:59.966232,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.5625)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.8, 2.309090909090909)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:01.005262,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.5625)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.8, 2.309090909090909)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:02.054937,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.5625)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.78, 2.307272727272727)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:03.138341,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.5625)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.78, 2.307272727272727)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:04.206393,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.5625)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.78, 2.307272727272727)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:05.211816,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.5625)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.76, 2.305454545454545)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:06.262102,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.5625)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.76, 2.305454545454545)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:07.324159,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.5625)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.76, 2.305454545454545)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:08.355719,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.5625)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.76, 2.305454545454545)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:09.385434,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.5625)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.76, 2.305454545454545)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:10.449379,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.5625)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.76, 2.305454545454545)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:11.559803,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.54)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.76, 2.305454545454545)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:12.741372,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 3.8600000000000003)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.76, 2.305454545454545)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:13.882245,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 3.8600000000000003)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.76, 2.305454545454545)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:14.937763,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 3.8600000000000003)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.76, 2.305454545454545)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:15.947574,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 3.8600000000000003)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.76, 2.305454545454545)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:17.026878,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 3.8600000000000003)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.76, 2.305454545454545)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:18.151886,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 3.8600000000000003)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.76, 2.305454545454545)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:19.285632,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 3.8600000000000003)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.76, 2.305454545454545)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:20.311500,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 3.8600000000000003)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.76, 2.305454545454545)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:21.352442,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 3.8600000000000003)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.76, 2.305454545454545)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:22.478319,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 3.8600000000000003)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.76, 2.305454545454545)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:23.562355,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 3.8600000000000003)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.76, 2.305454545454545)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:24.606131,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 3.8600000000000003)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.76, 2.305454545454545)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:25.587140,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 3.8600000000000003)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.76, 2.305454545454545)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:26.615079,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 3.8600000000000003)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.76, 2.305454545454545)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:27.748239,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 3.8600000000000003)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.76, 2.305454545454545)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:28.849891,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 3.8600000000000003)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.76, 2.305454545454545)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:29.916957,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 3.8600000000000003)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.76, 2.305454545454545)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:31.000202,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 3.8600000000000003)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.76, 2.305454545454545)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:32.100533,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 3.8600000000000003)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.76, 2.305454545454545)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:33.222843,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 3.8600000000000003)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.76, 2.3036363636363633)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:34.325569,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.185714285714286)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.74, 2.2828571428571425)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:35.387847,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.344444444444445)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.74, 2.2828571428571425)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:36.447413,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.344444444444445)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.74, 2.2828571428571425)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:37.555081,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.344444444444445)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.74, 2.2828571428571425)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:38.709660,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.344444444444445)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.74, 2.2828571428571425)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:39.837518,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.344444444444445)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.74, 2.2828571428571425)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:40.926019,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.344444444444445)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.74, 2.2828571428571425)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:41.973285,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.344444444444445)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.74, 2.2828571428571425)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:42.999903,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.344444444444445)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.74, 2.2828571428571425)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:44.089453,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.344444444444445)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.74, 2.2828571428571425)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:45.193460,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.344444444444445)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.74, 2.2828571428571425)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:46.219755,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.185714285714286)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.74, 2.2828571428571425)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:47.255121,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.185714285714286)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.74, 2.2828571428571425)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:48.406161,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.185714285714286)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.74, 2.2828571428571425)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:49.600808,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 4.185714285714286)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.74, 2.2828571428571425)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:50.761438,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 3.966666666666667)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.74, 2.2828571428571425)","(20.0, 70.0, 46.81818181818182)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:51.806450,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 3.966666666666667)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.74, 2.2828571428571425)","(20.0, 70.0, 53.5)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:52.843386,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 3.82)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.74, 2.2828571428571425)","(20.0, 65.0, 53.5)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:53.961483,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 3.82)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.74, 2.2828571428571425)","(20.0, 65.0, 53.5)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:55.029809,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 3.82)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.74, 2.2828571428571425)","(20.0, 65.0, 53.5)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:56.123269,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 3.82)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.74, 2.2828571428571425)","(20.0, 65.0, 53.5)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:57.172810,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 3.82)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.74, 2.2828571428571425)","(20.0, 65.0, 53.5)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:58.301236,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 3.82)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.74, 2.2828571428571425)","(20.0, 65.0, 53.5)","(26.0, 95.0, 40.6)"
12-01-2023 12:39:59.364537,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 3.82)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.74, 2.2828571428571425)","(20.0, 65.0, 53.5)","(26.0, 95.0, 40.6)"
12-01-2023 12:40:00.434642,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 3.82)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.74, 2.2828571428571425)","(20.0, 65.0, 53.5)","(26.0, 95.0, 40.6)"
12-01-2023 12:40:01.465690,"(8.0, 15.0, 13.866666666666667)","(3.0, 4.9, 3.82)","(11.0, 23.0, 21.625)","(31.0, 190.0, 98.3125)","(5.5, 12.0, 7.00909090909091)","(2.15, 2.74, 2.2828571428571425)","(20.0, 65.0, 53.5)","(26.0, 95.0, 40.6)"
