,Nicko Ed,Gucci Green,Saint Madix,Tiger Zoe,Eskimo Roger,Chloes Comet,Rebels Spark,Just Enough
05-01-2023 16:29:45.505071,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:29:46.564702,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:29:47.655495,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:29:48.847433,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:29:49.974969,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:29:51.174250,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:29:52.385552,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:29:53.485217,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:29:54.626933,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:29:55.674829,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:29:56.711865,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:29:57.903503,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:29:58.998336,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:30:00.291426,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:30:01.555377,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:30:02.773647,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:30:04.009533,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:30:05.202881,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:30:06.311375,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:30:07.373781,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
05-01-2023 16:30:08.389978,"(4.4, 7.2, 6.007692307692308)","(5.0, 8.8, 7.638297872340425)","(26.0, 100.0, 70.38461538461539)","(5.0, 9.4, 5.72)","(4.8, 9.8, 5.125)","(5.0, 9.0, 7.638095238095238)","(7.5, 14.5, 9.633333333333333)","(10.0, 24.0, 20.0)"
