,Raging Bull,Cuban Royale,Night Of Power,Vreneli,Bold Mac,Easifar,Niccis Fling,Silent Agenda
07-01-2023 14:07:11.712976,"(11.0, 15.0, 13.709302325581396)","(7.5, 11.0, 10.954545454545455)","(21.0, 38.0, 33.411764705882355)","(3.4, 4.0, 3.9722222222222223)","(3.9, 4.7, 4.655555555555556)","(10.0, 13.0, 12.65561224489796)","(10.0, 13.0, 12.849112426035504)","(5.5, 6.2, 6.004347826086957)"
07-01-2023 14:07:13.020872,"(11.0, 15.0, 13.709302325581396)","(7.5, 11.0, 10.956834532374101)","(21.0, 38.0, 33.411764705882355)","(3.4, 4.0, 3.9722222222222223)","(3.9, 4.7, 4.655555555555556)","(10.0, 13.0, 12.65561224489796)","(10.0, 13.0, 12.849112426035504)","(5.5, 6.2, 6.004347826086957)"
07-01-2023 14:07:14.275121,"(11.0, 15.0, 13.709302325581396)","(7.5, 11.0, 10.956834532374101)","(21.0, 38.0, 33.411764705882355)","(3.4, 4.0, 3.9571428571428573)","(3.9, 4.7, 4.655555555555556)","(10.0, 13.0, 12.65561224489796)","(10.0, 13.0, 12.849112426035504)","(5.5, 6.2, 6.121052631578947)"
07-01-2023 14:07:15.533878,"(11.0, 15.0, 13.709302325581396)","(7.5, 11.0, 10.826086956521738)","(21.0, 38.0, 33.411764705882355)","(3.4, 4.0, 4.0636363636363635)","(3.9, 4.7, 4.655555555555556)","(10.0, 13.0, 12.65561224489796)","(10.0, 13.0, 12.849112426035504)","(5.5, 6.2, 6.121052631578947)"
07-01-2023 14:07:16.792012,"(11.0, 15.0, 13.709302325581396)","(7.5, 11.0, 10.822784810126581)","(21.0, 38.0, 33.411764705882355)","(3.4, 4.1, 4.0636363636363635)","(3.9, 4.7, 4.655555555555556)","(10.0, 13.0, 12.65561224489796)","(10.0, 13.0, 12.849112426035504)","(5.5, 6.2, 6.121052631578947)"
07-01-2023 14:07:18.012993,"(11.0, 15.0, 13.709302325581396)","(7.5, 11.0, 10.822784810126581)","(21.0, 38.0, 33.411764705882355)","(3.4, 4.1, 4.0636363636363635)","(3.9, 4.7, 4.655555555555556)","(10.0, 13.0, 12.65561224489796)","(10.0, 13.0, 12.849112426035504)","(5.5, 6.2, 6.121052631578947)"
07-01-2023 14:07:19.283883,"(11.0, 15.0, 13.709302325581396)","(7.5, 11.0, 10.818181818181818)","(21.0, 38.0, 33.411764705882355)","(3.4, 4.1, 4.0636363636363635)","(3.9, 4.7, 4.75)","(10.0, 13.0, 12.65561224489796)","(10.0, 13.0, 12.849112426035504)","(5.5, 6.2, 6.121052631578947)"
07-01-2023 14:07:20.584089,"(11.0, 15.0, 13.709302325581396)","(7.5, 11.0, 10.818181818181818)","(21.0, 38.0, 33.411764705882355)","(3.4, 4.1, 4.0636363636363635)","(3.9, 5.0, 4.68)","(10.0, 13.0, 12.65561224489796)","(10.0, 13.0, 12.849112426035504)","(5.5, 6.2, 6.121052631578947)"
07-01-2023 14:07:21.973353,"(11.0, 15.0, 13.709302325581396)","(7.5, 11.0, 10.813333333333333)","(21.0, 38.0, 35.111111111111114)","(3.4, 4.1, 4.0636363636363635)","(3.9, 5.0, 4.778787878787879)","(10.0, 13.0, 12.65561224489796)","(10.0, 13.0, 12.849112426035504)","(5.5, 6.2, 6.121052631578947)"
07-01-2023 14:07:23.268390,"(11.0, 15.0, 13.709302325581396)","(7.5, 11.0, 10.813333333333333)","(21.0, 38.0, 34.94117647058823)","(3.4, 4.1, 4.085714285714285)","(3.9, 4.9, 4.684)","(10.0, 13.0, 12.65561224489796)","(10.0, 13.0, 12.849112426035504)","(5.5, 6.2, 6.121052631578947)"
07-01-2023 14:07:24.517597,"(11.0, 15.0, 13.709302325581396)","(7.5, 11.0, 10.813333333333333)","(21.0, 38.0, 34.94117647058823)","(3.4, 4.1, 4.085714285714285)","(3.9, 4.9, 4.684)","(10.0, 13.0, 12.65561224489796)","(10.0, 13.0, 12.849112426035504)","(5.5, 6.2, 6.121052631578947)"
07-01-2023 14:07:25.756599,"(11.0, 15.0, 13.709302325581396)","(7.5, 11.0, 10.813333333333333)","(21.0, 38.0, 34.94117647058823)","(3.4, 4.1, 3.9993421052631577)","(3.9, 4.9, 4.7875000000000005)","(10.0, 13.0, 12.65561224489796)","(10.0, 13.0, 12.849112426035504)","(5.5, 6.2, 6.173584905660378)"
07-01-2023 14:07:27.074465,"(11.0, 15.0, 13.709302325581396)","(7.5, 11.0, 10.813333333333333)","(21.0, 38.0, 34.94117647058823)","(3.4, 4.1, 3.9993421052631577)","(3.9, 4.9, 4.73)","(10.0, 13.0, 12.65561224489796)","(10.0, 13.0, 12.849112426035504)","(5.5, 6.2, 6.173584905660378)"
07-01-2023 14:07:28.363751,"(11.0, 15.0, 13.709302325581396)","(7.5, 11.0, 10.813333333333333)","(21.0, 38.0, 34.94117647058823)","(3.4, 4.1, 3.994642857142857)","(3.9, 4.9, 4.73)","(10.0, 13.0, 12.65561224489796)","(10.0, 13.0, 12.849112426035504)","(5.5, 6.2, 6.173584905660378)"
07-01-2023 14:07:29.481315,"(11.0, 15.0, 13.709302325581396)","(7.5, 11.0, 10.813333333333333)","(21.0, 38.0, 34.94117647058823)","(3.4, 4.0, 3.994642857142857)","(3.9, 4.9, 4.73)","(10.0, 13.0, 12.65561224489796)","(10.0, 13.0, 12.849112426035504)","(5.5, 6.2, 6.173584905660378)"
07-01-2023 14:07:30.690956,"(11.0, 15.0, 13.6125)","(7.5, 10.5, 10.294685990338165)","(21.0, 38.0, 34.94117647058823)","(3.4, 4.0, 3.994642857142857)","(3.9, 4.9, 4.73)","(10.0, 13.0, 12.65561224489796)","(10.0, 13.0, 12.849112426035504)","(5.5, 6.2, 6.17741935483871)"
07-01-2023 14:07:31.980886,"(11.0, 15.0, 13.6125)","(7.5, 10.5, 10.294685990338165)","(21.0, 38.0, 34.94117647058823)","(3.4, 4.0, 3.994642857142857)","(3.9, 4.9, 4.73)","(10.0, 13.0, 12.65561224489796)","(10.0, 13.0, 12.849112426035504)","(5.5, 6.2, 6.17741935483871)"
07-01-2023 14:07:33.223469,"(11.0, 15.0, 13.6125)","(7.5, 10.5, 10.294685990338165)","(21.0, 38.0, 34.24)","(3.4, 4.0, 3.9993506493506494)","(3.9, 4.9, 4.73)","(10.0, 13.0, 12.65561224489796)","(10.0, 13.0, 12.203703703703704)","(5.5, 6.2, 6.17741935483871)"
07-01-2023 14:07:34.393173,"(11.0, 15.0, 13.6125)","(7.5, 10.5, 10.294685990338165)","(21.0, 36.0, 32.48)","(3.4, 4.0, 3.9993506493506494)","(3.9, 4.9, 4.73)","(10.0, 13.0, 12.65561224489796)","(10.0, 12.5, 12.203703703703704)","(5.5, 6.2, 6.17741935483871)"
07-01-2023 14:07:35.582864,"(11.0, 15.0, 13.6125)","(7.5, 10.5, 10.294685990338165)","(21.0, 36.0, 32.48)","(3.4, 4.0, 3.9993506493506494)","(3.9, 4.9, 4.73)","(10.0, 13.0, 12.65561224489796)","(10.0, 12.5, 12.203703703703704)","(5.5, 6.2, 6.17741935483871)"
07-01-2023 14:07:36.812284,"(11.0, 15.0, 13.6125)","(7.5, 10.5, 10.294685990338165)","(21.0, 36.0, 32.48)","(3.4, 4.0, 3.9993506493506494)","(3.9, 4.9, 4.557142857142857)","(10.0, 13.0, 12.318181818181818)","(10.0, 12.5, 12.203703703703704)","(5.5, 6.2, 6.17741935483871)"
07-01-2023 14:07:38.001727,"(11.0, 15.0, 13.6125)","(7.5, 10.5, 10.294685990338165)","(21.0, 36.0, 32.48)","(3.4, 4.0, 3.9993506493506494)","(3.9, 4.6, 4.62972972972973)","(10.0, 13.0, 12.318181818181818)","(10.0, 12.5, 12.103174603174603)","(5.5, 6.2, 6.179411764705883)"
07-01-2023 14:07:39.270543,"(11.0, 15.0, 13.6125)","(7.5, 10.5, 10.275132275132275)","(21.0, 36.0, 32.48)","(3.4, 4.0, 3.9993506493506494)","(3.9, 4.9, 4.62972972972973)","(10.0, 13.0, 12.318181818181818)","(10.0, 12.5, 12.103174603174603)","(5.5, 6.2, 6.179411764705883)"
07-01-2023 14:07:40.545674,"(11.0, 15.0, 13.6125)","(7.5, 10.5, 10.275132275132275)","(21.0, 36.0, 32.48)","(3.4, 4.0, 3.9993506493506494)","(3.9, 4.9, 4.7125)","(10.0, 13.0, 12.318181818181818)","(10.0, 12.5, 12.103174603174603)","(5.5, 6.2, 6.179411764705883)"
07-01-2023 14:07:41.837213,"(11.0, 15.0, 13.6125)","(7.5, 10.5, 10.275132275132275)","(21.0, 36.0, 32.48)","(3.4, 4.0, 3.9993506493506494)","(3.9, 4.9, 4.7125)","(10.0, 13.0, 12.318181818181818)","(10.0, 12.5, 12.103174603174603)","(5.5, 6.2, 6.179411764705883)"
07-01-2023 14:07:43.161974,"(11.0, 15.0, 13.6125)","(7.5, 10.5, 10.275132275132275)","(21.0, 36.0, 32.48)","(3.4, 4.0, 3.9993506493506494)","(3.9, 4.9, 4.66)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.5, 12.103174603174603)","(5.5, 6.2, 6.179411764705883)"
07-01-2023 14:07:44.494613,"(11.0, 15.0, 13.6125)","(7.5, 10.5, 10.255747126436782)","(21.0, 36.0, 32.48)","(3.4, 4.0, 3.9993506493506494)","(3.9, 4.7, 4.68019801980198)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.5, 12.103174603174603)","(5.5, 6.2, 6.179411764705883)"
07-01-2023 14:07:45.790775,"(11.0, 15.0, 13.6125)","(7.5, 10.5, 10.255747126436782)","(21.0, 36.0, 32.48)","(3.4, 4.0, 3.9993506493506494)","(3.9, 4.7, 4.68019801980198)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.5, 12.103174603174603)","(5.5, 6.2, 6.179411764705883)"
07-01-2023 14:07:46.996879,"(11.0, 15.0, 13.6125)","(7.5, 10.5, 10.255747126436782)","(21.0, 36.0, 32.48)","(3.4, 4.0, 3.9993506493506494)","(3.9, 4.7, 4.68019801980198)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.5, 12.103174603174603)","(5.5, 6.2, 6.179411764705883)"
07-01-2023 14:07:48.418184,"(11.0, 15.0, 13.6125)","(7.5, 10.5, 10.255747126436782)","(21.0, 36.0, 32.48)","(3.4, 4.0, 3.9993506493506494)","(3.9, 4.7, 4.68019801980198)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.5, 12.103174603174603)","(5.5, 6.2, 6.179411764705883)"
07-01-2023 14:07:49.889573,"(11.0, 15.0, 13.6125)","(7.5, 10.5, 10.255747126436782)","(21.0, 36.0, 32.48)","(3.4, 4.0, 4.031428571428571)","(3.9, 4.7, 4.657798165137614)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.5, 12.207602339181287)","(5.5, 6.2, 6.179411764705883)"
07-01-2023 14:07:51.239343,"(11.0, 15.0, 13.6125)","(7.5, 10.5, 10.255747126436782)","(21.0, 36.0, 32.48)","(3.4, 4.1, 4.031428571428571)","(3.9, 4.9, 4.58348623853211)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.5, 12.1875)","(5.5, 6.2, 6.179411764705883)"
07-01-2023 14:07:52.508010,"(11.0, 15.0, 13.6125)","(7.5, 10.5, 10.255747126436782)","(21.0, 36.0, 32.48)","(3.4, 4.1, 4.07391304347826)","(3.9, 4.6, 4.586666666666666)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.5, 12.1875)","(5.5, 6.2, 6.179411764705883)"
07-01-2023 14:07:53.811734,"(11.0, 15.0, 13.6125)","(7.5, 10.5, 10.255747126436782)","(21.0, 36.0, 27.53846153846154)","(3.4, 4.1, 4.07391304347826)","(3.9, 4.6, 4.586666666666666)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.5, 12.1875)","(5.5, 6.2, 6.229166666666667)"
07-01-2023 14:07:55.121499,"(11.0, 15.0, 13.6125)","(7.5, 10.5, 10.248520710059172)","(21.0, 36.0, 27.53846153846154)","(3.4, 4.1, 4.07391304347826)","(3.9, 4.6, 4.5919191919191915)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.5, 12.1875)","(5.5, 6.4, 6.23921568627451)"
07-01-2023 14:07:56.475988,"(11.0, 15.0, 13.576923076923077)","(7.5, 10.5, 10.248520710059172)","(21.0, 36.0, 33.0)","(3.4, 4.1, 4.07391304347826)","(3.9, 4.6, 4.5919191919191915)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.5, 12.1875)","(5.5, 6.4, 6.23921568627451)"
07-01-2023 14:07:57.783022,"(11.0, 15.0, 13.576923076923077)","(7.5, 10.5, 10.248520710059172)","(21.0, 34.0, 32.4)","(3.4, 4.1, 4.07391304347826)","(3.9, 4.6, 4.5919191919191915)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.5, 12.1875)","(5.5, 6.4, 6.23921568627451)"
07-01-2023 14:07:59.131244,"(11.0, 15.0, 13.576923076923077)","(7.5, 10.5, 10.248520710059172)","(21.0, 34.0, 32.2)","(3.4, 4.1, 4.07391304347826)","(3.9, 4.6, 4.5919191919191915)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.5, 12.1875)","(5.5, 6.4, 6.23921568627451)"
07-01-2023 14:08:00.530065,"(11.0, 15.0, 13.576923076923077)","(7.5, 10.5, 10.248520710059172)","(21.0, 34.0, 32.4)","(3.4, 4.1, 4.07391304347826)","(3.9, 4.6, 4.5919191919191915)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.5, 12.1875)","(5.5, 6.4, 6.23921568627451)"
07-01-2023 14:08:01.931709,"(11.0, 15.0, 13.576923076923077)","(7.5, 10.5, 10.248520710059172)","(21.0, 34.0, 32.4)","(3.4, 4.1, 4.07391304347826)","(3.9, 4.6, 4.5919191919191915)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.5, 12.1875)","(5.5, 6.4, 6.23921568627451)"
07-01-2023 14:08:03.277402,"(11.0, 15.0, 13.576923076923077)","(7.5, 10.5, 10.248520710059172)","(21.0, 34.0, 32.4)","(3.4, 4.1, 4.07391304347826)","(3.9, 4.6, 4.5919191919191915)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.5, 12.1875)","(5.5, 6.4, 6.23921568627451)"
07-01-2023 14:08:04.566808,"(11.0, 15.0, 13.576923076923077)","(7.5, 10.5, 10.248520710059172)","(21.0, 34.0, 32.4)","(3.4, 4.1, 4.077070063694268)","(3.9, 4.6, 4.679591836734694)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.5, 11.985943775100402)","(5.5, 6.4, 6.23921568627451)"
07-01-2023 14:08:05.932515,"(11.0, 15.0, 13.576923076923077)","(7.5, 10.5, 10.248520710059172)","(21.0, 34.0, 32.4)","(3.4, 4.1, 4.077070063694268)","(3.9, 4.7, 4.679591836734694)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.0, 11.985943775100402)","(5.5, 6.4, 6.23921568627451)"
07-01-2023 14:08:07.376163,"(11.0, 15.0, 13.576923076923077)","(7.5, 10.5, 10.15725806451613)","(21.0, 34.0, 32.4)","(3.4, 4.1, 4.077070063694268)","(3.9, 4.7, 4.679591836734694)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.0, 11.985943775100402)","(5.5, 6.4, 6.23921568627451)"
07-01-2023 14:08:09.052099,"(11.0, 15.0, 13.576923076923077)","(7.5, 10.5, 10.20890410958904)","(21.0, 34.0, 32.4)","(3.4, 4.1, 4.077070063694268)","(3.9, 4.7, 4.679591836734694)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.0, 11.985943775100402)","(5.5, 6.4, 6.23921568627451)"
07-01-2023 14:08:10.540672,"(11.0, 15.0, 13.576923076923077)","(7.5, 10.5, 10.20890410958904)","(21.0, 34.0, 32.4)","(3.4, 4.1, 4.079831932773109)","(3.9, 4.7, 4.679591836734694)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.0, 11.985943775100402)","(5.5, 6.4, 6.23921568627451)"
07-01-2023 14:08:11.995628,"(11.0, 15.0, 13.576923076923077)","(7.5, 10.5, 10.20890410958904)","(21.0, 34.0, 32.4)","(3.4, 4.1, 4.079831932773109)","(3.9, 4.7, 4.679591836734694)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.0, 11.985943775100402)","(5.5, 6.4, 6.23921568627451)"
07-01-2023 14:08:13.272139,"(11.0, 15.0, 13.576923076923077)","(7.5, 10.5, 10.20890410958904)","(21.0, 34.0, 32.4)","(3.4, 4.1, 4.079831932773109)","(3.9, 4.7, 4.679591836734694)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.0, 11.985943775100402)","(5.5, 6.4, 6.23921568627451)"
07-01-2023 14:08:14.460153,"(11.0, 15.0, 13.576923076923077)","(7.5, 10.5, 10.20890410958904)","(21.0, 34.0, 32.2)","(3.4, 4.1, 4.047252747252747)","(3.9, 4.7, 4.67979797979798)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.0, 11.985943775100402)","(5.5, 6.4, 6.23921568627451)"
07-01-2023 14:08:15.691065,"(11.0, 15.0, 13.576923076923077)","(7.5, 10.5, 10.20890410958904)","(21.0, 30.0, 27.5)","(3.4, 4.1, 4.056756756756757)","(3.9, 4.7, 4.67979797979798)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.0, 11.985943775100402)","(5.5, 6.4, 6.23921568627451)"
07-01-2023 14:08:17.063542,"(11.0, 15.0, 13.576923076923077)","(7.5, 10.5, 10.20890410958904)","(21.0, 30.0, 27.5)","(3.4, 4.1, 4.056756756756757)","(3.9, 4.7, 4.67979797979798)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.0, 11.985943775100402)","(5.5, 6.4, 6.23921568627451)"
07-01-2023 14:08:18.276014,"(11.0, 15.0, 13.576923076923077)","(7.5, 10.5, 10.20890410958904)","(21.0, 30.0, 27.0)","(3.4, 4.1, 4.056756756756757)","(3.9, 4.7, 4.67979797979798)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.0, 11.985943775100402)","(5.5, 6.4, 6.23921568627451)"
07-01-2023 14:08:19.590169,"(11.0, 14.5, 13.51980198019802)","(7.5, 10.5, 10.20890410958904)","(21.0, 30.0, 25.5)","(3.4, 4.1, 4.056756756756757)","(3.9, 4.7, 4.67979797979798)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.0, 11.985943775100402)","(5.5, 6.4, 6.23921568627451)"
07-01-2023 14:08:20.866330,"(11.0, 14.5, 13.51980198019802)","(7.5, 10.5, 10.20890410958904)","(21.0, 27.0, 25.5)","(3.4, 4.1, 4.056756756756757)","(3.9, 4.7, 4.67979797979798)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.0, 11.985943775100402)","(5.5, 6.4, 6.23921568627451)"
07-01-2023 14:08:22.148628,"(11.0, 14.5, 13.51980198019802)","(7.5, 10.5, 10.20890410958904)","(21.0, 27.0, 25.5)","(3.4, 4.1, 4.056756756756757)","(3.9, 4.7, 4.67979797979798)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.0, 11.985943775100402)","(5.5, 6.4, 6.23921568627451)"
07-01-2023 14:08:23.513249,"(11.0, 14.5, 13.51980198019802)","(7.5, 10.5, 10.20890410958904)","(21.0, 27.0, 25.72222222222222)","(3.4, 4.1, 4.055752212389381)","(3.9, 4.7, 4.67979797979798)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.0, 11.985943775100402)","(5.5, 6.4, 6.23921568627451)"
07-01-2023 14:08:24.744279,"(11.0, 14.5, 13.51980198019802)","(7.0, 10.5, 10.20890410958904)","(21.0, 26.0, 25.72222222222222)","(3.4, 4.1, 4.055752212389381)","(3.9, 4.7, 4.67979797979798)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.0, 11.985943775100402)","(5.5, 6.4, 6.252032520325203)"
07-01-2023 14:08:25.973154,"(11.0, 14.5, 13.51980198019802)","(7.0, 10.5, 10.20890410958904)","(21.0, 30.0, 27.77777777777778)","(3.4, 4.1, 4.055752212389381)","(3.9, 4.7, 4.67979797979798)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.0, 11.985943775100402)","(5.5, 6.6, 6.252032520325203)"
07-01-2023 14:08:27.249965,"(11.0, 14.5, 13.51980198019802)","(7.0, 10.5, 10.20890410958904)","(21.0, 30.0, 27.77777777777778)","(3.4, 4.1, 4.055752212389381)","(3.9, 4.7, 4.67979797979798)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.0, 11.985943775100402)","(5.5, 6.6, 6.327388535031847)"
07-01-2023 14:08:28.506037,"(11.0, 14.0, 13.972332015810277)","(7.0, 10.5, 10.20890410958904)","(21.0, 30.0, 27.77777777777778)","(3.4, 4.1, 4.055752212389381)","(3.9, 4.7, 4.67979797979798)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.0, 11.985943775100402)","(5.5, 6.6, 6.327388535031847)"
07-01-2023 14:08:29.950333,"(11.0, 14.0, 13.972332015810277)","(7.0, 10.5, 10.20890410958904)","(21.0, 30.0, 27.77777777777778)","(3.4, 4.1, 4.055752212389381)","(3.9, 4.7, 4.67979797979798)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.0, 11.985943775100402)","(5.5, 6.6, 6.327388535031847)"
07-01-2023 14:08:31.341844,"(11.0, 14.0, 13.972332015810277)","(7.0, 10.5, 10.20890410958904)","(21.0, 30.0, 27.77777777777778)","(3.4, 4.1, 4.055752212389381)","(3.9, 4.7, 4.67979797979798)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.0, 11.985943775100402)","(5.5, 6.6, 6.327388535031847)"
07-01-2023 14:08:32.546942,"(11.0, 14.0, 13.972332015810277)","(7.0, 10.5, 10.20890410958904)","(21.0, 30.0, 27.77777777777778)","(3.4, 4.1, 4.055752212389381)","(3.9, 4.7, 4.67979797979798)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.0, 11.985943775100402)","(5.5, 6.6, 6.327388535031847)"
07-01-2023 14:08:34.057726,"(11.0, 14.0, 13.972332015810277)","(7.0, 10.5, 10.20890410958904)","(21.0, 30.0, 27.77777777777778)","(3.4, 4.1, 4.055752212389381)","(3.9, 4.7, 4.67979797979798)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.0, 11.985943775100402)","(5.5, 6.6, 6.327388535031847)"
07-01-2023 14:08:35.452486,"(11.0, 14.0, 13.972332015810277)","(7.0, 10.5, 10.20890410958904)","(21.0, 30.0, 27.77777777777778)","(3.4, 4.1, 4.055752212389381)","(3.9, 4.7, 4.67979797979798)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.0, 11.985943775100402)","(5.5, 6.6, 6.325641025641025)"
07-01-2023 14:08:36.595146,"(11.0, 14.0, 13.972332015810277)","(7.0, 10.5, 10.20890410958904)","(21.0, 30.0, 27.77777777777778)","(3.4, 4.1, 4.055752212389381)","(3.9, 4.7, 4.67979797979798)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.0, 11.985943775100402)","(5.5, 6.6, 6.29645390070922)"
07-01-2023 14:08:38.138384,"(11.0, 14.0, 13.972332015810277)","(7.0, 10.5, 10.20890410958904)","(21.0, 30.0, 27.77777777777778)","(3.4, 4.1, 4.055752212389381)","(3.9, 4.7, 4.675308641975309)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.0, 11.985943775100402)","(5.5, 6.6, 6.29645390070922)"
07-01-2023 14:08:39.455429,"(11.0, 14.0, 13.972332015810277)","(7.5, 10.5, 10.20890410958904)","(21.0, 30.0, 28.57142857142857)","(3.4, 4.1, 4.055752212389381)","(3.9, 4.7, 4.675308641975309)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.0, 11.985943775100402)","(5.5, 6.6, 6.29645390070922)"
07-01-2023 14:08:41.100947,"(11.0, 14.0, 13.972332015810277)","(7.5, 10.5, 10.20890410958904)","(21.0, 30.0, 28.57142857142857)","(3.4, 4.1, 4.01203007518797)","(3.9, 4.7, 4.675308641975309)","(10.0, 13.0, 12.347826086956522)","(10.0, 12.0, 11.985943775100402)","(5.5, 6.6, 6.29645390070922)"
