,Byron,Excelladus,New Tycoon,Divine Breath,Lovetheinvasion,Baranof,Bluff N Bluster,Straya Pride,The Carpet Bagger,Weekend Affair
07-01-2023 12:59:26.709000,"(6.5, 7.8, 7.673809523809523)","(3.5, 4.1, 4.030094786729857)","(31.0, 60.0, 50.212765957446805)","(6.5, 7.4, 7.366101694915255)","(7.5, 8.8, 8.727868852459016)","(8.5, 11.5, 11.048387096774194)","(5.5, 7.0, 6.915111695137976)","(61.0, 80.0, 77.27272727272727)","(17.0, 24.0, 23.88679245283019)","(20.0, 23.0, 22.903225806451612)"
07-01-2023 12:59:27.966183,"(6.5, 7.8, 7.673809523809523)","(3.5, 4.1, 3.9853626943005183)","(31.0, 60.0, 50.212765957446805)","(6.5, 7.4, 7.366101694915255)","(7.5, 8.8, 8.750909090909092)","(8.5, 11.5, 11.147058823529411)","(5.5, 7.0, 6.914550264550265)","(61.0, 80.0, 77.27272727272727)","(17.0, 24.0, 23.88679245283019)","(20.0, 23.0, 22.903225806451612)"
07-01-2023 12:59:29.318880,"(6.5, 7.8, 7.673809523809523)","(3.5, 4.1, 3.992)","(31.0, 60.0, 50.8)","(6.5, 7.4, 7.366101694915255)","(7.5, 8.8, 8.750909090909092)","(8.5, 11.5, 11.147058823529411)","(5.5, 7.0, 6.917811704834605)","(61.0, 80.0, 77.85714285714286)","(17.0, 24.0, 23.88679245283019)","(20.0, 23.0, 22.903225806451612)"
07-01-2023 12:59:30.542620,"(6.5, 7.8, 7.673809523809523)","(3.5, 3.95, 3.941851441241685)","(31.0, 60.0, 50.8)","(6.5, 7.4, 7.368085106382979)","(7.5, 8.8, 8.769655172413794)","(8.5, 11.5, 11.147058823529411)","(5.5, 7.0, 6.917811704834605)","(61.0, 80.0, 77.85714285714286)","(17.0, 24.0, 23.88679245283019)","(20.0, 23.0, 22.903225806451612)"
07-01-2023 12:59:31.886053,"(6.5, 7.8, 7.673809523809523)","(3.5, 3.95, 3.941851441241685)","(31.0, 60.0, 50.8)","(6.5, 7.4, 7.372602739726028)","(7.5, 8.8, 8.777777777777777)","(8.5, 11.5, 11.202970297029703)","(5.5, 7.0, 6.92291169451074)","(61.0, 80.0, 77.85714285714286)","(17.0, 24.0, 23.88679245283019)","(20.0, 23.0, 23.85)"
07-01-2023 12:59:33.239319,"(6.5, 7.8, 7.673809523809523)","(3.5, 3.95, 3.9423834196891194)","(31.0, 60.0, 52.698412698412696)","(6.5, 7.4, 7.372602739726028)","(7.5, 9.0, 8.833333333333334)","(8.5, 11.5, 10.995901639344263)","(5.5, 7.0, 6.92291169451074)","(61.0, 80.0, 77.27272727272727)","(17.0, 24.0, 23.88679245283019)","(20.0, 24.0, 23.925925925925927)"
07-01-2023 12:59:34.513018,"(6.5, 7.8, 7.673809523809523)","(3.5, 3.95, 3.9352385238523855)","(31.0, 60.0, 53.521126760563384)","(6.5, 7.4, 7.371428571428572)","(7.5, 9.0, 8.833333333333334)","(8.5, 11.5, 10.794117647058824)","(5.5, 7.0, 6.919451371571072)","(61.0, 80.0, 77.27272727272727)","(17.0, 24.0, 23.440677966101696)","(20.0, 24.0, 23.925925925925927)"
07-01-2023 12:59:35.689528,"(6.5, 7.8, 7.673809523809523)","(3.5, 4.1, 4.01413612565445)","(31.0, 60.0, 53.521126760563384)","(6.5, 7.4, 7.371428571428572)","(7.5, 9.0, 8.859375)","(8.5, 11.0, 10.805555555555555)","(5.5, 7.0, 6.919451371571072)","(61.0, 80.0, 77.27272727272727)","(17.0, 24.0, 23.440677966101696)","(20.0, 24.0, 23.925925925925927)"
07-01-2023 12:59:36.956037,"(6.5, 7.8, 7.673809523809523)","(3.5, 4.1, 4.01413612565445)","(31.0, 60.0, 53.521126760563384)","(6.5, 7.4, 7.371428571428572)","(7.5, 9.0, 8.859375)","(8.5, 11.0, 10.778947368421052)","(5.5, 7.0, 6.919451371571072)","(61.0, 80.0, 77.27272727272727)","(17.0, 24.0, 23.88)","(20.0, 24.0, 23.925925925925927)"
07-01-2023 12:59:38.283580,"(6.5, 7.8, 7.611610486891386)","(3.5, 4.1, 3.9889390519187358)","(31.0, 60.0, 53.521126760563384)","(6.5, 7.4, 7.715837104072398)","(7.5, 9.0, 8.859375)","(8.5, 11.0, 10.791666666666666)","(5.5, 7.0, 6.919451371571072)","(61.0, 80.0, 77.27272727272727)","(17.0, 24.0, 23.88)","(20.0, 24.0, 24.724137931034484)"
07-01-2023 12:59:39.817677,"(6.5, 7.8, 7.610902255639098)","(3.5, 4.1, 3.9955357142857144)","(31.0, 60.0, 53.37837837837838)","(6.5, 7.8, 7.790673575129533)","(7.5, 9.0, 8.786363636363637)","(8.5, 11.0, 11.0)","(5.5, 7.0, 6.925557011795544)","(61.0, 80.0, 77.27272727272727)","(17.0, 24.0, 23.892857142857142)","(20.0, 25.0, 24.724137931034484)"
07-01-2023 12:59:41.108926,"(6.5, 7.8, 7.610902255639098)","(3.5, 4.0, 3.9955357142857144)","(31.0, 60.0, 53.37837837837838)","(6.5, 7.8, 7.7910891089108905)","(7.5, 8.8, 8.77062937062937)","(8.5, 11.5, 11.0)","(5.5, 7.0, 6.924668435013262)","(61.0, 80.0, 77.27272727272727)","(17.0, 24.0, 23.892857142857142)","(20.0, 25.0, 24.737704918032787)"
07-01-2023 12:59:42.327947,"(6.5, 7.8, 7.610902255639098)","(3.5, 4.0, 3.9955357142857144)","(31.0, 60.0, 53.37837837837838)","(6.5, 7.8, 7.7910891089108905)","(7.5, 8.8, 8.77062937062937)","(8.5, 11.5, 11.0)","(5.5, 7.0, 6.924668435013262)","(61.0, 80.0, 77.27272727272727)","(17.0, 24.0, 23.88679245283019)","(20.0, 25.0, 24.737704918032787)"
07-01-2023 12:59:43.503419,"(6.5, 7.8, 7.610902255639098)","(3.5, 3.95, 3.943372216330859)","(31.0, 60.0, 53.521126760563384)","(6.5, 7.8, 7.769230769230769)","(7.5, 8.8, 8.738235294117647)","(8.5, 11.5, 11.004347826086956)","(5.5, 7.0, 6.924668435013262)","(61.0, 80.0, 77.27272727272727)","(17.0, 24.0, 23.892857142857142)","(20.0, 25.0, 24.737704918032787)"
07-01-2023 12:59:44.774176,"(6.5, 7.8, 7.610902255639098)","(3.5, 3.95, 3.934543125533732)","(31.0, 60.0, 53.94736842105263)","(6.5, 7.6, 7.491139240506329)","(7.5, 8.8, 8.738235294117647)","(8.5, 11.5, 10.91139240506329)","(5.5, 7.0, 6.924668435013262)","(61.0, 80.0, 77.27272727272727)","(17.0, 24.0, 23.2)","(20.0, 25.0, 24.737704918032787)"
07-01-2023 12:59:45.968781,"(6.5, 7.8, 7.622304832713755)","(3.5, 3.95, 3.9298888888888888)","(31.0, 60.0, 53.94736842105263)","(6.5, 7.6, 7.530645161290322)","(7.5, 8.8, 8.7)","(8.5, 11.0, 10.91139240506329)","(5.5, 7.0, 6.923139377537212)","(61.0, 80.0, 77.27272727272727)","(17.0, 24.0, 23.2)","(20.0, 25.0, 24.737704918032787)"
07-01-2023 12:59:47.332438,"(6.5, 7.8, 7.633140655105973)","(3.5, 3.95, 3.9258992805755395)","(31.0, 60.0, 53.611111111111114)","(6.5, 7.6, 7.530645161290322)","(7.5, 8.8, 8.898507462686567)","(8.5, 11.0, 10.797297297297296)","(5.5, 7.0, 6.923139377537212)","(61.0, 80.0, 84.23076923076923)","(17.0, 24.0, 23.2)","(20.0, 25.0, 24.737704918032787)"
07-01-2023 12:59:48.552847,"(6.5, 7.8, 7.466281310211946)","(3.5, 3.95, 3.9258992805755395)","(31.0, 60.0, 53.611111111111114)","(6.5, 7.6, 7.530645161290322)","(7.5, 9.0, 8.898507462686567)","(8.5, 11.5, 10.744444444444444)","(5.5, 7.0, 6.908462455303933)","(61.0, 90.0, 84.23076923076923)","(17.0, 24.0, 23.2)","(20.0, 25.0, 24.737704918032787)"
07-01-2023 12:59:49.803072,"(6.5, 7.8, 7.466281310211946)","(3.5, 3.95, 3.9073378839590442)","(31.0, 60.0, 53.611111111111114)","(6.5, 7.6, 7.548502994011976)","(7.5, 9.0, 8.898507462686567)","(8.5, 11.5, 10.744444444444444)","(5.5, 7.0, 6.908462455303933)","(61.0, 90.0, 84.23076923076923)","(17.0, 24.0, 23.2)","(20.0, 25.0, 24.737704918032787)"
07-01-2023 12:59:51.033837,"(6.5, 7.8, 7.466281310211946)","(3.5, 3.95, 3.9023474178403754)","(31.0, 60.0, 53.94736842105263)","(6.5, 7.6, 7.557635467980296)","(7.5, 8.6, 8.445962732919256)","(8.5, 11.5, 10.803571428571429)","(5.5, 7.0, 6.896911608093717)","(61.0, 90.0, 84.23076923076923)","(17.0, 24.0, 23.2)","(20.0, 25.0, 24.737704918032787)"
07-01-2023 12:59:52.497315,"(6.5, 7.8, 7.466281310211946)","(3.5, 3.95, 3.888870568837593)","(31.0, 60.0, 53.94736842105263)","(6.5, 7.6, 7.559813084112149)","(7.5, 8.6, 8.443274853801169)","(8.5, 11.5, 10.722222222222221)","(5.5, 7.0, 6.896911608093717)","(61.0, 90.0, 85.0)","(17.0, 24.0, 23.2)","(20.0, 25.0, 24.737704918032787)"
07-01-2023 12:59:53.799588,"(6.5, 7.8, 7.466281310211946)","(3.5, 3.9, 3.891939769707706)","(31.0, 60.0, 53.03030303030303)","(6.5, 7.6, 7.559813084112149)","(7.5, 8.6, 8.440883977900553)","(8.5, 11.5, 10.950980392156863)","(5.5, 7.0, 6.896911608093717)","(61.0, 90.0, 85.0)","(17.0, 24.0, 23.2)","(20.0, 25.0, 24.737704918032787)"
07-01-2023 12:59:55.466593,"(6.5, 7.8, 7.462431941923775)","(3.5, 3.9, 3.8930592396109636)","(31.0, 60.0, 53.03030303030303)","(6.5, 7.6, 7.559813084112149)","(7.5, 8.6, 8.438743455497383)","(8.5, 11.5, 10.794871794871796)","(5.5, 7.0, 6.896911608093717)","(61.0, 90.0, 85.0)","(17.0, 24.0, 24.84)","(20.0, 25.0, 25.898089171974522)"
07-01-2023 12:59:56.699435,"(6.5, 7.8, 7.466281310211946)","(3.5, 3.9, 3.893040780141844)","(31.0, 60.0, 53.03030303030303)","(6.5, 7.6, 7.548502994011976)","(7.5, 8.6, 8.414117647058823)","(8.5, 11.5, 10.916666666666666)","(5.5, 7.0, 6.898850574712643)","(61.0, 90.0, 85.0)","(17.0, 25.0, 23.21276595744681)","(20.0, 26.0, 25.833333333333332)"
07-01-2023 12:59:57.950849,"(6.5, 7.8, 7.466281310211946)","(3.5, 3.9, 3.8969407265774376)","(31.0, 60.0, 53.03030303030303)","(6.5, 7.6, 7.548502994011976)","(7.5, 8.6, 8.414117647058823)","(8.5, 11.5, 10.916666666666666)","(5.5, 7.0, 6.898850574712643)","(61.0, 90.0, 85.0)","(17.0, 25.0, 23.21276595744681)","(20.0, 26.0, 25.85)"
07-01-2023 12:59:59.235938,"(6.5, 7.8, 7.473207547169811)","(3.5, 3.9, 3.8969407265774376)","(31.0, 60.0, 53.03030303030303)","(6.5, 7.6, 7.548502994011976)","(7.5, 8.6, 8.41263157894737)","(8.5, 11.5, 10.916666666666666)","(5.5, 7.0, 6.898850574712643)","(61.0, 90.0, 85.0)","(17.0, 25.0, 23.894736842105264)","(20.0, 26.0, 25.833333333333332)"
07-01-2023 13:00:00.670929,"(6.5, 7.8, 7.473207547169811)","(3.5, 3.9, 3.8965255157437566)","(31.0, 60.0, 53.03030303030303)","(6.5, 7.6, 7.548502994011976)","(7.5, 8.6, 8.41263157894737)","(8.5, 11.5, 10.85593220338983)","(5.5, 7.0, 6.898850574712643)","(61.0, 90.0, 85.0)","(17.0, 25.0, 23.894736842105264)","(20.0, 26.0, 25.833333333333332)"
07-01-2023 13:00:01.916530,"(6.5, 7.8, 7.494435075885329)","(3.5, 3.95, 3.9347754654983573)","(31.0, 60.0, 53.03030303030303)","(6.5, 7.6, 7.548502994011976)","(7.5, 8.6, 8.414583333333333)","(8.5, 11.5, 10.76923076923077)","(5.5, 7.0, 6.885530546623794)","(61.0, 90.0, 85.83333333333333)","(17.0, 25.0, 23.894736842105264)","(20.0, 26.0, 25.833333333333332)"
07-01-2023 13:00:03.167282,"(6.5, 7.8, 7.496885813148789)","(3.5, 3.95, 3.9356834532374103)","(31.0, 60.0, 53.03030303030303)","(6.5, 7.6, 7.548502994011976)","(7.5, 8.6, 8.355294117647059)","(8.5, 11.5, 10.928571428571429)","(5.5, 7.0, 6.898067141403866)","(61.0, 90.0, 85.83333333333333)","(17.0, 25.0, 23.41509433962264)","(20.0, 26.0, 25.736842105263158)"
07-01-2023 13:00:04.410228,"(6.5, 7.8, 7.489171974522293)","(3.5, 3.95, 3.9386155606407325)","(31.0, 60.0, 52.23684210526316)","(6.5, 7.6, 7.548502994011976)","(7.5, 8.4, 8.262244897959183)","(8.5, 11.5, 11.033333333333333)","(5.5, 7.0, 6.9089090909090904)","(61.0, 90.0, 87.41379310344828)","(17.0, 25.0, 23.526315789473685)","(20.0, 26.0, 24.81132075471698)"
07-01-2023 13:00:05.633216,"(6.5, 7.8, 7.535142469470828)","(3.5, 3.95, 3.9386155606407325)","(31.0, 55.0, 52.23684210526316)","(6.5, 7.6, 7.548502994011976)","(7.5, 8.4, 8.304109589041095)","(8.5, 11.5, 10.848837209302326)","(5.5, 7.0, 6.908493150684931)","(61.0, 90.0, 87.41379310344828)","(17.0, 25.0, 20.73076923076923)","(20.0, 25.0, 24.745454545454546)"
07-01-2023 13:00:06.875284,"(6.5, 7.8, 7.526395939086295)","(3.5, 3.95, 3.9439453125000004)","(31.0, 55.0, 52.4390243902439)","(6.5, 7.6, 7.560185185185185)","(7.5, 8.4, 8.306148867313915)","(8.5, 11.0, 10.848837209302326)","(5.5, 7.0, 6.88976897689769)","(61.0, 90.0, 87.41379310344828)","(17.0, 21.0, 22.704918032786885)","(20.0, 25.0, 24.745454545454546)"
07-01-2023 13:00:08.073485,"(6.5, 7.8, 7.5305)","(3.5, 3.95, 3.9439453125000004)","(31.0, 55.0, 52.22222222222222)","(6.5, 7.6, 7.562770562770562)","(7.5, 8.4, 8.302208201892745)","(8.5, 11.0, 10.824324324324325)","(5.5, 7.0, 6.874224343675418)","(61.0, 90.0, 86.61290322580645)","(17.0, 25.0, 23.142857142857142)","(20.0, 25.0, 23.90566037735849)"
07-01-2023 13:00:09.240888,"(6.5, 7.8, 7.526699029126214)","(3.5, 4.0, 3.9688481675392673)","(31.0, 55.0, 52.22222222222222)","(6.5, 7.6, 7.562770562770562)","(7.5, 8.4, 8.30125)","(8.5, 11.0, 10.824324324324325)","(5.5, 7.0, 6.874224343675418)","(61.0, 90.0, 86.61290322580645)","(17.0, 24.0, 22.315789473684212)","(20.0, 24.0, 23.90566037735849)"
07-01-2023 13:00:10.537659,"(6.5, 7.8, 7.526699029126214)","(3.5, 3.95, 3.9485185185185188)","(31.0, 55.0, 52.023809523809526)","(6.5, 7.6, 7.562770562770562)","(7.5, 8.4, 8.30125)","(8.5, 11.0, 10.803030303030303)","(5.5, 7.0, 7.359615384615385)","(61.0, 90.0, 86.61290322580645)","(17.0, 24.0, 21.428571428571427)","(20.0, 24.0, 23.897959183673468)"
07-01-2023 13:00:11.777247,"(6.5, 7.8, 7.521463414634146)","(3.5, 3.95, 3.9596491228070176)","(31.0, 55.0, 52.15909090909091)","(6.5, 8.0, 7.7620689655172415)","(7.5, 8.4, 8.279259259259259)","(8.5, 11.0, 10.803030303030303)","(5.5, 7.4, 7.285925925925926)","(61.0, 90.0, 86.61290322580645)","(17.0, 24.0, 22.522727272727273)","(20.0, 24.0, 23.897959183673468)"
07-01-2023 13:00:13.065321,"(6.5, 7.8, 7.507028360049322)","(3.5, 4.0, 3.9596491228070176)","(31.0, 55.0, 52.15909090909091)","(6.5, 7.8, 7.7620689655172415)","(7.5, 8.4, 8.279259259259259)","(8.5, 11.0, 10.803030303030303)","(5.5, 7.4, 7.285925925925926)","(61.0, 90.0, 86.61290322580645)","(17.0, 23.0, 22.522727272727273)","(20.0, 24.0, 23.897959183673468)"
07-01-2023 13:00:14.569120,"(6.5, 7.8, 7.506372549019608)","(3.5, 4.0, 3.9629032258064516)","(31.0, 55.0, 52.15909090909091)","(6.5, 7.8, 7.754430379746835)","(7.5, 8.4, 8.280321285140563)","(8.5, 11.0, 10.803030303030303)","(5.5, 7.4, 7.295081967213115)","(61.0, 90.0, 86.61290322580645)","(17.0, 23.0, 22.41304347826087)","(20.0, 24.0, 23.897959183673468)"
07-01-2023 13:00:15.849887,"(6.5, 7.8, 7.506372549019608)","(3.5, 4.0, 3.9629032258064516)","(31.0, 55.0, 52.15909090909091)","(6.5, 7.8, 7.754430379746835)","(7.5, 8.4, 8.280321285140563)","(8.5, 11.0, 10.803030303030303)","(5.5, 7.4, 7.257777777777778)","(61.0, 90.0, 86.61290322580645)","(17.0, 23.0, 22.42622950819672)","(20.0, 24.0, 23.897959183673468)"
07-01-2023 13:00:17.085951,"(6.5, 7.8, 7.516823687752355)","(3.5, 4.0, 3.9656716417910447)","(31.0, 55.0, 52.15909090909091)","(6.5, 8.0, 7.950218340611354)","(7.5, 8.4, 8.306557377049181)","(8.5, 11.0, 10.803030303030303)","(5.5, 7.4, 7.257777777777778)","(61.0, 90.0, 86.61290322580645)","(17.0, 24.0, 22.42622950819672)","(20.0, 24.0, 23.897959183673468)"
07-01-2023 13:00:18.550989,"(6.5, 8.0, 7.891111111111111)","(3.5, 4.0, 3.996101694915254)","(31.0, 55.0, 52.395833333333336)","(6.5, 7.6, 7.783756345177665)","(7.5, 8.4, 8.282474226804123)","(8.5, 11.0, 10.783333333333333)","(5.5, 7.2, 7.258604651162791)","(61.0, 90.0, 85.16129032258064)","(17.0, 22.0, 22.276923076923076)","(20.0, 24.0, 23.897959183673468)"
07-01-2023 13:00:19.865004,"(6.5, 8.0, 7.891111111111111)","(3.5, 4.0, 3.9744444444444444)","(31.0, 55.0, 52.395833333333336)","(6.5, 7.8, 7.761764705882353)","(7.5, 8.4, 8.271065989847715)","(8.5, 11.0, 10.943478260869565)","(5.5, 7.4, 7.19041095890411)","(61.0, 90.0, 85.16129032258064)","(17.0, 24.0, 21.81967213114754)","(20.0, 24.0, 23.886363636363637)"
07-01-2023 13:00:21.377035,"(6.5, 8.0, 7.891111111111111)","(3.5, 4.0, 3.9825)","(31.0, 55.0, 52.395833333333336)","(6.5, 7.8, 7.7592592592592595)","(7.5, 8.4, 8.271065989847715)","(9.0, 11.0, 10.943478260869565)","(6.0, 7.2, 7.1247191011235955)","(61.0, 90.0, 84.23076923076923)","(18.0, 23.0, 21.761904761904763)","(20.0, 24.0, 23.886363636363637)"
07-01-2023 13:00:22.752192,"(6.5, 8.0, 7.875949367088608)","(3.5, 4.0, 3.9657894736842105)","(41.0, 55.0, 52.395833333333336)","(6.5, 7.8, 7.773076923076923)","(7.5, 8.4, 8.227777777777778)","(9.0, 11.0, 10.943478260869565)","(6.0, 7.2, 7.1247191011235955)","(61.0, 90.0, 84.23076923076923)","(18.0, 23.0, 21.973684210526315)","(20.0, 24.0, 23.886363636363637)"
07-01-2023 13:00:24.147199,"(6.5, 8.0, 7.872916666666667)","(3.5, 4.0, 3.973076923076923)","(31.0, 55.0, 52.395833333333336)","(6.5, 7.8, 7.88974358974359)","(7.5, 8.4, 8.177)","(9.0, 11.0, 10.943478260869565)","(6.0, 7.2, 7.1247191011235955)","(61.0, 90.0, 84.82758620689656)","(18.0, 23.0, 21.973684210526315)","(19.0, 24.0, 23.886363636363637)"
07-01-2023 13:00:25.609967,"(6.5, 8.0, 7.921348314606742)","(3.5, 4.0, 3.970168067226891)","(31.0, 55.0, 52.395833333333336)","(6.5, 8.0, 7.868367346938776)","(7.5, 8.2, 8.14723926380368)","(9.0, 11.0, 10.943478260869565)","(6.0, 7.2, 7.1247191011235955)","(61.0, 90.0, 84.82758620689656)","(18.0, 23.0, 21.96)","(19.0, 24.0, 23.871794871794872)"
07-01-2023 13:00:27.105171,"(6.5, 8.0, 7.914285714285715)","(3.5, 4.0, 4.001380670611439)","(31.0, 55.0, 54.4)","(6.5, 8.0, 7.567469879518072)","(7.5, 8.2, 8.336764705882352)","(9.0, 11.0, 10.929203539823009)","(6.0, 7.2, 7.1625000000000005)","(61.0, 90.0, 82.10526315789474)","(18.0, 22.0, 21.96)","(19.0, 24.0, 23.821428571428573)"
07-01-2023 13:00:28.541609,"(6.5, 8.0, 7.780952380952381)","(3.5, 4.1, 4.011816578483245)","(31.0, 55.0, 54.4)","(6.5, 7.6, 7.564238410596026)","(7.5, 8.4, 8.334351145038168)","(9.0, 11.0, 10.841549295774648)","(6.0, 7.2, 7.107216494845361)","(61.0, 90.0, 80.0)","(18.0, 22.0, 21.60655737704918)","(19.0, 24.0, 23.821428571428573)"
07-01-2023 13:00:30.044523,"(6.5, 8.0, 7.835051546391752)","(3.5, 4.1, 4.001796407185629)","(31.0, 55.0, 54.4)","(6.5, 7.6, 7.564238410596026)","(7.5, 8.4, 8.334351145038168)","(9.0, 11.0, 10.900826446280991)","(6.0, 7.2, 7.156666666666667)","(61.0, 90.0, 80.0)","(18.0, 22.0, 21.96)","(19.0, 24.0, 23.821428571428573)"
07-01-2023 13:00:31.637845,"(6.5, 8.0, 7.878260869565217)","(3.5, 4.1, 3.986111111111111)","(31.0, 55.0, 54.4)","(6.5, 7.6, 7.564238410596026)","(7.5, 8.4, 8.334351145038168)","(9.0, 11.0, 10.940909090909091)","(6.0, 7.2, 7.174074074074074)","(61.0, 90.0, 82.10526315789474)","(18.0, 23.0, 21.96)","(19.0, 24.0, 23.821428571428573)"
07-01-2023 13:00:33.155590,"(6.5, 8.0, 7.878260869565217)","(3.5, 4.0, 4.005700325732899)","(31.0, 55.0, 54.31818181818182)","(6.5, 7.6, 7.560294117647059)","(7.5, 8.4, 8.295121951219512)","(9.0, 11.0, 10.867647058823529)","(6.0, 7.2, 7.029508196721311)","(61.0, 90.0, 79.28571428571429)","(18.0, 23.0, 21.869565217391305)","(19.0, 24.0, 23.782608695652172)"
07-01-2023 13:00:34.529791,"(6.5, 8.0, 7.9711711711711715)","(3.5, 4.1, 4.0371335504885995)","(31.0, 55.0, 53.75)","(6.5, 7.6, 7.77027027027027)","(7.5, 8.4, 8.301818181818183)","(9.0, 11.0, 10.853535353535353)","(6.0, 7.2, 6.986622073578595)","(61.0, 90.0, 78.46153846153847)","(18.0, 22.0, 21.81818181818182)","(19.0, 24.0, 23.75)"
07-01-2023 13:00:36.006529,"(6.5, 8.2, 8.037931034482758)","(3.5, 4.1, 4.042156862745098)","(31.0, 55.0, 53.75)","(6.5, 7.8, 7.77027027027027)","(7.5, 8.4, 8.307692307692308)","(9.0, 11.0, 10.853535353535353)","(6.0, 7.0, 6.974750830564784)","(61.0, 90.0, 82.5)","(18.0, 22.0, 20.90909090909091)","(19.0, 24.0, 23.625)"
07-01-2023 13:00:37.445414,"(6.5, 8.2, 8.021359223300971)","(3.5, 4.1, 4.043013698630137)","(31.0, 55.0, 53.46153846153846)","(6.5, 7.6, 7.579084967320261)","(7.5, 8.4, 8.3725)","(9.0, 11.0, 10.853535353535353)","(6.0, 7.0, 6.974750830564784)","(61.0, 85.0, 82.5)","(18.0, 21.0, 20.9)","(19.0, 24.0, 23.625)"
