,Dangerous Woman,Sweet Hummer,Boudicca,Churn It Up,Opawa Amiekay,Big Time Curly
16-12-2022 12:17:27.288803,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:28.128270,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:29.041978,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:30.060884,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:30.924950,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:31.803699,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:32.665053,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:33.533358,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:34.464701,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:35.313146,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:36.364210,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:37.319250,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:38.234786,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:39.121222,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:39.979350,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:40.850892,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:41.741548,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:42.618555,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:43.520923,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:44.361191,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:45.251996,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:46.103437,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:46.964489,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:47.794949,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:48.651229,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:49.572330,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:50.589306,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:51.536459,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:52.487673,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:53.454989,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:54.343325,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:55.248866,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:56.109401,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:57.029395,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:57.958688,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:58.868351,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:17:59.769708,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:00.690843,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:01.536500,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:02.458294,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:03.354356,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:04.202667,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:05.100341,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:06.055572,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:06.942021,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:07.812616,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:08.663185,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:09.527228,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:10.453587,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:11.412605,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:12.328632,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:13.209549,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:14.065440,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:14.946893,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:15.809914,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:16.698749,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:17.562972,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:18.472527,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:19.385997,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:20.332573,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:21.317131,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:22.235572,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:23.089849,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:23.995563,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:24.961654,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:25.934008,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:26.846402,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:27.718194,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:28.622192,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:29.543145,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:30.505395,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:31.550982,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:32.571744,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:33.554464,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:34.528907,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:35.536412,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:36.506308,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:37.509957,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 35.30909090909091)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.568)"
16-12-2022 12:18:38.497673,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 38.0, 36.590476190476195)","(3.3, 10.0, 5.104)","(2.25, 3.0, 2.5169230769230766)"
16-12-2022 12:18:39.402651,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 20.0, 19.44761904761905)","(3.3, 10.0, 5.104)","(2.25, 3.05, 2.7199999999999998)"
16-12-2022 12:18:40.266544,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 20.0, 19.44761904761905)","(3.3, 10.0, 5.104)","(2.25, 3.05, 2.7199999999999998)"
16-12-2022 12:18:41.273535,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 20.0, 19.44761904761905)","(3.3, 10.0, 5.104)","(2.25, 3.05, 2.7199999999999998)"
16-12-2022 12:18:42.215814,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 20.0, 19.44761904761905)","(3.3, 10.0, 5.104)","(2.25, 3.05, 2.7199999999999998)"
16-12-2022 12:18:43.131819,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 20.0, 19.44761904761905)","(3.3, 10.0, 5.104)","(2.25, 3.05, 2.7199999999999998)"
16-12-2022 12:18:44.008125,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 20.0, 19.44761904761905)","(3.3, 10.0, 5.104)","(2.25, 3.05, 2.7199999999999998)"
16-12-2022 12:18:44.923760,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 20.0, 19.44761904761905)","(3.3, 10.0, 5.104)","(2.25, 3.05, 2.7199999999999998)"
16-12-2022 12:18:45.890173,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 20.0, 19.44761904761905)","(3.3, 10.0, 5.104)","(2.25, 3.05, 2.7199999999999998)"
16-12-2022 12:18:46.881158,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 20.0, 19.44761904761905)","(3.3, 10.0, 5.104)","(2.25, 3.05, 2.7199999999999998)"
16-12-2022 12:18:47.867118,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 20.0, 19.44761904761905)","(3.3, 10.0, 5.104)","(2.25, 3.05, 2.7199999999999998)"
16-12-2022 12:18:48.821965,"(3.2, 4.8, 3.84375)","(15.0, 34.0, 30.92857142857143)","(21.0, 250.0, 211.66666666666669)","(9.0, 20.0, 19.44761904761905)","(3.3, 10.0, 5.104)","(2.25, 3.05, 2.7199999999999998)"
